b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-.58416778,-1.0730531,-1.6139722,-2.1008389,-2.5936882,-3.0796113,-3.6361573,-4.1207457,-4.6278915,-5.1893573,-5.5989747,-6.1109514,-6.6904449,-7.0825343,-7.6559877,-8.1666222,-8.6240149,-9.1393013,-9.6908655,-10.1779,-10.620805,-11.12708,-11.713081,-12.181743
.3409192,-.17114948,-.69348305,-1.2353851,-1.6643207,-2.2092052,-2.6653721,-3.2567563,-3.6407142,-4.2049017,-4.744144,-5.2372403,-5.7045584,-6.1358738,-6.7909479,-7.1530118,-7.7530618,-8.3024025,-8.7737808,-9.2369976,-9.8196898,-10.352201,-10.796041,-11.355222
-.20794997,-.71223503,-1.2081958,-1.7271724,-2.2263575,-2.6995676,-3.1556256,-3.7682409,-4.2057376,-4.7035623,-5.2239852,-5.7442527,-6.2063375,-6.7135167,-7.20714,-7.7056007,-8.2460241,-8.8009653,-9.2719698,-9.7037182,-10.226238,-10.764496,-11.272123,-11.795272
-.14115107,-.62081933,-1.1533395,-1.6447393,-2.1973207,-2.6664591,-3.1128008,-3.6732798,-4.2151575,-4.7425056,-5.2209516,-5.7905383,-6.1936188,-6.7090607,-7.2676845,-7.7189598,-8.3408346,-8.7744904,-9.4198761,-9.8845224,-10.254547,-10.924242,-11.376515,-11.684396
-.65336692,-1.1434354,-1.6498679,-2.1586568,-2.6704035,-3.1298773,-3.6424062,-4.1400743,-4.6842785,-5.1612883,-5.6518483,-6.1710668,-6.5982623,-7.2007661,-7.6472821,-8.155694,-8.6863518,-9.2228746,-9.6569576,-10.189909,-10.65352,-11.211437,-11.701265,-12.131612
.011251152,-.47517791,-.99281096,-1.509964,-2.069103,-2.5360301,-3.0391116,-3.5071723,-4.0060992,-4.5560656,-5.0053325,-5.5193377,-5.9668694,-6.5311189,-7.0951033,-7.6010966,-8.1378899,-8.5788746,-9.0978575,-9.5732374,-10.22622,-10.589211,-11.089376,-11.43556
.29141098,-.2012369,-.7125479,-1.2380127,-1.7263938,-2.2346427,-2.7917738,-3.295614,-3.7499192,-4.2758074,-4.8199496,-5.2334871,-5.8173604,-6.2166553,-6.8016796,-7.3333173,-7.7858877,-8.299159,-8.9802408,-9.3187838,-9.821497,-10.305386,-10.882074,-11.342134
-.29475749,-.8079738,-1.2869854,-1.785031,-2.2927179,-2.7772009,-3.3125069,-3.8100886,-4.303596,-4.7934656,-5.3551302,-5.8264732,-6.3032579,-6.7713313,-7.3097024,-7.8169975,-8.3434792,-8.8891897,-9.280241,-9.9340506,-10.349486,-10.855858,-11.442388,-11.752011
-.23392253,-.73026091,-1.2311749,-1.7212026,-2.2676928,-2.7492607,-3.2713492,-3.7589488,-4.2436566,-4.6946521,-5.3055711,-5.7588906,-6.3331423,-6.7613506,-7.3465762,-7.7974567,-8.2717524,-8.7924051,-9.3216877,-9.9454489,-10.396523,-10.832139,-11.317279,-11.91095
-.11961202,-.60742819,-1.1247116,-1.6119248,-2.161572,-2.6354325,-3.1433597,-3.675662,-4.1973524,-4.6262598,-5.2002912,-5.6448174,-6.1669445,-6.7503004,-7.1417265,-7.6687088,-8.2472019,-8.716897,-9.1860695,-9.6573343,-10.171181,-10.681582,-11.253346,-11.746858
