b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-2.7594607,-3.2351511,-3.7638814,-4.2388144,-4.7133255,-5.1980128,-5.7231441,-6.205574,-6.6983638,-7.2424097,-7.6468854,-8.1405554,-8.7125359,-9.1021795,-9.6593781,-10.148461,-10.608163,-11.112844,-11.631729,-12.117846,-12.531996,-13.032627,-13.609554,-14.073594
.032743409,-.47647059,-.99803507,-1.5356511,-1.9665228,-2.5080113,-2.9644647,-3.5529976,-3.9360309,-4.5010738,-5.0368867,-5.525454,-5.9933329,-6.4261575,-7.0735335,-7.4391885,-8.0332842,-8.5850134,-9.0635538,-9.5114813,-10.097018,-10.627035,-11.069674,-11.624701
-.44438374,-.94844609,-1.44218,-1.9590775,-2.4587784,-2.9266706,-3.3852744,-3.9956467,-4.4280386,-4.9301705,-5.4442406,-5.9713206,-6.4205027,-6.9350157,-7.4221711,-7.9170017,-8.4564562,-9.0131989,-9.478281,-9.9088945,-10.433823,-10.963866,-11.481913,-11.998952
-.066096596,-.5454452,-1.0754117,-1.5717565,-2.1221828,-2.5936623,-3.0405071,-3.608252,-4.1435604,-4.6752591,-5.1535559,-5.7382035,-6.1317239,-6.6451616,-7.2001524,-7.6490345,-8.2821674,-8.7226315,-9.3528242,-9.8143015,-10.190982,-10.870157,-11.325241,-11.619534
-.98615772,-1.4760116,-1.9775119,-2.4854782,-2.9954746,-3.4538596,-3.9678197,-4.4664054,-4.9983039,-5.4772921,-5.9728675,-6.482564,-6.9148269,-7.5051732,-7.9624271,-8.4581757,-8.9857035,-9.5229301,-9.9518061,-10.488597,-10.945394,-11.504726,-11.985245,-12.428994
.62457061,.13571106,-.3847259,-.90505749,-1.4682391,-1.9441055,-2.440192,-2.9157181,-3.4144542,-3.9684184,-4.4216299,-4.9336267,-5.3864317,-5.9587717,-6.5225992,-7.0301418,-7.5717487,-8.0122099,-8.5297079,-9.0053806,-9.6717129,-10.033308,-10.540067,-10.889764
-.21192965,-.70267254,-1.2101412,-1.7343242,-2.2191033,-2.7260163,-3.2779636,-3.7848587,-4.2323713,-4.7537909,-5.2986951,-5.7114468,-6.2922602,-6.687695,-7.2673674,-7.7969165,-8.2555246,-8.757021,-9.4449663,-9.7736931,-10.273756,-10.763794,-11.331239,-11.792212
-.32721254,-.83969295,-1.3149368,-1.8180661,-2.3170502,-2.8103034,-3.3402724,-3.8430297,-4.3303795,-4.8256607,-5.3814044,-5.8559895,-6.3197269,-6.8053665,-7.3285913,-7.8329868,-8.3729982,-8.9147959,-9.299181,-9.9637003,-10.364266,-10.878234,-11.457614,-11.774114
.20151362,-.29971334,-.79914457,-1.292219,-1.8394113,-2.3273067,-2.8468034,-3.3392482,-3.8280828,-4.2773256,-4.8932953,-5.3535733,-5.924346,-6.3525929,-6.949996,-7.4042621,-7.871778,-8.3999958,-8.9289751,-9.555253,-10.008404,-10.451435,-10.93713,-11.531578
-.15890375,-.64569336,-1.165163,-1.6539949,-2.198333,-2.6716363,-3.1829598,-3.7145536,-4.2391033,-4.6642222,-5.2386284,-5.6830444,-6.2032371,-6.7827916,-7.1797009,-7.7049913,-8.2915611,-8.7528248,-9.2205305,-9.6944447,-10.20475,-10.717041,-11.293553,-11.785703
-.18415664,-.67737073,-1.1946121,-1.6756372,-2.1928477,-2.6528833,-3.2327874,-3.6932135,-4.1768551,-4.745882,-5.2373381,-5.7542443,-6.2198892,-6.7534537,-7.2746425,-7.7972593,-8.2066431,-8.7507305,-9.2333155,-9.7219963,-10.238418,-10.729047,-11.317213,-11.810061
.84881932,.34530026,-.18013521,-.66788626,-1.2027396,-1.7165995,-2.2122467,-2.7224269,-3.241859,-3.711297,-4.2357154,-4.767426,-5.2609248,-5.7109065,-6.2918091,-6.7845669,-7.3021336,-7.748661,-8.2852707,-8.8160467,-9.3406868,-9.8415232,-10.254004,-10.948516
.34313604,-.1563849,-.65788376,-1.1586004,-1.6691343,-2.1708817,-2.687367,-3.145261,-3.7085438,-4.2203279,-4.7157993,-5.2144947,-5.7328916,-6.1779413,-6.7084093,-7.2409301,-7.7422376,-8.2943563,-8.8775158,-9.2795725,-9.7114401,-10.209929,-10.783754,-11.314647
-.64281791,-1.1519524,-1.6515858,-2.1678741,-2.6584351,-3.1681378,-3.7134199,-4.1581707,-4.631072,-5.1987209,-5.7252231,-6.1954036,-6.713088,-7.1314363,-7.6679425,-8.1938734,-8.6558046,-9.2085619,-9.6934843,-10.227268,-10.617222,-11.193311,-11.746484,-12.282969
.61627555,.10371439,-.39946988,-.91454422,-1.4574031,-1.9443828,-2.460721,-2.979583,-3.4833467,-4.0195832,-4.4914465,-5.0330577,-5.4628134,-6.0105195,-6.580431,-7.0082307,-7.5926671,-7.9777284,-8.5960398,-9.0953636,-9.6013374,-10.28814,-10.613168,-11.156848
-.8170616,-1.3120596,-1.8352994,-2.3076296,-2.8212669,-3.3518364,-3.7967451,-4.2850056,-4.7583137,-5.3415103,-5.8662705,-6.3296437,-6.7355165,-7.3073473,-7.8550897,-8.2912397,-8.7147417,-9.3386536,-9.8039951,-10.394617,-10.83051,-11.403038,-11.811141,-12.335625
-1.079028,-1.5818018,-2.0982738,-2.5477433,-3.1194921,-3.5584581,-4.1123409,-4.5641837,-5.0451674,-5.6100373,-6.0690222,-6.6220484,-7.0572748,-7.5850449,-8.1530972,-8.5589075,-9.1615067,-9.583334,-10.099941,-10.480815,-11.084349,-11.5767,-12.030352,-12.556374
-.79416364,-1.2976608,-1.7950652,-2.3074861,-2.8822055,-3.2638118,-3.7850997,-4.3389096,-4.7983122,-5.3359928,-5.8403878,-6.3262062,-6.8200941,-7.3638997,-7.817193,-8.210125,-8.8624411,-9.3972521,-9.8107967,-10.28784,-10.742846,-11.283796,-11.822413,-12.389256
-.89019555,-1.4118563,-1.9189134,-2.3980336,-2.8982623,-3.3704145,-3.8812678,-4.4090452,-4.8499436,-5.3610272,-5.8912158,-6.4253697,-6.8417306,-7.4299827,-7.9603195,-8.4552622,-8.8859148,-9.4175425,-9.9392204,-10.427153,-10.91119,-11.401628,-11.853437,-12.393277
.046385132,-.44913459,-.93617165,-1.4586266,-1.9990475,-2.483253,-3.0137162,-3.4681363,-4.0857477,-4.5120153,-5.0388517,-5.5283322,-6.0412936,-6.4832244,-6.9918461,-7.4831028,-7.9850411,-8.5919819,-8.9536009,-9.5705261,-10.168447,-10.572115,-11.022351,-11.640718
