b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
2.1535289,1.652172,1.1001639,.57814413,.057339605,-.47210771,-.91438305,-1.4313294,-1.9401696,-2.558624,-3.0129144,-3.5026486,-4.0792856,-4.5241718,-4.9554353,-5.6331687,-6.162652,-6.6179161,-7.1896558,-7.6090388,-8.2055655,-8.7242002,-9.2667208,-9.7488413
.25141284,-.27585217,-.76148754,-1.2975284,-1.7466011,-2.3330626,-2.761308,-3.3128014,-3.8256538,-4.2824669,-4.7371044,-5.3286552,-5.883955,-6.335248,-6.8854928,-7.3630676,-7.8889618,-8.366888,-8.8609962,-9.3470716,-9.9088058,-10.322355,-10.904234,-11.412416
2.9530404,2.4355206,1.9258792,1.4131627,.91596949,.3825717,-.15014413,-.62899929,-1.1954613,-1.6556562,-2.2143865,-2.7633374,-3.2672668,-3.800791,-4.3350849,-4.7545285,-5.2996449,-5.7597575,-6.4518185,-6.9064369,-7.4205008,-7.8082514,-8.4652443,-8.9654703
-.7332285,-1.2446374,-1.7394533,-2.1905458,-2.705749,-3.2975211,-3.7460492,-4.2216983,-4.7370195,-5.1514144,-5.7796202,-6.2103119,-6.7706833,-7.2686563,-7.7343874,-8.3032875,-8.7490425,-9.2882233,-9.739274,-10.232981,-10.900499,-11.301413,-11.787241,-12.265321
.98360837,.48949555,-.032869164,-.54324222,-1.0212554,-1.6037304,-2.0490122,-2.5708323,-3.0952497,-3.6170397,-4.0659213,-4.5863571,-5.0858002,-5.5964975,-6.1256332,-6.7555289,-7.1083632,-7.6164365,-8.1453457,-8.7332153,-9.253026,-9.6721983,-10.191762,-10.624843
.6401552,.1384479,-.35932934,-.85893738,-1.3813586,-1.9036714,-2.4668512,-2.9316342,-3.4034791,-3.9444485,-4.4139543,-4.9539509,-5.4396477,-6.0146165,-6.4705625,-6.9212389,-7.4223771,-7.9962935,-8.4617462,-9.0431471,-9.4058027,-10.042909,-10.60782,-11.049012
-1.4738427,-1.9677429,-2.4770157,-2.9792066,-3.4325275,-3.9678164,-4.394865,-4.9796348,-5.5481811,-5.9933147,-6.4357204,-6.9208808,-7.4548869,-7.924397,-8.4238453,-8.9002752,-9.4213333,-9.9622669,-10.476572,-10.967138,-11.340221,-11.996684,-12.395887,-12.880269
-.26976696,-.78659147,-1.2398701,-1.7835195,-2.2669892,-2.7688649,-3.3019431,-3.81375,-4.2616167,-4.8267713,-5.3467026,-5.860126,-6.3022847,-6.8161116,-7.3588848,-7.787014,-8.2777767,-8.7310429,-9.3985767,-9.9604473,-10.537013,-10.982391,-11.371578,-11.824904
-.082067043,-.56988394,-1.1096755,-1.6211935,-2.1327198,-2.5411482,-3.1013649,-3.6136589,-4.0771365,-4.593843,-5.135366,-5.5306859,-6.1324782,-6.647779,-7.1183681,-7.6517663,-8.1035156,-8.5404243,-9.0815144,-9.5724325,-10.122849,-10.664194,-11.077093,-11.668403
-1.747408,-2.242974,-2.7512078,-3.2033668,-3.7589791,-4.3552742,-4.708128,-5.2163153,-5.7956495,-6.252933,-6.7683954,-7.2065353,-7.8304334,-8.1744432,-8.7298136,-9.2324829,-9.6347284,-10.19119,-10.710234,-11.153209,-11.640145,-12.079734,-12.687558,-13.28284
-.76309568,-1.2556918,-1.7526708,-2.2963717,-2.749264,-3.2665379,-3.7065589,-4.2109904,-4.7276692,-5.2782049,-5.7058392,-6.231452,-6.7968335,-7.2796183,-7.8333287,-8.315835,-8.7328157,-9.2333841,-9.8129864,-10.184447,-10.798538,-11.30827,-11.785116,-12.231629
4.9716887,4.4655972,3.9309762,3.3702729,2.9209805,2.3015523,1.7946546,1.212515,.77548945,.19455755,-.33203834,-.85926139,-1.3342369,-1.8725597,-2.4491315,-3.0161452,-3.3635316,-4.0519395,-4.4759545,-5.1484776,-5.6457558,-6.2507629,-6.6151986,-7.2182069
-.23218577,-.73114294,-1.1897765,-1.7942742,-2.2233546,-2.7081985,-3.2388678,-3.7611997,-4.2103634,-4.790638,-5.2381072,-5.7836604,-6.2998805,-6.8148155,-7.2067223,-7.8230758,-8.2408085,-8.7790575,-9.2859507,-9.9165335,-10.333351,-10.784921,-11.366865,-11.873072
1.5225632,.99760842,.46234375,-.020522835,-.54687452,-1.0332844,-1.5864806,-2.0891969,-2.6371987,-3.0695319,-3.5588081,-4.1141734,-4.644002,-5.2348018,-5.6213775,-6.1559329,-6.7058754,-7.1338234,-7.6844516,-8.2023754,-8.7671843,-9.1857119,-9.7226439,-10.254607
-.7099787,-1.228896,-1.7251451,-2.1813228,-2.7226288,-3.2382095,-3.7233872,-4.2112288,-4.7992005,-5.2856741,-5.7741361,-6.2750316,-6.6389661,-7.2160897,-7.6659627,-8.1882896,-8.7130852,-9.154067,-9.7487736,-10.189711,-10.723034,-11.272443,-11.744142,-12.290521
-.81753379,-1.3349404,-1.839425,-2.3654122,-2.8113627,-3.3482335,-3.8586626,-4.254261,-4.8893781,-5.3295641,-5.8240213,-6.239459,-6.8477125,-7.3097801,-7.9314752,-8.42101,-8.7985048,-9.2764549,-9.9459047,-10.453447,-10.87139,-11.306359,-11.909959,-12.543173
-1.5546364,-2.0752025,-2.5603023,-3.0476272,-3.4732351,-4.0597248,-4.4992013,-5.0549159,-5.5507407,-6.0402565,-6.5704222,-7.0190935,-7.5151772,-8.0432644,-8.4417439,-8.9871073,-9.4560776,-10.05685,-10.524389,-10.948366,-11.60088,-11.98315,-12.460019,-13.041396
.60744792,.12211404,-.41405579,-.91647035,-1.4483286,-1.9434522,-2.3643789,-2.8737137,-3.4622371,-3.9595437,-4.5152273,-4.9432235,-5.5045195,-5.9493465,-6.5938725,-6.9569345,-7.4716702,-8.010829,-8.6689329,-8.9834785,-9.5623541,-10.113251,-10.619573,-11.044517
.97912401,.45377782,-.056234229,-.55420464,-1.066364,-1.5598284,-2.0778892,-2.5674617,-3.1194992,-3.5053904,-4.0651779,-4.6451812,-5.1603251,-5.6766734,-6.1795902,-6.6999636,-7.1937723,-7.6830745,-8.3202448,-8.71521,-9.2798529,-9.6952353,-10.15348,-10.724301
-1.74505,-2.2405112,-2.7191093,-3.2249677,-3.7328122,-4.1738563,-4.6884007,-5.2178149,-5.679873,-6.2353902,-6.6615043,-7.1526365,-7.7096543,-8.1026897,-8.7162781,-9.1558695,-9.6565924,-10.119686,-10.649274,-11.166816,-11.565983,-12.032607,-12.591028,-13.141686
.53507864,.043230508,-.48581782,-.9392581,-1.4774886,-2.004216,-2.5330839,-2.9887023,-3.4995041,-4.0267048,-4.4863577,-4.911901,-5.4831915,-6.0258627,-6.5423241,-7.0267944,-7.5890212,-8.1122103,-8.4973545,-9.0606146,-9.6051626,-10.012468,-10.655193,-11.062535
-1.2868266,-1.7942014,-2.2698016,-2.7669253,-3.2756143,-3.7643759,-4.2882314,-4.8155856,-5.2072859,-5.8261566,-6.2378068,-6.7055526,-7.2654161,-7.679214,-8.2081041,-8.8294792,-9.2663221,-9.7088938,-10.342631,-10.749836,-11.309711,-11.79887,-12.30542,-12.650106
1.9547706,1.4433832,.91871905,.38139054,-.060149428,-.59605902,-1.1634179,-1.7047547,-2.1498365,-2.7039211,-3.2211416,-3.7454813,-4.1645908,-4.7307296,-5.2631931,-5.8231716,-6.298233,-6.8571143,-7.3328781,-7.8560591,-8.3237171,-9.0406494,-9.3993282,-9.9098635
1.0435696,.51930434,.03879321,-.47208193,-1.0001304,-1.5080134,-1.9773077,-2.5043604,-3.0083172,-3.5777025,-4.0243845,-4.5295167,-5.1388693,-5.6407399,-6.1510067,-6.6572008,-7.1419806,-7.6363559,-8.1302843,-8.592824,-9.1471472,-9.6746864,-10.015332,-10.65809
-.30084157,-.81149268,-1.2947611,-1.7930603,-2.2929208,-2.8175647,-3.3826823,-3.794482,-4.2770953,-4.8188343,-5.313993,-5.8303752,-6.3618751,-6.8333149,-7.3153443,-7.8417225,-8.3504543,-8.8564987,-9.3242197,-9.8067846,-10.363804,-10.798859,-11.404883,-11.860723
2.1930392,1.6567467,1.1448463,.69714636,.067869097,-.31787097,-.89596832,-1.3875648,-1.9066002,-2.3824828,-3.0141649,-3.5203264,-4.0550785,-4.4599185,-5.0073338,-5.500648,-6.130621,-6.4459391,-7.0564189,-7.5190821,-8.1334524,-8.663168,-9.198431,-9.6801529
-.54106319,-1.0353115,-1.529634,-2.0601263,-2.4989698,-3.0778856,-3.5573061,-3.9985569,-4.5721374,-5.0265551,-5.5375476,-6.0764885,-6.5391502,-7.0508537,-7.5514927,-8.0216274,-8.5470762,-9.0767708,-9.5109177,-10.1281,-10.565101,-11.182652,-11.604836,-12.191133
.77707279,.27138233,-.22477189,-.737037,-1.2305077,-1.7888062,-2.2620571,-2.7606025,-3.3050671,-3.814379,-4.3581152,-4.8363481,-5.2580156,-5.7663007,-6.3500538,-6.8651323,-7.2640843,-7.8673468,-8.3746605,-8.8933296,-9.324976,-9.9749432,-10.404033,-10.972034
1.1434973,.61063319,.16338372,-.34704059,-.87920094,-1.3845124,-1.8888416,-2.4579606,-2.8828654,-3.4642496,-4.0478878,-4.4843116,-5.0058675,-5.501296,-5.9881449,-6.5300689,-6.9508228,-7.526104,-8.1091433,-8.5638685,-9.1851187,-9.4691286,-10.111166,-10.629704
-.71827883,-1.2326949,-1.7063487,-2.2364252,-2.7119653,-3.2326214,-3.709291,-4.2596378,-4.7070026,-5.1998501,-5.732687,-6.2568879,-6.7728586,-7.2602959,-7.7160797,-8.2920046,-8.7564001,-9.2513885,-9.763546,-10.276325,-10.792272,-11.202579,-11.722415,-12.254397
1.620605,1.1058813,.6243993,.077132381,-.44348481,-.95502096,-1.3671243,-2.0198328,-2.447015,-3.035228,-3.4933493,-3.9722288,-4.557929,-5.0815344,-5.5654197,-6.042294,-6.567203,-7.170753,-7.6136642,-8.1441717,-8.6603193,-9.1061249,-9.6195984,-10.261971
-.30492812,-.80472028,-1.3187187,-1.7854406,-2.3268209,-2.8530395,-3.3163152,-3.8204014,-4.3554006,-4.8224854,-5.4204984,-5.8643293,-6.2486053,-6.9361539,-7.3670049,-7.8695931,-8.3367195,-8.8918209,-9.4250364,-9.8517675,-10.365097,-10.911457,-11.436293,-11.873864
-.41155592,-.92009795,-1.4250971,-1.886596,-2.4169669,-2.9404094,-3.4214392,-3.9271448,-4.463448,-4.9246769,-5.470058,-5.978919,-6.4360876,-6.9485497,-7.5051651,-7.9333024,-8.6121635,-8.9364643,-9.4631634,-10.018668,-10.463404,-10.963473,-11.535723,-11.954453
2.6175406,2.0577133,1.5867357,1.0349869,.48335332,.019412231,-.49499264,-1.0263858,-1.5414183,-2.0457668,-2.5414846,-3.053093,-3.6263044,-4.146522,-4.631155,-5.1451511,-5.5916929,-6.0599122,-6.694056,-7.2774267,-7.8365211,-8.2659988,-8.7566137,-9.3324642
.72239196,.21174029,-.34336519,-.79451209,-1.2734584,-1.8183277,-2.3688624,-2.8419509,-3.3747337,-3.8766081,-4.4554424,-4.8618107,-5.3224912,-5.9840875,-6.3297782,-6.8429255,-7.4725795,-7.9674301,-8.4162159,-9.0661201,-9.5180273,-10.003098,-10.423397,-10.99935
.36251816,-.14154744,-.65102774,-1.1751668,-1.6318978,-2.1730385,-2.6471095,-3.1770558,-3.5582895,-4.1840224,-4.689218,-5.181005,-5.7358284,-6.2453876,-6.7780261,-7.2266016,-7.7087426,-8.1769695,-8.7460032,-9.2111225,-9.7386541,-10.293989,-10.781165,-11.301036
-.17872931,-.70185363,-1.1817551,-1.7325851,-2.179466,-2.7041123,-3.1988375,-3.649009,-4.1620727,-4.7308283,-5.2472558,-5.8266177,-6.2553411,-6.7286782,-7.2667894,-7.7034941,-8.3507538,-8.7530212,-9.2150764,-9.8860779,-10.361072,-10.721199,-11.193338,-11.809262
