b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
1.7540827,1.2546422,.71132827,.19066997,-.33505094,-.86388648,-1.2996938,-1.8097783,-2.3154609,-2.9401534,-3.3844762,-3.8700526,-4.4544792,-4.8937597,-5.323987,-5.9925604,-6.5205202,-6.9709888,-7.5367332,-7.9594846,-8.5628414,-9.0662546,-9.6222305,-10.103919
.39251921,-.13483849,-.61776882,-1.157503,-1.6063676,-2.1891923,-2.621135,-3.1806962,-3.7047141,-4.1541309,-4.6194897,-5.2191257,-5.7690144,-6.2184105,-6.7624125,-7.2439055,-7.7623653,-8.2525072,-8.7499285,-9.2379217,-9.7987928,-10.22,-10.810492,-11.307059
1.2900608,.77697515,.27852684,-.22402337,-.71154422,-1.2353777,-1.7570112,-2.2378983,-2.7842875,-3.2558241,-3.7902668,-4.3345337,-4.8299632,-5.3478947,-5.8799586,-6.3048334,-6.8182545,-7.2780485,-7.9705706,-8.4177713,-8.9269686,-9.2882872,-9.9566431,-10.428851
-.55534399,-1.0655581,-1.5648513,-2.0194514,-2.5295353,-3.1214697,-3.5736012,-4.0600004,-4.5653381,-4.9853902,-5.602675,-6.0444183,-6.6080608,-7.1006927,-7.5588465,-8.1216574,-8.5763149,-9.122139,-9.5752954,-10.063735,-10.729463,-11.136399,-11.628197,-12.098201
-.50976759,-.99532115,-1.5181253,-2.0237174,-2.4814506,-3.0672331,-3.494832,-4.0208125,-4.5320206,-5.0505185,-5.4920311,-6.0023413,-6.4932842,-6.9904799,-7.5054207,-8.135129,-8.5023012,-8.9894905,-9.4963055,-10.073213,-10.597121,-11.021385,-11.506932,-11.941708
.35398412,-.1483734,-.64313614,-1.134286,-1.6628928,-2.1658354,-2.7322867,-3.2026353,-3.6730337,-4.2042451,-4.6749811,-5.2147989,-5.7104216,-6.2478256,-6.7154217,-7.1738787,-7.6714325,-8.2382212,-8.6999559,-9.2688227,-9.6642647,-10.292437,-10.832649,-11.26444
-1.0529321,-1.5504395,-2.0617485,-2.5672202,-3.0235293,-3.5637748,-3.982513,-4.5781879,-5.149344,-5.5901089,-6.0283909,-6.5141363,-7.0597177,-7.5243034,-8.0282183,-8.5052614,-9.0260735,-9.5787277,-10.098882,-10.58194,-10.954201,-11.62073,-12.010189,-12.500299
.049929544,-.47006002,-.93038046,-1.4686347,-1.9602208,-2.4729724,-3.0029435,-3.5160313,-3.9674215,-4.5376806,-5.0411372,-5.5712671,-6.0069795,-6.5435877,-7.0606189,-7.49614,-7.9980245,-8.4449739,-9.1301031,-9.7022829,-10.258941,-10.716763,-11.133457,-11.561186
.14778113,-.34128317,-.88568181,-1.3918601,-1.9157126,-2.3156316,-2.8773079,-3.3958874,-3.8579454,-4.3739104,-4.920207,-5.3117452,-5.9111366,-6.4311604,-6.8981085,-7.4386859,-7.8911581,-8.3362799,-8.8647947,-9.3662052,-9.9030437,-10.455856,-10.872852,-11.477062
-.64074373,-1.1449054,-1.6535569,-2.1182117,-2.6717851,-3.2790806,-3.6365955,-4.1591935,-4.7368279,-5.2050195,-5.7126245,-6.1617365,-6.7851558,-7.1483521,-7.7048264,-8.2183628,-8.6194172,-9.1762648,-9.7027931,-10.169713,-10.635856,-11.098495,-11.71576,-12.307961
