b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
1.574519,1.0751204,.52795923,.0126236,-.50992316,-1.0392166,-1.4765178,-1.9857676,-2.4951603,-3.1110544,-3.5541637,-4.0440049,-4.6213336,-5.0635557,-5.4942999,-6.1630898,-6.6866331,-7.1368299,-7.7069902,-8.1257496,-8.7217703,-9.2252731,-9.7762375,-10.259455
-.98723567,-1.5070282,-1.9868174,-2.513864,-2.9597616,-3.534909,-3.9583886,-4.5138364,-5.02847,-5.4663014,-5.9220233,-6.5179458,-7.0540242,-7.5046544,-8.0420113,-8.510498,-9.0326891,-9.5089788,-9.9960938,-10.475463,-11.033667,-11.44418,-12.026015,-12.516088
.99736583,.48626599,-.0061855358,-.51243514,-1.0019647,-1.5182359,-2.0458391,-2.5254116,-3.0703382,-3.5284798,-4.0770664,-4.6141486,-5.1035037,-5.6402884,-6.1583238,-6.5739818,-7.0987968,-7.5357637,-8.2554455,-8.6850872,-9.1956596,-9.5586319,-10.237337,-10.673647
1.084008,.56521285,.058433428,-.40122443,-.92138058,-1.5255406,-1.9815936,-2.4739745,-2.9872007,-3.413964,-4.0466356,-4.492053,-5.0624623,-5.5671329,-6.0337796,-6.6102953,-7.0636654,-7.6180778,-8.0779543,-8.5745935,-9.2594614,-9.6673994,-10.165521,-10.649074
.89132065,.39865696,-.12711219,-.63877571,-1.1100454,-1.6995715,-2.1373942,-2.6635394,-3.1849189,-3.7079327,-4.1579771,-4.6753192,-5.1735921,-5.6798463,-6.208467,-6.8448353,-7.2030396,-7.7043757,-8.2266836,-8.8118362,-9.3377495,-9.7623568,-10.26549,-10.697959
.1908481,-.30961353,-.80460882,-1.2954113,-1.8223662,-2.3279958,-2.8928313,-3.3602042,-3.8291926,-4.3611465,-4.8328795,-5.3711834,-5.8630099,-6.4077082,-6.8718615,-7.333096,-7.8270612,-8.3926954,-8.8548899,-9.4248085,-9.8148804,-10.440558,-10.985149,-11.419244
-1.8049427,-2.2986975,-2.807189,-3.3059876,-3.7598133,-4.2933946,-4.7118769,-5.3010759,-5.8692446,-6.3068547,-6.744256,-7.2282548,-7.7660127,-8.2253819,-8.7216368,-9.1960926,-9.7138672,-10.26212,-10.780169,-11.2568,-11.629474,-12.285468,-12.68006,-13.165593
-1.0999175,-1.6151147,-2.0699058,-2.5986168,-3.086978,-3.5910296,-4.1143394,-4.623426,-5.0765672,-5.6355839,-6.1338711,-6.6541986,-7.0867338,-7.607873,-8.1227398,-8.5626879,-9.0505495,-9.4956694,-10.160794,-10.731288,-11.291869,-11.746394,-12.145019,-12.580614
.41329867,-.076730564,-.6218189,-1.1333576,-1.6489153,-2.0572705,-2.6223702,-3.136996,-3.6051226,-4.1201158,-4.6715269,-5.0606523,-5.6614542,-6.1822724,-6.6632929,-7.1942062,-7.6461277,-8.0914049,-8.6248484,-9.1268215,-9.6759834,-10.226262,-10.648239,-11.242032
-.085208438,-.59041852,-1.101459,-1.5659084,-2.1308699,-2.731019,-3.0936432,-3.612076,-4.2071214,-4.6650848,-5.1828103,-5.6348128,-6.249846,-6.6256895,-7.1836596,-7.6951084,-8.1041374,-8.6629648,-9.1900578,-9.6389503,-10.144533,-10.602584,-11.210232,-11.809799
-.60179007,-1.0937443,-1.5891323,-2.1405568,-2.5860388,-3.10936,-3.5488605,-4.0487728,-4.5708528,-5.1235209,-5.5458384,-6.0766253,-6.6494465,-7.1338835,-7.6799216,-8.1620159,-8.5920248,-9.087759,-9.6611958,-10.041242,-10.656415,-11.156557,-11.636041,-12.093462
1.0558771,.56998032,.053146992,-.48910949,-.91583228,-1.5145981,-2.0046973,-2.5605786,-2.9894271,-3.5389829,-4.0622087,-4.5457635,-5.0190148,-5.5318551,-6.0931892,-6.6401701,-6.9578209,-7.6221461,-8.039361,-8.7028027,-9.1774178,-9.7527008,-10.10813,-10.685384
-.018458065,-.51663417,-.97738385,-1.5815623,-2.0140355,-2.4960339,-3.0225379,-3.5580318,-4.0001674,-4.5839963,-5.0199766,-5.5759749,-6.0918756,-6.6062365,-7.0001168,-7.6115866,-8.0482998,-8.5864115,-9.0567684,-9.7186232,-10.102785,-10.578905,-11.148086,-11.656534
.45644888,-.06424097,-.59493232,-1.0623008,-1.5995235,-2.069175,-2.6198437,-3.121886,-3.6631908,-4.0946655,-4.5891719,-5.1199899,-5.6473303,-6.2495179,-6.6149001,-7.1565008,-7.6933966,-8.1070433,-8.6458664,-9.171711,-9.71945,-10.15881,-10.672129,-11.196806
-.58388019,-1.1031146,-1.6009673,-2.0487967,-2.5864475,-3.1080892,-3.6022928,-4.0756278,-4.6484208,-5.1595669,-5.642652,-6.1341267,-6.5034041,-7.083406,-7.5452542,-8.0469608,-8.567358,-9.0174294,-9.6289034,-10.065891,-10.587891,-11.139329,-11.598119,-12.158924
.28274763,-.24076946,-.74988395,-1.2823168,-1.7330576,-2.2778935,-2.7957454,-3.1939723,-3.8305347,-4.2807322,-4.7789187,-5.1866226,-5.8148565,-6.2803903,-6.8943191,-7.4041018,-7.7907958,-8.2670164,-8.946064,-9.4482231,-9.8847713,-10.320504,-10.913955,-11.569105
-1.7251834,-2.2461653,-2.730484,-3.2162907,-3.6442816,-4.2218132,-4.6647925,-5.2134461,-5.7214437,-6.1986241,-6.7262998,-7.1753535,-7.6774645,-8.1992455,-8.6021986,-9.1412153,-9.612977,-10.201664,-10.670705,-11.102443,-11.738857,-12.120409,-12.602442,-13.184114
1.9419043,1.4485421,.91103047,.39496991,-.14861542,-.65144306,-1.0748527,-1.5891751,-2.1971178,-2.6944683,-3.2560976,-3.6837444,-4.2467599,-4.706768,-5.3732243,-5.7434778,-6.2405415,-6.7967153,-7.4698186,-7.7828608,-8.3705187,-8.923378,-9.431426,-9.8569059
.24689959,-.27512249,-.78167039,-1.27801,-1.785396,-2.2715433,-2.7886393,-3.2792804,-3.8160419,-4.1970677,-4.7596869,-5.3430099,-5.8449831,-6.3574109,-6.8660502,-7.3811626,-7.8594575,-8.3533783,-8.9853592,-9.3864956,-9.9436369,-10.357783,-10.801054,-11.365922
-1.5508956,-2.0424352,-2.5286286,-3.0380199,-3.5394523,-3.9812968,-4.4937782,-5.0274682,-5.4932928,-6.0429139,-6.4775772,-6.9639692,-7.5316086,-7.9265232,-8.5474854,-8.9898062,-9.4696407,-9.9533539,-10.481355,-10.99109,-11.378375,-11.859169,-12.43336,-12.978863
-.89729857,-1.3816417,-1.9087689,-2.3501589,-2.8840759,-3.4041431,-3.9223297,-4.3656516,-4.8755741,-5.3869123,-5.8378992,-6.2668118,-6.8318172,-7.3676081,-7.883883,-8.3481302,-8.9281158,-9.4107132,-9.7846193,-10.341274,-10.884377,-11.308979,-11.93559,-12.34503
-1.1638287,-1.6733242,-2.1471612,-2.6438158,-3.1526592,-3.6469064,-4.1601477,-4.6922097,-5.1015177,-5.7029958,-6.1181598,-6.5833702,-7.1458511,-7.5575995,-8.0895376,-8.7101126,-9.1528273,-9.5974922,-10.227206,-10.629453,-11.204196,-11.675074,-12.195265,-12.534135
1.7523416,1.2427456,.718602,.18371667,-.25513315,-.79302716,-1.355672,-1.8915484,-2.340729,-2.8973584,-3.4206505,-3.9330235,-4.3581085,-4.9156876,-5.4536734,-6.0067759,-6.4895821,-7.0368066,-7.5039096,-8.0325651,-8.4969902,-9.2288914,-9.5770073,-10.088229
-.91279215,-1.4271415,-1.9002944,-2.3997128,-2.920305,-3.4124057,-3.867564,-4.390048,-4.8853111,-5.4456182,-5.8811498,-6.3780804,-6.9777646,-7.4660707,-7.9680028,-8.4691839,-8.9496078,-9.4267921,-9.8972063,-10.369067,-10.907817,-11.42445,-11.753342,-12.384931
.32820004,-.18774468,-.66852534,-1.1727393,-1.674086,-2.2010469,-2.7654762,-3.1862326,-3.6805487,-4.2108188,-4.7114105,-5.244854,-5.763123,-6.2366748,-6.7129388,-7.2428946,-7.7432475,-8.2792234,-8.7457123,-9.2095718,-9.7809811,-10.221604,-10.825975,-11.307059
.97323334,.44188595,-.059340477,-.50453854,-1.1359854,-1.5070769,-2.0776963,-2.5655565,-3.0786135,-3.5536633,-4.1786504,-4.6771917,-5.2011294,-5.5970736,-6.1443791,-6.6410742,-7.2501345,-7.5642395,-8.1672106,-8.6329622,-9.2306318,-9.745842,-10.274695,-10.7502
-1.1191543,-1.6091607,-2.099525,-2.6247199,-3.0609255,-3.6338716,-4.1213512,-4.5513644,-5.1254539,-5.5855212,-6.0854926,-6.6172218,-7.0767765,-7.5884857,-8.0736208,-8.5512486,-9.0599604,-9.603941,-10.029261,-10.645391,-11.079721,-11.697047,-12.110147,-12.695669
.75057316,.24110007,-.25257236,-.76263821,-1.2565774,-1.820191,-2.2956741,-2.7886555,-3.3268409,-3.8410451,-4.3817015,-4.8744707,-5.2914591,-5.7931337,-6.370142,-6.8965683,-7.287024,-7.9062281,-8.415699,-8.9320059,-9.3484182,-10.009428,-10.442945,-11.014376
1.4930937,.95823073,.51223564,.0034528514,-.53861588,-1.0443343,-1.5458593,-2.1097112,-2.5637159,-3.1440177,-3.7200925,-4.1424203,-4.6901178,-5.1848888,-5.6647248,-6.2170525,-6.6529393,-7.1986551,-7.7933931,-8.2552156,-8.8690825,-9.1651917,-9.8096657,-10.334515
-.025447831,-.54241914,-1.0225352,-1.5484573,-2.024266,-2.558831,-3.0263796,-3.5892653,-4.0395813,-4.5269589,-5.0855489,-5.6018639,-6.1290131,-6.5926857,-7.066617,-7.6563344,-8.1120968,-8.6069193,-9.138545,-9.6578131,-10.1747,-10.571906,-11.099194,-11.63454
-.84978104,-1.3514532,-1.8245655,-2.3552408,-2.8670468,-3.3640733,-3.7692344,-4.4028435,-4.820416,-5.3950639,-5.8429317,-6.3035808,-6.8808603,-7.3897057,-7.8623915,-8.330142,-8.8416281,-9.4284887,-9.867197,-10.386904,-10.893114,-11.324135,-11.824274,-12.456501
.075629011,-.42747235,-.94258624,-1.4091682,-1.957903,-2.4850693,-2.950757,-3.4456017,-3.9883478,-4.459034,-5.0599918,-5.5082221,-5.8964496,-6.5868173,-7.0237246,-7.5272341,-7.9820442,-8.5465183,-9.0810556,-9.5157204,-10.029504,-10.570379,-11.106566,-11.536925
