b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
3.1508038,2.6066411,1.946653,1.4510727,.8865276,.44458926,-.26389831,-.53048575,-1.1850897,-2.1355882,-2.5419888,-3.0016479,-3.4262347,-4.137466,-4.3992171,-5.2393851,-5.6719847,-6.5736012,-7.1624184,-7.3707576,-8.1084156,-8.5287514,-9.4204321,-9.6703396
3.2950613,2.7412586,2.1178484,1.669237,1.1946003,.57484919,-.22426206,-.45553932,-.96640581,-1.7542913,-2.3810475,-3.0602615,-3.0981033,-3.8507147,-4.3621216,-5.2958951,-5.7059684,-6.200983,-6.6284895,-7.173799,-7.7940969,-8.0616636,-8.9935541,-9.2445049
1.0125507,.49009922,-.00051984214,-.63343275,-1.1254355,-1.5744036,-2.0474589,-2.7060051,-3.2173815,-3.925735,-4.1699657,-4.7683878,-5.402389,-5.6673284,-6.4950972,-6.7796478,-7.4379005,-7.9151173,-8.4474058,-8.9004669,-9.3862562,-10.119081,-10.714602,-11.208269
-.21038406,-.79207408,-1.3426241,-1.7985535,-2.3371592,-2.6711884,-3.188566,-3.8588154,-4.4465156,-5.1136575,-5.2600279,-6.1258507,-6.5145307,-7.0409484,-7.2674809,-7.8388934,-8.3922453,-9.1490898,-9.9304609,-10.211267,-10.516574,-11.245411,-11.949111,-12.441964
-2.0442414,-2.5311086,-3.0960667,-3.6537795,-4.0868912,-4.4739733,-5.0418429,-5.7095413,-6.3524556,-6.7395463,-7.1395059,-7.6493177,-8.3023081,-8.6211996,-9.1168995,-9.9101143,-10.129606,-10.819549,-11.259267,-12.021274,-12.468534,-12.942175,-13.500239,-13.775883
-1.2885811,-1.7996142,-2.3228002,-2.7480423,-3.3552887,-3.9329128,-4.4567475,-4.9015326,-5.4430299,-6.1406293,-6.4049454,-6.8643413,-7.5692778,-8.2304468,-8.48176,-8.9417496,-9.7376852,-10.074898,-10.320235,-10.990639,-11.952613,-12.120444,-12.537815,-13.338291
-2.714642,-3.1689372,-3.7626028,-4.3636594,-4.8066635,-5.3594947,-5.8968649,-6.1553736,-6.8606558,-7.2976069,-7.7155499,-8.3763103,-8.8034916,-9.8444996,-9.870122,-10.448995,-10.833801,-11.339094,-12.172938,-12.453575,-13.078386,-13.557384,-13.935153,-14.508736
5.8631253,5.2612052,4.7376018,4.133935,3.4490163,3.2453187,2.4491663,1.6736581,1.333329,.67032003,.058002204,-.23014794,-.90707588,-1.8626595,-2.5609829,-2.6990333,-3.1893795,-4.1803703,-4.5039334,-4.784236,-5.6612859,-5.9167595,-6.6372719,-7.8517976
-1.7736396,-2.2808161,-2.8561792,-3.2653406,-3.9284251,-4.2557573,-4.8741012,-5.2333722,-5.7524285,-6.4833755,-7.0487981,-7.431242,-7.9036736,-8.5746622,-8.857172,-9.5642738,-9.9341574,-10.536615,-11.043007,-11.67,-12.190537,-12.430414,-13.211138,-13.824088
-.2688978,-.75092012,-1.3553927,-1.8511282,-2.4263914,-2.924289,-3.2313755,-3.8322496,-4.5896902,-5.3316751,-5.4474988,-6.0775537,-6.4868851,-7.278791,-7.6208196,-8.3457136,-8.867568,-9.5615168,-9.9279613,-10.281546,-10.943492,-11.162432,-12.422088,-12.450167
-.72583205,-1.2463841,-1.7682348,-2.2317889,-2.8490138,-3.3933594,-3.8868024,-4.4366159,-5.0118437,-5.3300729,-5.9941592,-6.4457145,-6.8929534,-7.5105119,-7.9924421,-8.5787373,-8.9646797,-9.3786783,-9.8399792,-10.475768,-11.329021,-11.789501,-12.283719,-12.932587
.44586828,-.021204045,-.57169759,-1.243953,-1.6709955,-2.273561,-2.6052942,-3.2416983,-3.7559419,-4.1737876,-4.9276986,-5.4519162,-5.9461102,-6.3138862,-7.1046891,-7.504374,-8.1144896,-8.4245262,-9.2465258,-9.9622211,-10.134942,-10.894008,-11.359946,-11.517694
1.2555743,.7290132,.083401777,-.27897936,-.67306173,-1.4199173,-2.0155468,-2.6252511,-3.0796483,-3.3786571,-4.0707583,-4.6378074,-5.3299046,-5.7592902,-6.2701988,-6.614821,-7.5121222,-7.696054,-8.6010695,-8.8362122,-9.8742161,-10.126476,-10.634538,-11.534978
1.2472175,.71575493,.19359304,-.34459421,-.82337946,-1.4440268,-2.0948625,-2.394202,-3.1867852,-3.4323049,-4.1294165,-4.7742796,-5.1196136,-5.765862,-6.3625288,-6.796999,-7.424921,-7.7098136,-8.4233055,-8.9130259,-9.5714378,-10.052155,-10.46988,-11.099885
.71917492,.24408761,-.33769831,-.84601831,-1.4142344,-1.9487975,-2.5498338,-3.0554626,-3.6045544,-4.1557899,-4.5966058,-5.2759013,-5.7510877,-6.2850676,-7.0221233,-7.4816904,-7.9093256,-8.4923439,-8.8385105,-9.5827169,-9.7886715,-10.374958,-10.9366,-11.669718
-.66366261,-1.1478119,-1.7085819,-2.2694087,-2.9242442,-3.2615128,-3.9819233,-4.3303075,-4.968071,-5.5193605,-5.9434528,-6.476337,-7.2599616,-7.5627627,-7.9874682,-8.3532248,-8.9774618,-9.570961,-10.192351,-10.804498,-10.92644,-11.392275,-12.32959,-12.765558
.59194201,.042181976,-.51558441,-.92708027,-1.5756067,-2.1136141,-2.4244814,-3.0809054,-3.5832851,-4.2927384,-4.6505432,-5.4732008,-5.728888,-6.3693132,-6.8432031,-7.3023677,-7.8163939,-8.2582541,-8.7973442,-9.1484203,-10.010321,-10.422845,-10.904187,-11.814645
6.1529131,5.5983038,5.0851717,4.483695,3.7590926,3.2523389,2.7051742,2.0343077,1.2950891,.95719838,.46235362,-.4245469,-.54819334,-1.0883644,-1.9619118,-2.6895721,-2.7245407,-3.8654943,-4.2670884,-4.3925619,-5.0290079,-5.726841,-6.6214962,-6.941031
.052562423,-.46538395,-.99143124,-1.5720115,-2.1812766,-2.5693407,-3.1755183,-3.6575236,-4.2434273,-4.7640414,-5.244792,-5.457396,-6.2828736,-6.8052278,-7.4340138,-7.9160614,-8.1963263,-8.9001789,-9.2836933,-9.9299059,-10.302296,-10.605601,-11.592761,-11.90235
