b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
1.0994613,.58193088,.045380585,-.46788719,-.98141915,-1.5449445,-1.9838849,-2.5310338,-3.0471728,-3.6980567,-4.100697,-4.6989779,-5.2371879,-5.6652231,-6.106298,-6.6418653,-7.4056983,-7.9930053,-8.3915482,-8.9979973,-9.2578259,-9.9741755,-10.371053,-10.936399
1.381012,.81554264,.32281408,-.30507252,-.70457715,-1.3604921,-1.6767722,-2.4320419,-2.9520364,-3.4452786,-3.8867812,-4.4494653,-5.000011,-5.6262069,-6.1811328,-6.626287,-7.1881323,-7.7001443,-8.4355927,-8.7706537,-9.110013,-9.7200546,-10.470778,-10.958781
1.9528426,1.4285473,.93685091,.42262843,-.14349376,-.63606846,-1.1805348,-1.6985394,-2.1467004,-2.5987055,-3.304209,-3.8728712,-4.2358928,-4.8326693,-5.4063835,-5.6214256,-6.4206491,-7.0201783,-7.3494816,-8.0252428,-8.5888729,-9.1703215,-9.5141048,-9.9948692
-1.8891256,-2.3953228,-2.9432983,-3.4120517,-3.9441395,-4.3939171,-4.8871365,-5.5390468,-5.9653196,-6.5088644,-6.9607587,-7.437861,-7.900372,-8.5020437,-9.0246649,-9.4292965,-9.9848595,-10.773641,-10.962992,-11.508801,-12.029416,-12.593324,-13.056371,-13.846649
-1.0300153,-1.5573795,-2.0415969,-2.5527623,-3.0529997,-3.6397462,-3.9863958,-4.5023088,-5.1032143,-5.4896636,-6.2020502,-6.6539526,-7.1195998,-7.7131958,-8.1035185,-8.7208586,-9.1594124,-9.6992073,-10.092168,-10.546196,-11.391674,-11.793775,-12.026204,-12.689845
.11623441,-.36847499,-.91340566,-1.4075222,-1.9113213,-2.4537005,-2.9606416,-3.5861988,-3.9277787,-4.5354519,-4.981524,-5.5204973,-6.0550132,-6.6349244,-7.1637917,-7.4778123,-8.0707617,-8.5817261,-9.0532341,-9.4318571,-10.160416,-10.341861,-11.142273,-11.724325
-1.169703,-1.6497357,-2.1675007,-2.6516023,-3.1590705,-3.6916142,-4.2079353,-4.7092013,-5.2814035,-5.86201,-6.2195702,-6.8693218,-7.3596358,-7.8300438,-8.2616177,-8.7416258,-9.3209534,-9.8571281,-10.424979,-10.83536,-11.292,-11.8925,-12.366558,-13.036387
-1.5611318,-2.0945442,-2.5692837,-3.1414726,-3.576633,-4.2114191,-4.6060405,-5.166832,-5.6385612,-6.2889829,-6.8073378,-7.1288896,-7.7027426,-8.3956232,-8.8376188,-9.3265953,-9.9144554,-10.219193,-10.824326,-11.377492,-12.023635,-12.424916,-13.030259,-13.452221
.70616239,.23201066,-.34672523,-.84812814,-1.300096,-1.8347301,-2.4820609,-2.8357813,-3.3766747,-3.9291501,-4.4948788,-5.0339479,-5.5503464,-5.9486275,-6.6119118,-6.8754163,-7.4356647,-7.9961653,-8.3562279,-8.8948898,-9.7170048,-9.9482336,-10.574455,-11.191065
-.62461281,-1.1040081,-1.6724279,-2.1321158,-2.7384536,-3.3170669,-3.7551661,-4.2089114,-4.8581767,-5.3261542,-5.8837495,-6.315805,-6.9847426,-7.5163107,-7.8690333,-8.5345888,-8.9837656,-9.5214567,-9.8679123,-10.71831,-11.188047,-11.427515,-12.028089,-12.69885
-.0068357042,-.53391582,-1.0091144,-1.5607878,-2.0691977,-2.6068752,-3.1142623,-3.5572164,-4.1528783,-4.6876011,-5.199975,-5.6080298,-6.1647339,-6.6950803,-7.5268798,-7.8301368,-8.2295761,-8.8598137,-9.4711952,-9.8394518,-10.281558,-11.192441,-11.633798,-12.004238
