b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20
.23011629,-.571118,-2.0077124,-3.284601,-4.094173,-5.5106764,-6.8951526,-8.184351,-8.7254791,-10.433134,-11.428177,-12.025536,-13.463888,-14.13333,-15.025722,-16.595173,-17.953648,-19.529928,-20.1835,-21.650827
-4.0318975,-4.9249582,-6.6906533,-7.3042979,-8.6593266,-9.4074783,-11.614375,-12.652397,-12.40128,-14.132951,-15.864383,-17.561647,-17.302263,-18.278774,-20.556318,-20.877895,-22.716291,-23.872952,-24.559332,-27.074171
-16.317524,-17.297087,-18.011482,-19.192076,-19.976294,-20.98341,-22.038727,-22.828669,-23.534567,-24.40897,-25.324934,-27.001257,-27.466291,-27.614944,-29.256592,-29.940748,-31.197485,-31.684296,-33.255821,-33.495804
-8.0889359,-9.1476593,-9.8698864,-11.375851,-12.360527,-13.03839,-13.997175,-14.507732,-16.44565,-17.399561,-18.297375,-19.016218,-20.261713,-21.560493,-23.235538,-23.791849,-24.336956,-25.416592,-26.611835,-27.813461
-8.8478603,-9.6267519,-10.788194,-11.838443,-13.043966,-13.34605,-14.763024,-15.819084,-17.778286,-18.371443,-19.177711,-19.836918,-21.458191,-22.114555,-23.507338,-24.21756,-25.096384,-26.179548,-26.659662,-28.497252
.028519448,-1.175429,-2.0174897,-3.3564212,-4.5601339,-5.597609,-6.7332935,-7.7363734,-8.3067465,-10.252302,-10.815669,-12.645411,-12.732149,-14.044432,-15.596503,-17.100794,-17.228828,-19.254204,-20.177498,-21.630909
-7.7903914,-8.543663,-10.123037,-11.086714,-12.205579,-13.533779,-13.902244,-15.260742,-16.211901,-17.551912,-18.416672,-19.490974,-20.534689,-21.885567,-22.435083,-24.413778,-25.284796,-25.903097,-27.070112,-27.253164
-.10780425,-.97833925,-2.1404207,-3.1698053,-5.2356329,-5.9675107,-6.7027636,-7.7456188,-8.705821,-10.083199,-11.731503,-12.79339,-14.518459,-15.284672,-15.33033,-16.446825,-19.119282,-18.876574,-19.776999,-22.073317
8.9148073,7.5935321,6.4130783,5.0421143,3.7572222,2.6811447,1.1581347,-.88644373,-1.6051302,-2.5877838,-4.8959494,-5.0367045,-6.6696281,-7.1693015,-8.374486,-9.3759308,-12.36965,-11.712793,-15.143137,-16.140862
2.1553199,.9309653,-.59497094,-1.2703595,-2.4195764,-4.2617712,-5.3611655,-6.2719688,-7.8716798,-9.0132933,-10.562853,-11.453113,-12.304841,-14.008184,-16.152628,-15.803582,-17.516861,-17.01034,-21.280756,-22.504871
10.970898,9.8536215,7.1080227,6.792366,5.5314312,4.8456154,2.908462,.77735591,.20765842,-2.1873546,-2.9087248,-4.0762229,-4.6315098,-6.0982151,-9.7831697,-9.2030277,-12.390354,-11.763859,-14.76981,-13.661238
15.739858,14.696384,13.291264,11.580443,10.665008,9.2641268,6.8333387,5.8899388,6.4214687,2.1004784,1.2021374,.55609685,-.96135336,-1.9291323,-4.605649,-5.5258803,-7.7048535,-6.8994832,-11.623477,-10.425113
-3.3827107,-4.4374704,-5.6786504,-6.9255352,-8.1604357,-9.0729332,-10.051488,-10.827126,-12.366685,-12.772674,-14.386077,-15.311121,-16.198624,-17.697392,-18.187038,-20.32419,-20.809662,-22.591875,-23.312969,-24.22011
-2.831609,-4.0610681,-5.0540214,-5.9198608,-7.3565483,-8.2787561,-9.1502151,-10.301156,-11.460934,-12.604465,-13.769289,-14.849467,-15.686673,-17.152254,-17.976261,-19.063589,-20.38187,-21.71899,-21.79331,-23.76185
-9.1327324,-10.124237,-11.329073,-12.030905,-13.193627,-14.636453,-15.143237,-16.467487,-17.396889,-19.112621,-19.697275,-21.027918,-21.007481,-23.155077,-23.785881,-24.549629,-26.08255,-27.076099,-27.931877,-29.1903
-7.1852293,-8.5169773,-10.327757,-10.686064,-11.624542,-13.40327,-14.442219,-16.499132,-17.625853,-18.472733,-21.148598,-19.152193,-20.235975,-22.588842,-23.987041,-24.840626,-24.967829,-27.734608,-28.037277,-30.233734
5.6892252,4.4613194,2.8383114,1.5628448,.39664382,-.1897967,-1.6307409,-2.811208,-3.4889064,-5.3334165,-6.2681813,-7.412416,-9.5140743,-10.9101,-11.382563,-13.360636,-13.502809,-15.604298,-17.06455,-17.699493
