b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
2.1186094,1.5871975,1.0510092,.59719169,.015140641,-.49920321,-.97359997,-1.5297244,-2.1294205,-2.7253795,-3.1604414,-3.5830288,-4.207356,-4.7323675,-5.201345,-5.8000941,-6.2576938,-6.909575,-7.3771768,-7.8756375,-8.4130497,-8.8419571,-9.3081083,-9.9003487
.063654318,-.44230342,-.96757817,-1.5676585,-1.9732544,-2.4913943,-2.8982196,-3.5803177,-4.0530772,-4.5720873,-5.0577259,-5.6808047,-6.1634207,-6.6793242,-7.0558472,-7.6389856,-8.3278275,-8.5660677,-9.2840433,-9.8322849,-10.197102,-10.864102,-11.465368,-11.667013
.59265345,.10014217,-.4127869,-.89810205,-1.4001089,-1.9295232,-2.4597154,-3.0004349,-3.5175071,-3.9009101,-4.5283232,-5.0637903,-5.5104523,-6.0545378,-6.5965419,-6.997026,-7.6188726,-8.0488195,-8.663908,-9.1952877,-9.712039,-10.017441,-10.623062,-11.185665
-.0025694496,-.50145727,-1.0593916,-1.4960488,-2.0953121,-2.5949507,-3.067955,-3.5929217,-4.0617261,-4.5636206,-5.1292658,-5.6525211,-6.1130385,-6.641047,-7.2314,-7.6274014,-8.1431446,-8.7420483,-9.1685467,-9.8095427,-10.297862,-10.822653,-11.372118,-11.796251
-.071587458,-.56301153,-1.0735459,-1.5768787,-2.0690556,-2.7101653,-3.0725336,-3.6078835,-4.108171,-4.6076517,-5.277884,-5.6005716,-6.1258855,-6.7084818,-7.2378826,-7.8140817,-8.0747137,-8.7575397,-9.1952457,-9.7389545,-10.40358,-10.8331,-11.296785,-11.757486
-.44068789,-.91788954,-1.4475583,-1.9819944,-2.4411416,-2.8748946,-3.4765348,-4.0060091,-4.5066724,-5.0020809,-5.4253011,-6.1054306,-6.565918,-7.0738449,-7.5547872,-8.0169621,-8.5317183,-8.9865246,-9.3691959,-9.9567623,-10.492631,-11.030712,-11.570581,-12.134292
-1.6357697,-2.1224811,-2.6023035,-3.1093547,-3.6464486,-4.1831951,-4.626194,-5.1496458,-5.6928058,-6.1142716,-6.6058869,-7.1413517,-7.7706804,-8.1507111,-8.5993071,-9.0678053,-9.6735268,-10.072172,-10.666053,-11.234049,-11.60912,-12.210862,-12.710374,-13.287925
1.2627506,.74816364,.1861379,-.29781431,-.82338279,-1.344433,-1.9485174,-2.4900656,-2.8895259,-3.5945747,-3.9730198,-4.4397988,-4.976624,-5.5102115,-6.1700234,-6.6677413,-7.1574349,-7.5786619,-8.168395,-8.8116465,-9.2910824,-9.6801758,-10.261198,-10.682062
-.11287589,-.59914774,-1.1258272,-1.6709948,-2.1658773,-2.5590141,-3.193707,-3.6592619,-4.1676621,-4.6118979,-5.2357712,-5.5938973,-6.2480922,-6.6445341,-7.2590618,-7.6806302,-8.285531,-8.6673203,-9.126195,-9.5611868,-10.20019,-10.773618,-11.251791,-11.725
-1.1525663,-1.631395,-2.2129817,-2.6537542,-3.1356015,-3.7624097,-4.2781,-4.7408423,-5.2139168,-5.717063,-6.2072697,-6.7855644,-7.2862372,-7.7598128,-8.3384581,-8.7965641,-9.3194036,-9.6600389,-10.344556,-10.877062,-11.105528,-11.848647,-12.414579,-12.852391
-.94321996,-1.4480904,-1.9740855,-2.4709702,-2.9034493,-3.4973485,-3.8892324,-4.364532,-4.9215837,-5.527761,-5.8797288,-6.5481391,-7.0392418,-7.5996013,-8.0964022,-8.5693178,-8.9133015,-9.6056061,-9.9651117,-10.633729,-10.997828,-11.681252,-12.000386,-12.652117
2.5104067,2.0306406,1.4277487,.9446376,.48267087,-.095655285,-.67096198,-1.1157771,-1.6464663,-2.1903062,-2.6929471,-3.2302587,-3.6311657,-4.3297782,-4.6566601,-5.3613672,-5.7499452,-6.2266183,-6.7827153,-7.4027877,-7.8776197,-8.4860764,-8.8597908,-9.4675665
-.6238811,-1.1048067,-1.5954053,-2.1604118,-2.6525717,-3.1679142,-3.7708547,-4.1603656,-4.695395,-5.257864,-5.6149926,-6.2022705,-6.8546381,-7.2855415,-7.732408,-8.3174782,-8.6510401,-9.3433151,-9.7976799,-10.414171,-10.811966,-11.307459,-11.808608,-12.294735
.98612094,.45311713,-.07542935,-.60028809,-1.0942893,-1.6056253,-2.1318431,-2.62938,-3.2266293,-3.6393869,-4.2257304,-4.7260303,-5.2550793,-5.7651577,-6.2780757,-6.678391,-7.3153887,-7.6749253,-8.3323727,-8.9948196,-9.47474,-9.8103189,-10.524969,-10.925567
.55192757,.024341792,-.45372602,-1.0348132,-1.5290772,-2.0797303,-2.6013949,-3.0726941,-3.6507792,-4.0730534,-4.6333146,-5.11836,-5.5776911,-6.1686878,-6.5907288,-7.1817579,-7.7355852,-8.128624,-8.895997,-9.1869974,-9.783886,-10.299438,-10.773074,-11.251847
-1.4568471,-1.9677006,-2.5112567,-3.0582864,-3.4169371,-4.0523725,-4.5260324,-5.0026803,-5.4633803,-5.9869304,-6.4731078,-6.8697419,-7.5431271,-8.2711859,-8.6743469,-9.206624,-9.4950047,-9.9707699,-10.669601,-11.235409,-11.639293,-12.113886,-12.583494,-13.222752
-2.1096148,-2.6357667,-3.1270075,-3.5766439,-4.0434752,-4.6094308,-5.1239228,-5.6040325,-6.1709352,-6.534759,-7.0815635,-7.5348353,-8.1399841,-8.5747843,-9.0594826,-9.6438627,-10.102682,-10.564347,-11.217607,-11.528127,-12.110668,-12.529661,-13.023301,-13.636858
1.3912845,.91245508,.35421658,-.084243819,-.70349371,-1.2204689,-1.6687078,-2.2188385,-2.8514295,-3.275856,-3.7786257,-4.2619729,-4.792635,-5.359539,-5.9561739,-6.3642459,-6.9068666,-7.5492268,-8.0252066,-8.5611897,-9.006588,-9.482811,-10.037562,-10.486472
.7787565,.29100767,-.28307697,-.81486028,-1.356402,-1.7771957,-2.2493069,-2.8034666,-3.4362984,-3.7965331,-4.3867254,-4.9186449,-5.3732224,-5.88308,-6.4047732,-6.9585519,-7.4237108,-8.0297775,-8.4861326,-8.9971256,-9.4971228,-9.9193306,-10.461415,-11.0083
-1.335236,-1.81189,-2.2900882,-2.8251147,-3.3067789,-3.8212249,-4.3483829,-4.8944964,-5.3089342,-5.7680569,-6.2881556,-6.8511152,-7.4463181,-7.8311377,-8.3435516,-8.7854986,-9.3320799,-9.887598,-10.31059,-10.887206,-11.426773,-11.846776,-12.164884,-12.727786
