b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
1.4493845,.95628035,.41631311,-.090682551,-.63134658,-1.1352817,-1.5970111,-2.1679356,-2.7228057,-3.1894915,-3.7247984,-4.2355947,-4.8247137,-5.2370872,-5.7283244,-6.2514057,-6.8492174,-7.3153834,-7.814106,-8.2688951,-8.852438,-9.3042345,-9.8554888,-10.36068
.20109054,-.28756773,-.80961835,-1.3912723,-1.7906853,-2.3969667,-2.8493795,-3.362479,-3.8792973,-4.3427224,-4.9426842,-5.4239545,-5.932847,-6.4381442,-6.8670473,-7.3565559,-7.9531612,-8.4470224,-8.9745388,-9.4220428,-9.9848194,-10.549556,-11.097949,-11.466006
1.4782472,.97437304,.48311836,-.042768933,-.55271912,-1.0406603,-1.5559754,-2.0638504,-2.6487489,-3.094238,-3.6918564,-4.1920314,-4.715023,-5.2355003,-5.7777143,-6.1364856,-6.741302,-7.2137909,-7.6803451,-8.2778769,-8.7444286,-9.2686901,-9.7179079,-10.346104
-.61828423,-1.1176174,-1.6485795,-2.0960152,-2.617353,-3.148113,-3.6499953,-4.1771107,-4.5834603,-5.1198406,-5.6879864,-6.1588578,-6.7276759,-7.2275071,-7.6876106,-8.0242891,-8.7991266,-9.2614679,-9.6773176,-10.308918,-10.748614,-11.297971,-11.853177,-12.199531
1.0848808,.58940279,.036358461,-.39021036,-.95379716,-1.4851089,-1.9457824,-2.5033028,-2.9584675,-3.600064,-4.0761724,-4.5052385,-5.1017771,-5.6132097,-6.0391293,-6.6599612,-7.091517,-7.675715,-8.149497,-8.7330294,-9.1512403,-9.7876348,-10.146772,-10.770497
.20613025,-.27450672,-.80550003,-1.3178651,-1.8204906,-2.2828496,-2.8624961,-3.2969401,-3.9215302,-4.3883615,-4.7758255,-5.4142609,-5.8308644,-6.4981456,-6.8595037,-7.255404,-7.8578391,-8.4058485,-8.9457579,-9.4594145,-9.7808456,-10.416967,-11.044425,-11.544037
-.68027037,-1.1742097,-1.6998081,-2.2187738,-2.7308314,-3.1995311,-3.6883845,-4.1984773,-4.7017937,-5.194634,-5.6393547,-6.2225595,-6.790772,-7.2680349,-7.6610241,-8.1607094,-8.7874794,-9.2504654,-9.7441978,-10.336224,-10.729651,-11.201045,-11.753229,-12.259234
-.89018601,-1.3933868,-1.929202,-2.3921597,-2.8891606,-3.3713517,-3.9139132,-4.4434476,-4.8600445,-5.5621691,-5.9594607,-6.4213891,-6.9062314,-7.5442357,-8.0788755,-8.5433989,-8.9460592,-9.3278532,-10.027237,-10.495247,-11.020652,-11.614957,-11.912304,-12.394303
.037476446,-.43107292,-.97561288,-1.5098258,-2.0126834,-2.4091277,-3.0297348,-3.5015278,-3.9917076,-4.4895754,-5.0727944,-5.5414076,-6.0963631,-6.5005255,-7.069571,-7.5027184,-8.0129395,-8.452034,-8.9711838,-9.4392366,-10.137671,-10.631621,-11.000042,-11.52316
-.90828472,-1.3764738,-1.9017574,-2.407089,-2.9742692,-3.5183918,-3.942682,-4.4320202,-5.0379267,-5.4800196,-5.9784055,-6.4011288,-7.0501695,-7.4618902,-8.0069122,-8.5147924,-9.0354118,-9.381979,-9.9671345,-10.526848,-10.896394,-11.429086,-12.015388,-12.498449
-.45408183,-.95039237,-1.4548812,-2.0089097,-2.445394,-2.9670773,-3.4529815,-3.9164951,-4.4053836,-4.9734516,-5.377563,-5.935297,-6.6066265,-7.0589561,-7.5551944,-8.0666132,-8.4813728,-9.0643463,-9.5769987,-10.094125,-10.537681,-11.149552,-11.544044,-12.001744
2.9686778,2.4725947,1.9429314,1.4383732,.90770876,.37176064,-.16430089,-.70212352,-1.1336615,-1.7502882,-2.2616587,-2.7412322,-3.2744126,-3.8278587,-4.2984128,-4.8074608,-5.4019222,-5.7208548,-6.4357924,-6.8312745,-7.4066596,-8.0853157,-8.4351358,-9.1280708
-.19810687,-.6920076,-1.1784629,-1.7174364,-2.1656475,-2.6774139,-3.2542522,-3.762095,-4.3100615,-4.7107544,-5.2445335,-5.8120737,-6.3959465,-6.8022428,-7.4219608,-7.8169799,-8.3167534,-8.8151226,-9.4109774,-9.8141308,-10.369359,-10.822385,-11.378964,-11.880143
