b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
2.184809,1.6730192,1.0460984,.70932204,.095581099,-.45271114,-.9497689,-1.474365,-1.991281,-2.5780442,-3.0613775,-3.6682208,-4.1851254,-4.6085076,-5.1904144,-5.6939425,-6.1320295,-6.7700028,-7.2822552,-7.6945901,-8.246748,-8.8133774,-9.334157,-9.980916
.355661,-.15931554,-.68970639,-1.3159575,-1.6866962,-2.2372112,-2.6909571,-3.2653544,-3.7297316,-4.146244,-4.8283234,-5.4008546,-5.791039,-6.5091805,-6.772172,-7.4178867,-8.0345535,-8.4061518,-8.9108515,-9.341073,-9.9258766,-10.491154,-11.240198,-11.482301
.35077128,-.17884237,-.652942,-1.1221542,-1.7017342,-2.1609337,-2.6551943,-3.1222064,-3.7366245,-4.1817064,-4.6908665,-5.1253066,-5.7050204,-6.3538461,-6.9090662,-7.1951227,-7.8538508,-8.3432808,-8.7986832,-9.3740664,-9.9931812,-10.360429,-10.833341,-11.35681
-.92303944,-1.4358884,-1.9965193,-2.396338,-3.0121636,-3.4593759,-3.9281619,-4.4693909,-4.932435,-5.4710507,-6.0917692,-6.4828253,-7.0163803,-7.4642811,-8.1674118,-8.5105286,-9.1753817,-9.5113344,-10.03817,-10.665917,-11.075892,-11.833916,-12.074716,-12.675054
-1.4246216,-1.9286598,-2.4315741,-2.9152839,-3.4613187,-4.0111003,-4.4212914,-4.9702859,-5.4038682,-5.9278274,-6.5265527,-6.9364738,-7.4834599,-8.0318899,-8.4622307,-8.9783535,-9.4569769,-9.8168163,-10.559648,-10.792764,-11.524846,-11.881224,-12.450989,-13.036469
.44733435,-.039632369,-.53486007,-1.1066695,-1.5741543,-2.0793278,-2.7028723,-3.1554935,-3.6160848,-4.2178988,-4.6171618,-5.2729778,-5.5971198,-6.4108639,-6.7980652,-7.1113467,-7.7812476,-8.1451902,-8.7941999,-9.3216467,-9.7889862,-10.336816,-10.940906,-11.301076
-1.2083038,-1.7201244,-2.1746628,-2.7177415,-3.2372124,-3.7850614,-4.3154669,-4.709435,-5.2764211,-5.782537,-6.2077465,-6.7586398,-7.4359951,-7.8464227,-8.2878809,-8.7965221,-9.2900715,-9.6286697,-10.415732,-10.721208,-11.250556,-11.743358,-12.276999,-13.023076
-.55885553,-1.0459125,-1.5368555,-2.1792824,-2.5970509,-3.0960784,-3.6553907,-4.1985807,-4.6851869,-5.2589726,-5.7813792,-6.2145591,-6.6114445,-7.3950124,-7.774579,-8.3247814,-8.7050543,-9.1786594,-9.5553236,-10.372273,-10.96137,-11.300488,-12.112999,-12.272977
1.8741598,1.3588531,.84468412,.29299742,-.18589464,-.6345669,-1.2801294,-1.8535761,-2.2225723,-2.7466772,-3.4405777,-3.6927345,-4.4485621,-4.8412199,-5.4389758,-5.8062692,-6.2816882,-6.8526249,-7.3785968,-7.9714384,-8.6345997,-8.9112673,-9.491869,-10.029088
-1.8727624,-2.3571961,-2.8728404,-3.317548,-3.8970191,-4.3903003,-4.9736876,-5.376349,-6.005404,-6.3939176,-6.9914842,-7.3951988,-8.0446701,-8.430851,-9.165225,-9.5468245,-9.9410248,-10.377661,-11.04875,-11.55156,-11.98674,-12.38405,-13.008169,-13.601752
