b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
1.8109257,1.2891754,.75024426,.14392357,-.26875812,-.94359934,-1.3446604,-1.8346957,-2.3514636,-2.9142177,-3.4734359,-4.1240959,-4.5996485,-5.1102514,-5.5420361,-5.8852968,-6.6513982,-7.2125688,-7.7194901,-8.4707375,-8.6149797,-9.4921446,-9.604063,-10.109426
1.749419,1.2269974,.62579805,.11826677,-.34928271,-.93635046,-1.3945603,-1.9805545,-2.5598516,-2.9136105,-3.4533031,-4.168138,-4.6246901,-5.1824665,-5.6531181,-6.0760856,-6.7010126,-7.2775178,-7.9140735,-8.4680805,-8.9341478,-9.5717478,-10.081448,-10.480119
.40269804,-.15318951,-.62232095,-1.1294389,-1.6680753,-2.1243105,-2.6564362,-3.183903,-3.7670388,-4.2228246,-4.6582308,-5.2192926,-5.7380309,-6.2312169,-6.8395829,-7.1073127,-7.7389288,-8.3162088,-8.7793131,-9.4232779,-9.9007072,-10.429031,-10.745513,-11.385152
.1639329,-.33397931,-.92060304,-1.3597114,-1.8933725,-2.422334,-2.9589114,-3.4354546,-3.9133081,-4.4132466,-4.9268007,-5.4840317,-6.0127673,-6.5764008,-7.1560216,-7.7095242,-8.1668234,-8.7989149,-9.1004972,-9.7473726,-10.44934,-10.71721,-11.205308,-11.927772
1.3346696,.84344125,.26978448,-.25776717,-.76973593,-1.3098091,-1.7331696,-2.2355471,-2.731709,-3.2538435,-3.9206948,-4.3926272,-4.903326,-5.455267,-5.9755125,-6.5546227,-7.0103717,-7.392796,-8.0341291,-8.2450571,-9.1547689,-9.5664015,-9.9086103,-10.744253
-.74089944,-1.2378514,-1.7278147,-2.196327,-2.8111889,-3.3299341,-3.7745621,-4.3814378,-4.7898159,-5.358973,-5.7649331,-6.4438367,-6.8313346,-7.5024266,-8.0552349,-8.3315287,-8.955802,-9.3603973,-9.9544821,-10.311831,-11.070946,-11.243913,-12.033731,-12.543742
-1.3811649,-1.8594804,-2.3727005,-2.9543796,-3.4627507,-3.8569114,-4.4477983,-4.8606758,-5.4680343,-6.1741409,-6.424118,-6.8808608,-7.6134357,-7.8247552,-8.4658794,-8.9601965,-9.5976181,-10.023749,-10.520163,-11.079375,-11.6121,-11.912538,-12.694266,-13.247633
.35500327,-.14959224,-.64747989,-1.201888,-1.8343078,-2.2250879,-2.7846138,-3.3447061,-3.7953644,-4.4048758,-4.9273238,-5.4063902,-5.8159409,-6.5477042,-6.9672818,-7.5654926,-8.1310911,-8.4844131,-8.8930817,-9.6207581,-10.281173,-10.868503,-11.123116,-11.970295
-1.5976964,-2.0615163,-2.6322203,-3.0884609,-3.6173384,-3.996911,-4.7115049,-5.0488195,-5.5774426,-6.138855,-6.5670033,-7.0106583,-7.7232614,-8.128541,-8.7901802,-8.8749847,-9.472497,-10.185926,-10.589341,-11.195544,-11.763138,-11.938028,-12.662269,-13.23959
-.86651087,-1.3217084,-1.9581413,-2.3519475,-2.909627,-3.5331514,-3.9777639,-4.3834395,-5.0711503,-5.4807038,-6.151619,-6.4540906,-7.1560245,-7.6377244,-8.1426964,-8.64569,-9.1566591,-9.5652409,-10.214128,-10.866227,-11.182586,-11.816371,-12.204306,-12.817904
.37403041,-.142353,-.62857425,-1.2228358,-1.6518807,-2.2257032,-2.7523756,-3.1418324,-3.7059639,-4.3187246,-4.7694712,-5.2262964,-5.9653654,-6.3990779,-7.1156688,-7.5531621,-7.8406887,-8.4870796,-8.9686069,-9.4951086,-9.8981943,-10.651994,-11.218825,-11.535236
2.9137588,2.4414873,1.9076353,1.2905211,.82085854,.23088644,-.31449243,-.82262599,-1.1886655,-1.9323953,-2.3556266,-3.048058,-3.4769719,-4.0037074,-4.44171,-5.0669527,-5.4035387,-6.0383053,-6.8900328,-6.9295545,-7.379952,-8.1378965,-8.8381166,-9.0804949
-.96950001,-1.4990066,-1.9944112,-2.4804177,-2.9944758,-3.4320996,-4.0167522,-4.5707684,-4.9950476,-5.674952,-6.0656614,-6.7182779,-7.1683698,-7.5783691,-8.2852049,-8.7934942,-8.998107,-9.4974136,-10.270084,-10.94774,-11.272527,-11.933747,-12.332166,-12.703475
1.3294337,.78805333,.22309574,-.25060898,-.71726924,-1.3219057,-1.8635238,-2.3975053,-2.9282084,-3.475085,-3.8248606,-4.5529838,-4.8521309,-5.5518866,-6.1600122,-6.5493236,-7.0448499,-7.6150284,-8.0650959,-8.743228,-9.139451,-9.7183571,-10.095353,-10.572588
-.09383668,-.58395064,-1.0998677,-1.6804736,-2.1055639,-2.5848603,-3.2523577,-3.6771107,-4.28618,-4.8086295,-5.3017693,-5.7972312,-6.2076187,-6.7705803,-7.4456,-7.8060555,-8.3327131,-8.8487387,-9.3258848,-9.9162464,-10.362411,-11.093045,-11.699548,-12.088692
.71537346,.23128256,-.44005275,-.94461936,-1.3583109,-1.946036,-2.4052374,-2.8689547,-3.5557482,-4.1431208,-4.406023,-4.949223,-5.5546093,-6.0568242,-6.7338018,-7.2718706,-7.7530165,-8.2061701,-8.6643419,-9.4259996,-9.8682957,-10.104768,-10.819304,-11.342607
-2.4029217,-2.9368176,-3.4782305,-3.869195,-4.2646141,-4.9535508,-5.4704504,-5.8389883,-6.4478769,-6.8452973,-7.3299818,-7.7940249,-8.4795856,-8.9431038,-9.4548407,-9.9931288,-10.330308,-10.922505,-11.47694,-11.94937,-12.426497,-13.2275,-13.197321,-13.848788
.52754647,.061141424,-.48022646,-1.0674188,-1.5688429,-2.1276875,-2.6532521,-2.9928615,-3.71523,-4.2385345,-4.7172203,-5.1817274,-5.7803884,-6.1658249,-6.853539,-7.2678456,-7.7337193,-8.4760761,-8.9655514,-9.355979,-10.139393,-10.340631,-10.929411,-11.488585
1.1108239,.63100582,.026005765,-.44703507,-1.0460594,-1.4763801,-1.9449998,-2.4643815,-3.0599983,-3.4496622,-3.9206662,-4.6013322,-5.0825953,-5.5929084,-6.2609949,-6.6761084,-7.3875756,-7.9015417,-8.2981377,-8.9913321,-9.4207001,-9.8351355,-10.206004,-11.015618
-1.6404587,-2.1089168,-2.5782678,-3.1102183,-3.647438,-4.1434426,-4.6092777,-5.1518283,-5.6880417,-6.0605383,-6.6834722,-7.1156602,-7.7097254,-8.1499434,-8.7967701,-9.1689873,-9.837925,-10.130812,-10.746489,-11.205551,-11.572041,-12.124083,-12.79564,-13.156374
-.79875398,-1.2760756,-1.8509955,-2.3326018,-2.8465064,-3.3532484,-3.8593597,-4.2982011,-4.89991,-5.2962742,-5.8444586,-6.3809552,-6.8180556,-7.5208678,-7.7940702,-8.3727264,-8.9638319,-9.4457922,-9.8336077,-10.434507,-10.919175,-11.461463,-12.014244,-12.475986
-1.423422,-1.9491984,-2.399272,-2.9416368,-3.4338856,-3.8802216,-4.5634089,-4.9717164,-5.4228878,-5.987874,-6.5642357,-6.915904,-7.6556592,-7.9931912,-8.6736317,-9.0436983,-9.58883,-10.176789,-10.588739,-11.113955,-11.653712,-12.260421,-12.504165,-13.225237
2.86659,2.3487558,1.7746997,1.248451,.68657422,.15500161,-.25380993,-.92779398,-1.4352429,-1.9110267,-2.5622592,-3.0347211,-3.5081537,-4.203021,-4.4272275,-5.2038264,-5.7736812,-6.165308,-6.6410246,-7.0793133,-7.8519855,-8.487608,-8.8737326,-9.595973
.37949434,-.13429064,-.68323988,-1.1463764,-1.69725,-2.2407396,-2.6946137,-3.4006009,-3.6073778,-4.2167401,-4.8085117,-5.3669701,-5.7839723,-6.2865052,-6.8922062,-7.6042466,-7.853024,-8.6474247,-8.9634542,-9.4302759,-10.08709,-10.412966,-11.061981,-11.30627
-.30140069,-.81874108,-1.3353857,-1.8027883,-2.3705199,-2.8742659,-3.3760207,-3.8676622,-4.30656,-4.9791551,-5.3969951,-5.9108987,-6.5406084,-7.0058026,-7.4154186,-8.1029501,-8.601181,-9.0657034,-9.5334625,-9.9314671,-10.385912,-11.027549,-11.463253,-12.168516
.25144213,-.28432223,-.72479236,-1.2329388,-1.8123206,-2.2149501,-2.8349364,-3.4389682,-3.9800541,-4.2784529,-4.904706,-5.5061297,-6.0737596,-6.5809236,-6.9802022,-7.504302,-8.0096054,-8.6392946,-9.026248,-9.3996181,-10.188388,-10.524524,-11.084206,-11.746869
-.60930151,-1.1060313,-1.58877,-2.1093178,-2.5830708,-3.2373481,-3.6384652,-4.2277622,-4.8158951,-5.2106977,-5.64112,-6.1681519,-6.5953679,-7.4570127,-7.7369494,-8.5354643,-8.7815742,-9.3479548,-9.8152676,-10.283282,-10.937531,-11.332384,-11.871603,-12.250221
-.40406901,-.88992107,-1.408806,-1.923821,-2.4015257,-2.8830793,-3.54318,-3.9903977,-4.5393891,-4.9788604,-5.451158,-5.8952327,-6.5398741,-7.0311584,-7.4489384,-8.0267487,-8.7044582,-9.0519953,-9.4622364,-10.124668,-10.601563,-11.318336,-11.632865,-12.117559
