b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-1.3683009,-1.7803879,-2.5039792,-3.1175649,-3.8500669,-4.0322618,-4.5852404,-5.2599773,-5.5464315,-6.2435226,-7.2659926,-7.2558298,-8.44244,-8.7731981,-9.0968399,-9.6930647,-10.092884,-10.777089,-11.147168,-11.749705,-12.130376,-12.93749,-13.686056,-14.415823
-.019416083,-.49767467,-1.2458035,-1.6903492,-2.2965624,-2.9439192,-3.3457417,-3.9617336,-4.4942365,-5.6268148,-5.6924391,-6.5456038,-6.7231488,-7.3150434,-7.6861796,-8.7973824,-9.1565733,-9.9956045,-10.796382,-11.086117,-11.217818,-11.92925,-12.704203,-13.663029
3.3331351,2.7989969,2.2395084,1.5808268,1.2373691,.54423577,.25039607,-.6858387,-1.1217641,-1.6646727,-2.2957044,-2.7410212,-3.4760485,-3.9884853,-4.7327237,-5.1244097,-5.9352708,-6.5042067,-6.5904365,-7.0503831,-8.1041679,-8.4303732,-9.0893354,-9.6219978
-3.4989421,-3.9497755,-4.4574213,-5.244307,-5.6428256,-6.0508728,-6.6207752,-7.3621445,-7.6580839,-8.4309578,-8.794467,-9.3685932,-9.5059137,-10.724834,-11.449244,-11.554397,-11.779758,-12.88382,-13.306998,-14.312259,-14.463301,-14.96465,-15.541098,-16.082382
-5.9913621,-6.4904456,-7.0034842,-7.5671906,-7.9894686,-8.5927935,-9.0003986,-9.6290531,-10.100203,-10.444592,-10.863169,-11.622944,-12.109219,-13.028562,-13.092053,-13.972242,-14.307319,-14.753964,-15.250973,-15.669849,-16.01222,-16.62866,-17.40946,-17.706289
-2.9238892,-3.50476,-3.819083,-4.7128201,-4.9313159,-5.5254388,-6.251801,-6.752203,-7.3241663,-7.9554939,-8.2529678,-8.7706461,-9.2103233,-9.7433138,-10.46545,-11.358582,-11.344873,-12.156261,-12.61759,-12.755297,-12.933057,-14.31148,-14.047526,-15.390079
-2.3714356,-2.8533201,-3.4683545,-4.0175896,-4.3927588,-5.1229324,-5.7012167,-6.0517707,-6.7947221,-6.9954309,-8.0965919,-8.3775272,-8.9896212,-9.4840136,-9.7594013,-11.020798,-11.190178,-11.833595,-12.050204,-12.914957,-13.640421,-13.886761,-14.178838,-15.341007
.45752639,.011237499,-.67238075,-1.3170381,-1.8249111,-2.5015869,-2.9502654,-3.5245564,-4.0497417,-4.6054564,-4.9632201,-5.852695,-5.7924776,-7.1016231,-7.7258825,-7.5862217,-8.2257156,-8.6337156,-9.7763309,-10.518565,-10.522746,-11.428349,-11.686115,-12.058165
8.7198849,8.1568432,7.5127773,6.7398787,6.3319373,5.8894811,5.4222999,4.5733228,3.8458655,3.4287851,2.7041934,2.2012177,1.4343057,.86039931,.30932134,-.61617935,-.96790981,-2.0671804,-1.8535939,-2.2896495,-3.0579238,-3.6754315,-4.0108452,-5.1663828
2.8704534,2.3973875,1.7431601,1.0525303,.71749139,.03818005,-.85669458,-1.4447594,-2.0156558,-2.2953897,-3.0940452,-3.8914905,-4.534708,-4.9757318,-5.5405793,-5.9906149,-7.1960077,-7.2752242,-7.8707714,-8.357995,-9.3205795,-10.005894,-10.224871,-10.618553
