b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-3.9815958,-4.1478138,-4.6362844,-4.3769364,-5.0290747,-5.2205772,-6.2270017,-5.7063851,-6.3074331,-6.2815433,-6.7893143,-6.3952718,-7.1469226,-7.7616653,-8.0202475,-8.6493797,-8.2123814,-8.3930731,-9.3537626,-8.8917208,-9.8765106,-9.1994772,-10.395852,-10.484251
-3.9800835,-4.1147327,-4.4299784,-4.6878586,-5.0412402,-5.2154689,-5.2165241,-5.6755581,-5.9639597,-6.585691,-6.5723977,-6.6730499,-7.1937184,-7.9214263,-7.2190313,-7.384088,-6.8193808,-8.3607731,-9.0706234,-8.2374754,-9.7757854,-10.030318,-8.9407578,-10.852554
5.1285172,4.9299464,4.636692,4.0233321,3.6667879,3.5517526,3.2240784,2.5314236,2.9476972,2.2409122,1.1887349,1.3734322,1.3572096,1.0822288,.23219129,-.031829871,-.53402048,-.84686136,-.95636445,-1.1117283,-1.1400089,-1.6482081,-2.2281549,-2.4917514
2.9348171,2.7899575,2.0453408,1.5338562,2.1756248,.63427699,1.0616518,.67694712,.19243309,-.38769522,-.74850094,-.65780157,-1.2793071,-1.6819822,-1.449999,-1.8065581,-1.4595605,-2.9610684,-2.5457783,-3.3792343,-3.5877881,-4.449512,-4.9105453,-4.057354
-1.0447108,-1.1938833,-1.4922602,-2.5975759,-2.3873956,-2.4627333,-2.9342785,-3.0478294,-3.7589827,-3.7146714,-4.4720068,-4.8900299,-5.1258669,-5.920444,-5.2326779,-6.4405308,-6.155798,-6.4900422,-7.145473,-7.4101391,-9.3268871,-7.8598332,-8.2717772,-8.5131922
5.2048092,5.1222458,4.6403866,4.1554222,3.7823284,4.1523371,3.0402682,3.147644,2.6526098,1.7994949,1.5356878,1.975487,.12950905,1.0341635,-.089208446,.35844183,-.77780831,.30717015,-.23038891,-1.6229268,-2.2178392,-2.6075885,-1.7808142,-1.5445852
-.37187141,-.4998683,-.84059674,-1.7184135,-2.0112486,-1.8794624,-2.2891107,-2.5542979,-2.6964288,-3.3832498,-3.6097579,-4.2046018,-4.599123,-4.5421791,-4.3372908,-4.6788611,-5.3789439,-5.7001486,-5.5960722,-6.0507965,-7.3811145,-7.4065208,-6.5616832,-7.8876181
3.1586468,2.9548244,2.6533012,2.5861986,1.8533701,2.0691922,1.358392,1.0031714,1.025409,.6452114,.15194987,-.40859726,-.184935,-1.1104932,-.86712158,-1.1804159,-.92502165,-1.7286195,-2.3980927,-2.5652394,-3.0409112,-3.2607276,-3.1143296,-3.3109839
-4.434691,-4.6356864,-5.3629975,-5.1792946,-5.6994681,-5.7596645,-6.4132195,-6.7221951,-6.9015198,-6.9167461,-7.3242626,-7.9213729,-8.3654156,-8.4460316,-9.1239347,-8.6264334,-9.2239866,-10.290408,-10.495766,-10.138835,-10.368753,-11.564448,-10.435036,-11.354454
.19594188,-.10643412,-.068315722,-1.0021005,-.88352317,-1.1839911,-1.9808434,-1.838964,-1.8276256,-2.4373002,-2.5772634,-2.6660271,-3.4567249,-3.5145855,-3.3643389,-4.5969558,-4.3652802,-3.6075599,-5.44804,-6.0430646,-5.0886321,-5.2498121,-5.8182096,-6.6327062
