b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-1.274078,-1.7492419,-2.2945747,-2.9635615,-3.3765676,-4.144268,-4.5366879,-5.1035662,-5.2821584,-6.3855205,-6.6418023,-7.7220798,-7.6554523,-8.7931614,-9.1939659,-9.4137821,-9.9769821,-10.200326,-10.695196,-11.47646,-12.612842,-13.233625,-13.980091,-13.773482
4.613236,4.0528598,3.5191126,2.7853105,2.1908088,1.6818593,1.0533711,.79985774,.029287919,-.57109171,-1.3075286,-1.4286653,-2.500226,-2.8209887,-3.3833644,-4.0226665,-5.3005781,-5.5788083,-5.5576739,-6.0182042,-7.5383019,-7.7398124,-8.0910149,-9.1540947
-3.6857266,-4.1427841,-4.7574291,-5.3202696,-5.6400747,-6.3102379,-6.675364,-7.3463936,-7.6071119,-8.295661,-8.6218147,-9.1345406,-9.7781963,-10.636798,-10.81559,-11.834855,-12.370405,-12.41387,-12.586623,-13.39286,-14.260891,-14.525243,-15.142484,-15.853757
.20406452,-.44957134,-.94964117,-1.2994204,-1.8313452,-2.5001497,-3.069488,-3.4927862,-4.164392,-4.7409825,-5.2332635,-5.8935905,-6.3605614,-6.9773941,-7.8214049,-7.9197335,-8.5902176,-9.1691618,-10.215067,-10.204552,-10.915197,-11.245869,-11.926932,-12.416604
-2.3558257,-2.7597091,-3.4139996,-3.93416,-4.5848703,-5.1282606,-5.6719074,-6.0983243,-6.7060637,-6.8947611,-7.6650543,-7.7712088,-8.9176397,-9.3717213,-9.6917124,-10.415336,-10.71752,-11.186554,-11.785275,-12.404417,-12.799015,-13.87365,-13.705822,-14.402985
.012649233,-.54934436,-1.0333872,-1.7742957,-2.0218284,-2.7749419,-3.2396252,-3.6855147,-4.218349,-4.7536058,-5.3132315,-5.8832679,-6.6081271,-6.9006853,-7.9722271,-8.097661,-8.9928226,-9.3700724,-9.4113312,-9.8965874,-10.762362,-10.921773,-11.554729,-11.935394
-.39864957,-.97952104,-1.6283635,-1.9502496,-2.5826516,-3.2013717,-3.5148067,-4.3652802,-4.9102697,-5.1179686,-5.870657,-6.3968868,-7.2094512,-7.4178495,-8.0664158,-8.8637018,-9.5638933,-9.714592,-9.9484816,-11.138622,-11.283708,-11.499722,-12.69658,-12.679255
.88683444,.35952386,-.15356788,-.69729114,-1.4369005,-2.0095642,-2.3016047,-3.3170803,-3.3696737,-4.1376204,-4.7385983,-4.945158,-6.1481586,-6.355845,-6.9531517,-7.0256367,-7.4512668,-8.3594885,-8.9618874,-9.6297178,-10.769009,-10.506588,-11.242476,-11.015494
-.20986879,-.72001421,-1.2686113,-2.018178,-2.3467736,-2.9451301,-3.4825664,-4.1624646,-4.527041,-4.7813144,-5.5401492,-6.1705384,-6.7441039,-7.1157904,-8.0071068,-8.3126183,-8.7449846,-8.9004841,-9.7927332,-10.111993,-11.122395,-11.597202,-11.64512,-12.925774
4.0584064,3.4140627,2.9485412,2.2469916,1.8811822,1.1053457,.49105382,-.16537106,-.54714721,-1.1335965,-2.0079155,-2.4782867,-2.7417359,-3.5489392,-3.6171436,-5.1923556,-5.3197317,-5.789187,-6.6077294,-6.9429097,-7.7898498,-7.8873911,-8.5194674,-9.3379698
-1.5737383,-2.1603346,-2.5784013,-3.2432446,-3.7051797,-4.0599394,-5.0353279,-5.2993917,-5.6658926,-6.5000477,-6.7126637,-7.5974255,-7.7781777,-8.3335142,-9.1158466,-9.6630545,-10.271472,-11.663215,-11.399032,-12.220959,-12.82371,-13.021097,-13.607938,-14.876039
2.0785148,1.6415093,.9933728,.3261396,-.13641399,-.68690288,-1.1546288,-1.8303134,-2.4393988,-3.3121748,-3.7314875,-4.2521291,-4.1671729,-5.6450157,-5.6775823,-6.7152772,-6.3188777,-7.9377503,-8.2326632,-7.8430247,-8.9015722,-9.8083582,-10.045097,-10.57897
-1.7353882,-2.3201189,-2.871031,-3.2833371,-3.7539856,-4.2654939,-4.8623171,-5.3795724,-6.0797319,-6.7152634,-6.7474666,-7.8401313,-8.2317867,-9.0007095,-9.2889833,-10.135568,-10.49702,-10.551613,-11.759354,-12.241459,-12.50421,-13.215915,-13.377239,-14.221102
-.83010668,-1.4381919,-2.1130729,-2.5031571,-2.9590745,-3.7595079,-4.000164,-4.6247287,-5.3151011,-5.7488947,-6.4132972,-6.8741241,-7.0822062,-7.9061646,-8.502408,-8.9457426,-9.5166283,-10.439388,-10.488748,-11.516314,-11.635286,-11.952442,-12.318841,-13.229475
.70639831,.22346725,-.48937476,-.96662635,-1.6068834,-2.0096138,-2.7758732,-3.2635486,-3.9790459,-4.7481828,-4.9153056,-5.4259033,-5.938766,-6.8183818,-7.2315044,-7.5592232,-7.6587653,-8.9841442,-9.3166628,-10.443101,-9.8816271,-10.77359,-11.493144,-12.318717
2.9332523,2.3229735,1.6759344,1.0226097,.74920762,.17006424,-.5525257,-1.4169359,-1.7328887,-2.0181196,-3.2794552,-3.5612683,-3.4563184,-4.3091059,-4.8401256,-5.193388,-6.0527554,-7.0672641,-7.7685966,-8.3499622,-8.3631706,-9.4405909,-9.6743593,-9.9396763
-3.2787242,-3.8858449,-4.3957233,-4.9055028,-5.2319527,-5.8332357,-6.5470929,-6.9169374,-7.5979309,-8.2804213,-8.6737432,-9.1647215,-9.5068455,-10.328958,-10.516604,-10.807275,-11.892983,-12.182944,-12.693777,-13.542759,-13.99186,-14.597248,-14.992069,-15.597804
5.3296275,4.7604856,4.0820003,3.5661635,2.8359644,2.2178843,1.5390881,1.2837372,.65104258,.16989948,-.62389296,-1.0489836,-1.9910393,-1.9227669,-3.2616792,-3.8660078,-4.1661615,-4.7797971,-5.2039113,-6.0937963,-6.2325573,-6.8867583,-8.5866365,-8.0852623
-2.96837,-3.547086,-3.9713848,-4.4427481,-5.4040117,-5.4479423,-5.8752713,-6.3159862,-7.3354135,-7.4168801,-8.376771,-8.5867567,-9.06598,-9.6373091,-10.371915,-10.924085,-11.23107,-11.997261,-12.625762,-12.733502,-13.506445,-14.119314,-14.589805,-15.161169
-1.6375604,-2.2040141,-2.6627357,-3.1361673,-3.8926082,-4.2980881,-4.9175706,-5.248744,-5.710063,-6.5893836,-6.6957359,-7.3455725,-8.228199,-8.4807339,-9.0063896,-9.2241154,-9.7381849,-10.526685,-11.013073,-11.281325,-11.988173,-12.709178,-13.147879,-13.966558
-.55835199,-1.0627637,-1.7239171,-2.0629387,-2.731497,-3.3286617,-3.69979,-4.3307261,-4.5416412,-5.4197068,-5.680748,-6.4721789,-7.0026765,-7.7104912,-7.9457479,-8.7751131,-8.5775728,-9.501235,-9.8142405,-10.911084,-11.193261,-12.282897,-12.922715,-12.657725
1.0375628,.31463134,-.013905982,-.50126773,-1.1478589,-1.6137509,-1.992177,-2.6964025,-3.3702519,-3.8718815,-4.3966365,-4.9640689,-6.0105844,-5.9874325,-6.4884176,-7.2652416,-7.6275954,-8.2226505,-8.7130022,-9.1246138,-10.082844,-10.540591,-11.099583,-11.574132
2.2898483,1.6945291,.98665261,.67224586,.00046260605,-.62113869,-1.0955366,-1.8055651,-2.2427094,-2.8152325,-3.682163,-3.9145305,-4.9603958,-5.1843925,-5.8181415,-6.0881653,-7.4843006,-7.0598412,-7.7102113,-8.4691153,-8.8246365,-9.5088129,-10.488021,-10.423348
1.4177475,.79456359,.48690635,-.28655037,-.80186486,-1.4378088,-2.1145663,-2.3217068,-2.8302057,-3.3320506,-3.8744998,-4.5307446,-4.8793392,-5.999392,-6.6183333,-6.6538844,-7.2791624,-7.9701905,-8.5595112,-9.1392012,-10.075426,-10.699277,-10.493844,-11.728389
-6.899498,-7.4008675,-7.852932,-8.6949434,-8.7843418,-9.464653,-9.8911543,-10.51418,-10.901406,-11.450942,-11.79389,-12.395154,-13.081777,-13.606874,-13.926497,-14.631639,-15.053328,-15.391508,-16.246737,-16.667025,-17.295256,-17.350203,-17.991192,-18.485273
-.93254513,-1.5645219,-1.9968214,-2.3393283,-2.9821806,-3.8106275,-4.2712493,-4.7476497,-5.1652102,-6.025414,-6.2720814,-6.8839989,-7.38556,-7.9788566,-8.4924784,-9.1164236,-10.017596,-10.677872,-11.04003,-11.107408,-11.598737,-12.765022,-12.890207,-13.530275
-7.1275759,-7.6224699,-8.04251,-8.6671877,-8.9576283,-9.6299162,-10.325715,-10.473091,-11.223232,-11.684491,-12.212201,-12.519332,-13.265329,-13.630863,-14.088374,-14.42398,-15.237286,-15.424506,-16.107389,-17.31695,-16.878103,-17.630011,-18.417877,-18.427345
-5.4859157,-5.937222,-6.5614953,-6.9235749,-7.5363207,-8.1922722,-8.4708395,-9.3757439,-9.3968096,-10.304661,-10.801201,-11.075962,-11.972934,-11.964676,-12.173086,-12.822741,-13.390452,-14.153996,-14.546235,-15.314977,-15.446524,-16.199554,-16.342367,-17.524977
-1.0510768,-1.7721081,-2.1610811,-2.6728408,-2.9969268,-3.643384,-4.0378327,-5.0388927,-5.2656884,-5.8915925,-6.6241736,-6.7800055,-7.6906185,-8.2290049,-8.4742622,-8.9924688,-10.049144,-9.8917351,-10.726056,-11.091626,-11.878493,-13.048452,-13.161723,-13.623369
.65718549,-.0067079095,-.44714978,-1.0249884,-1.7995288,-2.2447476,-2.5775826,-3.063916,-4.0267215,-4.4991593,-4.7296906,-5.5230932,-5.9246016,-6.4302835,-7.0570278,-7.3752942,-7.7959332,-8.7539883,-9.3690071,-9.571497,-10.044176,-10.758139,-10.91248,-11.662802
-2.380887,-2.9733062,-3.36958,-3.9790089,-4.7576966,-4.825449,-5.6023874,-6.1666751,-6.23912,-7.1390667,-7.5723071,-8.0738163,-8.6164732,-9.1162949,-9.5499563,-10.109328,-10.663689,-11.555552,-11.982772,-12.065949,-12.676287,-13.158018,-13.865564,-14.136068
-4.9902911,-5.4193902,-5.9998913,-6.5453262,-6.9198065,-7.6038523,-8.0049334,-8.6194153,-9.0698357,-9.5844345,-9.655302,-10.694314,-11.302158,-11.949476,-12.220623,-12.829996,-12.901009,-13.822782,-14.188686,-14.432158,-15.124094,-15.870276,-16.36865,-17.024527
