b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
3.0283024,2.4925513,1.8781655,1.3670635,.81882572,.33553487,-.38996458,-.6433537,-1.2915252,-2.1698208,-2.6185007,-3.0511806,-3.4865091,-4.1805673,-4.4624753,-5.2738423,-5.7275887,-6.6065917,-7.1298327,-7.4471035,-8.0847626,-8.5039406,-9.4652967,-9.631669
.99061948,.44784665,-.13699633,-.57043052,-1.0636436,-1.6505455,-2.3991175,-2.6243544,-3.1527872,-3.8888862,-4.4633145,-5.1717076,-5.2217064,-5.9398694,-6.4431238,-7.366662,-7.630218,-8.1681948,-8.7021999,-9.2317896,-9.819521,-10.051184,-10.967278,-11.242716
2.4968183,1.9662442,1.4666392,.84616232,.3208684,-.12057393,-.61295038,-1.2682396,-1.77661,-2.4405735,-2.763881,-3.32319,-4.0449409,-4.2970552,-5.0774775,-5.3918791,-6.061553,-6.5277987,-7.0599484,-7.5122633,-8.0754395,-8.7909727,-9.3832054,-9.8498182
.17271432,-.40174738,-.96693528,-1.4509591,-1.9387696,-2.3123958,-2.8147697,-3.4913204,-4.0565958,-4.7647824,-4.9276371,-5.7416649,-6.1473265,-6.69592,-6.9472589,-7.5319033,-8.0575037,-8.788126,-9.5875731,-9.8201094,-10.173648,-10.876594,-11.581062,-11.978701
1.6490067,1.142058,.58378232,-.0087672453,-.48773691,-.86466348,-1.5141753,-2.1749883,-2.8120658,-3.2299225,-3.6258655,-4.151454,-4.8047805,-5.1997271,-5.7009182,-6.5535741,-6.7529163,-7.5102062,-7.9468904,-8.7849083,-9.2336512,-9.6767616,-10.271642,-10.510483
-2.7999103,-3.3036253,-3.8311465,-4.2453256,-4.8425102,-5.4015713,-5.9100504,-6.3732152,-6.8990712,-7.5749693,-7.8552003,-8.2472181,-8.9605789,-9.6149216,-9.9100103,-10.348498,-11.130648,-11.455053,-11.762526,-12.379472,-13.343775,-13.471547,-13.906598,-14.703107
-2.3771317,-2.8326993,-3.4329453,-4.0141792,-4.4852405,-5.0226393,-5.5603161,-5.7892427,-6.5226517,-6.9884539,-7.3997917,-8.0817671,-8.4983873,-9.4734631,-9.5555868,-10.096056,-10.5197,-11.014803,-11.82128,-12.111083,-12.756705,-13.241443,-13.615434,-14.163264
1.281515,.70491868,.19975798,-.38267332,-1.0238581,-1.2064711,-1.907887,-2.679687,-2.9928052,-3.6436999,-4.2267189,-4.4997883,-5.1616049,-6.0141015,-6.714076,-6.8137546,-7.2665091,-8.2202768,-8.5101309,-8.8264294,-9.5403843,-9.8648729,-10.605078,-11.684628
-1.1082678,-1.6174151,-2.1815016,-2.6062164,-3.2718613,-3.612659,-4.2104816,-4.602437,-5.1261716,-5.8887272,-6.4140635,-6.8085804,-7.2740211,-7.9566493,-8.2097988,-8.9767094,-9.3107166,-9.96383,-10.443804,-11.097401,-11.616143,-11.864165,-12.587287,-13.209006
-1.5178883,-1.9905862,-2.610404,-3.0985119,-3.6415122,-4.145237,-4.4475117,-5.0380273,-5.7868848,-6.487525,-6.6127863,-7.2477288,-7.7077785,-8.3976851,-8.7594147,-9.4694462,-9.9966364,-10.629766,-11.056767,-11.435618,-11.970456,-12.247636,-13.559265,-13.526143
