b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
1.0686976,.548545,.011624919,-.49403635,-1.0234056,-1.5784338,-2.0259619,-2.5636761,-3.0839028,-3.7400322,-4.1437006,-4.7236881,-5.2702065,-5.6911144,-6.1371274,-6.7024989,-7.4436998,-8.0148621,-8.4041004,-9.0156994,-9.2972097,-9.9798326,-10.396289,-10.981244
-.85030276,-1.4078377,-1.8799917,-2.485985,-2.8886886,-3.5175247,-3.8394072,-4.5588312,-5.0788937,-5.5160599,-5.9837661,-6.5064802,-7.0503201,-7.6773424,-8.1921549,-8.6212425,-9.1714411,-9.6831875,-10.393485,-10.746991,-11.059831,-11.65371,-12.36763,-12.817669
1.5732623,1.0484346,.56411797,.044854768,-.50952327,-1.0059116,-1.5487348,-2.0566785,-2.5155997,-2.9633276,-3.6486616,-4.2262697,-4.5809674,-5.1895814,-5.7556224,-5.9625425,-6.7588038,-7.3628531,-7.6999059,-8.3674154,-8.9266109,-9.4695044,-9.8585091,-10.347932
-2.0367973,-2.541878,-3.0844748,-3.5603099,-4.0920944,-4.5367208,-5.0291677,-5.685164,-6.102448,-6.6498036,-7.0995841,-7.5863562,-8.0356541,-8.6439524,-9.1622324,-9.591876,-10.122411,-10.891769,-11.105345,-11.6431,-12.168922,-12.714787,-13.200531,-13.968287
-1.2736632,-1.7946318,-2.2883127,-2.7831464,-3.2967114,-3.8714149,-4.2351561,-4.7478366,-5.3128042,-5.7185965,-6.3983331,-6.9158759,-7.3605242,-7.9495888,-8.3154774,-8.9650326,-9.3763838,-9.8870649,-10.298812,-10.749443,-11.58874,-11.978559,-12.233783,-12.905073
-1.4206291,-1.9063559,-2.4398203,-2.9292481,-3.4550092,-3.9729354,-4.4817133,-5.0826683,-5.4158688,-6.0004029,-6.4423184,-6.9955549,-7.5252228,-8.0777502,-8.665967,-8.9880829,-9.5236359,-10.020385,-10.49072,-10.894076,-11.602004,-11.762379,-12.569448,-13.118526
.57611537,.08545392,-.44232374,-.93207246,-1.4528255,-2.0005603,-2.5148582,-3.0169659,-3.5943949,-4.1992841,-4.5607309,-5.2123556,-5.7496328,-6.2003756,-6.6222024,-7.1294994,-7.7136197,-8.2676497,-8.8498831,-9.2574339,-9.6951017,-10.34463,-10.813668,-11.533355
-.63002867,-1.1643962,-1.6567481,-2.2127523,-2.6648245,-3.2687011,-3.7028995,-4.269022,-4.7387719,-5.385973,-5.9043632,-6.2357244,-6.8026767,-7.4660378,-7.9463897,-8.4008617,-9.0231485,-9.355567,-9.9505539,-10.483022,-11.158585,-11.552558,-12.164372,-12.583652
.33700603,-.13721526,-.70937932,-1.2085941,-1.6650659,-2.1888885,-2.8407123,-3.2004647,-3.7453334,-4.2745423,-4.8549876,-5.393805,-5.8944464,-6.3013687,-6.951417,-7.216588,-7.771059,-8.3423519,-8.6979942,-9.2356558,-10.042771,-10.262691,-10.927822,-11.530536
-.52272522,-.99903053,-1.5617839,-2.0296495,-2.6266623,-3.2103701,-3.6590769,-4.1085091,-4.7592702,-5.233655,-5.7921758,-6.2492814,-6.8665118,-7.4021649,-7.7467666,-8.426321,-8.8873463,-9.420887,-9.7545366,-10.583966,-11.072726,-11.316758,-11.916073,-12.566545
