b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20
6.9572821,6.0428905,4.5214462,3.2214992,2.3845184,.92536956,-.43331057,-1.9170082,-2.6149802,-4.1334324,-5.4319987,-6.1719298,-7.6347589,-8.5732994,-9.2796326,-10.764548,-12.209771,-14.031547,-14.510041,-16.560247
-7.7448115,-8.616437,-10.282416,-10.921629,-12.1938,-12.856188,-14.847924,-15.886936,-15.698014,-17.368004,-18.818483,-20.525841,-20.3866,-21.341845,-23.304264,-23.786373,-25.535969,-26.532879,-27.108803,-29.3353
-1.4079978,-2.5525427,-3.5549593,-4.7936201,-5.7645373,-6.8693051,-8.3873272,-9.2140017,-9.8837633,-11.184188,-12.143729,-13.811289,-14.571604,-14.904649,-16.829449,-17.562109,-19.152828,-19.697868,-21.349405,-21.872059
-3.1954715,-4.3750324,-5.0628881,-6.6404476,-7.6317,-8.367424,-9.4231234,-10.102935,-11.965811,-12.928275,-13.886752,-14.762373,-15.951513,-17.409517,-18.991278,-19.787344,-20.313742,-21.438513,-22.520714,-23.887482
-10.220143,-11.029144,-12.173375,-13.262602,-14.322965,-14.792061,-16.154741,-17.085377,-18.693119,-19.413759,-20.249628,-20.92066,-22.55501,-22.843805,-24.233505,-24.803837,-26.030838,-26.936811,-27.721912,-29.093227
3.0648708,1.8592747,1.0528165,-.2989271,-1.7834525,-2.7591512,-4.0875149,-5.1154189,-5.5998387,-7.6533694,-8.0712175,-9.8384037,-10.069855,-11.391541,-13.010647,-14.93933,-15.051706,-16.822781,-17.851381,-19.431253
-10.04821,-10.855086,-12.253648,-13.137065,-14.402622,-15.437626,-16.004278,-17.129429,-18.224758,-19.583305,-20.420723,-21.288671,-22.291807,-23.641569,-24.256031,-25.930134,-26.718086,-27.404472,-28.615032,-28.937201
3.886301,2.9657483,1.7024498,.76171011,-1.5003256,-2.2265627,-3.0565135,-4.1356182,-5.064908,-6.3756247,-7.9754829,-9.3803129,-11.011817,-11.767774,-12.354916,-12.766577,-15.684724,-16.015148,-16.716497,-18.992785
-1.7433751,-2.9657583,-3.9885056,-5.1667838,-6.248601,-7.2415166,-8.6581535,-10.337294,-10.905811,-12.0709,-13.959928,-14.202289,-15.75387,-16.159609,-17.09972,-18.070969,-20.53993,-20.042452,-23.188545,-23.933027
6.5614038,5.341671,3.6789227,2.9954896,1.8070036,.1382902,-1.0924876,-2.0632961,-3.745295,-4.6839275,-6.5219998,-7.454844,-8.4858904,-9.6958504,-12.382276,-12.086658,-13.837269,-13.269814,-17.47188,-18.625607
-.91718388,-1.9154537,-4.3693156,-4.628809,-5.6804924,-6.4515891,-8.0293713,-9.9622297,-10.456604,-12.721336,-13.262021,-14.322907,-14.834048,-16.306583,-19.490477,-18.870644,-21.795015,-21.155153,-24.062748,-22.845209
14.977283,13.95266,12.619572,10.649639,9.6471138,8.4236164,5.5649891,5.2153649,5.6446919,1.5477512,.87986898,-.070083566,-1.3505501,-2.6892426,-4.9865599,-6.4252563,-8.2630644,-7.8399029,-11.467363,-11.187398
-1.0489874,-2.1105003,-3.4275789,-4.6204038,-5.8573313,-6.842607,-7.9074717,-8.7064075,-10.335455,-10.707623,-12.169382,-13.208691,-14.243482,-15.666318,-16.214359,-18.248575,-18.77705,-20.715626,-21.490404,-22.280834
8.9212885,7.5556335,6.5213771,5.4860682,3.8687894,2.9216688,1.8541408,.6986919,-.63633788,-1.9161383,-3.174706,-4.4269953,-5.2150722,-6.9939785,-8.0344706,-9.2514896,-10.603138,-12.211715,-12.343154,-14.416202
-3.1381128,-4.197134,-5.3843136,-6.1889334,-7.5654573,-8.8805771,-9.5124664,-10.687305,-11.771947,-13.412876,-13.834441,-15.627402,-15.74555,-17.706364,-18.216913,-19.310577,-21.096781,-21.739037,-22.599997,-23.882511
-1.3778163,-2.706538,-4.6815543,-5.1044993,-6.0317335,-7.9531579,-9.0525055,-11.226652,-12.411548,-13.435599,-16.280739,-14.103254,-15.275726,-17.671803,-19.020702,-20.116993,-20.163435,-22.985807,-23.581903,-25.870914
6.9569807,5.722085,4.1507506,2.9208028,1.6108341,.99047959,-.43698204,-1.7257955,-2.266088,-4.0774865,-5.1115141,-6.2814884,-8.3390608,-9.6080322,-10.263216,-12.019217,-12.464754,-14.434492,-16.001516,-16.483654
.25198129,-1.5380894,-2.1049218,-3.2369797,-5.2005754,-6.5534859,-7.0292015,-8.0388441,-11.423183,-11.054693,-12.768041,-13.325263,-15.979897,-15.549905,-18.345762,-20.091829,-18.210556,-20.324909,-23.00913,-23.163404
1.1562804,.039894573,-1.2025225,-2.4374847,-3.2849462,-4.430654,-5.6555719,-6.8983378,-7.8368583,-9.336935,-9.9186916,-11.629066,-12.139662,-13.269812,-14.114285,-15.290986,-17.224632,-17.751127,-19.601013,-19.78602
9.1262236,7.6377044,6.7950029,5.6261849,4.4749451,3.2773073,2.4689331,.59529698,-.54457223,-1.8725514,-2.4221025,-3.9683774,-5.3045673,-6.4427137,-7.2325335,-9.448308,-10.307174,-10.832187,-11.82923,-13.348619
5.9346275,4.8034086,3.7379432,2.5884528,1.2905035,.32947707,-.75072885,-2.07534,-3.3008986,-4.3710718,-6.3836465,-6.8940415,-8.3232803,-9.4405813,-10.754268,-11.333083,-13.185443,-13.702984,-15.433008,-17.091175
3.7098053,2.5409157,1.1202137,-.0084999539,-.64108038,-1.8101531,-3.4112496,-4.3380365,-5.5503764,-6.3770022,-7.7818379,-8.9987669,-10.462681,-11.829342,-12.870016,-13.74015,-15.221796,-16.469107,-16.543987,-19.142958
1.2101536,.17343599,-1.2725918,-2.3657725,-3.7014494,-4.3117456,-5.4533339,-7.5780602,-8.2661743,-9.3789158,-10.033514,-11.673042,-12.796128,-14.189476,-14.796312,-16.484812,-16.846903,-18.780003,-19.974079,-21.199476
.97571492,-.19220233,-1.3808795,-2.5104589,-3.7999203,-4.2751856,-6.1960974,-7.1633668,-7.8916702,-9.1600342,-10.529676,-11.602909,-12.747901,-13.88427,-14.282825,-14.696876,-17.270176,-17.861231,-19.023321,-20.113258
3.1116855,2.097538,.68548203,.19948737,-1.1750058,-2.8898499,-4.3112087,-5.293304,-5.186491,-7.277205,-8.1494331,-9.6569624,-10.374416,-12.177499,-12.145192,-14.822916,-15.013279,-16.719576,-18.068516,-19.409243
2.0629761,.80412251,.017274495,-1.3585687,-2.3039269,-3.2617943,-4.7953401,-5.9871359,-6.7821651,-7.792788,-9.5163651,-10.135933,-11.318764,-12.565267,-13.277583,-15.13923,-16.216866,-17.191416,-18.347315,-19.125172
-3.1703804,-4.2402282,-5.2047334,-6.3429189,-7.374763,-9.0226879,-9.7622042,-10.898315,-11.192895,-12.679972,-14.047515,-15.008348,-16.012247,-17.02853,-18.502365,-19.405787,-20.294504,-21.990067,-23.056746,-23.072161
.25273502,-.83579075,-2.1429451,-3.2511702,-4.2974858,-5.5166545,-6.480288,-7.1089759,-8.8108435,-10.624111,-10.847631,-12.246653,-13.627169,-13.969806,-15.555985,-16.965422,-18.036228,-19.433012,-19.447557,-20.673735
-3.1470575,-4.2984753,-5.770165,-6.4480729,-7.366909,-8.95016,-9.6691523,-10.58086,-12.160986,-12.225641,-14.292066,-14.781474,-16.802996,-16.759132,-19.437933,-18.816835,-20.01967,-22.165228,-22.364126,-23.31764
-4.314682,-5.3815417,-6.5246067,-7.6399159,-8.5912685,-9.349452,-10.502967,-12.238989,-13.075175,-13.677793,-14.469598,-16.181589,-16.842642,-17.118618,-18.943903,-19.637323,-21.33136,-21.933594,-22.914452,-24.69837
1.9809221,.75032103,-.12965542,-1.1143315,-2.4159143,-3.5953043,-5.0841441,-5.8827128,-6.8018231,-7.8049607,-9.6552963,-9.637394,-11.277039,-13.428928,-13.236513,-14.700402,-16.281622,-17.305275,-17.903311,-18.769545
2.049448,.88040972,-.43008208,-1.3762628,-2.4080646,-3.4755001,-4.4171896,-5.6882095,-6.7516022,-8.7206974,-8.9360571,-10.367579,-11.547355,-13.201709,-14.101146,-14.822744,-16.372663,-17.132395,-18.380964,-19.991699
4.2465692,2.6171429,1.8403637,.69964701,-.11321964,-2.1234567,-4.0976019,-4.9195113,-6.5794692,-6.1897588,-8.6983585,-9.665452,-10.409875,-12.233854,-14.280374,-14.596945,-17.245556,-17.052479,-18.25211,-18.151209
.12670773,-1.2131279,-2.1276762,-3.455337,-4.1740975,-5.3302765,-6.3116498,-8.1385317,-9.0670824,-9.808609,-11.174072,-12.394776,-12.700493,-13.686082,-15.961815,-16.057907,-18.121685,-18.372711,-19.601112,-20.782192
.080778643,-1.0747294,-2.1665623,-3.4892504,-4.803206,-5.8441858,-6.6907382,-7.5258493,-9.2442064,-9.9421272,-10.832157,-12.008926,-13.56095,-15.034827,-15.852878,-17.514008,-18.049633,-18.358843,-20.337704,-21.262005
5.7336044,4.7241549,3.2873735,1.6996162,1.0106961,.0019934434,-1.5020356,-2.8387973,-4.3558283,-5.0323,-5.7322617,-7.1087079,-8.2928209,-9.1791105,-10.960237,-11.547729,-12.691818,-14.25425,-15.340056,-16.389669
2.4733422,1.3060467,.088165343,-1.2590882,-1.9495618,-3.5078726,-4.5855889,-5.0144095,-7.1243806,-7.9971967,-8.6076908,-10.482229,-11.198873,-11.982638,-13.362978,-14.599164,-15.939935,-16.809799,-18.265018,-18.57831
-4.506525,-5.4780269,-6.7270064,-7.6121998,-9.0103083,-9.7476845,-10.942437,-11.61505,-13.182966,-14.174246,-15.032679,-16.175611,-17.409914,-18.637917,-19.496454,-20.680037,-22.153164,-22.481966,-23.96697,-24.395699
-1.3719251,-2.5032177,-3.6320238,-4.7975998,-5.8214602,-7.2052646,-7.9352493,-8.8182821,-10.453082,-10.454495,-13.467734,-13.620598,-14.824251,-16.751116,-17.357098,-18.070862,-20.165659,-20.485151,-22.648436,-24.091427
-5.648067,-6.7604809,-7.9686737,-8.7996502,-9.9408207,-11.148694,-12.141763,-13.430195,-13.920704,-15.025068,-16.87377,-16.975187,-18.200926,-19.764288,-20.674574,-22.144836,-22.822374,-24.087778,-25.087505,-25.441113
-9.5413857,-10.6612,-11.486824,-12.384034,-13.585566,-14.728617,-15.851196,-16.55431,-18.12339,-18.737324,-19.560591,-20.367611,-21.700047,-22.560467,-23.695881,-24.885448,-26.016062,-26.968988,-27.798328,-29.333242
8.0133495,6.7152214,5.5138645,3.996021,2.7700775,1.8156776,.45939562,-1.2014608,-2.0616252,-3.0744865,-4.3841004,-5.7394366,-7.0634499,-8.3522816,-8.959713,-9.772007,-11.151619,-12.787836,-13.760926,-14.553018
-5.5714583,-6.594368,-7.51546,-8.7290745,-9.8446941,-11.494345,-12.594689,-13.888995,-14.606851,-15.234683,-17.414688,-17.944271,-19.417383,-19.290676,-20.763742,-21.666527,-22.011198,-25.111065,-25.741369,-27.018448
-2.2268801,-3.2134187,-4.8379917,-6.2073336,-7.0603919,-8.3917665,-9.076787,-10.789329,-11.203656,-12.382907,-13.521347,-14.518955,-16.333857,-17.16116,-18.387587,-19.641909,-19.753407,-21.458593,-22.358095,-23.830265
-6.7485695,-7.8482332,-9.0289421,-10.124637,-10.936984,-12.162802,-13.364566,-14.057746,-15.035155,-16.687572,-18.049925,-18.443378,-20.421663,-21.024916,-22.148571,-22.59025,-23.659044,-25.601332,-26.067587,-25.67285
.45538849,-.64983904,-2.1616259,-3.1734502,-4.4484749,-5.1353931,-6.6154528,-7.2920966,-9.0850992,-9.896224,-10.849815,-12.504851,-14.336269,-14.685943,-16.63171,-17.796827,-18.248158,-19.997194,-20.213142,-21.433037
-15.589407,-16.603935,-17.710924,-18.28142,-19.774017,-21.045649,-22.416739,-24.286722,-23.127331,-25.166023,-26.188387,-28.942493,-28.345465,-28.997492,-29.883013,-30.625282,-32.054688,-33.51075,-33.456043,-34.781578
3.9634948,2.8764517,1.4928287,.25191131,-.55832893,-1.740226,-2.8187058,-4.5085287,-5.2520208,-6.1359434,-6.6051583,-9.0310659,-9.6977997,-10.790388,-12.491857,-12.990258,-14.424205,-15.787689,-17.3612,-17.750858
.32108971,-.72705084,-1.7783089,-3.489608,-4.3998108,-5.8980832,-6.8630362,-8.3825111,-8.7558088,-10.727239,-11.143471,-12.418668,-14.202354,-14.522189,-16.144131,-16.877472,-18.323235,-19.118618,-20.297129,-20.461067
.39415884,-.76588392,-1.9659035,-3.1328225,-4.4753132,-5.5463905,-6.2565131,-7.6918993,-8.9186563,-9.9276075,-10.784648,-12.810309,-13.34098,-15.757932,-15.767906,-17.685619,-19.091742,-19.250549,-20.430178,-21.161041
3.9915156,2.7028761,1.778887,.46574721,-1.0663161,-1.9441807,-3.37485,-4.4402623,-5.6275878,-7.5020609,-8.5118341,-9.0244207,-10.650283,-11.430838,-12.823662,-14.154385,-14.34179,-16.795362,-17.073833,-18.243059
2.4869037,1.4232409,.13491131,-.82745087,-2.5649171,-3.6047125,-4.3474121,-5.6797485,-6.1588712,-8.112709,-8.9019051,-10.43926,-11.303004,-12.257436,-14.073206,-14.964984,-16.107613,-16.873312,-17.667665,-19.375376
-4.6324372,-5.7791286,-6.8760977,-7.9482498,-9.2454119,-9.9593382,-10.963259,-12.323819,-13.452002,-14.952813,-15.718723,-16.268682,-17.665537,-18.525806,-19.742714,-20.909624,-20.829777,-22.909601,-24.041065,-24.551561
-.79609054,-1.8295645,-2.8880849,-4.1240392,-5.5936427,-6.7067037,-8.4527378,-8.5440531,-9.8034897,-11.563046,-12.262029,-13.288957,-14.959466,-14.866949,-17.569946,-18.257557,-19.746984,-19.551207,-21.63221,-23.013973
-1.4541876,-2.4270389,-3.7023933,-5.2389631,-5.7358861,-6.5590696,-8.195508,-9.2682447,-10.013476,-11.441796,-12.256098,-13.983374,-15.084083,-15.229034,-17.339611,-18.381174,-18.721989,-19.555595,-21.453962,-22.582361
-3.9639401,-4.9932661,-6.0750155,-7.0353117,-7.9503937,-9.1260633,-10.723362,-12.285035,-13.015177,-13.550798,-14.885304,-15.770617,-16.816935,-17.575392,-20.144203,-20.039139,-20.81061,-22.453878,-23.35273,-23.740664
7.402225,6.335917,5.0203705,3.5167243,2.7194121,1.6040689,-.013695747,-.94178957,-1.7742984,-3.0013523,-4.7406292,-5.392385,-7.6235666,-8.8290195,-8.9798079,-11.29064,-11.470846,-12.900118,-14.18296,-15.242485
-12.169697,-12.996316,-14.408086,-15.294468,-16.443878,-16.736979,-17.895172,-18.97443,-20.967863,-21.248568,-21.977171,-23.241819,-23.487692,-25.056984,-25.589516,-26.744278,-28.906046,-28.959333,-30.849333,-30.554979
.37100285,-.78544796,-1.8941787,-2.9355471,-4.0226536,-5.1142941,-6.3004951,-7.5337515,-9.1584606,-10.190457,-12.626974,-12.737488,-12.376722,-14.897317,-16.076321,-17.41412,-18.989977,-18.750027,-20.91403,-22.064127
3.0422072,1.8644477,.96240932,-.85625064,-1.4626172,-3.3750505,-4.6604524,-5.5676999,-6.388793,-9.2976789,-8.7220793,-9.5228033,-11.901493,-13.179838,-13.81474,-14.677899,-14.834071,-17.174576,-19.110765,-19.578604
-1.2228419,-2.4323661,-3.5487835,-4.5873256,-5.3537855,-7.0739141,-8.4119453,-9.6963005,-10.321052,-10.943401,-11.824906,-14.591886,-15.90659,-16.740849,-17.486618,-17.53232,-19.672026,-20.782076,-23.167187,-22.468513
-2.5701885,-3.8464,-5.0390825,-6.2054543,-6.8827372,-8.4262772,-9.1734962,-9.942153,-11.23426,-12.183414,-14.083987,-15.339256,-16.620584,-16.654242,-18.231007,-18.739166,-20.216856,-20.839893,-22.332291,-23.620857
-17.798,-18.712004,-19.496521,-20.44631,-21.400011,-22.423527,-23.069178,-23.808264,-24.904358,-25.976208,-26.81534,-27.763136,-28.847731,-29.820436,-30.028477,-31.495476,-32.611782,-33.445431,-34.113087,-34.822674
-.15650408,-1.2776827,-2.6140079,-3.5752749,-4.3100524,-5.6030693,-6.6610227,-7.592032,-8.6222601,-10.223928,-11.259109,-12.472248,-13.308801,-14.425358,-16.249609,-16.785158,-17.588917,-19.063349,-19.853407,-21.047499
-9.4869337,-10.454766,-11.602589,-12.255587,-13.252424,-14.878841,-16.140926,-16.307909,-17.180927,-18.578762,-19.413166,-21.066776,-22.310358,-23.057507,-24.109825,-25.660002,-26.004831,-26.719849,-27.064985,-28.637934
-2.8941889,-4.0047441,-5.0548844,-6.0785141,-7.1637855,-8.8277826,-9.3453436,-10.396972,-11.957577,-12.982759,-14.331004,-14.963677,-15.794376,-17.107552,-18.25824,-19.265982,-21.228642,-21.196962,-22.858568,-23.99283
12.601183,11.166671,9.9388952,9.0538216,7.7452712,6.1698647,5.616538,3.9112346,2.5988014,1.8310915,.033147015,-.92175961,-2.363116,-3.0187981,-4.906095,-5.4550533,-7.6552448,-8.4405355,-9.1549807,-10.316954
-2.3783293,-3.5781128,-4.7473865,-5.5854015,-7.0327601,-7.8266077,-8.8560886,-10.777365,-11.148997,-12.592604,-13.337471,-14.525649,-16.278116,-16.977655,-17.782187,-19.099653,-19.636333,-21.289217,-22.340551,-23.89278
.78039581,-.5283761,-1.5090257,-2.8408222,-4.1281424,-5.0253463,-6.4008994,-7.4929109,-8.8296423,-9.5547428,-11.022424,-11.8381,-12.642869,-13.378756,-15.145663,-17.157978,-18.091848,-18.287594,-20.089216,-21.045206
8.0620241,6.8443284,5.5990934,4.0221052,3.3278241,2.0993893,.66482311,-.94982862,-1.7243578,-3.6714258,-4.2570601,-6.0275989,-6.2549601,-7.5245986,-9.1673813,-11.536451,-12.208,-12.735307,-13.668758,-15.151456
10.79544,9.2727242,8.6479006,6.1064415,5.6448483,5.1712241,1.7631432,.68334883,-.16603425,-1.4423684,-3.6661189,-5.3349915,-5.6864085,-7.9084816,-8.0817528,-10.156709,-9.5008135,-12.640902,-12.676609,-13.791762
5.2902989,4.1860418,2.8112664,1.845315,.36982659,-.29195964,-1.6650543,-2.9545841,-4.6989303,-5.1576166,-6.5312839,-7.66433,-8.9960423,-9.4215603,-10.614122,-12.556183,-14.242552,-14.221519,-16.304182,-17.56813
8.1788855,6.753448,5.0994992,4.4138117,3.2391124,1.7057602,-.11655947,-.66793251,-2.9886839,-3.5424306,-5.0456481,-5.5116968,-5.3493366,-8.1054077,-10.454056,-10.296376,-12.782996,-14.303484,-15.16052,-15.066771
3.0774519,1.9164982,.98992461,-.28753006,-1.4872382,-3.4857588,-3.8585682,-5.1527352,-6.4415903,-7.1217341,-8.7297325,-9.891964,-11.159992,-11.224648,-13.088056,-13.521086,-16.549053,-16.628508,-17.090397,-19.01952
-1.8943428,-2.9697285,-4.0132518,-5.1098781,-5.9842849,-7.2020531,-8.5260534,-9.3800364,-10.467344,-11.68636,-12.926357,-13.712299,-14.918239,-15.251339,-16.605028,-18.075613,-19.375406,-20.577778,-21.095499,-22.385834
-2.6503177,-3.5796456,-4.5330915,-5.9014158,-7.053843,-8.6330042,-9.1283522,-9.9663782,-11.203725,-12.327991,-13.626773,-14.768862,-15.868585,-16.672556,-17.394375,-18.779099,-20.058229,-20.810501,-22.721449,-23.643707
.12037471,-.9912169,-2.2277777,-2.9903588,-4.3971248,-5.3709698,-6.5881038,-7.8040733,-9.0628338,-9.9696684,-11.099674,-12.537252,-12.86465,-14.55373,-15.219817,-16.833256,-17.389256,-17.905565,-20.001278,-20.693859
2.7896359,1.5000583,.47327936,-.92850447,-1.741264,-3.510139,-4.4538269,-6.408145,-7.6512923,-7.5294199,-9.6823597,-10.650385,-11.731004,-12.682185,-15.180721,-14.830601,-17.245438,-16.724781,-20.156427,-19.266134
-4.7763634,-5.8639307,-6.9072933,-8.1901102,-9.2415123,-9.9974661,-11.201134,-13.024652,-13.561305,-14.394401,-16.062649,-16.609919,-17.289856,-18.956932,-20.955769,-21.178181,-22.424006,-24.046228,-24.709764,-26.171419
1.997635,1.0226578,-.39192161,-.9345997,-3.3884032,-4.3704867,-5.0822396,-6.1956863,-7.5577998,-9.2598066,-10.943829,-11.388924,-12.573458,-13.733908,-15.554966,-17.086065,-16.764618,-19.321556,-20.562635,-21.181362
6.6405311,5.7024713,4.0273304,2.7381222,1.6021873,.54300034,-.58624059,-2.0534337,-2.7100732,-4.5170603,-4.2484999,-6.7278748,-7.5158854,-8.9330807,-10.988581,-11.637461,-13.095086,-14.044947,-14.906901,-15.147388
-7.2228217,-8.0726118,-9.2573509,-9.9912872,-11.515986,-12.444764,-13.288039,-14.524491,-15.578147,-16.267588,-17.693754,-18.407747,-19.314075,-21.142006,-21.57095,-22.621811,-24.121523,-24.286654,-25.644753,-26.79421
-5.7862139,-6.7786341,-7.8850451,-8.5407925,-9.7697001,-10.807145,-11.88754,-13.522711,-13.959346,-15.516824,-16.468016,-17.36063,-18.424114,-19.809958,-19.745016,-22.059404,-22.66231,-23.790865,-25.517033,-25.730383
