b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
1.8991615,1.370484,.834629,.37827966,-.19830021,-.71191204,-1.1851364,-1.7458718,-2.3453138,-2.946686,-3.3686643,-3.8030376,-4.4129777,-4.9683433,-5.3972611,-6.0134339,-6.4746652,-7.1134953,-7.5776839,-8.0810423,-8.6334324,-9.055191,-9.517518,-10.110359
-.46491873,-.96157336,-1.4944743,-2.0838306,-2.4869177,-3.0017879,-3.4031534,-4.0826344,-4.5470829,-5.0637059,-5.5539107,-6.1435933,-6.6306248,-7.1288338,-7.5323601,-8.1057968,-8.7775917,-9.0382757,-9.7393045,-10.256391,-10.643607,-11.322215,-11.876522,-12.119947
-.24416097,-.73171479,-1.2428142,-1.7280238,-2.2201507,-2.7364287,-3.2705653,-3.8002422,-4.3139176,-4.7071695,-5.3077035,-5.8556671,-6.2926769,-6.8505211,-7.3706837,-7.7735276,-8.3937654,-8.820365,-9.4148073,-9.9604445,-10.45337,-10.76718,-11.356874,-11.930527
-.3088769,-.80715454,-1.3634683,-1.803532,-2.3938899,-2.8941619,-3.3611813,-3.8822391,-4.3508182,-4.8603649,-5.4325132,-5.9317026,-6.400528,-6.927094,-7.5174828,-7.9152451,-8.4267511,-9.0316858,-9.4490042,-10.077043,-10.578809,-11.095139,-11.647164,-12.064346
-1.9803863,-2.4610078,-2.9602733,-3.4533434,-3.93664,-4.5634365,-4.9270453,-5.4537048,-5.9382014,-6.4337296,-7.0843339,-7.4143333,-7.9251876,-8.4728222,-9.0192108,-9.5843296,-9.8191204,-10.498585,-10.936563,-11.462498,-12.102518,-12.533613,-12.972331,-13.433045
-.45482394,-.93006045,-1.4590495,-1.9962263,-2.4627457,-2.9257469,-3.5208292,-4.0246921,-4.5266757,-5.0459428,-5.4437366,-6.1334867,-6.5915055,-7.1102462,-7.6079335,-8.0689316,-8.593358,-9.0239315,-9.4115849,-10.007576,-10.544559,-11.080039,-11.638042,-12.203626
-.32627708,-.81734252,-1.3054552,-1.8257165,-2.3686335,-2.9102681,-3.3521824,-3.8928764,-4.4246502,-4.8652616,-5.3573399,-5.9070644,-6.5508342,-6.9344883,-7.3972769,-7.8794794,-8.4715633,-8.8824291,-9.4996796,-10.042061,-10.431705,-11.067111,-11.561472,-12.12728
1.2179818,.69767326,.14701581,-.33251232,-.86153764,-1.3773371,-1.962105,-2.5210173,-2.9276781,-3.6077111,-3.9915218,-4.4649138,-5.0062046,-5.548449,-6.1772852,-6.6900558,-7.129838,-7.580431,-8.1491213,-8.7782288,-9.2781048,-9.6550703,-10.250721,-10.676958
-.99425411,-1.4761244,-1.9984362,-2.5380867,-3.0285637,-3.4158945,-4.051013,-4.5091166,-5.0137525,-5.4558105,-6.0684552,-6.4250836,-7.0692449,-7.4678245,-8.0726175,-8.4983616,-9.0867195,-9.4800053,-9.924017,-10.358204,-10.984327,-11.547599,-12.04607,-12.508015
-.66280389,-1.1375726,-1.7314129,-2.1710348,-2.6578517,-3.2836344,-3.8013613,-4.2625494,-4.7294979,-5.2559748,-5.7153611,-6.3241696,-6.8274994,-7.30195,-7.8866892,-8.3297997,-8.8533611,-9.1925774,-9.882947,-10.410063,-10.652874,-11.417912,-11.974879,-12.42061
-1.0975689,-1.6026047,-2.1261368,-2.6180375,-3.0516431,-3.6419971,-4.039124,-4.5126433,-5.0704603,-5.6669917,-6.0253639,-6.6873341,-7.1764803,-7.7418571,-8.2366457,-8.708477,-9.0575695,-9.7457294,-10.105899,-10.757843,-11.123361,-11.809554,-12.122132,-12.797033
2.5484149,2.0657096,1.4633404,.9757219,.51553816,-.084397353,-.62291783,-1.0724822,-1.6037482,-2.1474349,-2.6791503,-3.1809993,-3.6121888,-4.3089848,-4.6355848,-5.3413138,-5.7511292,-6.1793866,-6.7469292,-7.3995223,-7.8422241,-8.4530993,-8.8600636,-9.4347448
-.082867883,-.56799424,-1.0603428,-1.6261317,-2.1173522,-2.6470439,-3.2637787,-3.630255,-4.1836753,-4.7463479,-5.1129651,-5.6959414,-6.3511095,-6.7905698,-7.2298083,-7.8276391,-8.1581583,-8.8546219,-9.316164,-9.9352255,-10.341903,-10.836332,-11.367788,-11.835288
-.45985997,-.98665792,-1.5038227,-2.0210114,-2.5105183,-3.0089574,-3.5287414,-4.0120659,-4.6069636,-5.0214281,-5.575079,-6.0718117,-6.5973268,-7.0960202,-7.6018286,-7.9960685,-8.5975094,-8.9722748,-9.6087036,-10.264918,-10.73424,-11.065899,-11.759586,-12.148693
.59694529,.073513865,-.41046453,-.99121821,-1.4817091,-2.0368369,-2.5475214,-3.0259762,-3.5919552,-4.0359864,-4.5933256,-5.0835114,-5.5404315,-6.1229205,-6.5404391,-7.1275601,-7.6728449,-8.0970879,-8.8298931,-9.142395,-9.7260532,-10.24897,-10.721461,-11.21329
-.9075188,-1.4182041,-1.967721,-2.5186014,-2.8759027,-3.5272768,-3.9974837,-4.4703112,-4.9292116,-5.4621878,-5.9555454,-6.3423104,-7.0236239,-7.7180738,-8.1674623,-8.6882915,-8.9922934,-9.4528046,-10.173905,-10.723269,-11.146435,-11.621944,-12.101408,-12.747455
-1.9756734,-2.5043135,-3.0010304,-3.4460387,-3.9116271,-4.4806767,-4.9884582,-5.4797411,-6.057591,-6.4048004,-6.9606619,-7.4113965,-8.0213394,-8.4554691,-8.9363613,-9.534214,-9.9773111,-10.464991,-11.107491,-11.428839,-11.998507,-12.41152,-12.913116,-13.531008
.77838802,.30351952,-.2496977,-.70111817,-1.3027072,-1.8053486,-2.2508514,-2.7986801,-3.4324622,-3.8474438,-4.3580093,-4.8258128,-5.3675971,-5.9057603,-6.4924302,-6.9391389,-7.4325066,-8.0838995,-8.5453358,-9.0365171,-9.5358915,-9.9998226,-10.55414,-10.998989
-.29474896,-.77885574,-1.3471504,-1.8751655,-2.4083247,-2.8252831,-3.289243,-3.8396387,-4.467288,-4.8059125,-5.4086733,-5.935431,-6.3897862,-6.9030652,-7.4057846,-7.9378986,-8.4213829,-9.0049057,-9.4570084,-9.9725504,-10.461395,-10.884074,-11.407482,-11.974878
-.81448972,-1.2943683,-1.7737256,-2.3168888,-2.7986658,-3.3198521,-3.8487773,-4.4070573,-4.8151202,-5.2798157,-5.7938972,-6.3661609,-6.9449091,-7.3499875,-7.8778028,-8.323123,-8.8669548,-9.4135885,-9.8464165,-10.433023,-10.954386,-11.381055,-11.747012,-12.273375
