b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
1.6462198,1.1471508,.59887427,.079707719,-.43922952,-.96729505,-1.4042619,-1.9183112,-2.426017,-3.0400791,-3.4930727,-3.9798183,-4.5531883,-4.9941125,-5.4278407,-6.0981245,-6.6253347,-7.0829544,-7.6486382,-8.0630007,-8.6597157,-9.1735191,-9.7138386,-10.193737
-.78024483,-1.3022619,-1.781936,-2.3134882,-2.758074,-3.3376555,-3.761833,-4.3068037,-4.8145208,-5.2649379,-5.7159657,-6.3019528,-6.8481102,-7.2969875,-7.8421369,-8.3143463,-8.8335543,-9.3091936,-9.7976933,-10.278929,-10.834911,-11.239863,-11.819451,-12.323094
.41827676,-.086695865,-.58356398,-1.0838491,-1.568964,-2.0879252,-2.6082234,-3.0758533,-3.6278961,-4.0775504,-4.6205444,-5.1571083,-5.6483259,-6.167943,-6.6904874,-7.1013308,-7.6301565,-8.0766897,-8.7556763,-9.1966438,-9.6989403,-10.080609,-10.719669,-11.205742
-1.0208815,-1.5307776,-2.0233064,-2.4725752,-2.9864609,-3.577595,-4.0251575,-4.4987674,-5.0113549,-5.425004,-6.0541015,-6.4834185,-7.0386662,-7.5347881,-7.9972067,-8.5677099,-9.0070229,-9.5489798,-9.9964037,-10.486533,-11.15991,-11.554715,-12.03966,-12.515992
-1.4031416,-1.8856499,-2.3956783,-2.893991,-3.3583233,-3.9282119,-4.3635015,-4.8734941,-5.385932,-5.8956432,-6.3319688,-6.8404818,-7.3291259,-7.8259845,-8.3424759,-8.9595261,-9.3040113,-9.7961416,-10.313581,-10.889627,-11.393745,-11.803905,-12.312121,-12.733104
-.73700869,-1.2319074,-1.7227541,-2.2151132,-2.7304206,-3.2462873,-3.8006682,-4.2589078,-4.7235684,-5.2584271,-5.7218637,-6.2527595,-6.733284,-7.2978554,-7.7495284,-8.1942301,-8.6890621,-9.254427,-9.7125807,-10.282715,-10.646299,-11.272938,-11.829749,-12.262842
.07953839,-.42186844,-.93883628,-1.4490387,-1.9093411,-2.4534767,-2.8874819,-3.481894,-4.0611467,-4.509284,-4.9584846,-5.4528718,-5.9938412,-6.4704094,-6.9771404,-7.4605145,-7.9889021,-8.5439749,-9.0633106,-9.5586805,-9.9405479,-10.608059,-11.010857,-11.505156
.6489498,.12750347,-.32901347,-.87816209,-1.3665814,-1.8713657,-2.4114177,-2.9241371,-3.3777177,-3.9489996,-4.4748077,-4.9893236,-5.4367032,-5.9533358,-6.5057969,-6.9377055,-7.4290991,-7.8877654,-8.5612516,-9.1268759,-9.7105885,-10.155931,-10.551816,-11.008014
-.34996217,-.83675969,-1.3752885,-1.8839554,-2.3969195,-2.802705,-3.3611917,-3.871577,-4.3340354,-4.8479228,-5.3892775,-5.7842922,-6.3831911,-6.8993425,-7.3672991,-7.8996692,-8.3487825,-8.784152,-9.3260088,-9.8176804,-10.361249,-10.902205,-11.3146,-11.904436
-.47949529,-.9811222,-1.4959581,-1.9549026,-2.5157235,-3.1203244,-3.4774642,-3.9933736,-4.578393,-5.0423541,-5.5639267,-6.0076571,-6.6404157,-6.9856596,-7.5482287,-8.0596237,-8.4662428,-9.0320702,-9.5547237,-10.005318,-10.496792,-10.943572,-11.558331,-12.16291
