b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
1.5665268,1.0679681,.52035451,.0013563132,-.51758212,-1.0453563,-1.4813089,-1.9950665,-2.5022359,-3.1160018,-3.5686693,-4.055047,-4.6286654,-5.069386,-5.5015063,-6.1718493,-6.6987319,-7.1567531,-7.7201638,-8.1358061,-8.7314005,-9.2449865,-9.7848196,-10.264554
-.73185611,-1.2542043,-1.7342399,-2.2659214,-2.7101941,-3.2904091,-3.7146943,-4.2606649,-4.7682948,-5.2190499,-5.6704741,-6.2563267,-6.8038082,-7.2519493,-7.7978725,-8.2697363,-8.7894888,-9.2647181,-9.7541084,-10.235334,-10.791379,-11.197777,-11.776454,-12.280396
.41329616,-.091639653,-.58833796,-1.0888331,-1.5738742,-2.0922446,-2.6131923,-3.0808129,-3.6330249,-4.0821986,-4.625545,-5.1615405,-5.6527333,-6.1726265,-6.6954246,-7.1052637,-7.6341052,-8.0819521,-8.7602282,-9.201499,-9.7031002,-10.085036,-10.723935,-11.210027
-1.0294225,-1.5391699,-2.0317192,-2.4810171,-2.9948914,-3.5860503,-4.0336194,-4.506525,-5.0200272,-5.4333649,-6.0623641,-6.4911852,-7.0462551,-7.54285,-8.0045729,-8.5756712,-9.0149508,-9.5564699,-10.003872,-10.49488,-11.168086,-11.561848,-12.046925,-12.523893
-1.4516999,-1.9340558,-2.4438522,-2.9418116,-3.4059019,-3.9754772,-4.4105167,-4.9207778,-5.432344,-5.9420929,-6.378305,-6.8863192,-7.3746114,-7.8715105,-8.386898,-9.0039072,-9.3487339,-9.8405008,-10.357107,-10.932731,-11.436996,-11.847301,-12.354975,-12.776166
-.74842083,-1.2432901,-1.733946,-2.2263374,-2.7415953,-3.2572567,-3.811666,-4.2701297,-4.7346082,-5.2694602,-5.7328448,-6.2636781,-6.7445784,-7.3080454,-7.7599926,-8.2048912,-8.6993217,-9.2654524,-9.7218285,-10.293919,-10.656984,-11.283375,-11.839527,-12.272586
.075481638,-.42586651,-.94300282,-1.4529655,-1.9133228,-2.457629,-2.891289,-3.4856222,-4.0648026,-4.5132298,-4.9625788,-5.4563541,-5.9975533,-6.473866,-6.9803038,-7.4641066,-7.992187,-8.5476532,-9.0666485,-9.5615749,-9.9439211,-10.611399,-11.013952,-11.508137
.55813128,.037520919,-.41878721,-.96764708,-1.4551392,-1.9597387,-2.4996631,-3.0114379,-3.4640615,-4.0349526,-4.5611973,-5.0754175,-5.5223761,-6.0381041,-6.5897799,-7.0211678,-7.5129099,-7.971384,-8.6436605,-9.2089081,-9.7919865,-10.236024,-10.63186,-11.086717
-.32472986,-.81152916,-1.3502371,-1.859122,-2.3721941,-2.7781947,-3.3369009,-3.8466501,-4.3094196,-4.8239527,-5.3647609,-5.7603025,-6.359261,-6.8755846,-7.3437529,-7.8758793,-8.3255854,-8.76087,-9.3025856,-9.7944593,-10.33903,-10.879047,-11.292242,-11.881261
-.54514766,-1.0464555,-1.5610484,-2.0194402,-2.5804384,-3.1839919,-3.5412743,-4.0566115,-4.6410103,-5.1048174,-5.6268706,-6.0700693,-6.702673,-7.0476637,-7.609478,-8.1203489,-8.5261517,-9.0923796,-9.6147165,-10.064533,-10.556683,-11.002748,-11.617171,-12.221167
