b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
.92160767,.42596623,-.11817784,-.63378417,-1.1490229,-1.6736335,-2.1073027,-2.6181664,-3.1217816,-3.7310379,-4.1814451,-4.6649981,-5.2340307,-5.6728153,-6.1023254,-6.7678633,-7.2924638,-7.7462883,-8.3083076,-8.7203779,-9.312602,-9.8224459,-10.357595,-10.835399
-.35298318,-.87736279,-1.35918,-1.8929274,-2.3387601,-2.9214578,-3.3473992,-3.8954782,-4.4051518,-4.8576465,-5.3107672,-5.8984771,-6.4487538,-6.8982291,-7.4465179,-7.9200754,-8.4415178,-8.9185295,-9.4105577,-9.8929234,-10.451631,-10.859504,-11.440373,-11.946358
.99807864,.49019986,-.0094565647,-.51282781,-1.0007995,-1.5222412,-2.0457621,-2.5160205,-3.0717716,-3.5237157,-4.0696425,-4.6090994,-5.1033745,-5.6256733,-6.1514444,-6.5647817,-7.0958924,-7.5468178,-8.2284307,-8.6722546,-9.177083,-9.5613985,-10.20332,-10.693263
.17045963,-.34564549,-.84401387,-1.2986305,-1.819102,-2.4171333,-2.8699074,-3.3486187,-3.8686674,-4.2867093,-4.9238315,-5.3577914,-5.9196553,-6.4219952,-6.8898382,-7.4676933,-7.9124794,-8.460083,-8.9126558,-9.4100304,-10.091833,-10.490169,-10.980978,-11.463659
.29724357,-.1936637,-.71235126,-1.2190114,-1.6915174,-2.2711461,-2.7139096,-3.2330248,-3.7538517,-4.2727389,-4.7159286,-5.2333059,-5.7304702,-6.2362285,-6.7613211,-7.3886247,-7.7394004,-8.239789,-8.766326,-9.3518906,-9.8647165,-10.282126,-10.79886,-11.227302
-.12343398,-.62135988,-1.1152502,-1.6108085,-2.1290553,-2.6481867,-3.2060201,-3.6674037,-4.1349549,-4.6729965,-5.1396017,-5.6739054,-6.1571279,-6.7249961,-7.1794648,-7.6270466,-8.1245241,-8.6944189,-9.1540098,-9.7299585,-10.094191,-10.725093,-11.28477,-11.720887
-.083217897,-.58373582,-1.0999789,-1.6093913,-2.0688946,-2.6126084,-3.0452158,-3.638593,-4.2169123,-4.6653137,-5.1133337,-5.6062512,-6.1474109,-6.6222329,-7.128159,-7.6118684,-8.1390114,-8.6926832,-9.2113123,-9.7059517,-10.08706,-10.75375,-11.1556,-11.648714
.79490715,.27262259,-.18454784,-.73464644,-1.2234408,-1.7292136,-2.2701979,-2.7838144,-3.2379186,-3.8099797,-4.3366685,-4.8527994,-5.2996745,-5.8171339,-6.3705554,-6.8031101,-7.2957478,-7.7550411,-8.4295025,-8.9972029,-9.5805407,-10.026567,-10.423001,-10.87978
.38976488,-.10057511,-.64308649,-1.1556139,-1.6723679,-2.0813634,-2.6440632,-3.1573453,-3.6232827,-4.142108,-4.6864705,-5.0849099,-5.6879859,-6.2077627,-6.679564,-7.2154326,-7.6683841,-8.1066198,-8.6521006,-9.1482277,-9.6964407,-10.239868,-10.655967,-11.248725
-.10589294,-.60947627,-1.1264254,-1.5868454,-2.150034,-2.7571287,-3.1154675,-3.6332626,-4.2198977,-4.6864018,-5.2105188,-5.6553278,-6.2918472,-6.6373935,-7.2014952,-7.7154846,-8.1228132,-8.6915855,-9.2161703,-9.6688662,-10.161437,-10.609155,-11.22783,-11.833457
-.14864153,-.64381218,-1.1444994,-1.6913302,-2.1474667,-2.6691706,-3.109344,-3.6174343,-4.1378798,-4.689569,-5.1196942,-5.6496582,-6.2173471,-6.7055368,-7.2622261,-7.7465334,-8.1670151,-8.6707306,-9.2550335,-9.62603,-10.24543,-10.757071,-11.235909,-11.68489
1.2376064,.74931586,.23463975,-.30630589,-.74042481,-1.3383895,-1.8257564,-2.3869393,-2.8077931,-3.3691516,-3.8738508,-4.3861055,-4.8429165,-5.3605676,-5.9199114,-6.4621453,-6.7997055,-7.4619431,-7.8714614,-8.5210524,-9.001277,-9.5844898,-9.9344015,-10.51627
.87978178,.37527278,-.088357955,-.69915211,-1.1326287,-1.6238598,-2.159411,-2.6861272,-3.1415205,-3.7279463,-4.181736,-4.7323089,-5.2547975,-5.7780495,-6.1709042,-6.792428,-7.2155871,-7.7611108,-8.2700901,-8.914649,-9.3331413,-9.786787,-10.376606,-10.888633
-.37060454,-.88531768,-1.4110168,-1.8845035,-2.4020488,-2.8772264,-3.4221239,-3.9163342,-4.451395,-4.8770022,-5.3554473,-5.9009557,-6.4207635,-7.0031352,-7.3810244,-7.902709,-8.443037,-8.8660355,-9.4047384,-9.9129925,-10.464824,-10.877086,-11.402096,-11.923067
-1.1041505,-1.6215023,-2.1150801,-2.5683048,-3.1079657,-3.6209438,-4.104423,-4.5895505,-5.1763673,-5.6619048,-6.1476479,-6.6482439,-7.0090528,-7.5819302,-8.0303841,-8.5501909,-9.0733814,-9.511137,-10.107204,-10.544923,-11.076467,-11.622101,-12.091318,-12.637462
-.32040963,-.8405053,-1.3469757,-1.874218,-2.3240738,-2.8621054,-3.3772471,-3.7738726,-4.4121227,-4.8534651,-5.352695,-5.768332,-6.3795738,-6.8413534,-7.4674621,-7.9603615,-8.3400373,-8.8192301,-9.4924564,-10.001251,-10.422034,-10.860844,-11.463095,-12.099356
