b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
.91122341,.42215601,-.1139993,-.62608415,-1.1584487,-1.6616843,-2.1181066,-2.6889055,-3.2439737,-3.713341,-4.2402101,-4.7423668,-5.3393703,-5.7444782,-6.2416253,-6.7602372,-7.364944,-7.8191934,-8.3123455,-8.7531452,-9.3350639,-9.7969007,-10.348093,-10.836428
-1.2217702,-1.7014685,-2.2186913,-2.7876668,-3.1803689,-3.7783976,-4.2241654,-4.7290306,-5.2224283,-5.702075,-6.2888241,-6.7572832,-7.2565751,-7.7530012,-8.1865664,-8.663063,-9.2498217,-9.7265148,-10.264729,-10.694216,-11.239435,-11.815815,-12.3489,-12.708026
.10745709,-.38561389,-.8731457,-1.3974324,-1.8958482,-2.3802922,-2.8937371,-3.3920033,-3.9633396,-4.4023428,-4.9911971,-5.496572,-5.9926543,-6.5078964,-7.0415654,-7.4095826,-7.9931636,-8.4601622,-8.9287395,-9.5221081,-9.9767065,-10.511413,-10.91056,-11.55527
-1.3670694,-1.8622946,-2.3881469,-2.838212,-3.3503902,-3.8759642,-4.3747053,-4.8958459,-5.3091531,-5.8286905,-6.3977079,-6.8633742,-7.4432163,-7.9166269,-8.3951845,-8.7166367,-9.4842997,-9.9565554,-10.35192,-10.986796,-11.414067,-11.965332,-12.51961,-12.853117
-.50738925,-.99528873,-1.5400926,-1.9593062,-2.5171547,-3.039675,-3.4844322,-4.0299973,-4.4874959,-5.1153665,-5.5720668,-6.0069909,-6.5927892,-7.0939074,-7.5214648,-8.1177092,-8.5428896,-9.1185894,-9.5920496,-10.169079,-10.588722,-11.190971,-11.570486,-12.150192
-.83165544,-1.3096092,-1.8294997,-2.3354459,-2.8571689,-3.2990706,-3.8947124,-4.3165221,-4.917172,-5.3843145,-5.7606544,-6.3906255,-6.8375692,-7.4820938,-7.876905,-8.2484779,-8.853569,-9.3643255,-9.9062109,-10.43306,-10.739436,-11.396777,-11.997119,-12.507606
.50429839,.0049147801,-.52417868,-1.0559947,-1.5753893,-2.0456417,-2.5416176,-3.0545964,-3.5737445,-4.0716605,-4.5112605,-5.1066809,-5.6876559,-6.1763878,-6.5656242,-7.0699763,-7.6996937,-8.162631,-8.6680079,-9.2612257,-9.6563902,-10.149754,-10.714351,-11.220996
.17931007,-.32909659,-.86373979,-1.3316419,-1.8371179,-2.320545,-2.8575792,-3.4003553,-3.8088691,-4.5429173,-4.9440188,-5.3971744,-5.8822527,-6.5388079,-7.0483236,-7.5548854,-7.9522581,-8.3251839,-9.0252485,-9.4809704,-10.025093,-10.603178,-10.954654,-11.439445
-.26776332,-.73454475,-1.2774637,-1.8079287,-2.3089337,-2.711273,-3.3294456,-3.8000484,-4.2826343,-4.7844796,-5.362288,-5.8233318,-6.386447,-6.7805133,-7.3587322,-7.7822423,-8.2939091,-8.7353611,-9.2530785,-9.7167072,-10.414898,-10.903538,-11.271439,-11.7925
-.30306607,-.77571511,-1.3025051,-1.8172191,-2.38219,-2.9199445,-3.3465283,-3.8401208,-4.4506516,-4.9000735,-5.4026685,-5.8234735,-6.4717045,-6.8805294,-7.437573,-7.9560633,-8.460372,-8.8344774,-9.4049063,-9.9641914,-10.349545,-10.875384,-11.474886,-11.956553
-1.2588758,-1.7528654,-2.2536922,-2.7962031,-3.2350976,-3.7482758,-4.233108,-4.6922431,-5.1718154,-5.7356749,-6.1411963,-6.6931443,-7.3561597,-7.8012538,-8.2972012,-8.8067951,-9.218194,-9.8012552,-10.301614,-10.817166,-11.25706,-11.849214,-12.250889,-12.711968
