b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
2.2130575,1.6999949,1.078037,.73882163,.12047004,-.42501029,-.93505979,-1.4571574,-1.9638276,-2.5436318,-3.031971,-3.6475456,-4.1619935,-4.5971613,-5.173336,-5.6666389,-6.1209559,-6.762763,-7.274581,-7.6918936,-8.2191439,-8.8045111,-9.333683,-9.9515781
-.68600476,-1.1949439,-1.7165755,-2.341404,-2.6920369,-3.2331879,-3.6943898,-4.2600665,-4.7085543,-5.1408677,-5.8072605,-6.3477015,-6.7364936,-7.4427295,-7.7046371,-8.3422422,-8.9619503,-9.328599,-9.8170843,-10.244846,-10.835383,-11.406153,-12.116378,-12.348327
.77642393,.24349849,-.23743382,-.70517945,-1.2718554,-1.7482672,-2.2502592,-2.7098551,-3.315254,-3.7772787,-4.2929912,-4.7256279,-5.3003435,-5.9367251,-6.5156364,-6.7925568,-7.4580479,-7.9575434,-8.3959246,-8.973732,-9.5824394,-9.9647312,-10.425538,-10.984946
-.82625377,-1.3408107,-1.8969803,-2.3043132,-2.9229379,-3.3666229,-3.8360827,-4.3791161,-4.8398604,-5.3799214,-5.9852805,-6.3871183,-6.9322248,-7.3806849,-8.0832834,-8.4132433,-9.0809135,-9.4219408,-9.9429302,-10.587786,-10.991421,-11.771416,-11.981722,-12.595958
-.73378843,-1.2358203,-1.7485964,-2.2315168,-2.7696872,-3.3373396,-3.7366998,-4.3044434,-4.7392054,-5.2705531,-5.8696227,-6.2781129,-6.8616362,-7.377769,-7.7917547,-8.3385906,-8.8197546,-9.1774931,-9.9361048,-10.158963,-10.902732,-11.2853,-11.815031,-12.44297
-.24912733,-.75202239,-1.2287645,-1.7863042,-2.2901177,-2.7763364,-3.3838365,-3.8504267,-4.3080497,-4.9091115,-5.2935925,-5.9418402,-6.266118,-7.0667815,-7.49055,-7.81038,-8.4442749,-8.7991505,-9.4658709,-9.9716339,-10.453521,-10.978046,-11.594302,-11.990898
.58634895,.068098232,-.40143746,-.95445538,-1.4838209,-2.0366879,-2.5697436,-2.9677711,-3.5545421,-4.0776095,-4.495646,-5.0650892,-5.7554622,-6.1627769,-6.6442266,-7.1197863,-7.6487923,-7.984695,-8.775878,-9.1172485,-9.6489229,-10.143533,-10.686323,-11.432334
-.13169177,-.62029701,-1.1046311,-1.7479026,-2.1724215,-2.657171,-3.2242494,-3.7486281,-4.2310648,-4.8405571,-5.3668895,-5.7904134,-6.1652002,-6.9854612,-7.3559375,-7.8950372,-8.3226509,-8.7525692,-9.1419573,-9.9255323,-10.536688,-10.897089,-11.640342,-11.870274
.45084739,-.059144981,-.56209975,-1.1097933,-1.582679,-2.0286882,-2.6573155,-3.2195222,-3.5803373,-4.1113181,-4.7924733,-5.0383768,-5.7801342,-6.1619978,-6.75739,-7.1149378,-7.5898376,-8.1480255,-8.6659517,-9.2596636,-9.9203224,-10.1777,-10.756475,-11.305909
-2.6447942,-3.1239567,-3.639106,-4.0755696,-4.6569724,-5.1408048,-5.7203441,-6.1124926,-6.732513,-7.1316695,-7.7128663,-8.1036024,-8.7649002,-9.1606436,-9.857419,-10.261484,-10.646833,-11.072651,-11.711026,-12.229256,-12.664133,-13.053885,-13.686172,-14.258025
