b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
1.7435931,1.2233614,.6762228,.074274436,-.33423176,-1.0070038,-1.4155114,-1.9015263,-2.4151089,-2.9825079,-3.5477877,-4.1991091,-4.6777849,-5.1826954,-5.6220503,-5.9550729,-6.7314606,-7.3043857,-7.8107281,-8.5516329,-8.6976843,-9.5681152,-9.6854372,-10.174267
-.087284639,-.60371417,-1.176735,-1.6745574,-2.1427133,-2.703588,-3.1649315,-3.7506099,-4.3027325,-4.6502175,-5.2058301,-5.8856196,-6.3184848,-6.8921795,-7.3264027,-7.7110066,-8.3394051,-8.9342766,-9.5154505,-10.057136,-10.55301,-11.148852,-11.624688,-12.040077
.13403246,-.41689393,-.88164687,-1.3927451,-1.9312245,-2.3795202,-2.8984501,-3.4336333,-4.0267582,-4.4669423,-4.9263639,-5.4605951,-5.9892793,-6.4729714,-7.0940785,-7.3547049,-8.0236206,-8.5719519,-9.0122852,-9.6701345,-10.154959,-10.637672,-10.982652,-11.622505
-.60095006,-1.094232,-1.674078,-2.1098065,-2.6450474,-3.1675906,-3.7119105,-4.1657887,-4.6634879,-5.1502767,-5.632647,-6.2068954,-6.7381568,-7.2807503,-7.8805556,-8.4288988,-8.852211,-9.4943151,-9.7860336,-10.457491,-11.15171,-11.407081,-11.870517,-12.619107
-2.0084333,-2.4894915,-3.0437732,-3.5344071,-4.0353336,-4.5692592,-4.9803524,-5.4600701,-5.9413776,-6.4437852,-7.0734901,-7.5563483,-8.0263643,-8.5737305,-9.0578041,-9.6183281,-10.057329,-10.432963,-11.085812,-11.284149,-12.128441,-12.526139,-12.895761,-13.680852
-2.0675876,-2.5623147,-3.0524352,-3.5157151,-4.1116409,-4.6115413,-5.0948296,-5.6680336,-6.0765467,-6.6278176,-7.0369964,-7.7094517,-8.0934238,-8.7545872,-9.2951546,-9.5788584,-10.203736,-10.573055,-11.208613,-11.52076,-12.297233,-12.524213,-13.22468,-13.755075
-.68521285,-1.1628839,-1.6880372,-2.2667923,-2.7899544,-3.2076981,-3.7593918,-4.1998677,-4.7830963,-5.5272207,-5.7718816,-6.1995282,-6.9731932,-7.1784935,-7.8305354,-8.3154879,-8.9436016,-9.4018087,-9.8748512,-10.445027,-10.968369,-11.293483,-12.079985,-12.628913
.7888813,.28061366,-.21426305,-.77784199,-1.4056228,-1.7887912,-2.3386207,-2.8996456,-3.3481262,-3.9567702,-4.471333,-4.9877009,-5.394587,-6.1049128,-6.5416703,-7.1171818,-7.6525621,-8.0766354,-8.4787512,-9.1944952,-9.844058,-10.41629,-10.685967,-11.502115
-1.0825539,-1.5487559,-2.1169832,-2.5805635,-3.1088035,-3.504705,-4.2106609,-4.5561042,-5.0992079,-5.6498775,-6.066947,-6.5248256,-7.2232819,-7.659472,-8.3250809,-8.3967876,-9.0066376,-9.7115431,-10.123745,-10.714035,-11.29706,-11.47181,-12.197574,-12.7777
-.37287197,-.82975763,-1.4652293,-1.8771129,-2.4209626,-3.0466008,-3.4887354,-3.9104798,-4.5933199,-5.0074167,-5.654428,-5.9939494,-6.6569986,-7.1730537,-7.6641202,-8.1930294,-8.6667233,-9.1002588,-9.7388573,-10.410074,-10.735279,-11.345432,-11.753155,-12.373167
-.45752674,-.97141296,-1.445285,-2.0312855,-2.4697156,-3.0300798,-3.5590193,-3.9442506,-4.4985743,-5.099185,-5.560822,-5.9988971,-6.7410603,-7.1676393,-7.8736019,-8.3132038,-8.5803146,-9.2303467,-9.6935263,-10.224171,-10.626909,-11.375556,-11.939941,-12.258345
3.2728324,2.793232,2.2559869,1.6566013,1.1672089,.57699114,.027659651,-.456974,-.84681332,-1.5989698,-2.0094059,-2.6934078,-3.133903,-3.6801312,-4.13345,-4.7579288,-5.1375341,-5.6873002,-6.5208955,-6.5871549,-7.0897565,-7.8733144,-8.5321693,-8.7710495
.2614395,-.27698708,-.78448236,-1.2625074,-1.7874978,-2.2352073,-2.8220873,-3.3886774,-3.8018818,-4.5108418,-4.898344,-5.5696287,-6.02668,-6.4661288,-7.1406093,-7.674324,-7.8943739,-8.3678246,-9.1811571,-9.8383293,-10.217871,-10.826817,-11.262952,-11.652001
.79975867,.26714283,-.28629446,-.76917285,-1.2363532,-1.8297547,-2.3405976,-2.9032457,-3.413007,-3.9408026,-4.321043,-5.0230255,-5.3206344,-6.0176244,-6.6130133,-7.0059705,-7.4934421,-8.0588436,-8.5006342,-9.1961718,-9.5738087,-10.127055,-10.496507,-10.988172
.48995364,-.0058654966,-.51746839,-1.1028267,-1.5264584,-2.0010781,-2.6762075,-3.1093976,-3.6961374,-4.2549438,-4.7489891,-5.2482738,-5.6418996,-6.2245035,-6.9038124,-7.2546668,-7.798449,-8.2905169,-8.7878275,-9.3442993,-9.8091421,-10.525782,-11.153055,-11.569109
-1.5622696,-2.0368779,-2.6878829,-3.1807265,-3.5869148,-4.1611514,-4.6117544,-5.0654292,-5.7229819,-6.2968769,-6.5561624,-7.0923738,-7.6956186,-8.1798143,-8.8334684,-9.3695517,-9.823988,-10.271526,-10.726147,-11.468248,-11.903476,-12.109972,-12.817577,-13.350095
-1.5466306,-2.0881326,-2.6348367,-3.0278392,-3.4212029,-4.1216111,-4.6463122,-5.0161033,-5.6197891,-6.0331378,-6.5184054,-6.9855313,-7.6681571,-8.1466112,-8.6510601,-9.2163982,-9.5358438,-10.133491,-10.721834,-11.159927,-11.664959,-12.457909,-12.432653,-13.093321
.7723493,.30528209,-.23190105,-.8307218,-1.3070244,-1.854432,-2.3769188,-2.7289202,-3.444119,-3.9713027,-4.469121,-4.9385495,-5.53234,-5.9278197,-6.5969038,-6.9839277,-7.4835367,-8.1754904,-8.690176,-9.1348019,-9.8858376,-10.070869,-10.691398,-11.213763
1.2696543,.78579217,.18562898,-.29292858,-.88786286,-1.3231983,-1.7962662,-2.3085508,-2.9276528,-3.28757,-3.7662888,-4.4442768,-4.9377332,-5.4435611,-6.0902781,-6.4947786,-7.2269621,-7.7400289,-8.1771832,-8.8577194,-9.2069607,-9.7080097,-10.065213,-10.858652
.62165362,.14219983,-.34795016,-.89179313,-1.4347156,-1.9385529,-2.4340861,-2.985888,-3.5044703,-3.9080172,-4.5546236,-5.0079579,-5.584723,-6.049922,-6.70612,-7.0970793,-7.7876115,-8.1018305,-8.68717,-9.2149277,-9.5276756,-10.125323,-10.778688,-11.191514
-.65972972,-1.1374351,-1.717503,-2.1966295,-2.7137637,-3.2238293,-3.7246685,-4.1669431,-4.7749176,-5.1591558,-5.7189493,-6.2496605,-6.6873159,-7.3962631,-7.676806,-8.2473946,-8.8304644,-9.3312006,-9.7169113,-10.296327,-10.794558,-11.338166,-11.903666,-12.359947
