b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-5.0289054,-5.4316721,-6.1277747,-6.6771426,-7.3960576,-7.6116018,-8.1239147,-8.7590475,-9.0472088,-9.748621,-10.672761,-10.720375,-11.882965,-12.201905,-12.470306,-13.076235,-13.399014,-14.062697,-14.431725,-15.006227,-15.41042,-16.174652,-16.900396,-17.554531
-2.5013893,-2.9512818,-3.6973751,-4.1082816,-4.6934886,-5.2660885,-5.7417884,-6.2599392,-6.8088641,-7.8745098,-7.9507012,-8.7689772,-8.902874,-9.5332956,-9.963398,-10.92212,-11.282238,-12.135931,-12.914928,-13.181218,-13.3423,-13.996598,-14.659367,-15.636784
-.61896914,-1.1327716,-1.688158,-2.2929397,-2.5943067,-3.2846587,-3.6200006,-4.43047,-4.9003539,-5.3789287,-6.0332656,-6.3915958,-7.148138,-7.6833005,-8.3843479,-8.6628933,-9.5533352,-10.03371,-10.252893,-10.622126,-11.621399,-11.985298,-12.579732,-13.062799
-1.8977654,-2.3532801,-2.8776803,-3.6798868,-4.067677,-4.498127,-5.0774269,-5.8312917,-6.0796723,-6.9098363,-7.290586,-7.868742,-8.0180311,-9.2608557,-9.9880772,-10.091579,-10.375904,-11.472487,-11.886803,-12.851909,-13.061506,-13.636541,-14.203955,-14.709562
-4.5694504,-5.079124,-5.5982695,-6.1792855,-6.6385651,-7.2077065,-7.7051501,-8.258646,-8.7797556,-9.1501484,-9.53197,-10.267735,-10.859721,-11.6696,-11.782866,-12.743559,-13.028566,-13.498026,-13.912361,-14.408851,-14.764808,-15.399434,-16.262541,-16.381729
-2.2847915,-2.9017322,-3.1995101,-4.1055832,-4.3076148,-4.9279809,-5.6362543,-6.163589,-6.7412839,-7.3699327,-7.6306405,-8.1318941,-8.6396008,-9.1944904,-9.8936129,-10.805117,-10.849077,-11.656219,-12.10701,-12.274343,-12.367717,-13.831365,-13.502635,-14.893232
-1.3087072,-1.7989897,-2.4174321,-2.9718585,-3.3442302,-4.0806174,-4.6745677,-4.9956007,-5.7965007,-5.9362369,-7.113409,-7.3714309,-7.9682765,-8.4661255,-8.7552738,-9.9432783,-10.142297,-10.806102,-11.067026,-11.951772,-12.669489,-12.883041,-13.167849,-14.406864
.33853409,-.10578617,-.83743739,-1.4371105,-1.9121203,-2.5892622,-3.0391066,-3.629801,-4.085968,-4.7126656,-5.0385489,-5.9054866,-5.9115553,-7.0892124,-7.7314391,-7.6421871,-8.2314491,-8.746356,-9.7684622,-10.470118,-10.547979,-11.28644,-11.681106,-12.225831
6.0313463,5.4880037,4.8599944,4.1110444,3.7210658,3.2585766,2.8029385,1.9877961,1.2779796,.85174668,.1770597,-.33234754,-1.0513343,-1.6487131,-2.180572,-3.0729122,-3.4125481,-4.5040326,-4.2988324,-4.6929874,-5.4379239,-6.0776558,-6.411449,-7.4882064
3.1478238,2.6743743,2.0519347,1.3474368,.97637081,.30194357,-.5532971,-1.1172531,-1.7763101,-1.9727203,-2.8013365,-3.6312501,-4.2342005,-4.6824579,-5.26126,-5.6889253,-6.8628378,-7.0017557,-7.5675373,-8.0208435,-9.0003376,-9.6804342,-9.8414106,-10.355738
-2.6641912,-3.2449496,-3.7365501,-4.3142691,-4.8493261,-5.3476582,-6.3890052,-6.37254,-6.7773705,-7.8170729,-8.0136929,-8.3550692,-8.9417229,-9.729455,-9.7720451,-10.875726,-11.06277,-12.463021,-12.805905,-12.899473,-14.102126,-14.083044,-15.167585,-15.649858
4.0801849,3.6483827,2.9473412,2.3199933,1.8883796,1.1423854,.77009374,-.088611372,-.90739006,-1.3146361,-1.6617346,-2.8282509,-3.075243,-3.6209099,-4.4115715,-4.5147352,-5.1729364,-5.8811159,-7.2771029,-7.4268999,-7.3739557,-7.7926378,-9.0271292,-9.6410341
2.0409131,1.5467365,.83680946,.26218358,-.33991444,-.80603683,-.90412807,-1.6319613,-2.9102795,-3.2871995,-3.6673472,-4.3212113,-5.050302,-5.0476389,-5.6525168,-6.1283593,-7.0176797,-7.3828449,-8.5056105,-9.0776129,-9.3678293,-9.988513,-10.406807,-10.503675
-2.5306058,-3.0870652,-3.78053,-4.1004338,-4.623703,-5.0837116,-5.980762,-6.3375039,-7.0104904,-7.3894477,-8.1617088,-8.7150497,-9.0574236,-9.3329916,-10.172909,-10.775373,-11.023211,-11.815105,-12.443816,-12.808629,-13.063508,-13.891188,-14.815887,-14.853396
1.7507979,1.2392063,.54384142,-.013947723,-.58632678,-1.271655,-1.6389693,-2.2990851,-2.8872621,-3.5557594,-4.0958557,-4.5739813,-4.6082497,-5.3323421,-6.2786932,-6.6557169,-7.1853337,-7.6292167,-8.2885246,-10.053907,-9.2088137,-10.132803,-10.817146,-10.942764
1.381243,.93429887,.29396379,-.66713321,-.89462036,-1.2659143,-1.6749331,-2.6619267,-3.3068738,-3.680038,-4.1556015,-5.0955362,-5.791286,-5.8023872,-6.0849819,-7.2880435,-7.5897808,-7.9574356,-9.0031557,-9.734169,-10.33491,-10.896124,-11.120907,-11.630243
5.8425822,5.1292806,4.372211,4.1060967,3.6061618,3.2579935,2.2671316,1.9291567,1.0970062,.4093281,-.20762222,-.54999191,-.92582679,-2.1142335,-2.2028835,-3.0418608,-3.8695562,-4.1077976,-5.2500229,-5.3230262,-6.5298662,-6.5869379,-7.0813947,-7.2568464
4.6149898,4.0572782,3.4761078,2.5299871,2.1678634,1.2474511,1.0468224,.34373024,-.12864673,-.54315239,-1.6681526,-2.4847567,-2.384599,-3.230238,-3.4394681,-4.1844277,-4.8876781,-5.5087762,-6.6062531,-7.384408,-6.6966767,-8.1163263,-8.5200596,-9.0172615
-2.0061278,-2.5924261,-3.0700796,-3.6579835,-4.1477675,-4.6298003,-5.2316761,-5.5799928,-6.5077796,-6.8824587,-7.4178305,-8.1574593,-8.328228,-8.6326723,-9.3936825,-9.9791985,-10.392508,-11.424621,-11.602443,-12.405365,-12.63364,-13.776624,-13.550665,-14.52359
-2.1790116,-2.6312871,-3.2127247,-3.5761802,-4.2237225,-4.9491749,-5.1339302,-5.7577791,-6.2733154,-7.0396266,-7.2518368,-7.6611247,-8.5779753,-8.9973993,-9.5165863,-9.9355831,-10.58532,-10.82259,-11.690242,-12.196373,-12.736478,-12.622558,-13.947179,-13.8844
5.1281776,4.6775436,3.9348984,3.4118142,2.8690262,2.2627981,1.7999005,.99240321,.56116205,.093383834,-1.0529826,-1.1238524,-1.7100575,-2.0133348,-2.8629861,-3.5595975,-3.9831789,-4.8104048,-5.0431232,-5.8967528,-6.470737,-7.326776,-7.6125708,-8.203269
5.7575283,4.9791479,4.6680741,4.0127168,3.5418601,2.6231749,2.1204739,1.4841036,1.2998343,.10132215,-.37899885,-.28162688,-1.3800262,-1.8096968,-2.3591647,-2.9987621,-4.0773606,-3.5364153,-4.5049515,-5.3223114,-5.5433836,-6.1392007,-7.2686453,-7.2957721
4.3437867,3.8526852,3.0492268,2.7412264,1.8878579,1.498179,.89402962,.28984576,-.16979897,-.84629548,-1.9606906,-2.1559885,-2.6591313,-3.531338,-4.0496836,-4.4675379,-4.7243657,-6.1013641,-6.0493579,-6.8433352,-7.1011581,-7.9828863,-8.1238146,-9.0972414
1.8523431,1.3150927,.78296024,.16452076,-.21088564,-1.1081378,-1.5896159,-2.0346766,-2.6390474,-3.1919081,-3.6712925,-4.2122393,-4.9104233,-5.3523383,-6.1265631,-6.4398031,-6.9250712,-7.7013764,-8.538228,-8.6334324,-9.5001898,-10.14442,-10.880139,-11.025906
-.26135051,-.81248677,-1.2438246,-1.9953681,-2.4858377,-2.8161073,-3.4798448,-4.214467,-4.6281996,-5.3140988,-5.7303271,-5.9660201,-7.2252169,-7.3021579,-8.2069616,-8.4801683,-9.4742699,-9.5776157,-9.6610479,-10.644402,-11.337929,-12.291441,-12.633775,-12.469047
.39159811,-.18520567,-.66807473,-1.1814059,-1.7811776,-2.4226944,-2.9348156,-3.6019168,-4.1421342,-4.7461576,-5.2121086,-5.5726266,-5.9385471,-6.4018893,-7.7227216,-7.7375169,-8.2181177,-9.026022,-9.5903873,-10.546487,-10.435564,-11.025129,-11.970807,-12.417199
-3.1220133,-3.6258302,-4.1408806,-4.7439251,-5.1764359,-5.5565405,-6.3191357,-6.732017,-7.298296,-8.0171309,-8.569644,-9.0716915,-9.4376535,-10.101187,-10.12647,-11.130758,-11.22851,-12.279642,-12.590146,-13.278638,-13.921097,-14.014265,-14.713951,-15.083973
1.7498882,1.2698451,.47795835,.14548196,-.52173012,-.97940326,-1.5113542,-2.2289405,-2.8408422,-3.3628933,-3.911515,-3.9915113,-4.9249601,-5.6605554,-6.1800604,-6.3606181,-6.8367429,-7.3919764,-7.9071326,-9.1151466,-9.5315266,-9.6337013,-10.209071,-10.690173
2.3475239,1.7977743,1.2998267,.6275093,.16215983,-.31232679,-.94307518,-1.6316941,-2.0164542,-2.8286889,-3.5807519,-4.3547444,-4.3378825,-4.9991207,-5.5668783,-6.3321061,-6.4229574,-7.2318087,-8.0002327,-8.2520771,-9.0053864,-9.4108744,-10.473941,-11.126767
-5.4265361,-6.0274529,-6.6393189,-6.921793,-7.6310434,-8.0608635,-8.6042957,-8.9865532,-9.4857187,-10.008901,-10.532015,-11.008831,-11.407825,-11.752924,-12.853817,-13.002051,-13.859384,-14.217837,-14.556602,-15.357054,-15.588932,-16.48177,-17.135365,-17.501156
