b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-8.887064,-9.0534678,-9.4959192,-9.2623653,-9.8548145,-10.104008,-10.994627,-10.466805,-11.058261,-11.071801,-11.530247,-11.161521,-11.974649,-12.519983,-12.758158,-13.279488,-12.867631,-13.050011,-13.996305,-13.5768,-14.426057,-13.775739,-15.002812,-15.026346
-8.6551781,-8.777401,-9.0931911,-9.3809967,-9.7262859,-9.8868923,-9.8822927,-10.399636,-10.625119,-11.227292,-11.274752,-11.27987,-11.860099,-12.579881,-11.885882,-11.926044,-11.503015,-12.944499,-13.621037,-12.758597,-14.359234,-14.623198,-13.530999,-15.491824
16.141632,15.902776,15.614292,14.888346,14.559748,14.450159,14.120812,13.338759,13.796599,12.949506,11.785255,11.909849,12.06032,11.728762,10.88528,10.453624,10.030873,9.4375095,9.5749807,9.2835484,9.4200869,8.729207,8.0845861,7.7524686
-11.647631,-11.768473,-12.388655,-12.834785,-12.29586,-13.608646,-13.263365,-13.612099,-13.959819,-14.45963,-14.809326,-14.676718,-15.200238,-15.528541,-15.371414,-15.631029,-15.338433,-16.618031,-16.274281,-17.021799,-17.144896,-17.906214,-18.321264,-17.527081
7.4379363,7.261085,6.9443021,5.8546085,5.9815965,5.9563046,5.436882,5.1963339,4.4226789,4.4452567,3.8446498,3.4017155,3.1313596,2.030391,3.0342686,1.7043519,1.942724,1.5899516,.85372335,.68844354,-1.4390146,-.037067883,-.34544399,-.43557048
-2.2162228,-2.3043923,-2.725045,-3.1965113,-3.4920537,-3.1986446,-4.2294397,-4.1070948,-4.5825257,-5.2300782,-5.5317273,-5.1369367,-6.8689036,-6.0365067,-7.0245695,-6.6248116,-7.6628809,-6.7547545,-7.1116843,-8.4414415,-8.9333601,-9.2971907,-8.5867834,-8.4125385
-4.0833173,-4.2002397,-4.5219879,-5.4410262,-5.6442742,-5.5763197,-5.9445844,-6.2020187,-6.398921,-6.9924536,-7.2248483,-7.8384571,-8.1854553,-8.245697,-8.0087872,-8.2905483,-8.9001131,-9.1890688,-9.2131329,-9.6372347,-10.903501,-10.932284,-10.087099,-11.350463
-1.118449,-1.3075248,-1.5714322,-1.6990758,-2.4081273,-2.1661112,-3.0084765,-3.2322941,-3.2390838,-3.6629639,-4.0298443,-4.6820316,-4.5057464,-5.3532357,-5.0937324,-5.5659361,-5.1249571,-6.0767269,-6.7032852,-6.7056909,-7.1518431,-7.3500762,-7.2820005,-7.3397398
.51959175,.30336714,-.39761814,-.27599186,-.83914334,-.84699249,-1.5714494,-1.9080265,-2.083487,-2.0882869,-2.5579648,-3.1171954,-3.6011069,-3.7221143,-4.3651443,-3.8529093,-4.4910879,-5.6075439,-5.8603363,-5.458209,-5.7149115,-7.0558481,-5.8292356,-6.7943692
-2.5188065,-2.8366899,-2.7753391,-3.6868362,-3.5787537,-3.8891578,-4.6581197,-4.567667,-4.5612741,-5.1729317,-5.2495995,-5.377737,-6.1357431,-6.2538362,-6.0159507,-7.2189221,-6.9150057,-6.3971448,-8.0430117,-8.8021498,-7.7383671,-7.8054276,-8.4296999,-9.1753273
-4.1665988,-4.5349302,-4.7498016,-5.3759913,-5.2577071,-5.8569875,-6.1468511,-6.3775773,-6.0425563,-6.6876245,-7.1729016,-7.2921972,-8.3387728,-7.905118,-8.7318611,-8.8444958,-8.7733107,-9.9175119,-8.8047047,-9.9140491,-10.438926,-9.2685785,-10.225392,-10.465214
-6.8326387,-6.9486833,-7.2962308,-7.4420104,-7.7845478,-8.3627014,-8.3936749,-8.868103,-9.6729918,-9.6281328,-10.190093,-9.5895023,-11.505231,-10.546044,-10.781153,-10.633473,-11.798325,-11.384465,-11.104403,-12.27234,-12.268175,-12.200414,-13.922914,-13.577862
-8.1103191,-8.5762873,-8.4687805,-8.6692638,-9.2107534,-10.049169,-10.796596,-9.9485979,-10.306714,-10.735286,-11.19816,-10.717536,-12.025617,-11.065761,-12.020471,-11.476768,-12.910291,-12.887028,-12.727904,-13.087975,-13.749208,-13.955467,-13.249284,-14.764989
7.9232006,7.5162997,7.3503671,7.1273437,6.6781802,6.4426603,5.1564422,5.3777933,4.8491216,4.5730958,4.0525289,3.9659517,2.7032607,2.9421954,3.4596984,2.4361072,2.7085145,1.3145443,1.5979761,.74609613,1.4159666,.61531234,.30506149,.55966574
-9.1924047,-9.4598112,-9.4407139,-9.8662853,-10.094687,-10.935441,-10.85167,-11.137497,-11.494042,-11.513189,-12.853201,-12.535224,-12.670474,-12.858855,-12.823716,-13.2017,-13.621408,-13.376927,-13.708111,-14.668746,-14.782271,-15.290121,-15.846087,-15.621717
.17726082,-.17433146,-.1413773,-.21431296,-1.2063136,-1.5420719,-1.631683,-1.4412746,-2.2000639,-2.2175713,-3.2441225,-2.4635158,-2.5841317,-3.1683061,-3.802774,-3.4725981,-4.543541,-4.8079166,-4.5133052,-4.2795515,-5.9394555,-5.3662634,-5.9598169,-5.4105287
.79560441,.30227757,-.085883789,-.52333093,-.53155512,-.71531659,-1.6188563,-1.7004862,-1.8790846,-2.3936195,-1.8032699,-2.1410089,-2.7459395,-3.5616493,-3.970825,-3.7467692,-4.2257566,-4.75771,-4.5490775,-5.0385323,-4.57058,-6.1775818,-5.3135462,-6.2538686
11.411063,11.118238,10.466413,10.104225,10.134291,10.152213,10.112782,9.0208092,8.2229118,8.0459719,7.8202167,8.3974419,7.1007342,6.6491971,6.0180364,5.8200493,5.9498458,6.4101958,5.9818516,4.3646336,5.259613,4.4036684,3.8953004,2.9432442
4.4361753,4.0491037,3.8313484,3.0101449,3.2131381,3.091857,2.8098257,2.3097882,.44497284,1.8922052,.9504481,.76851225,1.4342201,-.80915284,.1938722,-.54218161,-.7253871,-1.5087037,-1.5144798,-2.0984344,-2.1531305,-2.8354664,-3.0714827,-3.7665257
3.9580038,3.7404315,3.3532112,3.2691555,2.4109223,2.4301898,2.0131021,1.3059033,1.048924,.77789772,.73955226,.017423799,.062574178,-1.7658616,-1.5126836,-1.7398697,-1.9106849,-2.6402283,-2.8792577,-2.3541498,-3.9212132,-3.3359659,-2.9592319,-4.4910097
-5.9898314,-6.1578174,-6.4938235,-6.8392959,-7.2634058,-7.0826378,-7.86549,-8.1654549,-8.9117613,-8.9585104,-9.4644699,-9.7386999,-9.6986275,-9.8253851,-10.616091,-10.663261,-10.869661,-11.343244,-11.163507,-12.122402,-13.435659,-12.345824,-13.068241,-12.945208
-12.854789,-13.126938,-13.492396,-13.803467,-14.357759,-14.352611,-14.755068,-14.775174,-14.677659,-15.151646,-15.648073,-15.858842,-15.653163,-16.417006,-16.730116,-16.832558,-17.345858,-17.966415,-17.45912,-17.817553,-18.73531,-18.430962,-18.644787,-20.411768
-3.0174615,-3.1457825,-3.3529639,-3.9437864,-4.1190548,-4.9867258,-5.2664614,-4.9130983,-5.5449548,-5.834589,-7.1891694,-6.1981368,-6.6364908,-6.8363447,-7.4995351,-7.6373024,-8.7905445,-8.808526,-8.5102787,-8.7117844,-8.2923927,-9.5611553,-10.567159,-9.4474802
-8.7424746,-8.8433285,-9.5819435,-9.9965916,-9.7720041,-10.272015,-10.336731,-10.562422,-11.318692,-11.851081,-10.752836,-12.199301,-11.838104,-12.499643,-12.644395,-13.547864,-12.991027,-13.715479,-13.970015,-14.641202,-13.882034,-16.223841,-14.974865,-15.22843
-13.995915,-14.204871,-14.573863,-14.727673,-15.172219,-15.168265,-15.437896,-15.634731,-15.886214,-15.820207,-16.641153,-16.496988,-17.619316,-17.755411,-17.987265,-17.812927,-18.085125,-18.553017,-18.968039,-18.327202,-18.761612,-19.38028,-19.99058,-19.981386
-.33908436,-1.0004404,-.90978354,-1.5854952,-1.1561341,-1.973727,-2.0324538,-3.2721686,-2.742903,-3.2172661,-3.1870844,-3.9696126,-4.26475,-3.7566485,-4.7017016,-4.9647951,-5.2477155,-6.6153107,-6.2454357,-6.344739,-6.5777268,-6.4100962,-6.3733335,-7.9142399
-8.9238691,-9.1629467,-9.3738022,-9.9495878,-10.020112,-10.11588,-10.79456,-11.662602,-11.074625,-11.338326,-11.606288,-11.493332,-12.580534,-12.923113,-13.116451,-12.703749,-14.026015,-14.642254,-13.939599,-15.01239,-13.786471,-14.278032,-14.12674,-14.667086
-2.2830894,-2.5065222,-2.6936493,-2.9371383,-3.902133,-3.8219655,-4.6010218,-4.4301691,-5.3194442,-4.7294517,-5.0469871,-5.7743158,-5.6923714,-6.8477974,-6.1555538,-6.8637285,-7.6365085,-8.3560762,-8.2032146,-8.1248579,-8.6427422,-8.8534079,-8.99757,-10.775516
9.9008646,9.6186256,9.204277,8.649333,8.2267857,7.7319784,8.1670523,7.690968,6.6540914,6.5789323,5.9169087,6.2234783,6.0959606,6.2283521,4.9451976,4.9476285,3.9920778,5.6016107,3.5697932,3.4462473,3.0318666,2.4184265,1.7087704,1.9341199
-2.4617884,-2.9336202,-3.3678656,-3.2933526,-3.8725176,-3.9473851,-4.3064117,-4.7706952,-4.560359,-4.7244244,-5.2435961,-6.2900872,-6.0044036,-6.3591294,-7.4510164,-6.7225633,-7.6410384,-9.6735744,-8.1255426,-9.7948608,-9.7844105,-9.4797096,-9.3045921,-9.621809
-11.916697,-12.247104,-12.871058,-12.390818,-12.953614,-13.94856,-13.419949,-13.961772,-14.045322,-14.993486,-14.506178,-15.314778,-15.936851,-16.025188,-16.461575,-16.427771,-17.200197,-16.985865,-17.311472,-16.793438,-17.575106,-17.726616,-17.891769,-19.164412
-3.668622,-4.0596423,-4.2091355,-4.6839204,-4.9548764,-4.7216487,-5.633451,-6.2851772,-6.3048668,-6.6661024,-7.2333155,-6.999537,-7.4626746,-7.9965963,-8.2538242,-8.242527,-8.8900175,-9.0616331,-10.172539,-10.305591,-10.677266,-10.65278,-10.781292,-10.899324
