b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-1.2069449,-1.6804458,-2.2296567,-2.9101079,-3.3221648,-4.0967426,-4.4714241,-5.0439591,-5.2110682,-6.2985139,-6.5949807,-7.6938925,-7.6024199,-8.7070246,-9.1162529,-9.3391638,-9.9488096,-10.130669,-10.654979,-11.446671,-12.600382,-13.216066,-13.925849,-13.721462
-.016982311,-.56071115,-1.0644914,-1.708058,-2.2649796,-2.8127701,-3.3595352,-3.6377261,-4.360096,-4.9034877,-5.6282401,-5.7143784,-6.747438,-6.9854951,-7.5788722,-8.1949596,-9.3457804,-9.6422729,-9.6606531,-10.151255,-11.536263,-11.778888,-12.02821,-13.010373
-2.7242565,-3.1904204,-3.7988174,-4.3642697,-4.7090526,-5.3908124,-5.7786393,-6.390193,-6.6815829,-7.3795276,-7.741015,-8.2464638,-8.9075851,-9.7504969,-9.9590693,-10.932982,-11.438164,-11.578897,-11.738021,-12.553821,-13.443627,-13.73797,-14.28594,-14.992617
-.35392931,-.99860835,-1.4939922,-1.8555058,-2.3888998,-3.0484877,-3.5989795,-4.0809422,-4.7065935,-5.2525826,-5.8319149,-6.4255071,-6.8980026,-7.5064292,-8.33601,-8.4695435,-9.11308,-9.6967535,-10.728418,-10.742361,-11.45622,-11.754922,-12.426787,-12.906724
-.80888557,-1.2275831,-1.8962915,-2.4214036,-3.0672278,-3.6377423,-4.2329216,-4.6209731,-5.2297626,-5.4364777,-6.2109036,-6.3465047,-7.431026,-7.9884815,-8.3032999,-8.9796019,-9.2740116,-9.8002024,-10.429033,-11.060098,-11.365822,-12.433677,-12.358028,-13.049597
-1.2574829,-1.7941812,-2.3185344,-3.0600529,-3.3257244,-4.0184464,-4.4830041,-4.9555926,-5.4478021,-5.962532,-6.5392032,-7.153059,-7.8004851,-8.1435957,-9.1573963,-9.3692455,-10.155281,-10.568124,-10.655314,-11.062493,-11.869837,-12.121535,-12.734902,-13.194815
1.4512907,.85761827,.21549328,-.13790524,-.75828826,-1.3829681,-1.715741,-2.5733488,-3.084805,-3.3692846,-4.1418653,-4.6561174,-5.4376621,-5.7542839,-6.3386912,-7.1329975,-7.8967381,-8.0243292,-8.2371559,-9.4955406,-9.6208792,-9.8232059,-11.019649,-11.033131
2.7970238,2.2714965,1.7092255,1.182725,.42864081,-.13734849,-.49190262,-1.4584736,-1.4489934,-2.3356125,-2.8148057,-3.1339869,-4.395402,-4.6015201,-5.2039762,-5.1297131,-5.643117,-6.5979743,-7.2304101,-7.8467202,-8.9103394,-8.7032089,-9.4220028,-9.2077379
-1.3744805,-1.8833307,-2.4098294,-3.1641471,-3.4892595,-4.0768428,-4.6057258,-5.2897096,-5.6618772,-5.903163,-6.6389904,-7.268363,-7.8281698,-8.1743126,-9.1081657,-9.3836374,-9.8277302,-9.9705248,-10.837596,-11.185007,-12.14686,-12.622615,-12.659847,-13.93633
5.7267489,5.0685191,4.6143775,3.8835304,3.4897909,2.7375891,2.1354451,1.4659948,1.1018816,.49597204,-.38131788,-.84346312,-1.0975091,-1.965436,-2.0739608,-3.6618505,-3.748198,-4.1542764,-5.0822177,-5.365078,-6.2331581,-6.3042936,-6.9743934,-7.8181305
