b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11
.32163528,.076169759,-.14842436,-.48788685,-.75202435,-.99381465,-1.238885,-1.8890278,-2.3861809,-3.0822399,-3.8420317
.38904861,.12243827,-.16166852,-.4251917,-.69021708,-.94617164,-1.1365902,-1.7660931,-2.2345834,-2.7732162,-3.7817097
.5498206,.26658073,.014948176,-.24771553,-.57643747,-.81307781,-1.0131859,-1.5560678,-2.0947018,-2.5444841,-3.609256
.51750398,.16903755,-.098104678,-.34478149,-.45896074,-.82325578,-1.0729922,-1.6730525,-2.2255654,-2.5616074,-3.6371856
.67631114,.39891294,.16401637,-.17085625,-.39942193,-.67131174,-.9156183,-1.4440451,-1.9830874,-2.4723735,-3.6323576
.89576244,.64503855,.38511926,.076270312,-.20977688,-.38082469,-.70596355,-1.2241799,-1.6786762,-2.3520427,-3.2755084
-.32304737,-.59439331,-.83169585,-1.0632721,-1.359442,-1.599502,-1.9058876,-2.4393342,-3.007776,-3.476773,-4.4155021
-.3848125,-.66209936,-.89540517,-1.1294706,-1.5221289,-1.7848904,-2.0184815,-2.5763431,-2.9797869,-3.6292934,-4.8075199
.71625757,.45073995,.1855001,-.07527861,-.35927388,-.6735757,-.84318101,-1.4459257,-1.9193218,-2.5899048,-3.4776604
-.34636903,-.5763036,-.87199396,-1.1356133,-1.390051,-1.6261412,-2.0027757,-2.507421,-2.8966889,-3.4654005,-4.3706322
.25722489,.0043483423,-.3150138,-.5347358,-.72459495,-1.0662321,-1.2792761,-1.9053468,-2.4219315,-2.9241641,-3.8113632
.015883518,-.26079389,-.43934879,-.72764051,-1.010983,-1.3498393,-1.5541242,-1.9225878,-2.5857975,-3.2394958,-4.2043285
-.3450501,-.61876607,-.85083061,-1.1020654,-1.4336176,-1.6736522,-1.9547478,-2.5103917,-2.9766614,-3.6050274,-4.5568938
.36956939,.1252211,-.18129607,-.43715185,-.68128347,-.97053951,-1.2010146,-1.7557961,-2.1702776,-2.7797511,-3.7514107
.45231059,.22454731,-.078571297,-.37286755,-.59310627,-.913046,-1.1169294,-1.6551667,-2.1918457,-2.6557972,-3.9317904
-.29459912,-.57922238,-.8354491,-1.1187444,-1.4117461,-1.5513159,-1.8957767,-2.3988807,-2.9611309,-3.4087343,-4.6863585
.72888428,.47095802,.19023085,-.052445188,-.30262169,-.58282399,-.8745299,-1.4501102,-1.9093835,-2.4538789,-3.5593917
-.33125436,-.58395261,-.85109377,-1.099625,-1.4528049,-1.7622845,-1.9587628,-2.5923843,-2.9912612,-3.4854915,-4.5573587
.96312559,.71217918,.4862684,.18238656,-.11865,-.37790522,-.62977761,-1.1908382,-1.7771138,-2.2130246,-3.2708666
-.15289077,-.42189613,-.68649113,-.92680919,-1.2747122,-1.3935057,-1.7506906,-2.1708903,-2.7735453,-3.2678399,-4.2902851
-.31792834,-.57103091,-.85063541,-1.0803201,-1.3751333,-1.6729376,-1.8477606,-2.4548285,-2.8881233,-3.4862945,-4.4041152
.68773717,.4279958,.17240569,-.038077254,-.33064896,-.65476274,-.93944496,-1.4187095,-1.9752282,-2.4680355,-3.6024616
.80574441,.50257677,.26955622,-.11238578,-.22111294,-.47893977,-.81998461,-1.3255061,-1.9536455,-2.3422635,-3.6655595
-.086764157,-.31567717,-.57869941,-.94449371,-1.1840988,-1.3811342,-1.6509759,-2.2027831,-2.8920679,-3.2959952,-4.4344788
.016603228,-.24597594,-.53320956,-.79402632,-1.1077956,-1.2797685,-1.5706486,-2.121804,-2.6571734,-3.0676279,-4.0455623
-.14324199,-.36698759,-.6524207,-.89562058,-1.184126,-1.4706229,-1.7816916,-2.2379642,-2.7628736,-3.1924284,-4.3458414
-.20548685,-.47137219,-.75482947,-1.0076275,-1.2610554,-1.5038742,-1.7480521,-2.2767763,-2.8033166,-3.3093588,-4.4783807
.091453537,-.16935502,-.45094579,-.70522273,-.96165818,-1.1970588,-1.4703124,-2.1711924,-2.532105,-3.1020298,-4.0452623
.75942802,.50031143,.19480884,-.057627805,-.30699918,-.61757344,-.80193746,-1.5091866,-1.8688207,-2.3491867,-3.6490023
.19403823,-.037899576,-.29152456,-.57059169,-.95942676,-1.0949944,-1.3335609,-1.9042286,-2.4993091,-2.9470079,-4.0910535
.024382288,-.25719884,-.48772717,-.79780412,-1.0852072,-1.286566,-1.5363177,-2.1076782,-2.7036388,-3.1168518,-4.0668688
.0079912199,-.27245793,-.53784555,-.78801483,-1.0299953,-1.2943696,-1.5358416,-2.0946767,-2.6276386,-3.174463,-4.1082606
1.290068,1.0015771,.73025852,.44829935,.1363707,-.15133221,-.40210307,-.78233981,-1.2990493,-2.0409424,-3.1652219
-.036269642,-.31398928,-.56484801,-.76485908,-1.1830627,-1.3787233,-1.6176858,-2.1746109,-2.6325309,-3.2770286,-4.3015013
-.4296453,-.67788941,-1.0009034,-1.243819,-1.4628323,-1.6392154,-2.0330176,-2.6000323,-3.0882773,-3.6917019,-4.6971622
.174567,-.08199098,-.35864487,-.61847967,-.85090137,-1.2147498,-1.3550071,-2.0016322,-2.5106101,-3.0026073,-4.0294662
-.41317621,-.63073373,-.96619678,-1.2381005,-1.4472317,-1.6828036,-1.9363987,-2.4819722,-3.020256,-3.4618347,-4.6455564
.9781751,.71828884,.44617847,.16374169,-.12841897,-.29372641,-.62069559,-1.1649343,-1.7363811,-2.1315451,-3.3324592
.26100323,-.03081681,-.26268291,-.60164952,-.86203718,-1.0070244,-1.2532768,-1.881712,-2.4488711,-2.8864579,-3.8176904
.77370644,.51467657,.28149882,-.0026703128,-.28667209,-.60464883,-.81636322,-1.3005997,-1.9865316,-2.4518158,-3.5792916
-.0057501467,-.31759006,-.56190079,-.79532218,-1.0608715,-1.3311805,-1.7030085,-2.1822357,-2.5702457,-3.0965176,-4.3890314
.28638625,.054463036,-.22336207,-.45432621,-.74491835,-1.0492234,-1.1918513,-1.7969567,-2.3710189,-2.810509,-3.867039
.62116706,.37122083,.093705475,-.21803384,-.48429993,-.69756037,-.92809731,-1.4914659,-1.9837576,-2.6513543,-3.5550408
-.40497604,-.6644178,-.95131421,-1.2151933,-1.5007476,-1.6547529,-1.9151944,-2.4917524,-3.0175765,-3.476218,-4.6018658
.89349884,.64132798,.40668309,.09534651,-.19328372,-.54826874,-.70625621,-1.2665772,-1.7165747,-2.3407011,-3.4270027
.28380486,.019277001,-.23314962,-.52477878,-.75568306,-1.0209628,-1.2463548,-1.7076725,-2.2894609,-2.9410424,-3.9996049
-.04788962,-.32236683,-.55754054,-.86618316,-1.1315072,-1.3957578,-1.6689837,-2.2793269,-2.5757153,-3.0682662,-4.1994305
-.062304389,-.33277735,-.59689742,-.86304426,-1.0555596,-1.4279516,-1.7577757,-2.1551037,-2.6932507,-3.2507048,-4.0658989
.41869926,.15915456,-.093701012,-.3953473,-.61590922,-.88283736,-1.2292341,-1.7082828,-2.2807479,-2.7531371,-3.7365391
.5893057,.33786291,.048139241,-.21435238,-.48614931,-.7076382,-1.0776447,-1.5999372,-2.0873652,-2.513176,-3.6556673
.093950681,-.19291845,-.40940163,-.69021791,-1.0752592,-1.1951985,-1.4493411,-2.0510595,-2.3265743,-2.9431219,-4.1231623
.53423154,.28366929,.051626407,-.20632684,-.49428195,-.74900627,-1.0796251,-1.5917627,-2.1304016,-2.5067055,-3.7377319
.93542355,.68120724,.43441874,.15953182,-.12433865,-.37691551,-.62448066,-1.2362249,-1.7090598,-2.3427808,-3.345871
-.12528226,-.38973492,-.65828025,-.98931843,-1.2151484,-1.5025798,-1.8025186,-2.1952655,-2.6917782,-3.3024516,-4.3408065
.094870113,-.17743909,-.4591513,-.7140404,-.88774878,-1.2455583,-1.4265321,-2.0056546,-2.4460652,-3.0665538,-4.0983167
.50819337,.23517114,-.035379972,-.18887539,-.57868832,-.86822087,-1.011501,-1.6324329,-2.0816567,-2.700712,-3.5662446
.3207069,.069152251,-.21319835,-.41794035,-.74130112,-.89503562,-1.2456771,-1.7292812,-2.2883132,-2.9233098,-3.9641929
.22183199,-.030669291,-.27132219,-.60022527,-.83876991,-.97146612,-1.3157854,-1.9041585,-2.3973489,-2.7559419,-3.9413002
-.068222769,-.35410926,-.60778522,-.87273902,-1.1983416,-1.3169562,-1.6475683,-2.2067864,-2.6709497,-3.2717113,-4.428494
.11509705,-.14673878,-.44730917,-.71736836,-.96799558,-1.2144169,-1.4117073,-1.9915763,-2.5194509,-3.0581133,-4.2161818
.16944653,-.12057535,-.34724185,-.63796008,-.8261891,-1.2395678,-1.2485625,-1.8682293,-2.4621239,-3.0954952,-4.1058741
-.50058967,-.77908248,-1.0508865,-1.2942486,-1.6193932,-1.7306998,-2.1358247,-2.5193281,-3.1077943,-3.7028916,-4.5943861
.24789858,-.022830576,-.2680116,-.5112204,-.78763801,-1.0188481,-1.2608173,-1.826053,-2.292428,-2.9264741,-3.9910514
.62126029,.357454,.082326628,-.19906676,-.45700938,-.7138949,-1.0242553,-1.4271506,-1.9946942,-2.5792634,-3.6032219
-.2609902,-.53449088,-.74587882,-1.0666733,-1.2890618,-1.5603601,-1.8070799,-2.4165559,-2.8999951,-3.5415919,-4.4487882
-.046622727,-.31893981,-.5251857,-.83932382,-1.0445484,-1.3587074,-1.5499328,-2.0889111,-2.7637298,-3.2294633,-4.3328338
-.28564689,-.57239741,-.81617367,-1.0521924,-1.2892481,-1.6145229,-1.9592798,-2.3653884,-2.9075551,-3.3978839,-4.517467
-.45998481,-.72892469,-1.0222071,-1.2128551,-1.4643023,-1.7553394,-2.0354576,-2.5546954,-3.0465209,-3.6985776,-4.7279291
.32132503,.087428957,-.19742933,-.40144038,-.72454882,-1.1103587,-1.2009497,-1.8081467,-2.4856634,-2.8677232,-4.051856
-.33772594,-.63460881,-.83430237,-1.0922357,-1.3816013,-1.6674827,-1.9693993,-2.3639078,-3.0390046,-3.4670246,-4.557899
.38785744,.10217284,-.17512573,-.34347719,-.62225789,-.86778617,-1.1690601,-1.6638261,-2.3804884,-2.7764874,-3.7181482
.3860234,.13998437,-.15143272,-.44337058,-.7232101,-.94026363,-1.1307943,-1.6775521,-2.1853349,-2.6690991,-4.0026937
-.30058384,-.58783156,-.83630747,-1.0324441,-1.3771021,-1.5645653,-1.8220263,-2.4207091,-2.8965609,-3.3287601,-4.3006544
.17432834,-.08741682,-.29107076,-.58171695,-.94702578,-1.1984135,-1.3299559,-1.8814278,-2.4416883,-2.9221187,-3.9343543
-.11024597,-.35490191,-.63597935,-.93295228,-1.1283896,-1.4487922,-1.6113906,-2.0906394,-2.6663358,-3.3060405,-4.214365
.42747343,.14989457,-.084852472,-.34833691,-.63858378,-.90484768,-1.1633364,-1.7168777,-2.2678311,-2.6768234,-3.7025571
.28428769,.011665664,-.26064482,-.49463913,-.73993379,-1.0272753,-1.3430766,-1.8078594,-2.278537,-2.8190546,-3.8510697
.15762883,-.10762345,-.3440735,-.60084718,-.86510652,-1.2134099,-1.4302108,-2.0512881,-2.3545325,-2.97701,-3.9819639
.71809262,.49471465,.19725478,-.082928248,-.30628487,-.52470672,-.88796097,-1.3784562,-1.9236295,-2.4222052,-3.4905152
-.055806518,-.30145529,-.5420413,-.90596563,-1.0459573,-1.4367019,-1.5738693,-2.1945071,-2.699785,-3.0850041,-4.2303843
.65497822,.37764505,.1018308,-.20902266,-.41389209,-.64127827,-.96362317,-1.5782764,-1.9001194,-2.6242208,-3.6912134
-.02160405,-.30341461,-.52814847,-.84585512,-1.0513144,-1.4027189,-1.579613,-2.0671308,-2.5059302,-3.2654114,-4.1262937
.47393119,.20907344,-.09587919,-.35384214,-.63342786,-.81622869,-.9896068,-1.636343,-2.1366074,-2.7626097,-3.6157677
-.27005255,-.54629141,-.78718281,-1.0310977,-1.3192015,-1.6692179,-1.8919662,-2.3341482,-3.0217123,-3.5626769,-4.7062354
-.41903287,-.6516853,-.94621819,-1.2114967,-1.4580055,-1.6577297,-1.9804049,-2.5158162,-3.0058639,-3.3993781,-4.5366993
.56646216,.33312947,.014178265,-.21263896,-.43194738,-.76729023,-1.0654806,-1.4986776,-2.0534191,-2.5287638,-3.5387723
-.66120106,-.92830652,-1.2732116,-1.4810001,-1.74569,-1.9794984,-2.1831148,-2.700001,-3.2716181,-3.8832827,-4.7733707
.62362772,.36404446,.13282725,-.1617448,-.45488504,-.66027272,-.91217136,-1.5402043,-1.9862967,-2.585741,-3.5525582
-.59036833,-.86634856,-1.1520891,-1.3743271,-1.629564,-1.8541789,-2.1832078,-2.7233846,-3.1315777,-3.7486808,-4.9086056
.57214803,.31248093,.054178394,-.22281174,-.50910658,-.75933772,-.99499321,-1.4473392,-2.0683534,-2.6296523,-3.6611426
.51625961,.26940763,-.019343058,-.25474536,-.52689779,-.771469,-1.1087631,-1.6302198,-2.1949873,-2.6351256,-3.7330592
-.1032085,-.36782816,-.64068103,-.87553418,-1.1762236,-1.308334,-1.6707559,-2.1683023,-2.7629886,-3.2788036,-4.3112144
-.10296286,-.35291365,-.61613375,-.88859051,-1.0938416,-1.4230341,-1.6601735,-2.2266738,-2.6960726,-3.1978202,-4.2945957
-.70829308,-1.0045184,-1.2353815,-1.4763191,-1.7950908,-1.9489388,-2.2817824,-2.8235297,-3.2088525,-3.8412559,-4.9686923
.81959838,.58519053,.33646962,.043568231,-.18519826,-.50192374,-.81040525,-1.2898113,-1.7694497,-2.3152096,-3.6095064
1.4494691,1.1982558,.9089492,.6388762,.35690954,.13824895,-.17662236,-.69567043,-1.0999743,-1.7236718,-2.8170388
.25789079,-.0400328,-.26251394,-.63661104,-.81757796,-1.0439942,-1.3181102,-1.8704183,-2.4831884,-2.8566267,-3.8370404
.52879965,.27116963,.014460405,-.27299607,-.49288011,-.71667022,-.99470377,-1.6453665,-2.1020112,-2.7251441,-3.7944791
.032941423,-.22364925,-.51850748,-.76742721,-1.0294424,-1.3201293,-1.5560482,-2.0740974,-2.6442988,-3.2299109,-4.3442869
.069840901,-.18968199,-.47665086,-.66436112,-1.0120375,-1.2124083,-1.4996454,-1.9832115,-2.6015568,-3.087467,-4.2935643
.78730339,.51341939,.22844113,.0049347696,-.27740347,-.57937449,-.89049309,-1.3344194,-1.8619045,-2.278028,-3.4902596
-1.0563369,-1.3520159,-1.5580199,-1.8046733,-2.1239052,-2.3597312,-2.5220363,-3.1622791,-3.6402268,-4.1808825,-5.3593321
.47582129,.22947054,-.018238107,-.25355601,-.6387369,-.83764434,-1.0738196,-1.7135928,-2.245517,-2.6680727,-3.7642322
1.0473894,.78142476,.50172532,.28822127,-.029687654,-.34010297,-.55772102,-1.1104833,-1.5016271,-2.1655281,-3.2750032
-.079102032,-.32450783,-.5518322,-.87250459,-1.0928128,-1.3621395,-1.6711514,-2.119015,-2.7350118,-3.1760626,-4.1741214
.12619349,-.10380717,-.35123655,-.60649741,-.95805639,-1.1777781,-1.4055661,-1.9852901,-2.4292719,-2.9268942,-3.923877
-.26809165,-.50989288,-.7795437,-1.0248511,-1.2904177,-1.6518761,-1.7957876,-2.2780185,-2.9028838,-3.4172475,-4.6753979
.5264219,.2061964,-.0020457592,-.24387679,-.51247895,-.83559632,-1.0345821,-1.5603867,-2.1890335,-2.5618775,-3.6215615
.56915104,.26833051,.061252903,-.26803434,-.51964438,-.86913133,-.90149504,-1.5753678,-2.0908277,-2.7199824,-3.5694041
-.14829917,-.4618102,-.65584034,-.91407645,-1.2292264,-1.3876492,-1.7658672,-2.234643,-2.8709972,-3.3188763,-4.1873789
-.22613794,-.4616417,-.76538217,-1.0165864,-1.250288,-1.5848216,-1.8893064,-2.2926865,-2.855691,-3.4629524,-4.3868966
-.17515847,-.42648119,-.69252002,-1.0203679,-1.181994,-1.5168209,-1.8524857,-2.2042089,-2.6959469,-3.3368862,-4.366538
.39672506,.13214692,-.094369188,-.33137068,-.60273433,-.9385559,-1.1703792,-1.6959436,-2.2622592,-2.7560992,-3.7379687
.24780388,.0073747993,-.30777001,-.5190838,-.78608763,-1.0527879,-1.3571672,-1.7422016,-2.2973914,-2.923475,-3.84302
-.060649712,-.31914848,-.56013125,-.78500611,-1.1404796,-1.4796242,-1.6176404,-2.0063019,-2.7055345,-3.2110031,-4.3650222
-.27945867,-.5406034,-.81102937,-1.0236269,-1.3972861,-1.5681387,-1.8591292,-2.3610821,-2.9495351,-3.443908,-4.4979358
-.58319414,-.90156901,-1.0732379,-1.4203316,-1.6983527,-1.9853041,-2.1770113,-2.6835833,-3.2542253,-3.7888274,-4.8370061
-.3510977,-.60604692,-.91727608,-1.1334478,-1.3692062,-1.5891154,-1.9566129,-2.3693159,-2.8757246,-3.5312068,-4.5277877
.42276683,.13037208,-.1055917,-.42183694,-.63620949,-.88918495,-1.1397945,-1.6922269,-2.1760986,-2.7338681,-3.9259076
.20703532,-.050950602,-.42228556,-.563636,-.92115468,-1.1755074,-1.539884,-1.8728988,-2.4797168,-2.9335661,-4.2068882
-.029656708,-.35148919,-.57054782,-.79857123,-1.0084651,-1.2574743,-1.5918685,-2.204726,-2.6412663,-3.0846639,-4.2605314
.44661656,.19741157,-.03012448,-.33849499,-.60127771,-.90213478,-1.2240427,-1.6978389,-2.3415532,-2.6974592,-3.8759389
-.080369018,-.34390777,-.56322914,-.87997657,-1.2441478,-1.3324722,-1.6400089,-2.2286406,-2.7332587,-3.4241364,-4.2194829
.88151467,.63371456,.37854075,.11216158,-.14781763,-.44222188,-.67883319,-1.2248218,-1.9106408,-2.2687328,-3.299902
.033008832,-.2076443,-.47292569,-.81915081,-.96761888,-1.2421975,-1.5263407,-1.9977696,-2.5820384,-3.0035276,-4.2786217
.51567489,.2586309,-.0015837507,-.27187073,-.52527589,-.76836801,-1.1235384,-1.5771428,-2.0993686,-2.7506344,-3.7041039
-.3644436,-.64209908,-.89389908,-1.169371,-1.3549937,-1.7109773,-1.8883126,-2.465781,-3.0127037,-3.5181603,-4.553124
.43184593,.14212908,-.12284317,-.34123471,-.57210934,-.873864,-1.1643555,-1.7974471,-2.2997763,-2.8922873,-3.6754951
.2644392,.011161631,-.29799816,-.52899635,-.84665596,-1.0812638,-1.3286645,-1.8026972,-2.3004982,-2.8812826,-4.0365276
.24042788,-.012879206,-.31660584,-.55351448,-.86036825,-1.0527338,-1.3322563,-1.8851006,-2.4236224,-2.8185201,-3.9063427
.026024276,-.25027221,-.49001583,-.73830163,-1.0374691,-1.2393351,-1.5445907,-1.9820768,-2.5725012,-3.1771982,-4.1316352
.023279261,-.26554617,-.48364106,-.80080819,-1.0341861,-1.2260122,-1.5751777,-2.1108992,-2.6126816,-3.1552665,-4.1532803
.071780771,-.19026951,-.4347257,-.7672084,-.96705687,-1.1808522,-1.4631791,-2.0039101,-2.4937437,-3.0656452,-4.097517
-.36635688,-.62131315,-.93469292,-1.2216381,-1.4212141,-1.6391052,-1.9675177,-2.4181917,-2.9186354,-3.484575,-4.3906417
-.039120417,-.2613984,-.53431016,-.80080813,-1.1166439,-1.3162026,-1.6281263,-2.2285883,-2.6623952,-3.1991827,-4.2314796
-.41669455,-.66007251,-.97237337,-1.2955167,-1.3832444,-1.7493719,-2.1237292,-2.5601087,-3.1239674,-3.5379477,-4.7339973
.63991672,.39573312,.15955795,-.20414709,-.44203055,-.67284465,-1.0165877,-1.5288557,-2.0264235,-2.5561409,-3.6443961
.89862335,.6285274,.34747171,.073058859,-.24933885,-.4652335,-.66741538,-1.2147914,-1.7176037,-2.2005603,-3.1883025
.0088736815,-.26184809,-.51942658,-.786089,-1.0388157,-1.2712251,-1.5178835,-2.0896657,-2.5654356,-3.0501847,-4.3113256
.88541776,.59938741,.34420997,.16251892,-.28637314,-.40545389,-.73969358,-1.2032814,-1.7498671,-2.3048244,-3.2783329
-.021320444,-.24635825,-.52263397,-.79449236,-1.0534182,-1.3420936,-1.5707392,-2.0736058,-2.7002873,-3.189925,-4.1612344
.12515679,-.15351516,-.4210932,-.70783031,-.96616757,-1.2305601,-1.5192341,-1.9475813,-2.5239217,-3.0225284,-4.1117554
.70130962,.45953497,.13889772,-.10345679,-.430237,-.54006481,-.95653719,-1.4349601,-1.94598,-2.5524859,-3.4318159
.64411044,.36365217,.089331068,-.13897532,-.43136105,-.65153331,-.93347043,-1.4542644,-2.0706406,-2.4657252,-3.5904202
.58114988,.3146058,.030784188,-.26341155,-.47507387,-.75421852,-1.1104441,-1.5132128,-1.9905192,-2.6118662,-3.5898426
-.57498634,-.83910656,-1.12458,-1.4025955,-1.6635405,-1.9007065,-2.1184578,-2.6255205,-3.1601355,-3.6344793,-4.5656805
.19882639,-.086965583,-.27524933,-.62662834,-.77478719,-1.1195091,-1.550632,-1.8560467,-2.5120893,-2.9587901,-4.0358615
.043706972,-.19275665,-.42124921,-.70830107,-1.0159922,-1.184283,-1.5384887,-2.0522161,-2.464896,-3.0466008,-4.036962
-.81828952,-1.086447,-1.4141136,-1.5940355,-1.876218,-2.0657096,-2.4123971,-2.8909204,-3.4798033,-3.9700451,-5.0349326
.57507664,.32914075,.081305966,-.17906138,-.53276026,-.78672099,-1.0755044,-1.5854349,-2.0746646,-2.5399396,-3.564934
.36639863,.1112946,-.16754089,-.46533534,-.63936943,-.88417363,-1.2645484,-1.9374115,-2.1994495,-2.8275061,-3.8864031
-.24640584,-.46566004,-.8154065,-.99893236,-1.2331266,-1.5340781,-1.7318126,-2.2794054,-3.0151334,-3.2592776,-4.4763279
-.089630067,-.35649461,-.59461617,-.9109174,-1.1427497,-1.5143235,-1.6401683,-2.2957611,-2.6984119,-3.254549,-4.404954
.91969848,.64884984,.36424303,.15335487,-.1410988,-.32446903,-.65552402,-1.2336879,-1.7164655,-2.2651834,-3.3059645
