b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20
.099626444,-.87744576,-1.8896768,-2.8637915,-3.894217,-4.8932233,-5.8235526,-6.9006548,-7.8922739,-8.8898611,-9.9123068,-10.761785,-11.736835,-12.82885,-13.805492,-14.841958,-16.02232,-16.923641,-17.926121,-18.865818
-1.8191627,-2.8063128,-3.8586588,-4.8728352,-5.7517858,-6.7716804,-7.7687988,-8.7599459,-9.666585,-10.735278,-11.806197,-12.741855,-13.67321,-14.681884,-15.732448,-16.534895,-17.594265,-18.576464,-19.807356,-20.678909
6.9029865,5.8500752,4.7542877,3.775775,2.6105134,1.6404953,.63128662,-.56090343,-1.4638954,-2.694294,-3.5800786,-4.6775579,-5.8485341,-6.8018398,-8.0364494,-9.1077652,-10.049191,-11.161761,-12.306783,-13.344054
-1.3814523,-2.3492603,-3.2825191,-4.37536,-5.3183885,-6.2811589,-7.2857814,-8.3048191,-9.2959538,-10.244627,-11.194837,-12.279887,-13.11257,-14.163342,-15.070941,-16.353376,-17.215511,-18.022648,-18.993874,-20.091209
7.6114068,6.5612974,5.4739771,4.3363609,3.2793956,2.2557526,1.2075642,.035983983,-.90188497,-2.0956786,-3.0408969,-4.1470699,-5.2742348,-6.4746046,-7.3637938,-8.4310923,-9.4691477,-10.740005,-11.568744,-12.802867
.47997791,-.56245959,-1.5338306,-2.5552027,-3.5432711,-4.6496377,-5.6191154,-6.6451778,-7.6220031,-8.6884623,-9.5835218,-10.60141,-11.701979,-12.617209,-13.620093,-14.688368,-15.648381,-16.662531,-17.592442,-18.642134
-.96568596,-1.9613059,-2.9170945,-3.9079959,-4.8793445,-5.8877645,-6.8878942,-7.8775454,-8.9143353,-9.8120308,-10.838531,-11.820926,-13.018649,-13.654685,-14.695992,-15.772584,-17.009336,-18.119965,-18.870434,-19.79998
.59452999,-.40348443,-1.4070334,-2.4674897,-3.4225876,-4.5292811,-5.5417089,-6.5934882,-7.4876184,-8.5025568,-9.443305,-10.578278,-11.595356,-12.62839,-13.544748,-14.610235,-15.657625,-16.691624,-17.565966,-18.78948
-1.3339363,-2.3197112,-3.2696469,-4.2998209,-5.2702184,-6.304708,-7.3066564,-8.1836615,-9.2123051,-10.122707,-11.276207,-12.083707,-13.111621,-14.186672,-15.144484,-16.044308,-16.988081,-18.030226,-19.039078,-20.089685
-.20979068,-1.2057232,-2.1774364,-3.1878705,-4.3261008,-5.1679826,-6.2376437,-7.239244,-8.1724844,-9.3182697,-10.223921,-11.174474,-12.132306,-13.111407,-14.127244,-15.198324,-16.104292,-17.251516,-18.234947,-19.385422
-.14505886,-1.1908301,-2.1651483,-3.1292071,-4.1463552,-5.1005816,-6.1229734,-7.2391419,-8.0072947,-9.2304296,-10.134514,-11.289441,-12.228852,-13.298935,-14.123053,-15.304113,-16.237581,-17.203894,-18.118631,-19.157585
1.8357868,.84917098,-.1690051,-1.176003,-2.2114761,-3.2391629,-4.1920776,-5.2114048,-6.2752838,-7.2810297,-8.3473444,-9.2460232,-10.235314,-11.330892,-12.416748,-13.395327,-14.43288,-15.417135,-16.379333,-17.400911
-3.6013777,-4.5764875,-5.5106802,-6.3838897,-7.4937835,-8.4364777,-9.3407154,-10.337653,-11.381374,-12.330631,-13.262164,-14.11439,-15.131186,-16.047085,-17.138571,-17.996265,-19.083578,-19.890985,-20.946947,-22.171417
-3.8432822,-4.8337111,-5.786716,-6.7513676,-7.7131376,-8.6572781,-9.5352201,-10.524406,-11.55477,-12.68201,-13.410231,-14.481028,-15.430887,-16.459995,-17.318644,-18.263399,-19.165937,-20.357899,-21.229719,-22.193108
-.19188808,-1.1389116,-2.1952536,-3.1623979,-4.2919202,-5.2771716,-6.1787734,-7.1573286,-8.2119923,-9.1479139,-10.239708,-11.250688,-12.165283,-13.366862,-14.295104,-15.306153,-16.286606,-17.29207,-18.286316,-19.367941
-1.162075,-2.1626191,-3.1178601,-4.1335077,-5.1905413,-6.1585202,-7.2015915,-8.1141424,-9.0292253,-10.15409,-11.065526,-12.190185,-13.034034,-13.938967,-15.144286,-16.011726,-17.071205,-18.14081,-19.141232,-19.983671
-3.6984367,-4.6700354,-5.6108875,-6.5382915,-7.5239081,-8.5038614,-9.4685888,-10.41873,-11.411209,-12.480328,-13.226059,-14.309134,-15.207531,-16.166382,-17.238054,-18.16622,-19.072687,-19.827328,-21.017305,-21.920797
