b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20
-6.5780048,-7.4711909,-8.4115791,-9.3362761,-10.220967,-11.125154,-12.230656,-12.861814,-13.966847,-14.829177,-15.77104,-16.666924,-17.528587,-18.586588,-19.555565,-20.471195,-21.364769,-22.287525,-23.455883,-24.149572
-13.121087,-13.979398,-14.909966,-15.708378,-16.563547,-17.435921,-18.332973,-19.175932,-20.158051,-20.990484,-21.820724,-22.623665,-23.52269,-24.545408,-25.451675,-26.12932,-26.936357,-28.06465,-28.830051,-29.750561
1.6338131,.59686255,-.3853178,-1.4176282,-2.4685726,-3.4987481,-4.4524689,-5.4985914,-6.5458679,-7.4691253,-8.695467,-9.5856228,-10.691092,-11.675809,-12.570522,-13.535877,-14.638564,-15.577897,-16.589109,-17.787243
-21.11198,-21.887466,-22.650791,-23.474785,-24.298864,-25.119156,-25.893974,-26.710238,-27.430204,-28.250744,-29.08943,-29.867516,-30.716627,-31.388422,-32.267967,-33.016209,-33.806564,-34.616364,-35.409672,-36.244221
-4.0288453,-4.9706106,-5.9532762,-6.8272204,-7.9024596,-8.7378817,-9.7255049,-10.718394,-11.799319,-12.736342,-13.589415,-14.594145,-15.464838,-16.55514,-17.434578,-18.316139,-19.172682,-20.255175,-21.268486,-22.113453
-1.0539697,-1.9845823,-3.0545988,-4.0526214,-4.9817681,-5.9715219,-7.050014,-8.0713329,-8.9299736,-10.093169,-10.867568,-11.961544,-12.93658,-13.850195,-14.957644,-15.888211,-16.915562,-17.806746,-19.051212,-20.069418
-4.1041265,-5.0681806,-6.031076,-6.9414544,-7.9482312,-8.8188734,-9.7586861,-10.74515,-11.831516,-12.784265,-13.630234,-14.716011,-15.719795,-16.667322,-17.542477,-18.593538,-19.514095,-20.331005,-21.542347,-22.343201
-14.865587,-15.712366,-16.558807,-17.379566,-18.172394,-19.051722,-19.95813,-20.753229,-21.621971,-22.340004,-23.254782,-24.246317,-24.9217,-25.77264,-26.513054,-27.457367,-28.270256,-29.099363,-30.04878,-30.758472
-.652897,-1.6244161,-2.5937734,-3.6041524,-4.5512228,-5.5504031,-6.5930266,-7.4872499,-8.4742718,-9.4676065,-10.485606,-11.202883,-12.443716,-13.329036,-14.355311,-15.268644,-16.529686,-17.340973,-18.398838,-19.382986
7.0125709,5.9374614,4.9100695,3.7574198,2.7050142,1.6822072,.63848287,-.43307614,-1.5450301,-2.5729294,-3.7522564,-4.7535448,-5.7974715,-7.0005927,-8.0681219,-9.0107927,-9.9829473,-11.345012,-12.451214,-13.097326
4.5746784,3.5370669,2.5093238,1.4712172,.40066847,-.54527545,-1.7091868,-2.7019565,-3.7161973,-4.7494731,-5.7652435,-6.6852636,-7.8574266,-8.7736807,-9.9835377,-10.823049,-11.782054,-13.034315,-13.899537,-15.010678
-1.4112041,-2.4169097,-3.3867877,-4.4141364,-5.3190613,-6.2869725,-7.2739906,-8.3350325,-9.4126205,-10.181241,-11.256153,-12.265163,-13.285488,-14.40673,-15.224453,-16.282373,-17.116339,-18.108969,-19.338058,-20.233418
-.53995264,-1.492557,-2.4588025,-3.5371404,-4.4973669,-5.480814,-6.45084,-7.4705772,-8.4869509,-9.3681583,-10.45487,-11.414059,-12.453485,-13.399465,-14.585322,-15.335223,-16.371704,-17.284389,-18.377378,-19.209852
4.8776674,3.8138273,2.7290988,1.768728,.73234063,-.39628503,-1.4923841,-2.4456689,-3.5119975,-4.5966721,-5.6084509,-6.6787953,-7.7981057,-8.8419724,-9.8075285,-10.81979,-12.020918,-13.067155,-14.054027,-15.101056
-.3546257,-1.3511766,-2.3954163,-3.2568009,-4.3525357,-5.2780123,-6.3789248,-7.3422909,-8.4121141,-9.3445005,-10.323887,-11.498285,-12.434224,-13.471719,-14.378125,-15.250777,-16.467525,-17.308466,-18.28684,-19.449234
-9.6190701,-10.506981,-11.404137,-12.348945,-13.190988,-14.123751,-14.955204,-16.012394,-16.798485,-17.799835,-18.644873,-19.45673,-20.394915,-21.44722,-22.394209,-23.196398,-24.061451,-24.900202,-25.770266,-26.663662
2.2031839,1.1746463,.17195389,-.88619179,-1.8885952,-2.812741,-3.9132049,-4.8505378,-5.9500141,-7.0273371,-8.1088142,-9.0536995,-10.073752,-11.016625,-12.164942,-13.039374,-14.115664,-15.242543,-16.229887,-17.309378
5.4604177,4.3640814,3.3516884,2.2719254,1.2248989,.1790019,-.93698341,-1.9862878,-2.8501055,-4.1049743,-5.0984311,-6.2354059,-7.2434425,-8.216444,-9.3280973,-10.37632,-11.5679,-12.481646,-13.561999,-14.760395
