b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-.72690105,-1.1967685,-1.7175941,-2.2191453,-2.7294712,-3.2343638,-3.6892745,-4.1442533,-4.6455474,-5.148984,-5.7315197,-6.1969948,-6.6355071,-7.1190848,-7.6810288,-8.1651068,-8.652524,-9.1944027,-9.5806522,-10.157108,-10.717508,-11.172502,-11.57282,-12.13902
-.091152392,-.58748263,-1.0694678,-1.5997155,-2.0986414,-2.5996447,-3.0241821,-3.5605338,-4.064692,-4.5357542,-5.1082587,-5.5572414,-6.0576034,-6.5569057,-7.0610685,-7.6213193,-8.0636902,-8.6177826,-9.123455,-9.5798702,-10.077483,-10.631152,-11.034307,-11.589651
-.18385106,-.68289441,-1.1584269,-1.6904449,-2.1407154,-2.6575627,-3.170068,-3.7135983,-4.1305656,-4.7076859,-5.1822958,-5.6766882,-6.1598678,-6.6383471,-7.1532583,-7.628849,-8.1533966,-8.6401339,-9.0959969,-9.6628504,-10.164421,-10.590297,-11.243032,-11.617632
.64175272,.1227461,-.35025319,-.87646508,-1.3460214,-1.879439,-2.3722777,-2.8601658,-3.384346,-3.8648531,-4.3692341,-4.9121532,-5.3643584,-5.8162065,-6.5218892,-6.9322362,-7.3765044,-7.9069386,-8.4608078,-8.9365902,-9.3092527,-9.9508238,-10.50597,-10.992562
-.30056867,-.79345065,-1.3067755,-1.798124,-2.2991233,-2.8251798,-3.3161187,-3.7611334,-4.2695885,-4.7799525,-5.2658114,-5.760078,-6.2720728,-6.7928777,-7.2556157,-7.771028,-8.2507782,-8.6818762,-9.3459129,-9.7394323,-10.353344,-10.77435,-11.213056,-11.765736
-.02751554,-.53979236,-1.0160331,-1.5296403,-1.9705961,-2.5274069,-2.9854681,-3.5173268,-4.0228949,-4.5029225,-4.9746332,-5.5355568,-6.013648,-6.53545,-6.9942021,-7.4484868,-8.0443668,-8.5519037,-8.9968863,-9.5020361,-9.9989939,-10.564211,-11.013155,-11.534484
-.231445,-.72804737,-1.2523396,-1.7321575,-2.2210512,-2.6754761,-3.2297056,-3.6831472,-4.2422457,-4.7063131,-5.2122769,-5.674057,-6.1659222,-6.7058949,-7.1705494,-7.666513,-8.2324886,-8.705018,-9.2524223,-9.6508017,-10.150773,-10.695251,-11.123254,-11.677473
.031866342,-.47776738,-.97119272,-1.4772309,-1.9554782,-2.4855642,-2.9369121,-3.4967866,-3.9819324,-4.4386134,-4.945611,-5.4322338,-6.0167489,-6.4972758,-7.0083241,-7.4447331,-7.9363894,-8.4415636,-8.9203901,-9.4433107,-9.9249563,-10.436777,-10.983448,-11.507433
-.66026342,-1.1675647,-1.6588591,-2.163687,-2.6411014,-3.1653645,-3.6257923,-4.0574703,-4.6031795,-5.1275353,-5.6379938,-6.0679088,-6.5675297,-7.0602245,-7.6072111,-8.0805674,-8.5726061,-9.0832052,-9.6501112,-10.152669,-10.547786,-11.125054,-11.587876,-12.160697
.1438009,-.35491765,-.85995793,-1.3646864,-1.8269764,-2.3474014,-2.8934953,-3.3598945,-3.8609955,-4.4421639,-4.8454118,-5.3366947,-5.9210544,-6.2817106,-6.8128939,-7.4209795,-7.8442831,-8.4407759,-8.8363419,-9.3887062,-9.8505287,-10.268054,-10.927421,-11.411864
