b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-1.8081434,-2.2833259,-2.7798879,-3.2867904,-3.7769287,-4.2727957,-4.7395773,-5.2021103,-5.6941366,-6.1916018,-6.7644982,-7.2256622,-7.6582937,-8.1599169,-8.6848869,-9.1502247,-9.6519032,-10.196717,-10.597948,-11.097253,-11.659851,-12.110538,-12.560199,-13.103733
-.95940465,-1.4483398,-1.9299352,-2.4485962,-2.9497762,-3.444833,-3.865545,-4.3972135,-4.8990231,-5.362606,-5.9383483,-6.3573647,-6.8662415,-7.376338,-7.8607578,-8.4248447,-8.8712893,-9.4035616,-9.9016314,-10.378132,-10.853621,-11.408542,-11.794034,-12.350596
-.14489616,-.6394822,-1.1226113,-1.6510429,-2.1033022,-2.6141748,-3.1298201,-3.6786456,-4.0855985,-4.663661,-5.1491556,-5.6413441,-6.1137977,-6.6198916,-7.1355882,-7.5792751,-8.1183424,-8.5984259,-9.0664053,-9.6382055,-10.129513,-10.584846,-11.198267,-11.573177
.51187152,-.0082422784,-.47417077,-1.0005198,-1.4706092,-2.0076301,-2.5090897,-2.9849927,-3.5063078,-3.9864867,-4.4880576,-5.0246992,-5.5002007,-5.9368677,-6.6185279,-7.0419159,-7.5013375,-8.019145,-8.5668459,-9.0598001,-9.4274054,-10.082387,-10.62412,-11.090242
-.96239454,-1.4523882,-1.9685733,-2.4501295,-2.9377813,-3.4799433,-3.9480546,-4.4004092,-4.9068623,-5.4338059,-5.9092588,-6.3849397,-6.8930435,-7.4244909,-7.8722749,-8.3691626,-8.8521423,-9.2852163,-9.9389095,-10.336504,-10.915023,-11.352823,-11.801574,-12.360611
.6938504,.1805121,-.303,-.81310105,-1.2630525,-1.8188044,-2.2818379,-2.8264227,-3.330071,-3.8169222,-4.2961063,-4.8399,-5.3397279,-5.8568769,-6.3315554,-6.7776289,-7.3752651,-7.8771954,-8.3342609,-8.8622227,-9.3459187,-9.906374,-10.36999,-10.910277
-.65562588,-1.150467,-1.669433,-2.1533897,-2.6382141,-3.089298,-3.6423883,-4.1028938,-4.6500869,-5.1072979,-5.602973,-6.0607309,-6.5558319,-7.1078773,-7.5785899,-8.0603848,-8.6111774,-9.0822001,-9.6383123,-10.026799,-10.53258,-11.054692,-11.510486,-12.038827
.030566286,-.48072389,-.97432369,-1.4792935,-1.950107,-2.4946778,-2.9413869,-3.4832497,-3.9923692,-4.4335623,-4.9467368,-5.4281707,-6.0114436,-6.4944,-7.013617,-7.4607501,-7.9375353,-8.4594841,-8.921443,-9.4416056,-9.9092684,-10.436844,-10.993441,-11.509736
.58373678,.06803795,-.42687726,-.93956536,-1.4193439,-1.9570464,-2.4251299,-2.8579021,-3.4204612,-3.9462261,-4.4425774,-4.8981633,-5.3801632,-5.9013958,-6.4503493,-6.9140701,-7.4391294,-7.9488692,-8.5098391,-9.026556,-9.4367237,-10.00333,-10.498734,-11.041798
.25074792,-.24918301,-.74856693,-1.2617466,-1.7189593,-2.2389855,-2.7912157,-3.2471445,-3.7569015,-4.3320246,-4.7438645,-5.2392383,-5.8213005,-6.1799045,-6.7173333,-7.3223166,-7.7441196,-8.3349886,-8.7450924,-9.2857561,-9.7463093,-10.160381,-10.83009,-11.318666
