b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-.079740629,-.57909513,-1.0920306,-1.5737059,-2.0823696,-2.5465086,-3.1033168,-3.5851505,-4.0993123,-4.5857925,-5.002923,-5.61975,-6.0871682,-6.5643001,-7.0209489,-7.467752,-8.0863008,-8.4650984,-9.0731077,-9.566905,-10.08926,-10.566404,-11.120951,-11.617226
.24254303,-.24587937,-.79007584,-1.2763263,-1.7423683,-2.2534652,-2.7645512,-3.2533011,-3.7681425,-4.2374868,-4.7560229,-5.3108492,-5.7207241,-6.2642655,-6.7894444,-7.2939377,-7.8074574,-8.2229967,-8.7524452,-9.2456293,-9.7070646,-10.211918,-10.805125,-11.246131
3.460875,2.9197676,2.4459395,1.9296045,1.4137952,.90544909,.371407,-.13111337,-.66883749,-1.2018851,-1.7372316,-2.2207541,-2.7820039,-3.2975476,-3.7669282,-4.2588181,-4.73104,-5.2784219,-5.7765899,-6.3803682,-6.7830834,-7.368185,-7.9408422,-8.4071293
.97899008,.4756496,-.021137297,-.55456507,-1.0230072,-1.5535572,-2.0115433,-2.5723116,-3.0596843,-3.5693495,-4.0154119,-4.6354799,-5.1307592,-5.5491676,-6.0531316,-6.5878205,-7.1039963,-7.6105685,-8.1146717,-8.5477161,-9.1229668,-9.6210651,-10.136802,-10.748183
.32698655,-.18755922,-.66221166,-1.1805282,-1.7230697,-2.2036867,-2.7326307,-3.1650939,-3.6905749,-4.1960049,-4.6821032,-5.1282482,-5.6385794,-6.1821084,-6.7284303,-7.2217264,-7.6302743,-8.1435966,-8.6763382,-9.2955093,-9.7124557,-10.135596,-10.636563,-11.086481
-.13888767,-.64274061,-1.1557263,-1.6347542,-2.1401961,-2.6363335,-3.1963484,-3.6332664,-4.1638608,-4.6425905,-5.1109409,-5.5284605,-6.1435256,-6.650517,-7.164731,-7.5511765,-8.0954418,-8.6762571,-9.1239166,-9.6378956,-10.05919,-10.559196,-11.180323,-11.598368
-.95081317,-1.4408916,-1.9174418,-2.4354997,-2.9394839,-3.3705795,-3.8805594,-4.4143314,-4.9065485,-5.3446569,-5.8889236,-6.4252272,-6.8301725,-7.4028058,-7.8930507,-8.3459425,-8.804801,-9.3277559,-9.8504248,-10.3596,-10.868446,-11.337326,-11.743479,-12.214651
-1.4314997,-1.8991203,-2.4061356,-2.9343927,-3.4128268,-3.9182069,-4.3823857,-4.8812118,-5.4250836,-5.8608828,-6.3257427,-6.9273176,-7.3310437,-7.7922177,-8.3708076,-8.8525591,-9.34869,-9.8249598,-10.301147,-10.759891,-11.238399,-11.7197,-12.256753,-12.654589
.53748959,.042516757,-.50161058,-.96914083,-1.4703571,-1.9656434,-2.4738913,-2.9514422,-3.4704785,-3.990448,-4.4913845,-4.962604,-5.430346,-5.9336505,-6.4919419,-6.9292703,-7.4815202,-8.0009022,-8.4564495,-9.0080271,-9.5256681,-10.049496,-10.454417,-10.972072
-.72825074,-1.2189747,-1.7609942,-2.2348394,-2.7315929,-3.2037985,-3.7277586,-4.1636233,-4.6297808,-5.2052069,-5.6437364,-6.1977696,-6.7315564,-7.1722918,-7.6471,-8.2311192,-8.6768789,-9.1726198,-9.6356182,-10.089692,-10.56589,-11.194578,-11.526659,-12.104387
