b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-.12078948,-.61845177,-1.1378987,-1.6098652,-2.1311271,-2.5996468,-3.1438775,-3.6400595,-4.1463752,-4.62851,-5.0653591,-5.6663551,-6.1435609,-6.6097617,-7.077456,-7.5057583,-8.1219387,-8.5026217,-9.0789347,-9.6218195,-10.106239,-10.582849,-11.189925,-11.634901
.89847684,.3993848,-.15119067,-.61959773,-1.0963333,-1.5892168,-2.1339159,-2.6255648,-3.1424198,-3.6316307,-4.1364312,-4.6993561,-5.1280856,-5.6248779,-6.1876788,-6.6836448,-7.2035217,-7.6506648,-8.1721334,-8.66292,-9.1230412,-9.6022968,-10.227494,-10.641742
1.471155,.94548637,.47378528,-.021439932,-.53904033,-1.0301735,-1.5695974,-2.0634012,-2.5787313,-3.1043525,-3.6138885,-4.1034489,-4.6723552,-5.175807,-5.5943608,-6.1189656,-6.554491,-7.1181583,-7.5735946,-8.1534042,-8.567832,-9.1818171,-9.7051878,-10.202373
1.254167,.7494809,.24190414,-.28239599,-.7718907,-1.2797078,-1.7520056,-2.2901044,-2.7827284,-3.2840974,-3.740984,-4.3682261,-4.8575611,-5.300704,-5.8176522,-6.3531036,-6.8574815,-7.3290582,-7.8631735,-8.3094711,-8.8741913,-9.3929214,-9.8626213,-10.517128
.28081957,-.22902258,-.70471072,-1.2249763,-1.7590406,-2.2491205,-2.7878108,-3.2012269,-3.7382994,-4.232327,-4.750566,-5.1661968,-5.6697054,-6.2174754,-6.7696323,-7.2699008,-7.6859431,-8.1846838,-8.7155476,-9.339344,-9.7491217,-10.208032,-10.675087,-11.113136
.13059196,-.37144741,-.89419466,-1.3727664,-1.87925,-2.3689466,-2.9215312,-3.3694644,-3.912389,-4.3931541,-4.8542948,-5.2788033,-5.8859873,-6.3741255,-6.8829336,-7.3190327,-7.8375821,-8.4798145,-8.8746777,-9.3646536,-9.8053303,-10.296062,-10.939291,-11.379711
-.88086247,-1.3686906,-1.8570958,-2.3654232,-2.8655787,-3.3116088,-3.8127263,-4.3490157,-4.8442926,-5.2687407,-5.8212047,-6.3579164,-6.7624922,-7.34969,-7.8226018,-8.2689638,-8.7205048,-9.2781286,-9.7607527,-10.282199,-10.813383,-11.292285,-11.709572,-12.144915
-.74653107,-1.2203822,-1.7270586,-2.2543879,-2.7595527,-3.2965579,-3.7109649,-4.2027764,-4.7636514,-5.1823068,-5.6390591,-6.295537,-6.7096438,-7.1564054,-7.7406216,-8.2217093,-8.7190666,-9.2096167,-9.6748571,-10.188951,-10.611334,-11.034247,-11.607185,-12.00872
1.4450327,.93863839,.40164557,-.086288288,-.5980593,-1.0723486,-1.5975498,-2.0718193,-2.6257288,-3.1233776,-3.6305182,-4.1233892,-4.5845675,-5.085156,-5.6595879,-6.0710568,-6.6544213,-7.1932869,-7.5986795,-8.1935062,-8.6885242,-9.2368574,-9.628788,-10.171451
-.69316536,-1.1834736,-1.7167168,-2.1958337,-2.7014005,-3.1701066,-3.6812191,-4.1310735,-4.6036115,-5.1688724,-5.5891361,-6.174933,-6.7088132,-7.1302319,-7.6178226,-8.2179852,-8.6639881,-9.1531076,-9.604599,-10.065565,-10.5453,-11.139791,-11.494306,-12.054829
-1.0882125,-1.5878592,-2.1052141,-2.5806549,-3.0874696,-3.5556223,-4.0342278,-4.5235105,-5.0375538,-5.5226603,-6.0338778,-6.4682193,-6.9843326,-7.4765353,-7.9632888,-8.4826231,-9.0515699,-9.4625616,-9.9926329,-10.454135,-10.990393,-11.381578,-11.892535,-12.4242
