b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
1.2907628,.78506607,.26121926,-.22323287,-.7449913,-1.2149767,-1.7734693,-2.2697158,-2.786957,-3.2790694,-3.7069273,-4.3213792,-4.807323,-5.2877584,-5.7490411,-6.2068658,-6.8274808,-7.2082582,-7.813684,-8.3248158,-8.8545713,-9.3402615,-9.9068975,-10.395006
-1.0190996,-1.5058446,-2.0537987,-2.5052006,-2.9709172,-3.4736841,-3.9872503,-4.4795246,-4.9758601,-5.4657431,-5.959682,-6.5139446,-6.9219165,-7.4201779,-7.9697595,-8.4527264,-8.9787178,-9.3887329,-9.895484,-10.380662,-10.863306,-11.347842,-11.933132,-12.335951
.85139602,.32992855,-.13694356,-.6304608,-1.1447754,-1.6340524,-2.1703513,-2.6552727,-3.1692829,-3.696069,-4.2092505,-4.6939998,-5.247829,-5.7568355,-6.1734753,-6.6804709,-7.1290889,-7.6831112,-8.1472292,-8.7171192,-9.1230869,-9.7257509,-10.266257,-10.723726
1.210008,.70643318,.20059769,-.33066869,-.79930496,-1.3259077,-1.790893,-2.3467512,-2.8280964,-3.3303721,-3.7906466,-4.4124646,-4.8942814,-5.3404326,-5.847229,-6.3684216,-6.887599,-7.3881159,-7.9150214,-8.3457489,-8.9002752,-9.4357948,-9.9165163,-10.545808
1.0544775,.53974003,.059163976,-.46356574,-1.0053191,-1.4939281,-2.0384479,-2.4594574,-3.0024934,-3.5008171,-4.0093865,-4.4381289,-4.9402351,-5.4929333,-6.0537653,-6.5539436,-6.9665356,-7.4672837,-8.0094357,-8.6362324,-9.0587645,-9.5011702,-9.9859877,-10.433628
.19363865,-.30881119,-.83100253,-1.3087976,-1.8173268,-2.3073852,-2.8650422,-3.3098094,-3.8471448,-4.3317442,-4.7978463,-5.2185636,-5.8302207,-6.3214335,-6.831378,-7.2544069,-7.778358,-8.4146776,-8.8183146,-9.3169489,-9.7522945,-10.243108,-10.885133,-11.317739
-1.7918499,-2.2752604,-2.7559023,-3.2626987,-3.7633216,-4.2025137,-4.6984749,-5.2306805,-5.7174697,-6.1504111,-6.6852055,-7.2199125,-7.6162992,-8.199789,-8.6712627,-9.1142988,-9.5626469,-10.111257,-10.604453,-11.109734,-11.629903,-12.109769,-12.512304,-12.947422
-1.6976001,-2.1588798,-2.6708915,-3.1931074,-3.6746967,-4.2047544,-4.6249051,-5.1291189,-5.6646247,-6.1012878,-6.5591583,-7.1672821,-7.5860529,-8.0361748,-8.6367693,-9.0991297,-9.5872078,-10.057105,-10.547242,-11.040228,-11.475187,-11.927862,-12.488906,-12.868771
.85266352,.35655743,-.18702652,-.6586566,-1.15969,-1.6637399,-2.1664031,-2.6450713,-3.1688445,-3.6970239,-4.1921887,-4.6723285,-5.1274743,-5.6374049,-6.1996727,-6.6208153,-7.1947875,-7.7103925,-8.1735458,-8.72575,-9.2354069,-9.7608442,-10.188443,-10.698179
-.33728966,-.83198816,-1.3658592,-1.8393172,-2.3563466,-2.8238044,-3.3382845,-3.7861927,-4.2562122,-4.8305855,-5.2504516,-5.8309007,-6.3655953,-6.8028789,-7.2795019,-7.8848176,-8.3350801,-8.8263865,-9.2841778,-9.7430182,-10.224624,-10.827615,-11.171485,-11.743587
-.84538013,-1.3438743,-1.867501,-2.3466084,-2.8539057,-3.3164346,-3.7974017,-4.2879524,-4.7978787,-5.3039427,-5.8037181,-6.2388959,-6.7528706,-7.2543826,-7.7284942,-8.263483,-8.8268213,-9.2472935,-9.7681475,-10.235553,-10.774206,-11.167798,-11.675658,-12.205894
1.3210963,.8403579,.34877589,-.11539243,-.70696664,-1.1843483,-1.7059307,-2.2598732,-2.7474284,-3.2218049,-3.7975423,-4.2834029,-4.776515,-5.3361912,-5.7598767,-6.150528,-6.791153,-7.3243709,-7.7349772,-8.3465204,-8.6988974,-9.3126154,-9.7663345,-10.33296
-.12132936,-.61864758,-1.1241693,-1.6152374,-2.1324522,-2.6319003,-3.0686526,-3.5642326,-4.1198926,-4.635293,-5.0374985,-5.648026,-6.0204577,-6.648581,-7.1082897,-7.5816083,-8.159009,-8.6436281,-9.1660337,-9.5077324,-10.028989,-10.628939,-11.126577,-11.565245
.51054162,.00012927841,-.49335989,-.98134851,-1.5221627,-2.0528016,-2.4966488,-3.0001707,-3.493336,-4.0641828,-4.542027,-5.0196562,-5.4877028,-5.9936948,-6.4139862,-7.0421896,-7.5223904,-8.1322327,-8.5718384,-9.0011759,-9.4658928,-10.04048,-10.593441,-11.05232
-.19030291,-.69082576,-1.1630026,-1.6999011,-2.1787426,-2.6320996,-3.1950679,-3.6969965,-4.1452131,-4.7112837,-5.2192831,-5.7466435,-6.1733766,-6.6903186,-7.2073359,-7.6785755,-8.1335802,-8.6152239,-9.1741714,-9.6313648,-10.06567,-10.597247,-11.120542,-11.610324
.43748674,-.041447077,-.55537593,-1.0573134,-1.5953243,-2.1015623,-2.5616095,-3.1103048,-3.4758565,-4.1122408,-4.571269,-5.0847144,-5.5844321,-6.0613041,-6.5732279,-6.9829106,-7.533165,-8.1177149,-8.6029634,-9.0593481,-9.6622906,-10.060265,-10.518764,-11.117863
