b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
.29772195,-.17680098,-.71724373,-1.1617934,-1.5755348,-2.331315,-2.6880655,-3.1083467,-3.7178621,-4.328855,-4.8151803,-5.4140267,-5.6615429,-6.1434383,-6.7882066,-7.3400769,-7.8051076,-8.1028957,-8.5989208,-9.3268576,-9.7518177,-10.148818,-10.652477,-11.130605
.50662941,.0061966265,-.57528502,-.98576415,-1.6414312,-2.1372771,-2.4212537,-2.9101548,-3.500361,-4.2430501,-4.4830117,-5.0639682,-5.3315988,-5.9558716,-6.4967484,-7.0922394,-7.5639639,-8.0000849,-8.6920757,-8.9053202,-9.4867592,-10.010258,-10.482157,-10.980072
.79831821,.30334914,-.17351361,-.65559095,-1.3150362,-1.6566749,-2.3373358,-2.7274919,-3.1722224,-3.6980467,-4.2859268,-4.752357,-5.2097616,-5.7393436,-6.205225,-6.8721213,-7.3783274,-7.5670209,-8.2937584,-8.9837427,-9.3833513,-9.8548012,-10.346275,-10.712487
2.3847482,1.8858025,1.324522,.84094107,.44224107,-.21977225,-.77690667,-1.1757277,-1.5885199,-2.202934,-2.7349651,-3.2882717,-3.7449844,-4.0853839,-4.804852,-5.3399105,-5.8973227,-6.5717001,-6.9099574,-7.4664345,-8.1118259,-8.2302961,-8.9639063,-9.7429085
-.66404301,-1.1686864,-1.6625662,-2.1559818,-2.6867676,-3.1388087,-3.6726398,-4.17733,-4.5654845,-4.9439816,-5.6547294,-6.0586314,-6.7005782,-6.9850445,-7.6282105,-7.9006433,-8.5428925,-9.3544083,-9.5987577,-10.208992,-10.584317,-11.063004,-11.484014,-12.215461
.017331522,-.48657888,-1.0134782,-1.4900072,-2.0020111,-2.3704176,-2.9367828,-3.4325342,-4.0008974,-4.5141172,-4.7857246,-5.4311109,-6.0578914,-6.4695892,-7.0988908,-7.6001205,-7.9240689,-8.5581532,-8.9744263,-9.4344025,-10.010855,-10.48357,-10.881677,-11.56999
-1.2102808,-1.6807163,-2.1876295,-2.674088,-3.2546768,-3.7496436,-4.1347423,-4.7173891,-5.1387763,-5.7141147,-6.1662426,-6.6296611,-7.157742,-7.6809654,-7.9748526,-8.6080599,-9.0806141,-9.4182014,-10.011716,-10.880419,-10.934003,-11.519108,-11.993919,-12.870646
.58107847,.03240364,-.40953752,-.97744346,-1.4204801,-1.9789329,-2.6423287,-3.0770037,-3.4348054,-4.0826945,-4.436656,-5.0585866,-5.3940167,-5.9897218,-6.6702614,-7.0014544,-7.2463717,-7.7780361,-8.5077906,-8.8936501,-9.6990099,-9.9408741,-10.686648,-11.047705
-.60290515,-1.0853914,-1.5858589,-2.1030195,-2.6795182,-3.0839591,-3.5543764,-4.0336657,-4.5340371,-5.1567783,-5.4105692,-6.0005169,-6.5878806,-7.3055854,-7.4494467,-8.3232937,-8.4710169,-8.9838028,-9.6091709,-9.9626617,-10.519167,-11.065178,-11.515697,-12.078959
-2.1684072,-2.6454682,-3.2031579,-3.624114,-4.0796809,-4.6763177,-5.0801411,-5.5996561,-6.0500817,-6.5087185,-7.0438371,-7.5169926,-8.0254221,-8.5844326,-8.8926516,-9.3616018,-10.052661,-10.504148,-11.10539,-11.569126,-11.950216,-12.354064,-13.202686,-13.489309
