b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-.24919832,-.72815675,-1.2666588,-1.7550061,-2.273258,-2.7318354,-3.1229019,-3.8548784,-4.2162776,-4.7176108,-5.3062148,-5.6724534,-6.2381377,-6.6297317,-7.1845036,-7.7052231,-8.2118979,-8.7236471,-9.1764393,-9.7124615,-10.289387,-10.627793,-11.255045,-11.594198
1.2740743,.81582922,.15003981,-.24483274,-.70944023,-1.2921026,-1.730719,-2.2514296,-2.7845449,-3.2402065,-3.7679222,-4.3882413,-4.8652172,-5.3996239,-5.8689408,-6.2790608,-6.8562026,-7.3126426,-7.898068,-8.1400642,-8.779707,-9.3551073,-9.769269,-10.257596
2.4810679,2.0001557,1.4812573,.98694593,.37843558,-.011635817,-.67922705,-1.1237978,-1.5371549,-2.1260388,-2.4925699,-3.1326158,-3.6939249,-4.1126976,-4.7752023,-5.1715322,-5.7291465,-6.1967921,-6.9009404,-7.2339168,-7.8929839,-8.0917187,-8.7334337,-9.260951
1.274963,.77910614,.24044979,-.17696813,-.76380461,-1.2899206,-1.8299249,-2.2994938,-2.7694316,-3.3670511,-3.6382201,-4.2340531,-4.7921615,-5.3446021,-5.7833648,-6.355907,-6.7347288,-7.378664,-7.8833413,-8.3111973,-8.8333521,-9.2383022,-9.8056116,-10.374954
-.43162706,-.93737048,-1.4248221,-1.9171959,-2.4484689,-2.9830947,-3.4305601,-3.9475346,-4.4327083,-4.8962321,-5.3767018,-5.9273214,-6.3818402,-6.763701,-7.369451,-7.965589,-8.3889542,-8.956378,-9.3998928,-9.8050337,-10.411054,-11.120017,-11.330699,-12.016804
.054681357,-.42879432,-.93566263,-1.4964262,-2.0048273,-2.4421871,-2.9286931,-3.4138844,-4.0534773,-4.3299918,-4.9657607,-5.4138465,-5.966835,-6.3410463,-6.8651862,-7.4477658,-7.9290023,-8.5112305,-8.9342127,-9.3033609,-9.9600754,-10.489348,-10.730517,-11.462498
-.95443046,-1.4022276,-1.9630176,-2.3837566,-2.9845328,-3.381387,-3.892962,-4.4652686,-4.8790641,-5.4386744,-5.9227462,-6.404016,-6.8117971,-7.4180326,-7.9305935,-8.4593821,-8.7740488,-9.4621744,-9.9027233,-10.397145,-10.720142,-11.203424,-11.905806,-12.395623
-1.7968824,-2.3028886,-2.7851689,-3.2831478,-3.7956417,-4.3148961,-4.741818,-5.3437133,-5.7481523,-6.0135541,-6.6595659,-7.0783939,-7.7658601,-8.2389565,-8.4923553,-9.1495724,-9.6252069,-10.156032,-10.634289,-11.088647,-11.655501,-12.04876,-12.291395,-12.90572
2.2539918,1.7480612,1.2315527,.76738858,.17150691,-.33337143,-.78809595,-1.3750639,-1.8414474,-2.3448639,-2.7717614,-3.4284039,-3.9269996,-4.2837224,-4.9544125,-5.4081497,-5.9464083,-6.3463292,-7.0419869,-7.5471759,-7.9947801,-8.4231195,-9.0294352,-9.5454779
.40399006,-.086242758,-.64523649,-1.1538929,-1.5362128,-2.148747,-2.5444546,-3.0844312,-3.6585248,-4.0775805,-4.5946474,-5.1030312,-5.5891685,-5.9463835,-6.5925541,-7.0705519,-7.5258889,-8.2225132,-8.6271944,-9.1134863,-9.612957,-10.269172,-10.744943,-11.061003
