b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20
.85392106,-.081713036,-1.058944,-2.1580837,-3.0564291,-3.9602559,-4.9478588,-6.2794042,-7.2906933,-8.3649817,-9.6329918,-10.283815,-11.319002,-12.17504,-13.241476,-14.15216,-14.843135,-16.443438,-17.128649,-17.740564
-6.1376076,-6.9225564,-8.4448137,-9.1892004,-10.460684,-11.133351,-10.726298,-13.038416,-13.334527,-14.869009,-15.968969,-16.638535,-18.026958,-18.070604,-19.134285,-19.711945,-21.160984,-22.534859,-23.434921,-24.006086
3.7844429,2.8898156,1.6369265,1.0208343,-.3173472,-1.4228615,-2.3108208,-3.0460227,-4.4561853,-5.7826028,-6.3555546,-7.7204108,-8.9157248,-9.3222389,-11.16548,-11.901727,-13.390655,-13.882468,-15.132918,-15.686753
-4.1513243,-5.0173903,-6.0909262,-6.8636761,-8.0075445,-9.0920839,-9.7488041,-11.124919,-11.817767,-12.863793,-13.399895,-15.099939,-15.644537,-16.207098,-17.647243,-18.278622,-19.609066,-20.512566,-22.150732,-22.734972
-.19742866,-1.237473,-2.3088174,-3.0949376,-4.1785908,-5.014576,-5.7630391,-6.8172207,-7.6514945,-9.0543146,-10.367519,-10.864857,-11.659962,-12.463447,-13.597587,-14.778193,-16.960293,-16.957573,-18.392225,-19.053576
.72560889,-.27814224,-1.4204051,-2.0881314,-3.1862354,-4.2734427,-5.3245978,-6.3509502,-7.6891026,-8.2584867,-8.9840574,-10.242219,-11.601464,-11.978849,-13.085793,-14.961748,-15.453856,-16.891138,-17.265444,-17.937845
.18591326,-.74171144,-1.9163479,-2.7897711,-3.9398503,-4.6666703,-5.9814835,-6.470119,-7.8886838,-9.096221,-9.1754885,-10.460171,-11.811831,-13.310165,-13.067632,-15.063566,-15.102831,-17.433535,-17.673717,-18.17885
-.67693383,-1.7751963,-2.6995652,-3.6140461,-5.3484006,-5.5996246,-7.4583607,-7.6185765,-8.7536707,-9.9872837,-10.412307,-11.972551,-12.303509,-13.81379,-14.408777,-15.325138,-16.964869,-17.85166,-17.983627,-19.314589
3.5773969,2.5990686,1.2854656,.38147804,-.65664154,-1.8226389,-2.3459964,-3.6242828,-4.6751552,-5.5976734,-6.9834151,-8.0045443,-9.3036118,-10.263164,-11.044024,-12.161634,-13.080223,-13.746161,-14.868337,-15.805323
-2.1086361,-3.1580081,-4.346714,-4.9511967,-5.7856698,-7.267817,-7.5779281,-9.3344593,-9.8856564,-11.090634,-11.107192,-12.503174,-13.868093,-14.835411,-15.717963,-16.558325,-17.943396,-19.051365,-19.363564,-20.325865
3.8709626,2.6983206,1.6666965,.62768745,-.42042983,-1.6507976,-2.2599611,-2.8683186,-4.8292198,-5.1551061,-6.5215869,-6.9464054,-8.8606892,-9.7411833,-10.733286,-11.291772,-12.49387,-14.196918,-13.816097,-15.694488
