b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-.062351167,-.53982443,-1.0455425,-1.5579519,-2.0456173,-2.5299258,-2.9102035,-3.5722721,-4.0864997,-4.5344844,-5.0700541,-5.5801415,-6.0059481,-6.6492476,-7.0631824,-7.4621873,-7.9743519,-8.682601,-9.1130867,-9.5014334,-10.120614,-10.494534,-10.90051,-11.464887
.20255372,-.2823756,-.86509383,-1.3116159,-1.7568557,-2.3040795,-2.7825637,-3.3207965,-3.8201022,-4.3133807,-4.8160906,-5.3494539,-5.7491856,-6.2679911,-6.7572365,-7.4012561,-7.7998948,-8.2652779,-8.7772198,-9.3440161,-9.7811794,-10.406802,-10.735092,-11.333413
1.8254193,1.3442727,.81811702,.2817235,-.26368311,-.73317194,-1.1852256,-1.7424657,-2.2497392,-2.8404248,-3.3203733,-3.8689988,-4.280437,-4.8611465,-5.2827091,-5.7996669,-6.2618265,-6.8426557,-7.3053837,-7.860415,-8.4454737,-8.9595985,-9.2741928,-9.9222355
1.3075101,.79683048,.32594985,-.18394433,-.75166029,-1.2587526,-1.7468063,-2.2458613,-2.6339726,-3.194999,-3.7626584,-4.2152519,-4.8443074,-5.3174458,-5.7838488,-6.3393636,-6.8237891,-7.1992002,-7.8519983,-8.2737942,-8.8236961,-9.3674574,-9.694725,-10.330721
1.0640476,.5508877,.087621748,-.42638531,-.96479285,-1.4684489,-1.8947625,-2.4737394,-3.0203061,-3.3979335,-3.8918514,-4.5206332,-4.9815578,-5.4699335,-5.9789782,-6.4314423,-6.9692798,-7.5269661,-8.0909128,-8.5177336,-9.2002954,-9.5419989,-9.8893347,-10.359463
-.1929307,-.68524158,-1.2195693,-1.7074015,-2.1927347,-2.6811886,-3.2024331,-3.6874833,-4.1663733,-4.6537695,-5.2627692,-5.6479726,-6.1915593,-6.6720185,-7.2019644,-7.7735815,-8.2039766,-8.693367,-9.1018438,-9.6665707,-10.217918,-10.65247,-11.127341,-11.543821
-1.2590839,-1.7344556,-2.2567544,-2.6987016,-3.2157083,-3.7135832,-4.2661748,-4.7504282,-5.1509218,-5.6603498,-6.1666327,-6.7340736,-7.2275467,-7.678854,-8.188715,-8.5848169,-9.2327929,-9.7027464,-10.094099,-10.557386,-11.049797,-11.734341,-12.055593,-12.53733
-.44821835,-.97592419,-1.4328201,-1.9001156,-2.481698,-2.9469926,-3.4269481,-3.885107,-4.4639845,-4.859982,-5.3429599,-5.9739723,-6.3771267,-6.7630219,-7.5207844,-7.877667,-8.457099,-8.8954582,-9.5438213,-9.8919134,-10.31041,-10.816203,-11.552279,-11.88129
1.2822329,.77716064,.27158275,-.26187882,-.75941855,-1.2664427,-1.6956487,-2.3138344,-2.7604361,-3.2615709,-3.7315736,-4.2845063,-4.7535248,-5.253931,-5.8178067,-6.2808428,-6.8838429,-7.1840601,-7.8695312,-8.2985086,-8.825408,-9.4759989,-9.8433123,-10.482605
-1.523357,-2.0152407,-2.5456173,-2.9830844,-3.4949267,-4.0530314,-4.498487,-4.8508906,-5.4407587,-5.9354076,-6.5079536,-6.8740497,-7.4611096,-7.897522,-8.3736687,-8.9475231,-9.414567,-9.9081097,-10.289564,-10.78947,-11.399218,-11.798465,-12.286154,-12.871746
-1.2171061,-1.7009486,-2.2342815,-2.67044,-3.1939039,-3.7159634,-4.2365036,-4.5387383,-5.1138387,-5.6900086,-6.1450639,-6.6808863,-7.0649152,-7.6912823,-8.0750322,-8.6438293,-9.1518478,-9.5119352,-10.131051,-10.597544,-11.053364,-11.553391,-12.104357,-12.64359
.55831283,.089304119,-.45795885,-.92504144,-1.4575185,-1.9551735,-2.4269671,-2.9431307,-3.4282579,-3.9484999,-4.5042596,-4.926043,-5.5468516,-5.9670277,-6.5005789,-6.9878316,-7.5257096,-7.9954066,-8.5060654,-8.9871979,-9.3868217,-9.8662024,-10.373852,-11.153421
.082164995,-.41312948,-.9336307,-1.4244769,-1.9246211,-2.3766496,-2.8980019,-3.3457427,-3.9138048,-4.3978572,-4.9510417,-5.3561997,-5.9005632,-6.3416581,-6.8825593,-7.465713,-7.8605251,-8.497715,-8.9300756,-9.4025993,-9.8010111,-10.3715,-10.954713,-11.554424
-.08985126,-.59090167,-1.0851407,-1.5640414,-2.1109803,-2.5730977,-3.0454311,-3.5579033,-4.1484113,-4.6514764,-5.1059513,-5.6028256,-6.1148782,-6.6046233,-7.0448723,-7.4770532,-8.0962114,-8.536252,-9.0891104,-9.6547174,-10.12456,-10.535788,-10.921159,-11.468147
1.1705396,.64710188,.14661182,-.33806509,-.89291739,-1.3743278,-1.7868594,-2.3650787,-2.8386762,-3.3100567,-3.9148033,-4.4010153,-4.9188905,-5.2672062,-5.9358139,-6.302196,-7.0819082,-7.5209436,-7.935421,-8.4688025,-8.9458933,-9.566927,-10.027447,-10.364663
