b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-.25964212,-.73135561,-1.2899088,-1.7675506,-2.2696099,-2.7755828,-3.2739575,-3.8275514,-4.2887044,-4.7474833,-5.2117763,-5.655273,-6.2742505,-6.770792,-7.1491146,-7.6441865,-8.249135,-8.844408,-9.2390776,-9.6278238,-10.25578,-10.672635,-11.307497,-11.764863
1.1039478,.62067264,.048987955,-.4443813,-.84254837,-1.3927455,-1.9076927,-2.3794389,-2.953476,-3.4303379,-3.9684005,-4.3969731,-4.9158626,-5.4135542,-5.9262614,-6.3724604,-6.8729739,-7.5652866,-7.8981519,-8.4402428,-9.0407257,-9.4455137,-9.9367294,-10.480462
2.2474625,1.7637215,1.2526375,.73698568,.22299251,-.31077686,-.85303652,-1.2552739,-1.7750263,-2.3466918,-2.9122641,-3.3606768,-3.9030628,-4.3198271,-4.8864799,-5.507628,-5.9368277,-6.4183769,-6.9609332,-7.5612907,-7.9501162,-8.4380569,-8.979228,-9.5750084
1.7339715,1.237309,.76294845,.17698409,-.29575214,-.81837422,-1.3264103,-1.8167846,-2.2715797,-2.8941438,-3.3522539,-3.876559,-4.4528561,-4.9222875,-5.5106378,-5.8826156,-6.4348187,-6.8774772,-7.4176946,-7.9236522,-8.5958347,-8.8743315,-9.4135475,-9.7285452
.88688171,.37656546,-.090719655,-.62938333,-1.1656107,-1.6421032,-2.1311271,-2.6317165,-3.1470695,-3.5669107,-4.157083,-4.6885195,-5.1443586,-5.7104788,-6.1825042,-6.7124653,-7.1041141,-7.6752219,-8.1125994,-8.7125645,-9.160223,-9.7766857,-10.219315,-10.705201
.15315685,-.34015393,-.86737216,-1.3158823,-1.8368491,-2.3210127,-2.7831466,-3.3458009,-3.8612525,-4.3834052,-4.9348536,-5.3172393,-5.8494434,-6.2909231,-6.7975097,-7.4229217,-7.8150873,-8.3707228,-8.9478626,-9.2402,-9.814992,-10.27788,-10.879721,-11.338911
-.72179067,-1.2095487,-1.722635,-2.2589288,-2.694006,-3.2265413,-3.671211,-4.1981626,-4.6818695,-5.2427053,-5.7396855,-6.1240396,-6.717021,-7.1023502,-7.5905762,-8.2910728,-8.701911,-9.0191803,-9.6957254,-10.126152,-10.631278,-11.130104,-11.622414,-12.049798
-1.4438062,-1.9422206,-2.4274781,-2.9108932,-3.4333615,-3.9007719,-4.4165387,-4.8813515,-5.4531684,-5.8385963,-6.3816271,-6.8346748,-7.3377604,-7.7711229,-8.4176731,-8.8361158,-9.3684216,-9.8479567,-10.312834,-10.872836,-11.239273,-11.780705,-12.180636,-12.798286
1.64553,1.1416202,.6206907,.10409414,-.3784605,-.91007209,-1.4668064,-1.963569,-2.3848841,-2.9080274,-3.4291286,-3.9273906,-4.4240513,-4.9550109,-5.4227982,-5.9974756,-6.3811135,-6.9592724,-7.5665426,-7.9301715,-8.5043726,-9.0529175,-9.4554043,-9.9084711
.1732786,-.33221185,-.87453276,-1.3092436,-1.7964001,-2.3617096,-2.8667586,-3.3556581,-3.7282705,-4.3593154,-4.791223,-5.3323331,-5.8359346,-6.347568,-6.9424725,-7.338347,-7.8389792,-8.4418182,-8.9060917,-9.3114796,-9.7751312,-10.19733,-10.826817,-11.281017
