b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-.022454321,-.49865836,-1.0058353,-1.4798759,-2.0153396,-2.3778498,-2.9626639,-3.5166199,-3.9819429,-4.576726,-4.9889965,-5.5178075,-5.9245453,-6.5274076,-7.1785717,-7.5254302,-7.974813,-8.352951,-8.9459391,-9.5752439,-9.9561729,-10.509191,-11.144919,-11.474165
.15377472,-.32201737,-.89634085,-1.37328,-1.8714056,-2.3397627,-2.8710096,-3.2968948,-3.8637888,-4.3755579,-4.891736,-5.2926936,-5.8978209,-6.3006845,-6.7327218,-7.2933288,-7.8413057,-8.2662306,-8.9014816,-9.3317642,-9.8443451,-10.196987,-10.838838,-11.302738
1.8322333,1.3284129,.8156063,.322687,-.21846254,-.74857605,-1.2528247,-1.6699655,-2.1369245,-2.7708309,-3.3280194,-3.7509971,-4.3507137,-4.8864889,-5.2321129,-5.7460589,-6.5033488,-6.7221403,-7.5062141,-7.8862858,-8.3653917,-8.8878975,-9.2597475,-9.8182821
.65236115,.16284387,-.27859613,-.88101602,-1.3478394,-1.9555415,-2.4205775,-2.8875053,-3.2534149,-4.0153379,-4.3786693,-4.8671341,-5.4091315,-5.8081393,-6.4770002,-6.8813381,-7.5109038,-7.7760196,-8.6074867,-8.9157591,-9.4116659,-9.8686228,-10.34942,-10.863298
.18528993,-.30193412,-.80992508,-1.2606241,-1.7947317,-2.307868,-2.829356,-3.2686903,-3.7704027,-4.3128142,-4.7869029,-5.357245,-5.8102493,-6.2967744,-6.802259,-7.3229537,-7.7842174,-8.4128399,-8.6723576,-9.2589035,-9.7647171,-10.238312,-10.772313,-11.303953
.30271846,-.19969465,-.73759145,-1.1574743,-1.6618353,-2.1906064,-2.7156773,-3.2019639,-3.7759178,-4.164103,-4.6181521,-5.2274904,-5.6440902,-6.1277146,-6.6258225,-7.2204795,-7.7147341,-8.1707287,-8.695384,-9.1066599,-9.7519255,-10.012925,-10.759281,-11.086489
-.32363063,-.80911076,-1.3035333,-1.8357979,-2.2983963,-2.7467875,-3.2639992,-3.8383009,-4.326417,-4.8025808,-5.2402263,-5.7554388,-6.2056451,-6.7749915,-7.3460746,-7.7212362,-8.257062,-8.7454023,-9.2120743,-9.6690035,-10.284803,-10.818055,-11.365129,-11.728591
-2.3666985,-2.8766091,-3.3091846,-3.8288977,-4.3426166,-4.8440022,-5.2950511,-5.8030329,-6.2365794,-6.8257642,-7.2258205,-7.5479064,-8.2181339,-8.6426125,-9.2083311,-9.6059151,-10.064054,-10.662233,-11.235361,-11.715683,-12.164128,-12.548327,-13.115899,-13.686802
2.8145566,2.3102269,1.7694181,1.2516063,.78694236,.15727501,-.22270145,-.77623516,-1.2165673,-1.735593,-2.3684084,-2.8159978,-3.3774977,-3.7793429,-4.3392711,-4.8188052,-5.3478236,-5.9200959,-6.3461623,-7.0102959,-7.3720832,-7.9272194,-8.4076138,-9.0404739
-1.1704452,-1.668577,-2.1524813,-2.6471798,-3.1125829,-3.5621743,-4.1060619,-4.6648383,-5.1518145,-5.5774989,-6.1004195,-6.5704846,-7.1014876,-7.6589804,-8.1735153,-8.4709959,-9.1109734,-9.5608959,-9.9866133,-10.675606,-11.062296,-11.603815,-11.946453,-12.560155
-.8098833,-1.3225358,-1.7823095,-2.3485534,-2.7880151,-3.3147273,-3.7056985,-4.2900949,-4.8009858,-5.2698469,-5.7015042,-6.3155336,-6.8816614,-7.2419434,-7.7099762,-8.2445545,-8.8957872,-9.1614447,-9.6587658,-10.14043,-10.629174,-11.366309,-11.667025,-12.149356
.34792292,-.13445161,-.68201923,-1.1840614,-1.6239835,-2.1785367,-2.6174815,-3.1227729,-3.712985,-4.0432668,-4.6557341,-5.1260104,-5.7167358,-6.2048488,-6.645411,-7.2807522,-7.6097898,-8.2398968,-8.6793795,-9.084446,-9.6048336,-10.179305,-10.512209,-11.187721
1.4443092,.94668067,.46234587,-.10868426,-.59578955,-1.0343988,-1.6012295,-2.0524554,-2.628268,-3.0229177,-3.7033236,-4.0795398,-4.6844244,-5.1118755,-5.5421157,-6.2174945,-6.6249461,-6.9938302,-7.6813626,-8.2817421,-8.599,-9.1900454,-9.551713,-10.2579
.94130605,.4192735,-.07095778,-.59945071,-1.0848355,-1.7063031,-2.0504322,-2.5856221,-3.0699317,-3.5761352,-4.1150098,-4.6321082,-5.0866513,-5.6729598,-6.1487155,-6.704217,-6.9802265,-7.6480131,-8.0504808,-8.6591511,-9.2062712,-9.6036901,-10.249412,-10.565547
-.13192521,-.62977761,-1.1144686,-1.6191434,-2.190999,-2.6010365,-3.1122124,-3.594528,-4.0789065,-4.5730038,-5.015408,-5.5671005,-6.1105514,-6.5672574,-6.987329,-7.5408735,-8.0770187,-8.6372766,-9.2150345,-9.6088448,-10.113296,-10.653912,-10.967739,-11.632203
-.0034620706,-.51988602,-.95801729,-1.4720269,-2.0351357,-2.4880047,-2.9574258,-3.5006785,-3.924746,-4.5283031,-4.9752803,-5.4863329,-6.0038929,-6.4341917,-7.024231,-7.4634438,-7.9938421,-8.6320877,-8.8413353,-9.574048,-9.7142277,-10.566479,-11.016948,-11.665451
-.099358946,-.61420804,-1.1276245,-1.5974993,-2.0742495,-2.6477308,-3.0890903,-3.6745064,-4.0618763,-4.6232166,-5.0450659,-5.658464,-6.0453668,-6.7333689,-7.0252857,-7.6053085,-8.008379,-8.5321751,-9.0341949,-9.5571661,-10.068316,-10.539083,-11.210463,-11.627981
.87018192,.369306,-.10247732,-.67320728,-1.1758242,-1.5730668,-2.1359377,-2.6197965,-3.1947749,-3.6635494,-4.2353358,-4.4963055,-5.2750969,-5.7351208,-6.2431479,-6.6197243,-7.2125788,-7.6601915,-8.249217,-8.6502724,-9.067399,-9.6582584,-10.412677,-10.762065
.48165861,-.0042202501,-.5448184,-1.0715176,-1.4513607,-2.0479503,-2.4367638,-3.0697889,-3.5565405,-4.0396714,-4.5386896,-4.9627662,-5.5036273,-6.0308681,-6.4322081,-7.0842948,-7.6672339,-7.9997101,-8.6184139,-9.055892,-9.4699373,-10.220349,-10.412809,-10.895638
