b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
1.0602823,.57431966,.024752643,-.38808051,-.85788572,-1.4481034,-1.899061,-2.4583898,-3.0419142,-3.3240526,-4.0125318,-4.4421625,-4.9084296,-5.3954639,-5.9841433,-6.604404,-7.0074129,-7.3603678,-7.7858806,-8.3757133,-9.097084,-9.6161766,-10.036185,-10.551806
1.2562507,.77612793,.13563046,-.26966897,-.69209987,-1.1808059,-1.7875596,-2.2493899,-2.9247832,-3.2791913,-3.8528798,-4.2117047,-4.6234689,-5.1585202,-5.8338456,-6.3892493,-6.7046075,-7.2980561,-7.8168926,-8.2502928,-8.6930141,-9.293272,-9.9075937,-10.370901
1.4730451,.97569048,.51910925,-.00061256252,-.63537288,-1.009988,-1.5389559,-1.9799818,-2.5603211,-3.0778508,-3.601501,-4.1128907,-4.478704,-5.1748395,-5.5458717,-6.078001,-6.5911441,-7.2155108,-7.6281929,-8.0820284,-8.669301,-9.2509556,-9.7223635,-9.9845142
1.7571703,1.2646456,.72188526,.23865639,-.25115421,-.80020839,-1.3621913,-1.7215087,-2.3019462,-2.7964633,-3.3792257,-3.8372355,-4.3247991,-4.777976,-5.3500962,-5.9312649,-6.3684435,-6.842978,-7.2139192,-7.9159851,-8.2289715,-8.7818012,-9.2443237,-10.023879
1.6228098,1.1267734,.62189978,.085795201,-.41582766,-.78845572,-1.3579501,-1.9457965,-2.333853,-2.9314675,-3.4415932,-3.9467611,-4.4048553,-4.920887,-5.403398,-5.9902711,-6.5007515,-6.8898187,-7.5982265,-7.914578,-8.6257992,-9.1470213,-9.488883,-10.029778
-.38869596,-.87959784,-1.3977118,-1.9700472,-2.3736062,-2.8115246,-3.1809819,-3.7738056,-4.4728947,-4.9192519,-5.5112724,-5.9198775,-6.2536521,-6.810719,-7.2980213,-7.8371921,-8.3165417,-8.7739964,-9.3889198,-9.7206249,-10.243208,-10.90373,-11.278016,-11.845433
-2.6905158,-3.1820798,-3.6329012,-4.1939573,-4.6262426,-5.1590581,-5.6018329,-6.0204868,-6.5647407,-7.1183548,-7.5348444,-8.1176672,-8.4944525,-8.9598131,-9.6903048,-9.8599405,-10.511324,-11.007576,-11.588099,-11.815586,-12.353149,-12.894469,-13.256428,-13.738583
.77159929,.27314883,-.21922408,-.74797034,-1.3037529,-1.7952091,-2.21135,-2.6845267,-3.2101321,-3.8158662,-4.3026152,-4.6851668,-5.3478441,-5.8731971,-6.3828378,-6.6623058,-7.3763909,-7.5857997,-8.3145571,-8.7750282,-9.1883497,-9.6339588,-10.183934,-10.591533
-.33241346,-.81377763,-1.3784758,-1.8015934,-2.3547668,-2.822367,-3.22858,-3.7937238,-4.3248591,-4.9224925,-5.3770165,-5.793509,-6.3199086,-6.8722301,-7.2434692,-7.7212582,-8.2550306,-8.8148355,-9.266675,-9.822648,-10.233283,-10.803304,-11.274762,-11.76026
-.62594616,-1.1064947,-1.6497762,-2.101038,-2.5936646,-3.0842533,-3.5317514,-4.20928,-4.5257301,-5.1877465,-5.6276827,-6.1371694,-6.5711527,-6.9758248,-7.5261254,-8.0298805,-8.5326748,-8.918066,-9.569088,-10.051702,-10.475064,-11.036323,-11.562891,-11.882378
-.8024804,-1.2692323,-1.8377693,-2.2411253,-2.7659161,-3.2774262,-3.7244663,-4.2609096,-4.7827315,-5.1826043,-5.7411118,-6.2521296,-6.8455191,-7.3018832,-7.7488065,-8.1429701,-8.6596918,-9.3194771,-9.7879791,-10.195478,-10.774858,-11.153962,-11.719635,-12.158918
1.526521,1.0189697,.5034706,.0018641227,-.51016641,-1.0305334,-1.5982764,-2.0852382,-2.5080349,-2.9319706,-3.5797842,-4.0684175,-4.5925384,-4.9624209,-5.6883378,-6.0543022,-6.6033406,-7.1557164,-7.6923661,-8.1192226,-8.4964142,-9.0697556,-9.5616684,-10.131824
-.60615176,-1.0603969,-1.5910408,-2.0813911,-2.5412896,-3.1039114,-3.6404529,-3.952126,-4.5730247,-5.0211945,-5.5983825,-6.0562057,-6.4883184,-6.9168129,-7.5136337,-8.0191965,-8.5839329,-8.9961395,-9.538126,-10.10333,-10.579432,-10.873116,-11.432176,-12.067069
.7954635,.29112557,-.20880365,-.77735811,-1.2127726,-1.8405911,-2.2464502,-2.6959331,-3.2530627,-3.7510481,-4.1983504,-4.7974629,-5.2177801,-5.7598724,-6.1840611,-6.7251987,-7.1054893,-7.6142893,-8.2199297,-8.6543379,-9.2916088,-9.8030806,-10.263557,-10.797123
.18743686,-.31421232,-.84024638,-1.2798966,-1.8581417,-2.3317592,-2.7343013,-3.3392894,-3.7309234,-4.2572365,-4.7528696,-5.1567407,-5.7272649,-6.3314257,-6.8662367,-7.4059005,-7.7945981,-8.1889791,-8.7223558,-9.2813416,-9.7987623,-10.19151,-10.841472,-11.122004
.12757644,-.38385883,-.83050263,-1.3198183,-1.8271595,-2.3727634,-2.8958549,-3.4016795,-3.997781,-4.3126559,-4.8048248,-5.2761507,-5.7670369,-6.3263383,-7.1032128,-7.257287,-7.9392071,-8.4142017,-8.8877525,-9.4361115,-9.9627819,-10.350052,-10.790817,-11.315886
-1.8672755,-2.3797367,-2.8781121,-3.2965994,-3.8561738,-4.2981234,-4.7769632,-5.2820015,-5.8172784,-6.2674603,-6.7241335,-7.2114325,-7.5849385,-8.2514849,-8.7423124,-9.2322998,-9.6864681,-10.241062,-10.726101,-11.398102,-11.470634,-12.151568,-12.701287,-13.098515
1.5105031,.99725509,.50194025,-.015734171,-.52784127,-1.0441622,-1.5351104,-1.9840075,-2.4677043,-3.1149745,-3.5994592,-4.0249519,-4.5957737,-4.9268475,-5.6094985,-5.9760995,-6.5787349,-7.1238799,-7.5506005,-8.0476055,-8.5211439,-9.1496592,-9.5550346,-10.10759
.45170373,-.052115433,-.59732801,-1.0672033,-1.5717475,-2.0118363,-2.5672424,-3.045347,-3.5841258,-4.1493101,-4.6574321,-5.0116673,-5.6729493,-6.1504216,-6.5512891,-7.0085387,-7.5831966,-8.0649452,-8.6306639,-9.1079187,-9.5636492,-10.190548,-10.549514,-11.00788
-1.4391762,-1.9499872,-2.3855445,-2.9260333,-3.4067802,-3.9562635,-4.3719544,-4.946938,-5.2730813,-5.9479628,-6.4432974,-6.8733554,-7.2556758,-7.8116045,-8.4634724,-8.878726,-9.2332516,-9.7263517,-10.247765,-10.830344,-11.096192,-11.702819,-12.147789,-12.849499
-.44855499,-.94241625,-1.4615344,-1.8553115,-2.3942986,-2.9789338,-3.379853,-3.9346664,-4.4325624,-4.9388299,-5.4715791,-6.0010481,-6.4643078,-6.667151,-7.3573313,-7.9706655,-8.5008717,-8.8780575,-9.3886318,-9.8303413,-10.325511,-10.920466,-11.103381,-11.956138
-.2526224,-.75430244,-1.2257171,-1.7416964,-2.2197492,-2.7699757,-3.2871337,-3.6267285,-4.1996231,-4.7282462,-5.0787611,-5.7120543,-6.3137016,-6.5822253,-7.0883541,-7.7308207,-8.3845873,-8.7177629,-9.1617556,-9.5617971,-10.133877,-10.882311,-11.323189,-11.619113
-.083092086,-.59794557,-1.1090319,-1.6249105,-2.0251768,-2.5469809,-3.1653719,-3.5191686,-3.9677382,-4.525063,-5.0657501,-5.3470316,-6.0356355,-6.5107474,-7.1264782,-7.4893632,-8.0245686,-8.6017427,-9.1433411,-9.4535007,-10.018056,-10.491915,-11.131055,-11.448613
-1.3891643,-1.8608744,-2.3951335,-2.8351312,-3.3400755,-3.7991433,-4.2887135,-4.7364068,-5.2864389,-5.8554969,-6.2924728,-6.9024687,-7.2237749,-7.7070551,-8.3799992,-8.8767233,-9.2749338,-9.7797785,-10.099383,-10.871222,-11.138892,-11.624124,-12.259238,-12.696616
1.8294182,1.3247011,.81545836,.33746123,-.15277731,-.72109574,-1.1357156,-1.8155047,-2.1729555,-2.8086534,-3.1434348,-3.7085128,-4.2811894,-4.717958,-5.2714391,-5.6872644,-6.3370848,-6.7840071,-7.3680396,-7.6658421,-8.4491873,-8.8211174,-9.2010641,-9.8453302
.64230633,.1627043,-.39873526,-.89203858,-1.4535357,-1.9626616,-2.3855264,-2.873353,-3.3011715,-4.0335779,-4.3191385,-4.8605528,-5.2906089,-5.7576814,-6.3466444,-6.7709455,-7.4093919,-7.7845783,-8.4383192,-8.8549309,-9.4744263,-9.890584,-10.469067,-10.80578
.082695402,-.40093848,-.91321319,-1.3976679,-1.8842186,-2.4229822,-2.8136415,-3.4212401,-4.0099254,-4.4094625,-4.9663486,-5.2452121,-5.8293195,-6.3849449,-6.8728719,-7.480526,-7.9240727,-8.4687195,-8.8571634,-9.391571,-9.9565392,-10.469,-11.045422,-11.477541
2.0911007,1.6095304,1.0592742,.51682848,.050264124,-.56793231,-.91758269,-1.4504834,-1.9769419,-2.5233357,-3.0824673,-3.442765,-3.9813805,-4.5408125,-5.1276946,-5.5097919,-6.0711126,-6.552886,-7.0846119,-7.6465654,-8.1270409,-8.4053097,-9.0184593,-9.5426273
-.28299841,-.79807931,-1.2481968,-1.7851392,-2.2088974,-2.8214133,-3.2468867,-3.6972528,-4.2588744,-4.7705607,-5.2068,-5.773375,-6.2806659,-6.866015,-7.3486571,-7.8536339,-8.3140221,-8.7668285,-9.1757917,-9.7483416,-10.160789,-10.807692,-11.162021,-11.586891
-1.0693463,-1.6144556,-2.0259767,-2.5114546,-3.0783594,-3.5395546,-4.1061783,-4.4977465,-5.0955248,-5.5509362,-6.0075212,-6.6452127,-7.0020843,-7.5076928,-7.8277345,-8.6786871,-9.1180496,-9.5534992,-9.5685949,-10.461456,-10.860878,-11.321916,-11.99421,-12.703909
.56573427,.13397102,-.40679908,-1.0130819,-1.5124286,-1.8807923,-2.4058275,-3.0715604,-3.3478065,-3.8540139,-4.4895988,-5.0558438,-5.3904738,-6.0030971,-6.6303053,-7.0235443,-7.3255477,-7.8716946,-8.3878469,-8.9511976,-9.5647974,-9.8684282,-10.183576,-10.787263
.43388274,-.080446087,-.57806605,-1.043974,-1.6261494,-2.0638595,-2.5058763,-3.0199897,-3.6566918,-3.9854405,-4.6984296,-5.1356292,-5.5281653,-6.0347824,-6.6856546,-7.0054221,-7.5845351,-8.0494642,-8.5266953,-8.9565716,-9.5181131,-10.261516,-10.684232,-11.206094
