b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-3.1095798,-3.5323107,-4.0743408,-4.4501543,-4.9092655,-5.5679822,-5.8820591,-6.1946254,-7.0034909,-7.4165125,-7.812026,-8.4518671,-8.6455917,-9.3107538,-9.7129803,-9.9019241,-10.648906,-11.111411,-11.566591,-12.135216,-12.597212,-13.320608,-13.285677,-13.76391
.17002679,-.28891176,-1.0695624,-1.3465345,-1.9745828,-2.3483629,-2.7607291,-3.3087533,-3.6746588,-4.4651556,-4.7609921,-5.3009715,-5.5807347,-6.1940169,-6.6982951,-7.0339355,-7.703743,-8.3244219,-8.4554396,-9.1683216,-9.5861588,-10.076004,-10.450541,-10.657227
5.8332329,5.3278527,4.7782736,4.3295264,3.7551661,3.1450515,2.5980594,2.2045267,1.5383687,1.3088949,.36316332,.012712515,-.41283047,-1.2387207,-1.0069559,-1.8439213,-2.7128208,-2.7652762,-3.5044689,-4.0534701,-4.4760218,-5.123673,-5.5379615,-6.3378134
1.5318807,1.0825716,.45284176,.076463439,-.45338738,-1.0300102,-1.5239465,-2.1157453,-2.2746444,-2.7613521,-3.3123107,-4.1085095,-4.4579406,-4.9282379,-5.501493,-5.8799939,-6.2668433,-7.0104728,-7.2606883,-7.901732,-8.7845478,-9.1392956,-9.2942305,-9.9283514
-3.145303,-3.6213849,-4.1150002,-4.6491694,-4.9270101,-5.5234089,-5.9405389,-6.4346142,-7.0375948,-7.1411772,-7.6303864,-8.2263288,-8.8630314,-9.3111019,-9.7788038,-10.423874,-10.617108,-11.416361,-11.882122,-12.040704,-12.953264,-13.488376,-13.723719,-13.724422
-.19985087,-.66763467,-1.2533219,-1.755065,-2.2261302,-2.4524913,-3.0470989,-3.6429458,-4.4253798,-4.5315228,-4.9958167,-5.5172586,-6.1741257,-6.7251301,-7.3296118,-7.4949007,-8.0928984,-8.2259789,-8.8754644,-9.5820093,-10.297214,-10.480497,-11.159313,-11.93723
-1.4667207,-1.9510728,-2.4669108,-2.9164529,-3.4859314,-3.7157159,-4.4248428,-4.702836,-5.2565942,-5.8713555,-6.1560016,-6.5428457,-7.2902689,-7.8386655,-8.089572,-8.4826927,-9.0321646,-9.7999964,-10.471064,-10.657994,-11.482561,-11.634255,-12.442179,-12.898658
-3.5062959,-4.0160451,-4.3975072,-4.9716616,-5.6129909,-5.8973823,-6.4258733,-6.9099689,-7.6510773,-7.6970129,-8.0799236,-8.8434486,-9.0652466,-9.9260902,-10.06552,-10.497656,-10.838972,-11.35636,-12.160756,-12.392094,-12.809612,-13.665715,-13.96275,-14.259087
8.0904493,7.5963674,6.9574866,6.5544863,5.9413457,5.3609891,5.0611968,4.3116322,3.9226906,3.6820667,2.9625289,1.9954481,1.8830212,1.1160153,.7888549,.20209633,-.35363007,-.83586252,-1.3331904,-2.1823401,-2.9501085,-3.0898187,-3.8556192,-4.0583429
-1.8492987,-2.327817,-2.9068315,-3.3424277,-3.6756599,-4.2695613,-4.6310811,-4.9973464,-5.7347479,-6.4329433,-6.3805342,-6.9784765,-7.5307803,-8.4742699,-8.7992153,-8.9923306,-9.0973635,-10.264873,-10.417507,-10.741935,-11.326837,-12.146119,-12.557239,-13.165723
-5.6979008,-6.1574464,-6.6606207,-7.1244431,-7.5790262,-8.1701832,-8.2631388,-8.7550726,-9.5169296,-9.844243,-10.206499,-10.53497,-11.02665,-11.641056,-11.965675,-12.791778,-12.752979,-13.716977,-14.239964,-14.441233,-14.491067,-15.510839,-16.029675,-16.616873
-2.2850997,-2.7413661,-3.2196548,-3.8303483,-4.1876345,-4.6360931,-4.9438543,-5.6528997,-6.1015816,-6.4618068,-6.8445363,-7.3002558,-7.9654746,-8.4821482,-9.0773802,-9.6177979,-9.6443987,-10.065748,-10.711609,-11.453179,-12.02864,-12.009462,-12.964973,-13.279442
2.3323278,1.8611883,1.3807611,.87243325,.35788059,-.18438523,-.86716223,-1.0726752,-1.3937516,-2.3007295,-2.6446898,-3.1605957,-3.5625482,-4.0692081,-4.5224214,-5.237534,-5.6522226,-6.5599847,-6.8547921,-7.174479,-7.579143,-8.0667896,-8.61199,-8.876112
2.7625532,2.2048347,1.6881363,1.0733337,.61167538,.15381251,-.22625233,-.76930964,-1.2578913,-1.6543046,-2.3452835,-3.0656679,-3.3467672,-3.7696438,-4.3144751,-4.7587905,-5.392859,-5.9847231,-6.3894773,-6.8247685,-7.1670213,-7.7412171,-8.4667416,-8.9576597
4.1113939,3.5615613,3.0601811,2.5293553,2.0808165,1.6452899,1.0922414,.50852841,.21455507,-.44327745,-.93842709,-1.5062071,-2.0229077,-2.5393994,-3.0134482,-3.510304,-3.8733389,-4.5048919,-4.9413052,-5.289731,-6.222003,-6.7915359,-7.0592108,-7.6250987
.67549729,.23153169,-.26071653,-.7518059,-1.2030644,-1.59187,-2.3009198,-2.9527414,-3.3632352,-3.5644968,-4.3471327,-4.6738095,-5.1516929,-5.4758039,-6.20082,-6.6101818,-7.7092948,-7.6118636,-8.2205753,-8.9601545,-9.5425587,-9.7063599,-10.1284,-11.319461
-.24499376,-.7609508,-1.3072335,-1.741483,-2.2233241,-2.8108582,-3.250602,-3.4864125,-4.0549407,-4.6903086,-5.3205585,-5.32511,-5.9750404,-6.5460496,-6.8569217,-7.6901989,-8.2447309,-8.9475393,-9.4002476,-9.8676472,-9.9649763,-10.52541,-11.18729,-11.56352
6.4666934,5.9402919,5.4989519,4.9205337,4.4396796,3.9044986,3.6663885,2.7112162,2.5372379,1.7601968,1.2330092,.2754567,.050823849,-.42642161,-.86382478,-1.1479847,-2.1587086,-2.6355469,-3.2044647,-3.3098738,-3.7284179,-4.4587197,-4.939043,-5.6005101
.12164982,-.40021819,-.82059413,-1.548442,-1.8060045,-2.3770432,-2.7084291,-3.3224027,-3.7439225,-4.3890805,-4.9078774,-5.2790036,-5.7213964,-6.0663638,-6.7259755,-7.1064687,-7.7450423,-7.8109307,-8.7456245,-9.020071,-9.7664051,-10.144245,-10.276545,-11.191275
-1.905301,-2.3968391,-2.808188,-3.4444861,-3.7835674,-4.4314256,-4.9404964,-5.2855186,-5.7385411,-6.1204386,-6.6604905,-7.392221,-7.4234972,-8.0493212,-8.6520576,-9.3415537,-9.5947332,-10.190063,-10.529873,-10.766129,-11.433864,-12.134361,-12.573887,-12.924508
11.513948,10.946941,10.437972,10.030354,9.2972383,8.8687801,8.0350161,7.44486,6.9196115,6.643528,6.1275287,5.5627856,5.1107612,4.5156331,3.9901197,3.3131111,2.7991302,1.8399832,1.705192,.85530746,.87725049,.036042567,-.55560815,-1.1954696
.44790301,-.041280869,-.58150083,-1.0493531,-1.6418959,-1.9172835,-2.4361854,-3.2554681,-3.6768067,-4.2330618,-4.1194243,-5.1321125,-5.1993599,-5.9489632,-6.3323255,-7.0430479,-7.5276995,-7.6919861,-8.2436304,-9.0179281,-9.4740305,-10.215523,-10.818767,-10.819607
2.0391724,1.5455618,1.0830268,.41544074,.073297627,-.24723278,-.98464948,-1.2650589,-1.720595,-2.5082874,-2.9545422,-3.4995015,-3.9661431,-4.4215889,-4.9327607,-5.9241362,-6.0673594,-5.9094753,-7.0337787,-7.4040923,-7.7404494,-8.4428453,-9.3582926,-9.4405079
2.1424787,1.6293279,1.1754117,.62703025,.090629734,-.34561512,-1.0040282,-1.6656344,-1.9623364,-2.4522779,-2.8552635,-3.4827938,-4.0024357,-4.756155,-4.5545049,-5.3381052,-5.7896776,-6.2033014,-6.9660206,-7.1723871,-7.7360868,-8.1229925,-8.9123516,-9.3064184
2.2000902,1.6906483,1.2553933,.71075708,.091583967,-.42391521,-.76909244,-1.2986768,-1.8033313,-2.0318384,-2.7709966,-3.2613666,-3.7413225,-4.3339982,-4.4595609,-5.4106884,-5.811903,-6.4555225,-6.8959212,-7.1957798,-8.037466,-8.5108309,-8.6910963,-9.3741446
6.460978,5.9644785,5.413774,4.924418,4.3626647,3.695374,3.3525834,2.7219656,2.2808673,1.7003773,.83785862,.97777402,.13227493,-.2223077,-1.0225327,-1.7437344,-1.9545813,-2.7678406,-3.1601551,-3.8263407,-4.0147195,-4.7405982,-4.9746337,-5.4763217
1.3026888,.86727589,.3997077,-.19353242,-.7754913,-1.2252178,-1.6257005,-2.1156263,-2.5201087,-3.1445076,-3.9602768,-4.4086623,-4.8115215,-4.9421968,-5.7589984,-6.1663904,-6.6290793,-7.1392026,-7.5550532,-8.3607941,-8.6734114,-9.0894566,-9.5828857,-10.217525
3.067147,2.5727036,2.1040068,1.4585457,1.1232095,.41200051,.33493102,-.38151121,-.48834625,-1.4537894,-1.9497086,-2.5767555,-3.1180053,-4.0067592,-3.948626,-4.3686409,-4.6616521,-5.8282948,-5.9249582,-6.6643128,-7.2697902,-7.8434706,-8.4340439,-8.4402456
3.6464994,3.1527929,2.7138338,2.2169905,1.6548694,1.0452166,.43872163,.00208378,-.31960076,-.99957508,-1.1810328,-2.1075275,-2.2827032,-2.6700919,-3.7208986,-4.0943127,-4.6234303,-5.2562828,-5.4365153,-6.0036931,-6.6410656,-6.6308527,-7.7266774,-8.4175806
-2.7861397,-3.3402212,-3.7486038,-4.1856837,-4.6869559,-5.399632,-5.7606492,-6.2191424,-6.7704129,-7.0970135,-7.5571079,-7.803288,-8.5433712,-8.7850857,-9.6514225,-9.9136314,-10.475336,-11.011893,-11.671837,-11.936428,-12.140335,-12.783641,-13.171241,-13.436981
-3.1440575,-3.50807,-4.065485,-4.5961022,-5.1082306,-5.485857,-6.1176724,-6.6195812,-7.0218997,-7.1858191,-8.0737925,-8.4240026,-8.545804,-9.3137627,-9.8887997,-9.9964457,-10.81101,-11.263462,-11.40305,-12.255185,-12.520498,-13.219748,-13.504671,-14.463623
.030642008,-.48609853,-.90240824,-1.4429015,-2.049206,-2.357131,-2.9369984,-3.2937357,-3.7773607,-4.1534891,-4.8656836,-5.3758965,-5.8459792,-6.4127393,-6.6061468,-7.3974485,-7.4565029,-8.1840649,-8.7814655,-9.2629728,-9.5569782,-10.287833,-10.78119,-11.417101
7.1786156,6.6322761,6.1270971,5.5354381,5.2641697,4.5896273,4.0467119,3.3786051,3.0808628,2.0341995,2.0307825,1.6373112,.78449756,.38944438,.0068290937,-.56735098,-1.1276122,-1.6266602,-2.8391199,-2.5831244,-3.467591,-4.1165566,-4.047102,-5.2495446
-3.1799703,-3.6605787,-4.2711062,-4.5931268,-5.2395401,-5.4551868,-5.884881,-6.6038737,-7.0399652,-7.5684781,-8.2432575,-8.7121544,-8.996665,-9.3039227,-10.014318,-10.46296,-10.37374,-10.946497,-11.151027,-12.637513,-12.747972,-13.346556,-13.399808,-14.242694
3.6426313,3.188436,2.7120042,2.1601717,1.5748487,1.207553,.61667538,.30936962,-.40327129,-.88489002,-1.0039134,-2.0165732,-2.4944625,-2.9767375,-3.8114085,-4.0823951,-4.4693542,-4.8628955,-5.4767928,-6.078948,-6.4558129,-7.3820157,-7.4694691,-8.1100416
6.8806167,6.3472581,5.8993406,5.3614593,4.8231096,4.348063,3.9163625,2.9520214,2.6468706,2.1162915,1.3888167,.95330906,.57002455,.16947095,-.55825204,-1.1276613,-1.5701594,-1.8461798,-2.6301932,-2.983355,-3.5828543,-4.1307769,-4.820128,-5.3221254
3.5159755,2.9850795,2.5384574,2.077414,1.2938294,.90838248,.37639198,.012797436,-.74189436,-1.0781708,-1.6782978,-2.0271318,-2.8717058,-3.4980268,-3.6621377,-4.1984329,-4.6725454,-5.2994676,-5.7560754,-6.3443284,-6.9264932,-7.6188607,-7.7191353,-7.8511057
1.0444776,.64004427,.21557491,-.48112687,-.84881824,-1.6852506,-1.9597831,-2.6378918,-3.0947192,-3.4109373,-3.8064666,-4.3726888,-4.6727266,-5.1211624,-5.8354397,-6.5132971,-7.0349755,-7.2397985,-7.989913,-8.3024406,-8.5463343,-9.665863,-9.8950043,-10.31624
-.72617024,-1.2367584,-1.6387458,-2.178694,-2.8691466,-3.1035793,-3.7279575,-4.3135104,-4.4306326,-4.9690638,-5.4974594,-5.9400191,-6.8307586,-7.1461482,-7.7087107,-8.1414299,-8.6046095,-8.7897406,-9.531909,-10.059154,-10.751289,-10.898177,-11.0972,-11.69844
-2.5578845,-2.9612217,-3.5852437,-3.9840527,-4.3862967,-5.0708842,-5.3225355,-5.8409443,-6.3461761,-6.8465304,-7.4510942,-7.8088627,-8.0220604,-8.8576546,-9.2094059,-9.6883669,-10.068695,-10.624351,-11.232602,-11.587508,-11.991076,-12.734967,-13.239358,-13.449399
-4.0518632,-4.4779682,-5.0538955,-5.3557358,-5.8473835,-6.4806328,-6.8818612,-7.3633928,-7.9452114,-8.2928276,-8.6807423,-9.3569784,-9.6278286,-10.108889,-10.533869,-11.044412,-11.797391,-12.136323,-12.532184,-12.793324,-13.749507,-14.297372,-14.716519,-14.770552
