b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-2.264292,-2.3943803,-2.6985192,-3.2188303,-3.465718,-4.4927807,-3.947681,-4.64499,-5.7466068,-5.2940445,-7.324573,-6.0300579,-7.4508958,-7.5093341,-7.5151448,-7.2010779,-7.4787331,-8.1209869,-8.0635967,-8.9288406,-9.6864147,-10.011083,-9.8957043,-9.8485756
3.509769,3.1855702,2.2119923,2.3974493,1.6974183,1.7218407,1.5434754,.61068141,.54934829,.40962556,-.84252936,-1.1226379,-1.666006,-1.6593945,-1.1362677,-1.6073947,-1.9925616,-2.4032412,-2.0266671,-2.7227709,-3.8767087,-4.937551,-4.5776248,-4.4668798
-.23501202,-.52114975,-.90923202,-1.1927503,-2.0670235,-2.5507233,-3.0316033,-2.7742558,-2.6661882,-3.2423878,-3.33921,-4.498971,-4.6930537,-4.1532822,-5.7018228,-5.5103812,-5.8554649,-7.0086374,-7.824573,-7.9472542,-7.5406909,-8.0260534,-8.9417009,-10.318424
6.3855615,5.9558001,5.7676511,5.3974934,4.9206395,3.775336,4.2503595,3.436686,2.8498843,2.3063591,2.526046,2.1861899,.59646755,.72227001,.29176101,.3238461,-.91124487,-.48877025,-1.2594873,-2.498183,-3.0306263,-3.1291945,-3.6151214,-4.2709394
.71749336,.30197555,-.11412347,-.59649515,-.67905617,-1.0258821,-1.7215701,-1.2899572,-2.5680296,-2.4861171,-3.0586076,-3.1881433,-3.500675,-5.0002408,-4.1343555,-5.16682,-5.5755591,-5.0218315,-6.361537,-7.5339699,-7.4436378,-6.7853298,-7.7284451,-8.7812815
10.591048,10.100645,9.8062353,8.930191,8.6841478,8.8535604,8.3521452,8.1474323,6.3572474,6.6342254,6.7294288,5.6331363,5.0366945,4.3572993,4.9273672,4.5772243,3.3236108,3.3201606,3.6957009,2.4472024,1.9298446,1.8276089,1.6726257,1.6649849
2.6074195,2.058639,1.6540953,1.8453306,.96133822,.49927792,.55249619,-.32535744,.18098494,-1.2528429,-2.3070893,-1.3684596,-1.4108298,-2.3146131,-3.7212045,-2.9021108,-3.259634,-3.2961984,-4.7152419,-4.5832443,-5.1000795,-5.7814732,-5.5686841,-6.0960321
-2.5515771,-2.6530578,-2.8424382,-3.4109526,-4.7501578,-4.256464,-5.9383736,-5.4031191,-5.4724541,-6.6018596,-6.703095,-7.1415973,-6.1895733,-7.3326964,-8.1257219,-7.8922353,-7.0611959,-8.4856739,-8.7719822,-8.8709459,-8.2935934,-11.449236,-11.696182,-10.55869
.3287392,-.16669582,-.48494527,-.77110046,-1.3753259,-1.9780797,-1.7259741,-2.0502419,-2.757041,-3.1069832,-3.4828277,-4.2311029,-4.9207168,-5.1176167,-5.4379401,-5.033854,-7.1319208,-5.3963304,-6.6546721,-7.8123889,-8.2384443,-8.643856,-9.2138796,-8.2894306
-4.8852124,-5.1956606,-5.7838569,-6.2198639,-5.9827251,-6.5685315,-7.1121593,-7.3205543,-7.5240965,-7.9818206,-8.4663591,-8.0740843,-8.8085394,-9.4288998,-10.254306,-10.117779,-10.551538,-10.648092,-12.76792,-11.761759,-10.403789,-11.402638,-12.217055,-13.623903
.078101218,-.3256546,-.8626129,-1.4584186,-1.3389385,-1.9996119,-1.7195222,-2.0993197,-3.1701066,-3.3953242,-3.2539518,-3.5695012,-4.5463233,-5.4886355,-5.2593594,-5.9742212,-5.1562767,-6.648345,-6.9978848,-7.0561261,-7.1854739,-7.8829222,-8.134963,-8.9945259
-.39786297,-.73079973,-1.0414747,-1.7645422,-1.3357482,-2.2339921,-2.5749927,-2.8329206,-3.4789722,-3.4156888,-3.9217222,-4.366056,-4.3052578,-4.609148,-4.9914112,-5.1707497,-5.8352017,-6.7740116,-7.6806989,-6.6187649,-8.0845623,-8.3408012,-8.5282974,-6.9817986
-2.8961282,-3.1675613,-3.4713576,-3.7998638,-4.2215099,-4.4541087,-5.6820354,-6.0751481,-5.8377085,-5.8360376,-6.8660808,-8.0373116,-7.6645584,-7.9018707,-7.9486103,-7.9044847,-8.5121059,-8.7112341,-9.4112949,-9.8503008,-10.746325,-11.299579,-11.306748,-11.882251
-.36116353,-.95972192,-1.250873,-1.777359,-2.2817354,-2.6714082,-2.5010736,-3.0673037,-3.2720749,-3.7629955,-3.6673717,-4.4762058,-5.3153033,-5.7479434,-5.9930091,-6.4810638,-6.759531,-6.7575002,-6.9758558,-7.546803,-8.4892063,-8.4339905,-9.1563177,-9.4400835
10.00901,9.587616,9.1146059,8.8424244,8.6961794,7.7854967,7.6903348,7.3513422,6.8114305,6.4380493,5.6514335,4.7666774,4.9040132,4.647644,4.3241177,4.1318989,3.5843582,3.7700884,2.4894681,1.8521968,1.3848202,1.8018885,-.8757149,.24676
-7.991806,-8.1552391,-8.7428799,-8.5257196,-9.0660944,-10.087531,-9.9565802,-10.095948,-11.275148,-10.184083,-11.172163,-11.914476,-12.112392,-12.454942,-12.119528,-12.527797,-12.542272,-12.875195,-14.542215,-14.007806,-14.241437,-13.389812,-15.182644,-14.783387
-2.8043623,-3.1014526,-3.5325725,-3.6176019,-4.1644278,-4.7629695,-5.4589419,-5.4929142,-6.0916438,-6.6597543,-6.3505225,-6.461556,-6.7073512,-7.4436216,-7.3691473,-8.6148252,-9.7039175,-10.216674,-10.072012,-10.802586,-10.659629,-10.124302,-10.643351,-11.289565
13.932571,13.345298,13.111559,12.504931,12.454261,12.728293,11.065835,11.212283,10.240333,10.414303,9.1737337,9.0917549,7.645658,8.5596819,8.1669436,5.4501433,6.6678052,6.6916666,5.2008462,5.2060986,6.0372262,4.9620128,4.6231375,4.763886
-4.300015,-4.7824979,-4.7076979,-5.5944099,-5.7899971,-6.3347492,-6.370358,-7.1302848,-7.2314892,-7.5504498,-8.1406965,-8.1287251,-8.4916878,-8.7912922,-9.5168972,-9.6671562,-10.096096,-10.3016,-10.441256,-11.381824,-11.959687,-12.647408,-12.995028,-12.164656
-2.3910637,-2.7821867,-3.0833261,-3.4135084,-3.8577588,-4.1087871,-5.1074848,-5.4201398,-5.1756282,-5.6509638,-6.5649228,-7.1870346,-7.0795603,-7.2071838,-6.7939124,-8.0402279,-8.802063,-9.242794,-9.5769129,-10.593574,-10.892983,-10.041118,-10.676239,-11.607678
-4.420249,-4.7792759,-5.6194649,-5.3789616,-6.3411956,-6.3362846,-7.0764942,-7.474699,-7.7034893,-7.6765404,-8.2382984,-8.1220398,-8.6822519,-9.8193283,-9.2404861,-10.059058,-11.493391,-10.649754,-11.506551,-12.048152,-11.787855,-13.363835,-12.885259,-12.274527
2.8111799,2.4478478,2.0005486,1.9165158,1.4311714,1.0287638,.77694935,-.70495594,-.7475493,-1.0776683,-1.45973,-1.5721532,-1.7219989,-2.2339227,-2.166054,-2.8807428,-3.5187263,-3.9111722,-4.7680244,-4.1144753,-6.1001539,-5.5548759,-6.2003951,-5.6255898
