b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-2.7070396,-3.1259501,-3.6889322,-4.1640387,-4.5777068,-5.1529489,-5.5709462,-5.8239598,-6.3203406,-7.18821,-7.6126704,-8.0542412,-8.4545212,-9.096241,-9.4331989,-9.8340778,-10.267691,-10.611081,-11.130543,-11.521496,-12.029058,-12.875138,-13.203293,-13.544368
2.6608098,2.1987522,1.4198008,1.0773563,.66157705,.098374054,-.32303283,-1.069627,-1.3696098,-2.1342101,-2.6473441,-3.1770804,-3.3762314,-3.755722,-4.349339,-5.0709739,-5.611187,-5.9167953,-6.5351934,-6.7590246,-7.5931087,-7.9843659,-8.316824,-9.0418015
-.086008891,-.56440794,-1.0706396,-1.4149678,-2.0692809,-2.592521,-3.1746206,-3.4528956,-3.8986588,-4.308001,-4.9099154,-5.700592,-6.1786427,-6.4431562,-6.6363907,-7.6558967,-7.9276838,-8.6323748,-9.0476875,-9.4352837,-9.6598415,-10.282473,-10.814505,-11.190941
2.0928016,1.6156522,1.0294304,.5759846,.098088577,-.57481349,-1.0488611,-1.3899707,-1.7662834,-2.5180333,-3.0058875,-3.4288752,-4.2153945,-4.386663,-5.2738881,-5.4975491,-5.812984,-6.82691,-6.8863955,-7.5544057,-8.243659,-8.491437,-8.7570992,-8.7493172
-2.5031514,-2.990926,-3.4387155,-3.9933226,-4.2744451,-4.9182386,-5.3136315,-5.8679852,-6.517777,-6.743155,-7.0636444,-7.5895262,-8.3979921,-8.566659,-9.1092682,-9.5406694,-10.28757,-10.259696,-11.012644,-11.547102,-12.120055,-12.664645,-12.991371,-13.681737
-.64086878,-1.0842562,-1.68296,-2.2603843,-2.5816121,-2.9095719,-3.333288,-4.1159115,-4.6490631,-4.8109279,-5.6070876,-5.9121161,-6.6476049,-7.2123265,-7.7554522,-7.7222543,-8.2156162,-8.9942808,-9.6341724,-9.572216,-10.383884,-10.76115,-11.27607,-12.174493
-1.923402,-2.4073157,-2.897217,-3.2824497,-3.937963,-4.1723714,-4.8007293,-5.1927795,-5.4913435,-6.2420278,-6.6952176,-7.1563058,-7.7137685,-8.467576,-8.4156513,-8.8261318,-9.5621767,-10.271955,-10.679727,-11.064251,-11.541987,-12.052148,-12.682302,-13.054926
-1.6562833,-2.1483977,-2.5793581,-3.2108603,-3.8186886,-4.0602012,-4.6320591,-5.1887455,-5.6640906,-6.19877,-6.4653292,-7.152328,-7.5245838,-7.9056406,-8.3812532,-8.7255735,-9.7715216,-9.6339064,-10.269427,-10.379212,-11.300154,-11.819795,-12.531198,-12.715677
.88987309,.41811499,-.1677656,-.57395011,-1.1057613,-1.6787953,-1.9992193,-2.5731473,-3.0230622,-3.5224566,-4.0538301,-4.4864087,-4.8210959,-5.759871,-6.2594337,-6.3068442,-7.1976337,-7.7926784,-7.9000492,-8.6223326,-9.0797367,-9.7522297,-10.126869,-10.675364
2.2698226,1.7749892,1.1620136,.70442271,.29354018,-.23634718,-.68305373,-1.197077,-1.6804861,-2.2612126,-2.4602094,-3.1619105,-3.6051285,-4.3695617,-4.843545,-5.2946534,-5.6921716,-6.3447499,-7.0302339,-6.9909186,-7.6362128,-8.2041063,-8.8305569,-9.4669113
-.014957529,-.50363499,-1.0466655,-1.4968456,-2.0221655,-2.6852045,-2.9946053,-3.3263328,-3.8420424,-4.5390263,-4.8290377,-5.059257,-5.7621737,-6.2616563,-6.8461385,-7.1864204,-7.7382917,-8.2521667,-8.8370047,-9.464242,-9.5973377,-10.162395,-10.786732,-11.539639
2.0681989,1.5951958,1.091085,.46551207,.17120147,-.38129243,-.81899291,-1.5472003,-1.9523658,-2.5208349,-3.0212882,-3.2669168,-3.8633494,-4.5584974,-4.9668493,-5.6014566,-6.2838149,-6.373858,-6.9001517,-7.0972285,-7.9847035,-8.3066225,-8.9236135,-9.3032551
-.72804058,-1.1813585,-1.636783,-2.146389,-2.5452027,-3.203346,-3.9445572,-4.0863786,-4.481946,-4.990757,-5.5618706,-6.3076229,-6.5419102,-6.7101517,-7.8192439,-7.9909534,-8.1224499,-9.013587,-9.4079123,-9.9318752,-10.390338,-10.94056,-11.11264,-11.982439
-2.0096266,-2.5449674,-2.9861135,-3.5662739,-4.0382543,-4.5747027,-4.9113245,-5.317925,-5.7183328,-6.4212966,-6.8865862,-7.3070421,-7.762578,-8.066494,-8.5421019,-9.3730183,-9.6398621,-10.064681,-10.721618,-11.082991,-11.533926,-12.377919,-12.713406,-13.12053
-1.0890768,-1.588769,-2.0796237,-2.5171237,-3.0654218,-3.5154798,-3.8393471,-4.6231956,-4.9618335,-5.3454976,-6.0155568,-6.3343406,-6.9276443,-7.4895673,-7.7702427,-8.4591122,-8.8163834,-9.7455702,-10.183048,-9.9789944,-10.679976,-11.618077,-11.750906,-12.514274
.30027407,-.16443619,-.61066604,-1.1461475,-1.6489179,-1.9725585,-2.74156,-3.477226,-3.7833045,-3.8588071,-4.679235,-5.2213235,-5.3994064,-5.9135923,-6.6574836,-7.1834297,-7.672822,-7.9816265,-8.4921846,-8.6598291,-9.5070658,-10.349674,-10.349541,-11.265769
-.025182463,-.57306921,-1.0501593,-1.5173213,-1.9627036,-2.6444046,-2.8973527,-3.3958111,-4.0326734,-4.5545545,-4.8841991,-5.200058,-5.8660951,-6.37992,-6.8172956,-7.3856421,-8.1140928,-8.462594,-9.1125145,-9.489707,-9.9680443,-10.2568,-10.756144,-11.78136
