b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
2.6919813,2.2050591,1.6689185,1.1719491,.77179819,-.033592474,-.35112983,-.77019835,-1.4306554,-2.0778861,-2.5488658,-3.0565369,-3.328486,-3.8479328,-4.5623193,-5.1378379,-5.5777221,-5.9238482,-6.3941021,-7.1929288,-7.6057887,-8.0205488,-8.5775003,-9.0813198
1.604641,1.100023,.52805734,.096666768,-.5751121,-1.0273795,-1.3521594,-1.8592469,-2.4495163,-3.1544094,-3.4449055,-3.978837,-4.3338046,-4.9659276,-5.5215573,-6.0942373,-6.5479622,-7.0041881,-7.6345949,-7.9070487,-8.4477701,-9.0391617,-9.4184256,-10.037026
3.0174401,2.5079312,2.0312099,1.4937444,.89518046,.51684368,-.16745478,-.55981433,-1.0877593,-1.5757087,-2.1566007,-2.6952994,-3.1029873,-3.7299829,-4.1226897,-4.8094344,-5.3257113,-5.5269222,-6.2931938,-6.9925156,-7.3758488,-7.9268451,-8.3364801,-8.7039938
-1.2111402,-1.6893567,-2.2422948,-2.7136228,-3.1039493,-3.7330008,-4.2478962,-4.6344442,-5.067039,-5.6507411,-6.1310129,-6.6980329,-7.0460806,-7.4905834,-8.1224413,-8.6541376,-9.1476288,-9.8220749,-10.177601,-10.673601,-11.29223,-11.448264,-12.189775,-12.846608
1.0064882,.50263363,-.016491948,-.52574396,-1.0421009,-1.5185939,-2.0285802,-2.5825715,-2.963495,-3.3396316,-4.0223379,-4.4806247,-5.1072712,-5.4180117,-6.073812,-6.4007211,-7.0461092,-7.7389536,-8.1046486,-8.6847525,-9.1242943,-9.5959063,-9.9556494,-10.707096
-2.0754013,-2.5550435,-3.0618975,-3.5564415,-4.058991,-4.4218483,-4.964376,-5.539309,-5.9473701,-6.5202122,-6.8458128,-7.4212999,-8.0569744,-8.436821,-9.0238256,-9.5092869,-9.832037,-10.380849,-10.893101,-11.251804,-12.017068,-12.349159,-12.854873,-13.385037
-2.5600314,-3.0267315,-3.5069442,-4.0002069,-4.5993814,-5.058815,-5.4519501,-5.9717622,-6.4448195,-7.0138125,-7.4374847,-7.953002,-8.413168,-8.9348907,-9.2563581,-9.8909607,-10.314856,-10.671087,-11.234004,-12.069266,-12.175741,-12.691032,-13.187544,-14.032863
.22316143,-.29370728,-.76037169,-1.3277903,-1.7796737,-2.3006859,-2.951956,-3.3551764,-3.7117581,-4.3009071,-4.6908851,-5.3857083,-5.7892022,-6.2790546,-6.8814101,-7.2945967,-7.5451312,-8.0897236,-8.8460932,-9.1942806,-9.9673843,-10.250266,-10.904729,-11.442879
-1.3621548,-1.8363056,-2.3339207,-2.8378997,-3.4108224,-3.8140452,-4.271296,-4.7513776,-5.2669125,-5.8451638,-6.1312113,-6.6721277,-7.3256202,-7.9537168,-8.1792698,-8.9598379,-9.1775589,-9.652585,-10.329762,-10.621994,-11.192634,-11.786182,-12.142559,-12.709364
-.41183451,-.90641189,-1.4750556,-1.9124959,-2.3518188,-2.9211471,-3.3682344,-3.9416952,-4.3585157,-4.8969688,-5.3902636,-5.8256102,-6.4204044,-6.9414172,-7.2691927,-7.7285204,-8.3883953,-8.9147329,-9.5456295,-9.9575243,-10.419607,-10.721315,-11.582711,-11.910027
-.05751596,-.58075243,-1.088932,-1.5907614,-2.0042984,-2.6721241,-3.0110419,-3.3375256,-4.1426115,-4.5274577,-5.0506558,-5.609571,-6.1890111,-6.6414032,-7.0412374,-7.6362047,-8.0424471,-8.5068073,-9.0764475,-9.456459,-10.093832,-10.616355,-11.027611,-11.351854
1.8701717,1.3546937,.81594014,.26484182,-.10346111,-.55228329,-1.0357916,-1.5660053,-2.1834383,-2.6603584,-3.2301183,-3.6793892,-4.1514993,-4.652071,-5.1342025,-5.7235785,-6.2031498,-6.8051524,-7.3285437,-7.8336926,-8.3741598,-8.6190939,-9.4397163,-9.9220581
1.1511022,.66523933,.12612756,-.38860026,-.85561663,-1.3575234,-1.9154824,-2.3377976,-2.8858712,-3.4958172,-3.9049058,-4.3061562,-4.9255595,-5.5529885,-5.852766,-6.2992435,-6.8222551,-7.2800422,-8.166954,-8.5170574,-8.8407059,-9.5439806,-10.22906,-10.518203
1.4171197,.89713895,.3594062,-.17793506,-.68053061,-1.1369991,-1.6597246,-2.1139271,-2.6242943,-3.2019951,-3.6581104,-4.1717196,-4.6068463,-5.0541191,-5.6216688,-6.040226,-6.7449932,-7.1162558,-7.773459,-8.1284599,-8.765028,-9.4082327,-9.7683439,-10.395652
-.28695884,-.79866272,-1.2779951,-1.7905126,-2.2906733,-2.7702038,-3.2745218,-3.7996881,-4.1918483,-4.5819221,-5.1911311,-5.673203,-6.228579,-6.7117991,-7.3891821,-7.8857131,-8.2222281,-8.8546734,-9.2621326,-9.8653202,-10.059326,-10.654022,-11.327867,-11.756338
-2.0822873,-2.5390787,-2.9567394,-3.4787905,-4.037796,-4.4743824,-4.9793553,-5.729075,-5.9990425,-6.5156584,-7.1248598,-7.6748939,-7.8394303,-8.2315636,-9.0570335,-9.4416723,-9.9886999,-10.31898,-10.891507,-11.190395,-11.739163,-12.496881,-12.62602,-13.268596
.84624243,.30917761,-.23757428,-.73684889,-1.1789907,-1.7451792,-2.2081461,-2.5656524,-3.2180452,-3.7349238,-4.1636524,-4.7431755,-5.2536654,-5.6298003,-6.2685676,-6.6784296,-7.3792214,-7.523046,-8.0231009,-8.8145924,-9.3499813,-10.024947,-10.378416,-10.68635
