b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
.55167603,.071645431,-.47306883,-.98370159,-1.4932827,-1.9236728,-2.3509593,-3.1029918,-3.4406271,-3.944231,-4.5600386,-4.9203067,-5.4728618,-5.8740559,-6.4518709,-6.9628816,-7.4838133,-7.9903436,-8.4657145,-8.9816751,-9.5469294,-9.897706,-10.528211,-10.906968
-1.8710002,-2.3172109,-2.9416447,-3.35919,-3.8154151,-4.3358579,-4.8119636,-5.278749,-5.7936726,-6.2919736,-6.7715397,-7.3602118,-7.8407688,-8.344512,-8.8012056,-9.1748991,-9.7330675,-10.202646,-10.757844,-11.025978,-11.627006,-12.116872,-12.572575,-13.073515
3.2469652,2.7525997,2.2510962,1.7044436,1.1481638,.7497232,.087525703,-.357981,-.81062859,-1.3996743,-1.7842083,-2.4281375,-2.9671719,-3.4114089,-4.0369916,-4.45998,-5.0287471,-5.5096431,-6.1851044,-6.5341086,-7.2343001,-7.4664178,-8.0690451,-8.5775461
-1.3281403,-1.8136263,-2.3405349,-2.7333503,-3.3204708,-3.8480499,-4.3369441,-4.788013,-5.2650342,-5.8236475,-6.1324968,-6.7058215,-7.2491031,-7.7586541,-8.2080803,-8.7465553,-9.1320705,-9.7409115,-10.261536,-10.678883,-11.167021,-11.579796,-12.081191,-12.663508
-.16776977,-.67392963,-1.1547973,-1.6624694,-2.190109,-2.7142282,-3.1470644,-3.695456,-4.1810889,-4.6705256,-5.1608891,-5.6691823,-6.1206226,-6.5515366,-7.1327772,-7.700428,-8.1238384,-8.707654,-9.1724319,-9.5550537,-10.208784,-10.831204,-11.082098,-11.747008
-.39689916,-.8684386,-1.3824177,-1.9324523,-2.4222555,-2.8965111,-3.3676949,-3.8578453,-4.4844055,-4.7741723,-5.4134402,-5.8523207,-6.4027367,-6.7788525,-7.3198361,-7.8876615,-8.3545322,-8.9600258,-9.3440504,-9.7448549,-10.394651,-10.903807,-11.184405,-11.868347
1.2153555,.749668,.18825902,-.25707099,-.87169307,-1.2550838,-1.7681174,-2.3721809,-2.7839122,-3.3608844,-3.8552134,-4.3569417,-4.7729745,-5.4198008,-5.9348564,-6.4580431,-6.776094,-7.4344912,-7.904716,-8.4358454,-8.773653,-9.2645073,-9.9006891,-10.482226
-.98795623,-1.4895761,-1.9773121,-2.4987791,-2.9763515,-3.5139978,-3.9700863,-4.5338368,-4.9897943,-5.3266253,-5.830265,-6.3090835,-7.017405,-7.5013409,-7.75249,-8.3472061,-8.9033432,-9.4016762,-9.9008465,-10.39263,-10.911676,-11.338871,-11.590646,-12.137133
1.8693451,1.3682263,.85140437,.38441625,-.20418243,-.70472956,-1.1585211,-1.7494545,-2.1941762,-2.7031825,-3.1342533,-3.7694407,-4.2900667,-4.6379747,-5.3078594,-5.7913933,-6.3106718,-6.6871519,-7.3684521,-7.8686032,-8.3303432,-8.7744856,-9.3505726,-9.8632841
.14342752,-.34902567,-.91515291,-1.4050442,-1.7880651,-2.4030869,-2.8032098,-3.3385317,-3.9067788,-4.3136921,-4.8369904,-5.3663645,-5.837801,-6.2038016,-6.842752,-7.3129244,-7.7648768,-8.4632483,-8.8396769,-9.3410597,-9.8701105,-10.493883,-10.987734,-11.282885
