b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
7.9451528,7.4661922,6.8305311,6.3733277,5.805881,5.2321992,4.8089662,4.174849,3.5556767,3.1901371,2.4883153,1.9535788,1.4500314,.80191928,.41184685,.16060296,-.68168527,-1.0332335,-1.6111473,-2.5628903,-2.9992881,-3.2548354,-3.3794951,-4.7712264
-8.1663074,-8.5798359,-9.3335629,-9.7002048,-10.247588,-10.531447,-10.750646,-11.462194,-12.1678,-12.453056,-12.99208,-13.285666,-13.864366,-14.396186,-14.825225,-14.985247,-15.375434,-16.018034,-16.273026,-16.443176,-17.277357,-18.14253,-18.264637,-18.797932
4.0053406,3.4985282,3.0369782,2.5851362,1.8634503,1.2212988,.62696671,.53793496,-.13322815,-.38880667,-1.3086619,-1.5855403,-2.0536621,-2.905221,-3.075609,-3.8703692,-4.4136815,-5.0392084,-5.1198182,-5.902864,-6.4790311,-6.9557915,-7.4377117,-7.5813632
.23093188,-.28746828,-.76401693,-1.2924995,-1.8918883,-2.5213118,-2.7148871,-3.18116,-3.7477908,-4.3840351,-4.6528416,-5.2892118,-5.891047,-6.1662498,-6.8402629,-7.1187763,-7.6135492,-8.4913025,-8.6960344,-9.3611889,-9.9042921,-10.173508,-10.756525,-11.159212
-5.936461,-6.4320717,-6.8550205,-7.3275323,-7.7875581,-8.0431747,-8.5980549,-9.0099154,-9.749567,-10.120415,-10.539134,-10.781487,-11.781501,-11.636291,-12.255499,-12.8332,-13.526172,-13.832535,-14.037102,-14.640353,-15.557461,-15.852145,-16.261982,-16.93012
1.5509834,1.1049461,.49701113,-.066484943,-.51507092,-.76382047,-1.3931412,-1.9284469,-2.5962794,-3.1436484,-3.3626647,-3.9822533,-4.8608541,-5.1271291,-5.6231332,-5.7354584,-6.574472,-7.030993,-7.7903066,-8.0772533,-8.7446861,-9.1135979,-9.7326307,-10.579885
-3.4163792,-3.96856,-4.4636841,-4.9207807,-5.4381309,-5.690114,-6.4211202,-6.6802306,-7.120544,-7.7041492,-8.2227201,-8.5545406,-8.9186707,-9.8059349,-10.199338,-10.630985,-11.250544,-11.894846,-12.369055,-12.439618,-12.690887,-13.08899,-14.236858,-14.332047
3.9322588,3.4558778,2.9591043,2.3297875,1.6918344,1.2730104,.5602563,.093520492,-.462304,-1.146613,-1.2519652,-2.15606,-2.2570772,-2.8016448,-3.5811205,-4.1642213,-4.5281858,-4.7838755,-4.8730907,-5.77595,-6.7021861,-7.2954116,-7.0643277,-8.1681309
-1.3010443,-1.7559714,-2.3057978,-2.6827984,-3.3579025,-3.9154682,-3.9890692,-4.7895169,-5.3416247,-5.9011178,-6.145884,-6.8414621,-7.448081,-7.6797991,-8.0419674,-8.9386988,-9.4832964,-9.7923946,-10.108487,-10.828749,-11.51905,-11.986959,-12.150781,-12.865591
5.7273617,5.2045965,4.4429379,4.1013036,3.974128,2.9263196,2.8838496,1.784004,1.652559,1.0352122,.89638972,.14260806,-.47776189,-1.0476896,-1.8594488,-2.175673,-3.1142917,-3.1969776,-3.7978346,-4.090486,-4.2449632,-5.0531459,-5.9130735,-7.1755648
-.96901602,-1.452907,-1.983212,-2.6494193,-2.9929957,-3.5105648,-3.8806243,-4.1175127,-5.1810045,-5.6199408,-5.6495337,-5.8352284,-6.8236461,-7.302506,-7.5467129,-8.4736271,-8.4396973,-9.2310419,-9.368969,-10.640697,-10.816169,-11.559085,-12.047588,-12.47974
9.3335171,8.8583212,8.3334208,7.6074529,7.4737444,6.7140002,6.3415079,5.4092712,4.9509664,4.5971742,4.0726738,3.3039529,3.2533727,2.2935648,1.8594478,1.215729,.54503429,-.10184361,-.49568763,-1.1198857,-1.2808249,-2.1407266,-1.8833101,-3.1023831
2.927542,2.4045637,2.0284359,1.4725703,1.0322416,.25483143,-.53418988,-.51573575,-1.2025605,-1.3169968,-2.1932299,-2.931273,-3.2405031,-3.6247675,-4.2444949,-4.7659388,-5.3555164,-5.909626,-6.1609511,-7.1834097,-7.4251976,-7.7419381,-8.3208208,-8.8384256
2.9311893,2.4102373,1.8535649,1.4487644,.72081798,.30674762,-.18229045,-.79428756,-1.2826805,-1.8257564,-2.1223166,-2.8963265,-3.0400977,-3.8584404,-4.1783586,-4.8285775,-5.3024855,-5.9542618,-6.5576749,-6.667872,-7.3530731,-7.8958058,-8.41119,-8.6934366
