b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
.11789076,-.35858679,-.8698765,-1.3736005,-1.8740917,-2.360538,-2.7440703,-3.3724284,-3.9259601,-4.3806806,-4.8838296,-5.4096365,-5.8187308,-6.4786229,-6.8658929,-7.2976637,-7.8098726,-8.5308018,-8.9674053,-9.3257561,-9.9709959,-10.319038,-10.745171,-11.320955
-1.1262131,-1.6028246,-2.1564178,-2.621901,-3.0769393,-3.5922379,-4.0703077,-4.601635,-5.104919,-5.5840335,-6.0785184,-6.6120086,-7.0075598,-7.5238934,-8.0193272,-8.6016417,-9.0351849,-9.4745312,-10.019261,-10.560576,-10.961808,-11.564603,-11.930712,-12.526463
.92833072,.4446125,-.072154686,-.60610265,-1.1181518,-1.6102483,-2.0743051,-2.6325464,-3.1189063,-3.6905241,-4.1322203,-4.6716776,-5.1240115,-5.6697063,-6.1715431,-6.6237431,-7.0720625,-7.6995864,-8.1306581,-8.6015034,-9.2577219,-9.6993284,-10.086053,-10.703179
-1.0824745,-1.5837928,-2.0442789,-2.5334084,-3.0883908,-3.5844204,-4.0705042,-4.5425735,-4.9278021,-5.4632688,-6.0467434,-6.4864402,-7.0854492,-7.5390449,-7.9930015,-8.5583839,-9.0357704,-9.3710165,-10.009337,-10.460402,-10.970632,-11.523024,-11.852398,-12.479361
-.30538031,-.80664176,-1.267828,-1.7673017,-2.3137019,-2.816433,-3.2379482,-3.7914011,-4.3254843,-4.7231116,-5.2090564,-5.8166828,-6.2913032,-6.7734122,-7.2506723,-7.730341,-8.2414551,-8.8033237,-9.3045559,-9.7661276,-10.435143,-10.736497,-11.134746,-11.607944
-.6884681,-1.1764901,-1.7110361,-2.1942148,-2.6817596,-3.1562822,-3.6843834,-4.1719375,-4.6348758,-5.1580586,-5.7509036,-6.1061292,-6.6526866,-7.1648626,-7.6803226,-8.2329884,-8.6521883,-9.1445389,-9.549325,-10.119877,-10.624101,-11.081451,-11.574898,-12.025885
-.16876467,-.65323246,-1.1686388,-1.6281774,-2.1391039,-2.6477931,-3.1994414,-3.6988995,-4.096746,-4.6323895,-5.1374159,-5.6764812,-6.1978903,-6.6656055,-7.1941266,-7.5824594,-8.2089863,-8.6692896,-9.0845222,-9.608593,-10.090545,-10.748008,-11.099469,-11.636875
.62154871,.090931587,-.37801427,-.83056772,-1.4274871,-1.8908533,-2.3815165,-2.8586578,-3.4555278,-3.8263359,-4.3287086,-4.9224973,-5.4104004,-5.7903991,-6.5241156,-6.8990502,-7.4862828,-7.8941526,-8.5500345,-8.935071,-9.3625822,-9.8708887,-10.623503,-10.923521
-.44447285,-.94126236,-1.4360924,-1.9702636,-2.4483676,-2.9665284,-3.3819294,-3.975215,-4.4197059,-4.9364152,-5.3490744,-5.9206362,-6.3679013,-6.8609862,-7.4328775,-7.8794217,-8.4609604,-8.779088,-9.4727173,-9.8765936,-10.390498,-11.013909,-11.358479,-12.018442
-.87370211,-1.3733701,-1.90785,-2.3380871,-2.85831,-3.4301341,-3.8663859,-4.2251644,-4.8146286,-5.3139639,-5.9011598,-6.270411,-6.8544006,-7.2895398,-7.7691383,-8.3571558,-8.8166313,-9.3198948,-9.6950159,-10.214755,-10.816382,-11.204979,-11.701478,-12.2756
-.066774517,-.5555616,-1.0983866,-1.5324007,-2.0648928,-2.5985556,-3.1188848,-3.4224865,-4.0099459,-4.5945468,-5.0499563,-5.5910282,-5.9775133,-6.6226459,-7.0105119,-7.5677919,-8.0883579,-8.4629879,-9.0875969,-9.5629883,-10.021335,-10.52466,-11.081355,-11.622302
1.6559944,1.177349,.63057184,.16795474,-.38324866,-.85810822,-1.3500061,-1.8604121,-2.3864129,-2.9009881,-3.4475529,-3.9111018,-4.4938374,-4.9646416,-5.4701967,-5.9694085,-6.5472426,-7.0130467,-7.4927783,-7.9598899,-8.4317894,-8.8758068,-9.4070225,-10.160363
1.0717367,.5685721,.042248111,-.44771075,-.95385665,-1.4054236,-1.9211873,-2.3899095,-2.9623444,-3.456888,-4.0184097,-4.4307623,-4.9642806,-5.4178019,-5.9827633,-6.5262389,-6.9493637,-7.5775895,-8.0345592,-8.5159082,-8.9140615,-9.4821548,-10.093712,-10.68889
-1.5999714,-2.0909607,-2.5920045,-3.0483699,-3.5721865,-4.0463777,-4.5201159,-5.0249763,-5.5913882,-6.0999207,-6.5272059,-7.0185089,-7.5183415,-8.0257626,-8.455349,-8.8944817,-9.4972439,-9.9125509,-10.482336,-11.045892,-11.482108,-11.886884,-12.288989,-12.830622
-.64600509,-1.1605712,-1.643062,-2.1163054,-2.6662033,-3.140306,-3.5519254,-4.1403356,-4.5757551,-5.039381,-5.6012726,-6.1385632,-6.6362858,-6.9900613,-7.61444,-7.9655104,-8.7281342,-9.1556654,-9.6037083,-10.131868,-10.590166,-11.183551,-11.640185,-12.018431
.12255826,-.38661757,-.86969703,-1.3341517,-1.86024,-2.3741376,-2.8893569,-3.4203339,-3.8408558,-4.3766193,-4.9351745,-5.4128871,-5.8362818,-6.4135537,-6.8701258,-7.5207443,-7.7169433,-8.3240213,-8.8238277,-9.2313156,-9.9105844,-10.319091,-10.939104,-11.381824
.62609565,.12378118,-.4010714,-.86263555,-1.3831588,-1.8701222,-2.4048951,-2.9173207,-3.441942,-3.8960531,-4.2907395,-4.851315,-5.4174132,-5.9067979,-6.3910141,-6.8969755,-7.4967117,-7.9470983,-8.4021616,-8.8538857,-9.5668192,-10.045667,-10.458482,-10.928355
.52161002,-.0012501908,-.48370802,-1.039045,-1.4760555,-2.0768251,-2.4747026,-2.934164,-3.521739,-3.8858001,-4.6582494,-4.9535584,-5.4384379,-6.1251884,-6.5655527,-6.9419909,-7.5290442,-8.0754814,-8.5708771,-8.8726282,-9.4481888,-10.140847,-10.532914,-11.08364
-.57669771,-1.0737168,-1.5504668,-2.0697701,-2.5516343,-3.0763323,-3.6197624,-4.0252075,-4.5886593,-5.0996518,-5.5047154,-5.9917521,-6.7007022,-6.9638863,-7.5314178,-8.1356344,-8.4462681,-9.0293045,-9.5462141,-10.182393,-10.521591,-11.120177,-11.482699,-12.06403
-2.5554969,-3.0675173,-3.5249622,-4.044085,-4.4832554,-5.0226297,-5.4743466,-5.9456544,-6.4676833,-6.987639,-7.4468331,-7.8291345,-8.3665466,-8.8272381,-9.4007235,-9.8749771,-10.34673,-10.921287,-11.315344,-11.862953,-12.355236,-12.822065,-13.198374,-13.652939
-1.0812039,-1.5274763,-2.1247463,-2.499022,-3.082031,-3.501276,-4.1385221,-4.5430698,-5.0469818,-5.4278283,-6.0480213,-6.4833155,-7.043148,-7.5220852,-8.009366,-8.5906887,-8.8770981,-9.6064377,-10.077945,-10.441323,-10.905293,-11.570222,-11.875019,-12.442709
.16813089,-.31931037,-.88431478,-1.3640612,-1.854529,-2.3255768,-2.9053845,-3.3914628,-3.8427377,-4.2501354,-4.753408,-5.3676186,-5.8214025,-6.3523102,-6.856009,-7.3631425,-7.8547401,-8.3100748,-8.8591166,-9.2699184,-9.8803339,-10.44933,-10.700131,-11.290823
.71568567,.20697185,-.28183305,-.79871416,-1.3270556,-1.7822342,-2.349685,-2.8469107,-3.3952143,-3.7522843,-4.2524581,-4.8045468,-5.3237705,-5.8136201,-6.2620134,-6.8530631,-7.2593465,-7.8287554,-8.2808247,-8.9380131,-9.3212366,-9.9088802,-10.352115,-10.913187
-.73587674,-1.2042238,-1.7324888,-2.238502,-2.7159727,-3.2822456,-3.7015567,-4.1873741,-4.6736188,-5.2065654,-5.695384,-6.2480617,-6.6227951,-7.1977205,-7.6234159,-8.161911,-8.6985168,-9.2169485,-9.6308641,-10.058982,-10.660814,-11.316454,-11.63589,-12.090262
.17144746,-.34075677,-.82314891,-1.3503352,-1.8529356,-2.3400226,-2.7362151,-3.2802722,-3.8921764,-4.3321629,-4.9233961,-5.3687868,-5.8167062,-6.3281608,-6.8253703,-7.3120747,-7.8153739,-8.2455378,-8.9506893,-9.3575373,-9.8437777,-10.371409,-10.794392,-11.358154
.36602172,-.11030976,-.65445387,-1.2016357,-1.613417,-2.1674333,-2.6536477,-3.1767371,-3.6221464,-4.148818,-4.5744271,-5.1242013,-5.5625744,-6.2402148,-6.6459198,-7.2271934,-7.6908574,-7.9671407,-8.6780014,-9.1104546,-9.5948944,-10.202129,-10.694296,-11.056894
.16427156,-.33740446,-.85497963,-1.3364971,-1.8539286,-2.3841414,-2.7825284,-3.2893884,-3.8439691,-4.2639303,-4.7988553,-5.2688999,-5.8265076,-6.3302197,-6.8992562,-7.3496852,-7.948669,-8.2589455,-8.7757273,-9.2610979,-9.9220295,-10.341014,-10.8755,-11.370329
-.17422043,-.68345082,-1.1608351,-1.6299499,-2.1427832,-2.7127779,-3.2183223,-3.6569197,-4.1842403,-4.6837678,-5.0787864,-5.6692653,-6.2177277,-6.6807065,-7.1759405,-7.6970448,-8.0425758,-8.6732578,-9.2094326,-9.7103853,-10.11111,-10.545145,-11.171956,-11.59585
.23133728,-.2434922,-.76637083,-1.3086995,-1.6885576,-2.2189317,-2.7144215,-3.2839029,-3.8108087,-4.2193995,-4.8111615,-5.2717671,-5.8199635,-6.2912669,-6.7334056,-7.3755856,-7.8003316,-8.2699566,-8.733695,-9.3009567,-9.7770119,-10.325136,-10.820294,-11.223125
-1.8138417,-2.2999806,-2.7929409,-3.2264378,-3.8278234,-4.3402891,-4.7604337,-5.2771263,-5.6879983,-6.2340579,-6.7926402,-7.24475,-7.675365,-8.2135744,-8.7282362,-9.0923147,-9.5845966,-10.18609,-10.535446,-11.0481,-11.62797,-12.132148,-12.570905,-13.218852
-2.0207543,-2.4997709,-2.9747932,-3.4705601,-3.9814019,-4.4913435,-4.9110608,-5.4702368,-5.8825564,-6.3983817,-6.8455334,-7.4024401,-7.952095,-8.2510042,-8.8828077,-9.3838396,-9.8302441,-10.303255,-10.818751,-11.370844,-11.800749,-12.230109,-12.755304,-13.317654
-.81787157,-1.3144935,-1.8037839,-2.3568666,-2.7965446,-3.2931471,-3.7575612,-4.2425752,-4.7509665,-5.3318319,-5.8077378,-6.2448368,-6.7498927,-7.21277,-7.7725801,-8.2197542,-8.7347803,-9.2015839,-9.7019348,-10.396387,-10.757525,-11.206333,-11.678428,-12.15852
.11670395,-.40143535,-.88760912,-1.3709744,-1.8808538,-2.391211,-2.8662364,-3.3023205,-3.930922,-4.4074163,-4.9439335,-5.4800892,-5.87954,-6.4019957,-6.9054422,-7.3838296,-7.8431044,-8.3996944,-8.8767004,-9.3237076,-9.9514246,-10.433183,-10.847428,-11.391417
-1.2893536,-1.7810351,-2.3267949,-2.7712636,-3.3223245,-3.7712543,-4.2566051,-4.7881951,-5.1945381,-5.7053485,-6.2430096,-6.7401495,-7.2454929,-7.5863705,-8.1756001,-8.6328468,-9.1410666,-9.6061726,-10.107152,-10.687359,-11.220599,-11.667932,-12.128285,-12.623963
.065766692,-.4208518,-.9205569,-1.3898025,-1.9340177,-2.4609492,-2.889111,-3.4791615,-3.8921001,-4.358695,-4.7586818,-5.3697133,-5.9617953,-6.4586658,-6.9629421,-7.3494501,-7.8362169,-8.4085217,-8.9874735,-9.3408909,-9.9473391,-10.322811,-10.912414,-11.342047
-.84692967,-1.3575267,-1.816359,-2.3252573,-2.8614826,-3.3779821,-3.7910988,-4.3706851,-4.8823576,-5.3240371,-5.8701968,-6.3106699,-6.6779613,-7.3481908,-7.8055234,-8.2673321,-8.7789421,-9.2347393,-9.7582502,-10.252035,-10.878716,-11.397752,-11.628886,-12.312079
.34199262,-.16486014,-.64680302,-1.1622878,-1.6709037,-2.1847537,-2.6714828,-3.1660073,-3.7069814,-4.1415486,-4.6949654,-5.1734438,-5.7413993,-6.1621623,-6.7817764,-7.234345,-7.7106061,-8.1990843,-8.6611023,-9.274703,-9.7152815,-10.232704,-10.710267,-11.371532
-1.0394473,-1.504396,-2.0248337,-2.5833859,-2.9965096,-3.4713104,-4.0454621,-4.4974542,-4.8831744,-5.4880986,-5.97576,-6.3921509,-7.0152073,-7.4681954,-8.0057278,-8.452589,-8.934124,-9.4563856,-9.9781961,-10.348692,-11.054248,-11.387759,-11.812731,-12.447033
-1.0963333,-1.5920194,-2.0780854,-2.5574265,-3.0959539,-3.6182623,-4.0625143,-4.5312858,-4.998117,-5.5397749,-5.9753652,-6.5139256,-7.0619783,-7.5838361,-7.9262767,-8.418808,-9.1026564,-9.5419159,-9.9442101,-10.485889,-10.83585,-11.597496,-12.024989,-12.375011
-.69805038,-1.1928631,-1.6608107,-2.1893673,-2.657825,-3.161438,-3.6884456,-4.1094394,-4.7274642,-5.1036506,-5.6524253,-6.1405439,-6.6629572,-7.1155434,-7.5728106,-8.1675529,-8.7251358,-9.1362696,-9.531311,-10.002984,-10.624827,-11.118862,-11.616785,-12.270283
.014763195,-.47109759,-.99420768,-1.4842025,-1.9850299,-2.4753048,-2.96819,-3.484098,-3.9175134,-4.4444094,-4.9914036,-5.3764687,-5.9187775,-6.4254875,-6.9719172,-7.5124226,-7.9898071,-8.453372,-8.9690428,-9.3921843,-10.158908,-10.541376,-11.024348,-11.4999
-.38657674,-.86632574,-1.3483932,-1.9115919,-2.3781645,-2.8831303,-3.3911247,-3.9286778,-4.3376822,-4.8411107,-5.4423876,-5.9129591,-6.3658562,-6.7385693,-7.2744212,-7.8067036,-8.3970757,-8.829668,-9.3745537,-9.8370323,-10.428035,-10.807981,-11.293458,-11.865877
-1.5258313,-1.9820063,-2.4898188,-3.0322924,-3.5286572,-3.9246163,-4.4254618,-5.0088186,-5.445847,-5.9711366,-6.4392056,-6.9125166,-7.5206113,-7.9411163,-8.5435143,-8.8765173,-9.496685,-9.8135004,-10.365383,-10.889573,-11.377736,-11.80796,-12.376784,-12.792825
-.77810138,-1.2640852,-1.7720739,-2.2203932,-2.7507505,-3.3020895,-3.7544181,-4.2160926,-4.6781068,-5.2465577,-5.7283506,-6.2284799,-6.7018313,-7.1521125,-7.8356476,-8.2376413,-8.7211466,-9.1886787,-9.6694851,-10.182355,-10.651095,-11.226906,-11.598483,-12.142101
.1508518,-.34668505,-.85923648,-1.3788531,-1.8270471,-2.3462336,-2.9878924,-3.3410175,-3.8150897,-4.3481064,-4.8307772,-5.3901377,-5.817966,-6.3910346,-6.7418966,-7.2575226,-7.8764763,-8.4763098,-8.9352856,-9.2758684,-9.9092464,-10.371946,-10.90447,-11.400649
-.99705356,-1.4568005,-1.9911973,-2.5292768,-2.9624426,-3.4136691,-3.929822,-4.4837112,-5.005867,-5.4115443,-5.9241543,-6.518518,-6.8701234,-7.4378257,-7.9918785,-8.4894981,-8.920577,-9.4211435,-9.8842268,-10.414889,-10.891302,-11.453473,-11.803064,-12.289311
1.0822016,.58814406,.075435825,-.39422134,-.95044428,-1.4403279,-1.9851929,-2.4402301,-2.9765415,-3.4693933,-4.0197453,-4.4926367,-4.8866167,-5.6354718,-6.0763612,-6.4679461,-7.0526071,-7.4589386,-8.0121641,-8.4268351,-9.0339537,-9.4608603,-10.073997,-10.466903
-1.4380615,-1.9462553,-2.4268885,-2.8918099,-3.3936918,-3.9181449,-4.3959603,-4.8457055,-5.3576303,-5.9348106,-6.3743191,-6.8773475,-7.4642105,-7.7421951,-8.3376398,-8.8225079,-9.3262558,-9.7467089,-10.207297,-10.890553,-11.208502,-11.781284,-12.29078,-12.842575
-1.1615205,-1.627937,-2.1430268,-2.6803353,-3.1564088,-3.6914842,-4.173552,-4.5408549,-5.0525789,-5.5357165,-6.0470638,-6.5715561,-7.163146,-7.5713305,-8.120101,-8.575532,-9.0387697,-9.6007185,-10.037194,-10.635181,-11.070784,-11.448319,-12.013041,-12.637423
