b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
.34848678,-.15288703,-.66836816,-1.1520996,-1.6628455,-2.129462,-2.6886563,-3.1724801,-3.6880364,-4.177712,-4.5956488,-5.2149377,-5.6857867,-6.1635623,-6.6219449,-7.0711689,-7.6928735,-8.0727234,-8.6826429,-9.1800995,-9.7040024,-10.183571,-10.73976,-11.239507
-1.5110741,-1.9910715,-2.5253053,-3.0033736,-3.4606905,-3.9631479,-4.4662251,-4.9449439,-5.4521947,-5.9123979,-6.4222784,-6.9676094,-7.3695922,-7.9034891,-8.420331,-8.9153376,-9.420188,-9.8280029,-10.349102,-10.833533,-11.285768,-11.782396,-12.3664,-12.798838
1.9214966,1.388543,.92154109,.41308057,-.09487623,-.59582454,-1.1221645,-1.6170468,-2.1474142,-2.6720135,-3.1990142,-3.6750736,-4.2289028,-4.7370219,-5.1981812,-5.6831346,-6.1490064,-6.6864963,-7.1788926,-7.7730441,-8.1702299,-8.7459784,-9.3106842,-9.7700939
-1.2390519,-1.7315918,-2.2172427,-2.7390652,-3.1966286,-3.7157168,-4.163918,-4.7124181,-5.1884627,-5.6874557,-6.1232219,-6.7309432,-7.2134428,-7.6237464,-8.1179991,-8.6392908,-9.1428728,-9.639389,-10.131996,-10.556586,-11.118801,-11.606651,-12.111118,-12.709693
-.14596763,-.65807873,-1.1307646,-1.6461146,-2.1863508,-2.6648812,-3.1912739,-3.6211255,-4.145124,-4.6471052,-5.1317382,-5.5752625,-6.0836644,-6.6245594,-7.1687589,-7.6594057,-8.0673599,-8.5768394,-9.1071157,-9.722743,-10.13867,-10.559917,-11.059065,-11.504332
-.60829359,-1.1097634,-1.6204448,-2.0970314,-2.600636,-3.0941226,-3.6513767,-4.0860028,-4.614038,-5.0916524,-5.5571485,-5.9730635,-6.5848141,-7.0892673,-7.6019177,-7.9858184,-8.527009,-9.105691,-9.5520277,-10.061615,-10.481906,-10.979263,-11.598385,-12.013077
.41224751,-.084700979,-.56786197,-1.0928155,-1.6039432,-2.0411294,-2.5580094,-3.0993407,-3.5973444,-4.042418,-4.5940652,-5.1377439,-5.5477629,-6.1289988,-6.6256242,-7.0833883,-7.5497169,-8.0794125,-8.6094894,-9.1253395,-9.642437,-10.116341,-10.528438,-11.005767
.02791569,-.44644138,-.96102691,-1.4974985,-1.9828919,-2.4946189,-2.9673662,-3.4732375,-4.0249758,-4.4668584,-4.939363,-5.5495572,-5.9592166,-6.427186,-7.0140548,-7.5032697,-8.0062771,-8.4904385,-8.9738407,-9.4379187,-9.924448,-10.413534,-10.957388,-11.362427
.49070862,-.0041118124,-.54768884,-1.0156524,-1.5167502,-2.0109165,-2.5188432,-2.9963691,-3.51578,-4.0349369,-4.5361056,-5.0071583,-5.4739723,-5.9771676,-6.5361586,-6.9721336,-7.5250564,-8.0440674,-8.4988337,-9.050334,-9.5674906,-10.089999,-10.494746,-11.013262
-.40545478,-.89766246,-1.4418316,-1.9170965,-2.4155149,-2.888813,-3.4153371,-3.8521991,-4.3187108,-4.8976755,-5.3375463,-5.8921309,-6.4283786,-6.870388,-7.3474231,-7.9325719,-8.3791943,-8.8762369,-9.3414564,-9.7973242,-10.275104,-10.90649,-11.239331,-11.819061
