b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-.34586835,-.84361953,-1.3556277,-1.8364626,-2.3430157,-2.8062901,-3.3624241,-3.8428569,-4.3551831,-4.8405867,-5.2561073,-5.8710957,-6.3376498,-6.8145161,-7.2681036,-7.7131019,-8.3326721,-8.7088804,-9.3134499,-9.808959,-10.328625,-10.805383,-11.359561,-11.853724
-1.1606537,-1.6422931,-2.1786485,-2.6580708,-3.1179771,-3.6214416,-4.1268253,-4.6067142,-5.1162133,-5.5774732,-6.0891938,-6.635994,-7.0397882,-7.5757732,-8.0943766,-8.5915432,-9.0985155,-9.5069962,-10.029953,-10.515921,-10.970948,-11.468299,-12.054051,-12.48877
1.3031749,.77348411,.30997229,-.19623603,-.70070559,-1.1990783,-1.7212725,-2.2138684,-2.7406604,-3.2617259,-3.7866724,-4.258882,-4.8082137,-5.3149409,-5.7724643,-6.2547126,-6.7193542,-7.2510848,-7.7430601,-8.3322306,-8.7285748,-9.2974625,-9.8620539,-10.316442
-.97425985,-1.4679471,-1.9547526,-2.4780343,-2.9377089,-3.4571965,-3.9074192,-4.4564252,-4.9351978,-5.4352436,-5.8706117,-6.4797854,-6.9656873,-7.374619,-7.8715124,-8.395628,-8.9006233,-9.3953733,-9.8888121,-10.316921,-10.881373,-11.367598,-11.876293,-12.477061
-.57209331,-1.0825962,-1.5529398,-2.066108,-2.604362,-3.0805933,-3.6030657,-4.0325608,-4.5544648,-5.0520883,-5.5344381,-5.977448,-6.4859138,-7.0235724,-7.5640054,-8.0528355,-8.4618216,-8.9688578,-9.493926,-10.107965,-10.522594,-10.940029,-11.439249,-11.883055
-.73409951,-1.2346182,-1.7447251,-2.2210777,-2.7235656,-3.2161191,-3.775039,-4.2081456,-4.7353806,-5.2120032,-5.6770473,-6.0924368,-6.705163,-7.2051225,-7.7180085,-8.1022911,-8.6420803,-9.2205648,-9.6686068,-10.176626,-10.593263,-11.091894,-11.708558,-12.125156
.17453372,-.32106954,-.80344981,-1.3268378,-1.836785,-2.2726419,-2.7886274,-3.328897,-3.8254275,-4.2694192,-4.820303,-5.3625569,-5.7711716,-6.3510461,-6.8460999,-7.3036675,-7.7688813,-8.2976894,-8.8249083,-9.3400917,-9.8560247,-10.330784,-10.740444,-11.216537
-.13211164,-.60590768,-1.119593,-1.6553278,-2.1398425,-2.6499536,-3.1232057,-3.6279957,-4.1786547,-4.6203756,-5.0918813,-5.7011776,-6.109879,-6.5773082,-7.162014,-7.651556,-8.1540499,-8.6374693,-9.1195478,-9.5818243,-10.068771,-10.557211,-11.098993,-11.505133
.58147752,.085658364,-.4580214,-.92602217,-1.4265182,-1.9226142,-2.4299757,-2.9088535,-3.427115,-3.9493065,-4.4485517,-4.9217453,-5.3885651,-5.892549,-6.4517832,-6.8875442,-7.4414058,-7.9610062,-8.4174757,-8.9643364,-9.4873362,-10.007424,-10.413192,-10.932764
.027355962,-.46684819,-1.0139215,-1.4908141,-1.9914458,-2.466975,-2.995852,-3.4339786,-3.9030035,-4.485014,-4.9268403,-5.4830742,-6.0218511,-6.4667726,-6.944767,-7.5312772,-7.9791842,-8.4796572,-8.9472942,-9.4055586,-9.8843813,-10.520061,-10.853198,-11.436311
-.65000683,-1.1521227,-1.6705233,-2.1558249,-2.6615288,-3.1239071,-3.6102293,-4.104382,-4.6062508,-5.1108203,-5.6259818,-6.0646076,-6.5648546,-7.072978,-7.5476928,-8.0772123,-8.6418123,-9.0631456,-9.5879145,-10.056952,-10.587409,-10.994412,-11.512268,-12.036529
1.5656694,1.0883842,.5984599,.11229043,-.46059459,-.9302507,-1.4745458,-1.9973694,-2.5126665,-2.9936278,-3.5471234,-4.0379868,-4.5537481,-5.115808,-5.5340195,-5.9308491,-6.551446,-7.1213517,-7.5124259,-8.1068516,-8.485796,-9.0986147,-9.5430784,-10.134753
1.4420502,.94239503,.41862398,-.077454172,-.60084301,-1.1073096,-1.5464382,-2.0614815,-2.6251662,-3.1323938,-3.5525291,-4.1699557,-4.5653682,-5.1970572,-5.6687322,-6.1395154,-6.6956091,-7.2129712,-7.747417,-8.0745087,-8.6158676,-9.2488527,-9.7487411,-10.161397
-.78034723,-1.2821814,-1.7673728,-2.2533164,-2.7919872,-3.3049495,-3.7343917,-4.2497168,-4.7270331,-5.2808108,-5.7725735,-6.2427592,-6.7001748,-7.1965599,-7.6250482,-8.2212076,-8.7001762,-9.2980604,-9.7549181,-10.159268,-10.610225,-11.196342,-11.772724,-12.185406
