b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
.73339969,.23014943,-.28726768,-.77302331,-1.2851123,-1.7538813,-2.3155031,-2.8006091,-3.3188775,-3.8097754,-4.2294569,-4.8522949,-5.3231659,-5.8047552,-6.2641201,-6.7135048,-7.3391523,-7.7199359,-8.3326054,-8.8319798,-9.3580914,-9.8388996,-10.398145,-10.899097
-.21418141,-.70029581,-1.2414875,-1.7261932,-2.1903603,-2.6987157,-3.2081873,-3.6931801,-4.2071543,-4.6729202,-5.1899004,-5.7419515,-6.149838,-6.6909432,-7.2138429,-7.7166042,-8.2275019,-8.6406832,-9.1684361,-9.6597872,-10.117929,-10.620048,-11.211999,-11.651801
1.3510283,.82113063,.35726008,-.14900814,-.65367907,-1.152218,-1.675065,-2.167413,-2.6952019,-3.216608,-3.7407823,-4.2129626,-4.7643371,-5.2703881,-5.7280951,-6.2114139,-6.6753058,-7.2070723,-7.6987634,-8.288805,-8.6853485,-9.2556839,-9.8197079,-10.275578
.00008596573,-.49858993,-.99036384,-1.5186563,-1.9828738,-2.5073771,-2.9618285,-3.5159123,-3.9996047,-4.5039535,-4.9444256,-5.560605,-6.0504212,-6.4641862,-6.9649878,-7.494688,-8.0036745,-8.5042686,-9.0033321,-9.4349957,-10.004792,-10.496682,-11.008394,-11.615069
.22128628,-.2928777,-.76726145,-1.2845138,-1.826721,-2.3070712,-2.8345578,-3.2665396,-3.7921257,-4.2953091,-4.7819276,-5.2276754,-5.7394619,-6.281621,-6.8269291,-7.3195467,-7.7300987,-8.2415771,-8.7729311,-9.3905954,-9.8077459,-10.229699,-10.73257,-11.179462
-.44789672,-.94988507,-1.4616038,-1.9390545,-2.4432769,-2.937088,-3.4959002,-3.9310763,-4.4606767,-4.938715,-5.4038477,-5.8212032,-6.4356799,-6.9381075,-7.4525456,-7.8370581,-8.3795834,-8.9595547,-9.4072361,-9.916873,-10.336503,-10.83521,-11.45514,-11.872007
-.067728311,-.56216419,-1.0433934,-1.5655552,-2.0742795,-2.5091426,-3.0236845,-3.5627444,-4.0581508,-4.5005689,-5.0502548,-5.5908694,-5.99965,-6.5778222,-7.0718856,-7.5276752,-7.9918447,-8.5189352,-9.0464106,-9.5596781,-10.074573,-10.547134,-10.95647,-11.431208
.61475384,.13734432,-.37992758,-.91984951,-1.4080312,-1.9223292,-2.3984125,-2.9066818,-3.4623601,-3.9067714,-4.3816905,-4.9961643,-5.4079194,-5.8787036,-6.4675808,-6.9610014,-7.4670587,-7.9544549,-8.4398708,-8.9059763,-9.3961697,-9.8872824,-10.433926,-10.842675
.62533754,.12964238,-.41466117,-.88253689,-1.3839893,-1.8799596,-2.3882966,-2.8668401,-3.3854249,-3.9071822,-4.4070005,-4.8803763,-5.3477645,-5.8508124,-6.4108639,-6.8474894,-7.4012256,-7.9204769,-8.3775377,-8.9257002,-9.4468193,-9.9697428,-10.376209,-10.89421
-.3368828,-.82915533,-1.3742212,-1.8499699,-2.3479755,-2.8220303,-3.3488228,-3.7856791,-4.2532496,-4.832499,-5.2727351,-5.8278284,-6.3644753,-6.8064322,-7.2840343,-7.8685384,-8.3150768,-8.8135815,-9.2785158,-9.7352114,-10.212268,-10.845078,-11.177909,-11.758838
-.13684264,-.64137655,-1.1623666,-1.6500168,-2.1587589,-2.624588,-3.1126521,-3.6083474,-4.1140847,-4.6202774,-5.1373897,-5.5794148,-6.0825171,-6.5923471,-7.0701509,-7.6018147,-8.1703587,-8.5929079,-9.1206417,-9.5921574,-10.125742,-10.534974,-11.055213,-11.582312
1.1664374,.69095629,.20263973,-.28086805,-.85209227,-1.3197217,-1.8626522,-2.3832417,-2.8953955,-3.3750949,-3.9260623,-4.4162908,-4.9280114,-5.4886446,-5.9051661,-6.3010325,-6.9187198,-7.4858899,-7.8763146,-8.4682474,-8.8454618,-9.4547319,-9.8986826,-10.487356
