b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-.593072,-1.0602077,-1.6162333,-2.0977528,-2.5899544,-3.0941157,-3.5984046,-4.1524367,-4.6119576,-5.0625911,-5.5291719,-5.9655361,-6.583303,-7.0798149,-7.4692693,-7.959074,-8.533185,-9.148325,-9.5279198,-9.9373703,-10.542678,-10.947116,-11.587837,-12.062718
-1.9270108,-2.3919501,-2.9490082,-3.3985741,-3.8319802,-4.3436313,-4.8460121,-5.3069406,-5.8349209,-6.3581891,-6.8583031,-7.2719231,-7.7771087,-8.245677,-8.7424822,-9.1679449,-9.6371479,-10.35567,-10.64767,-11.20258,-11.747431,-12.198944,-12.644164,-13.149278
2.0102704,1.5207186,1.0177381,.50051409,-.017448941,-.54941303,-1.0726749,-1.4821939,-2.0141129,-2.5661869,-3.1448257,-3.5967598,-4.1103086,-4.5486412,-5.0968647,-5.7310247,-6.1637864,-6.6152239,-7.2052088,-7.7946587,-8.1760998,-8.6558323,-9.1802921,-9.7784576
-1.5482438,-2.0312195,-2.5003717,-3.0455465,-3.5134311,-4.0208964,-4.5104303,-4.9787006,-5.4281449,-6.0259037,-6.4695559,-6.9589,-7.5371027,-8.0116177,-8.5590057,-8.916934,-9.449441,-9.875493,-10.407493,-10.902229,-11.538249,-11.824915,-12.346304,-12.640642
-.0080299415,-.51273453,-.97498268,-1.5095184,-2.0431023,-2.5302045,-2.987669,-3.4967618,-4.013752,-4.4389935,-5.0241761,-5.5530148,-5.9725361,-6.5585189,-7.0202527,-7.5429654,-7.9356413,-8.5005121,-8.9238176,-9.5037689,-9.9591112,-10.573343,-10.99769,-11.505023
-.5957076,-1.079546,-1.6183369,-2.0420058,-2.5764794,-3.0430777,-3.527271,-4.095418,-4.6057024,-5.1080785,-5.6275187,-6.0126801,-6.5387168,-7.0063319,-7.4932976,-8.1178122,-8.5135908,-9.0560169,-9.6072607,-9.9325619,-10.491828,-10.967333,-11.538974,-11.989583
1.3112353,.81164986,.2921223,-.26320624,-.70445979,-1.2337574,-1.7002109,-2.2411728,-2.6959586,-3.3016045,-3.8061023,-4.1847644,-4.7749801,-5.2318187,-5.7127342,-6.4250007,-6.8316422,-7.19841,-7.8427696,-8.2868004,-8.8000069,-9.3206997,-9.777339,-10.225647
-.55754322,-1.0626926,-1.5589709,-2.0502117,-2.5375328,-3.0281184,-3.5680268,-4.0455122,-4.6015792,-5.0500197,-5.5506129,-6.030488,-6.4909368,-6.9670062,-7.594871,-7.9901805,-8.5752697,-9.0493679,-9.4757643,-10.057911,-10.451827,-11.021791,-11.391222,-12.06682
1.0867952,.5837605,.069200814,-.44619286,-.93172544,-1.44399,-2.0037448,-2.4959607,-2.9260826,-3.442055,-3.9574885,-4.4631982,-4.9481869,-5.4769778,-5.9616652,-6.5132051,-6.9079332,-7.4760156,-8.0785885,-8.4469891,-9.0068493,-9.5638046,-9.9508877,-10.394995
-.46677524,-.97023201,-1.5125355,-1.9349524,-2.4223745,-2.9907613,-3.4961421,-3.9818294,-4.3555565,-4.9692221,-5.3931274,-5.9576564,-6.4425545,-6.9380579,-7.5468531,-7.9220586,-8.4506245,-9.0401421,-9.4829817,-9.9047289,-10.345102,-10.771872,-11.402514,-11.862682
-.54391205,-1.0262306,-1.5630091,-2.0736759,-2.4924638,-3.0274165,-3.5708354,-3.9806859,-4.5357633,-5.0019202,-5.572547,-6.0142808,-6.4916553,-6.9851151,-7.4469404,-7.970655,-8.5321178,-8.9137545,-9.4782829,-10.000921,-10.572525,-10.961144,-11.511696,-11.969337
2.319226,1.8103129,1.3132092,.85315484,.32725686,-.21241768,-.76707864,-1.1354359,-1.7674624,-2.2193654,-2.7481062,-3.3948295,-3.8301735,-4.3576469,-4.906188,-5.2989345,-5.7517757,-6.3700762,-6.9032741,-7.4701028,-7.8541231,-8.3650484,-8.8227472,-9.5994005
1.9212462,1.4071826,.877294,.40463814,-.16150127,-.64856637,-1.1213019,-1.6460245,-2.0705771,-2.6223025,-3.1695669,-3.7061045,-4.1383119,-4.6972728,-5.2313995,-5.7082329,-6.1584668,-6.7705483,-7.0332217,-7.7473407,-8.2225981,-8.8619795,-9.318285,-9.8270006
-1.1755202,-1.6922871,-2.1503892,-2.6455433,-3.1010449,-3.6496937,-4.10321,-4.6009698,-5.1130633,-5.6447921,-6.0645838,-6.5926657,-7.040997,-7.6159282,-8.1363411,-8.5609941,-9.0915194,-9.5285301,-10.084414,-10.638742,-11.151544,-11.49653,-12.128612,-12.629967
-1.9640614,-2.4661839,-2.9217663,-3.4454603,-3.9271297,-4.3967538,-4.8735685,-5.4187698,-5.84586,-6.3813424,-6.826436,-7.3408351,-7.7508869,-8.3435287,-8.8101196,-9.2404375,-9.8059645,-10.340636,-10.70507,-11.264966,-11.962535,-12.28334,-12.773439,-13.069208
.2115159,-.2907795,-.82828885,-1.2425567,-1.7797431,-2.2932596,-2.8058472,-3.3165362,-3.8289945,-4.2745175,-4.77528,-5.3753748,-5.8137245,-6.2172647,-6.8184738,-7.2302198,-7.7326417,-8.3947878,-8.8122053,-9.3727045,-9.7669544,-10.363874,-10.793635,-11.333849
-.033348352,-.54156524,-1.017785,-1.535737,-2.0024776,-2.5306413,-3.0379519,-3.4958842,-4.0415382,-4.5945859,-4.9820633,-5.5582047,-6.0177236,-6.4928975,-6.9449673,-7.551384,-7.978951,-8.6381283,-8.9707994,-9.5749836,-9.9980745,-10.477394,-10.930713,-11.541656
.34838772,-.15667856,-.63566017,-1.1549038,-1.6544117,-2.1770294,-2.7044795,-3.1456563,-3.5559881,-4.1591315,-4.7578936,-5.0138326,-5.6939054,-6.1145668,-6.6642246,-7.1397843,-7.7442956,-8.1424446,-8.5493183,-9.1023312,-9.6686792,-10.151525,-10.670762,-11.172801
-.97703588,-1.455729,-1.9956845,-2.4248877,-2.9948671,-3.454181,-3.9449725,-4.4295902,-4.9156885,-5.3688092,-5.9929824,-6.4715157,-6.9344192,-7.3458471,-7.8921576,-8.3202963,-8.9320078,-9.3587379,-9.9408751,-10.385753,-10.880529,-11.254195,-11.891497,-12.239395
-1.6781961,-2.1705463,-2.6661327,-3.1405876,-3.6115487,-4.1226702,-4.6368933,-5.1275167,-5.6077609,-6.0866313,-6.5535908,-7.039319,-7.5236354,-8.0098562,-8.503149,-8.9957819,-9.5822563,-9.9814482,-10.456585,-10.974657,-11.53175,-12.039674,-12.507968,-12.900622
-.36148122,-.8551802,-1.366321,-1.8638166,-2.4332235,-2.8935966,-3.3113692,-3.8112252,-4.3374791,-4.838347,-5.304503,-5.8255773,-6.239603,-6.876451,-7.3398256,-7.7611704,-8.3125153,-8.8874226,-9.2907047,-9.7297964,-10.262712,-10.878623,-11.238775,-11.802935
.41418782,-.078070685,-.61096847,-1.0452727,-1.6021591,-2.0533235,-2.6227193,-3.0767117,-3.6596408,-4.0665836,-4.5359015,-5.1379471,-5.5446353,-6.0958834,-6.6162286,-7.0833349,-7.6901135,-8.0062418,-8.6339893,-9.1232576,-9.4991131,-10.162924,-10.571216,-11.165752
.35392001,-.14845705,-.59435129,-1.1567858,-1.6235538,-2.0870833,-2.6762187,-3.1459062,-3.663522,-4.1739874,-4.693285,-5.1496596,-5.6560674,-6.1274576,-6.6023769,-7.1615486,-7.5421638,-8.2210207,-8.6446171,-9.2222843,-9.5634232,-10.192933,-10.717248,-11.198027
-1.0821202,-1.5602251,-2.0763972,-2.5507667,-3.089411,-3.5926712,-4.0163474,-4.5099072,-5.0202823,-5.6113915,-6.0648746,-6.5145283,-6.9631658,-7.5225058,-7.9994473,-8.5667458,-9.0037098,-9.5497036,-9.847826,-10.594568,-10.946992,-11.476694,-11.972578,-12.396238
.54844189,.042885166,-.43439382,-.9859522,-1.4358699,-1.9596165,-2.4395785,-2.9536989,-3.5215852,-3.9404171,-4.4874644,-4.9318647,-5.5135021,-5.9681921,-6.378406,-6.9302258,-7.4294934,-8.1299849,-8.4911594,-9.029664,-9.4977493,-9.9968672,-10.488036,-11.015555
.9529283,.45015821,-.048443276,-.57341558,-1.0981411,-1.6365649,-2.0348551,-2.5765865,-3.0310636,-3.5031643,-4.2002597,-4.6023059,-5.0208182,-5.5683837,-6.1152344,-6.5479741,-7.205977,-7.6010771,-8.2553778,-8.6072178,-9.2338266,-9.6985073,-10.224393,-10.632331
-.62628847,-1.1146154,-1.5795534,-2.1394651,-2.6151917,-3.1472719,-3.5350132,-4.0414643,-4.5908699,-5.0068088,-5.6182466,-6.0169315,-6.6756897,-7.0719151,-7.5228195,-8.034236,-8.4536629,-9.0460958,-9.5420589,-10.121782,-10.538167,-11.072988,-11.588752,-12.016617
.078682102,-.43075332,-.91727144,-1.4141657,-1.9044076,-2.463932,-2.9186521,-3.4606421,-3.9058573,-4.4513268,-4.884059,-5.4246092,-5.8805308,-6.3458128,-6.853241,-7.4729319,-7.9286466,-8.4170065,-8.8422394,-9.3827505,-9.9633636,-10.493034,-10.863225,-11.360401
.9305349,.43222067,-.072285786,-.59218746,-1.0390916,-1.6544189,-2.0704081,-2.6433969,-3.0815051,-3.6127398,-4.1217232,-4.6372204,-5.1468554,-5.653172,-6.2303863,-6.606554,-7.0929604,-7.5095482,-8.1049109,-8.4679365,-9.1432514,-9.7218447,-10.18344,-10.705413
-1.7062331,-2.2322552,-2.6789472,-3.187609,-3.6801949,-4.1940045,-4.6362338,-5.1915088,-5.7037654,-6.0106087,-6.6179843,-7.1042528,-7.6013069,-8.1365891,-8.5756044,-8.993618,-9.643259,-10.118924,-10.472418,-10.924602,-11.478419,-12.063572,-12.579284,-12.998798
-2.4284701,-2.9118469,-3.3780556,-3.8663797,-4.3899345,-4.8657494,-5.3142185,-5.7968893,-6.348114,-6.8160653,-7.3104939,-7.8432131,-8.225625,-8.7922173,-9.1539516,-9.7615252,-10.215168,-10.652826,-11.262568,-11.683007,-12.112351,-12.640235,-13.131478,-13.628219
1.6741033,1.1617101,.67445374,.16123456,-.35034004,-.82999301,-1.3766294,-1.8283859,-2.4202602,-2.8924806,-3.425612,-3.9248292,-4.4462962,-4.965435,-5.4267883,-6.0139112,-6.4064569,-7.0304427,-7.5442662,-7.877316,-8.4143353,-8.9819527,-9.3626547,-10.016228
.36645856,-.14466201,-.59464663,-1.1363674,-1.6365302,-2.1457205,-2.6483991,-3.1332819,-3.6420901,-4.144804,-4.5636907,-5.1061044,-5.683043,-6.1860375,-6.5889444,-7.2066684,-7.6668415,-8.0882788,-8.6361332,-9.2303762,-9.561533,-10.19373,-10.668522,-11.255572
-1.2816117,-1.7755688,-2.2832091,-2.7431285,-3.3212552,-3.7857304,-4.2358031,-4.7628126,-5.2404461,-5.6890373,-6.189568,-6.6681376,-7.1872349,-7.663847,-8.1885738,-8.6790466,-9.1151781,-9.6556835,-10.184166,-10.709751,-11.148654,-11.666015,-12.16568,-12.646914
-.51480585,-1.0077595,-1.4918784,-2.0257504,-2.5222342,-2.9688199,-3.5333629,-3.9849334,-4.4859734,-5.006494,-5.4055476,-5.9923229,-6.5107956,-6.9380507,-7.4417505,-7.9661999,-8.5156031,-8.9996166,-9.4076452,-9.8253288,-10.34911,-11.026672,-11.589059,-11.988819
-.3357203,-.82782251,-1.324832,-1.815811,-2.3495076,-2.8651457,-3.2676663,-3.8734131,-4.3205504,-4.8524389,-5.2373757,-5.7746716,-6.3738427,-6.8855057,-7.2673526,-7.7778764,-8.4617872,-8.7395926,-9.2916594,-9.7710323,-10.247699,-10.745254,-11.313376,-11.846835
.68827522,.22144827,-.32040384,-.82514602,-1.3385234,-1.7859726,-2.3427746,-2.8299093,-3.3240905,-3.8375232,-4.4050941,-4.8165932,-5.2151341,-5.738903,-6.3501339,-6.8154588,-7.399951,-7.8992634,-8.4165373,-8.8817616,-9.4443998,-9.8491364,-10.285851,-10.797799
-1.5140245,-1.9952856,-2.460911,-2.9871719,-3.5372508,-3.9674122,-4.4716554,-4.9274149,-5.3932991,-5.9631605,-6.4082913,-7.0400233,-7.5292645,-7.8466005,-8.4198008,-8.9219284,-9.2932062,-9.8710613,-10.348089,-10.93624,-11.339979,-11.777194,-12.34433,-12.885444
-.26962179,-.77962363,-1.2508047,-1.7538095,-2.2288213,-2.6831067,-3.2106342,-3.751749,-4.2350588,-4.7526765,-5.257009,-5.6442633,-6.2951031,-6.6967421,-7.2370167,-7.6932936,-8.2080355,-8.7611456,-9.3727884,-9.7589674,-10.287384,-10.743371,-11.273575,-11.722008
.019501694,-.48526439,-.98594791,-1.4889637,-1.9697266,-2.5151763,-3.0165987,-3.4552653,-3.9988611,-4.4441719,-4.9926729,-5.559236,-6.0171471,-6.5288577,-7.0263858,-7.4291978,-8.0505915,-8.4469109,-8.9821978,-9.4112387,-9.9872026,-10.396805,-11.07946,-11.359393
-.005745206,-.51975387,-1.0341779,-1.5108628,-2.0104332,-2.5478253,-3.0171871,-3.465584,-3.9986188,-4.5356374,-4.9462624,-5.4548402,-5.9747496,-6.4943142,-6.9361897,-7.4894662,-8.0102034,-8.5596371,-8.9045115,-9.5241632,-10.135878,-10.445098,-10.952282,-11.411654
-.26026472,-.73955071,-1.2770439,-1.72756,-2.2186959,-2.7554889,-3.288847,-3.7458117,-4.3014002,-4.6999421,-5.2569013,-5.7995648,-6.2046103,-6.795815,-7.3112283,-7.784616,-8.105154,-8.6864634,-9.1481085,-9.7856073,-10.384137,-10.654737,-11.17958,-11.834293
-.48797107,-.98782355,-1.4420296,-1.9627022,-2.4808238,-2.9278903,-3.4262588,-3.9741371,-4.3573046,-4.9634495,-5.458261,-5.9573994,-6.4603953,-6.9831529,-7.5172105,-7.9222202,-8.3349371,-8.9008942,-9.4096727,-9.9571743,-10.266806,-10.979856,-11.400986,-11.937472
.93006599,.44139606,-.1016046,-.55414134,-1.059072,-1.5655487,-2.095814,-2.5910254,-3.1396616,-3.6620998,-4.1198411,-4.6462812,-5.1319218,-5.6832676,-6.1183872,-6.6787829,-7.0996423,-7.518723,-8.0719185,-8.5990524,-9.2506428,-9.5982819,-10.093886,-10.665234
.0010738531,-.47385848,-.99608952,-1.5234804,-1.9690516,-2.4858553,-3.002244,-3.5092394,-3.9975505,-4.4024768,-4.9417419,-5.5244265,-5.940269,-6.4727273,-6.8755546,-7.5052147,-7.9923306,-8.3986654,-9.0312357,-9.563179,-10.067415,-10.486913,-10.966094,-11.299833
-.58365691,-1.0453631,-1.6020868,-2.0778229,-2.563344,-3.0769448,-3.5795655,-4.0774374,-4.5457511,-5.0720673,-5.5270023,-6.061975,-6.5606046,-7.0096111,-7.4907093,-7.9648609,-8.5061502,-9.0152206,-9.4469814,-10.110558,-10.445946,-10.921245,-11.547626,-12.101411
1.2266521,.73214346,.20461519,-.28912976,-.78922814,-1.3146172,-1.8548757,-2.3314166,-2.838695,-3.2963538,-3.8877881,-4.3407326,-4.7814875,-5.465807,-5.8587422,-6.3926921,-6.8439221,-7.3816895,-7.9525628,-8.3735991,-8.9216986,-9.3846283,-9.961832,-10.287978
.86265081,.33719084,-.14162627,-.66198564,-1.1523235,-1.6934854,-2.1784179,-2.6362872,-3.229666,-3.722528,-4.3049402,-4.6610775,-5.151926,-5.7293534,-6.1481657,-6.7108326,-7.1493707,-7.6899052,-8.1741467,-8.7220497,-9.1801758,-9.745822,-10.22592,-10.616944
.16730829,-.33734813,-.81493467,-1.3226351,-1.8509785,-2.3489146,-2.7829494,-3.3574889,-3.8936741,-4.299962,-4.9008055,-5.4349794,-5.8754172,-6.3410821,-6.8052816,-7.3054342,-7.7971802,-8.3523922,-8.802598,-9.2577066,-9.7625437,-10.444011,-10.873507,-11.282744
-.57311207,-1.0687281,-1.5153325,-2.0271938,-2.5901031,-3.0943575,-3.5494707,-4.1112003,-4.5487919,-5.0812325,-5.5231066,-5.9707346,-6.5864296,-6.9600081,-7.4441252,-8.0480127,-8.5406427,-9.0426178,-9.6282892,-9.9856701,-10.490381,-11.132359,-11.493798,-12.052255
