b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
.88049984,.40091088,-.11056504,-.59664291,-1.140157,-1.4764687,-2.0952437,-2.6762321,-3.12009,-3.6885653,-4.1271839,-4.658597,-5.075047,-5.6731415,-6.3244877,-6.6993132,-7.154984,-7.5165625,-8.1325645,-8.7577152,-9.1365318,-9.6597557,-10.33841,-10.681043
-2.3982496,-2.8609183,-3.4096842,-3.8833144,-4.3876228,-4.831542,-5.3691745,-5.7590976,-6.3098583,-6.8105412,-7.295846,-7.6984744,-8.2990456,-8.6412382,-9.1265402,-9.6642485,-10.180277,-10.554149,-11.208853,-11.594831,-12.136966,-12.455359,-13.115798,-13.547296
2.7924776,2.2798185,1.7542757,1.2625556,.71525872,.18396631,-.3322269,-.77472091,-1.2308987,-1.8388548,-2.3977323,-2.8447926,-3.4533613,-3.9626904,-4.3676796,-4.8669915,-5.629426,-5.8614545,-6.6167192,-6.9990988,-7.5143905,-8.0284748,-8.4304705,-8.9657898
-1.7758683,-2.2546546,-2.6840053,-3.2622187,-3.7279491,-4.3277402,-4.744885,-5.2232389,-5.6087694,-6.3518038,-6.6612415,-7.1812525,-7.6854782,-8.1194811,-8.7236681,-9.1054211,-9.7786894,-10.017331,-10.817596,-11.108528,-11.616076,-12.018377,-12.516628,-12.996286
.16257742,-.32636997,-.83723772,-1.3049006,-1.8112552,-2.3317196,-2.8588412,-3.2998877,-3.8188381,-4.3205853,-4.820828,-5.3674936,-5.8260851,-6.310833,-6.8706479,-7.34727,-7.7706752,-8.3903551,-8.6894007,-9.2640495,-9.7781801,-10.277332,-10.803156,-11.328439
-.39406663,-.88705307,-1.4186035,-1.8429,-2.3402057,-2.8799579,-3.3682408,-3.8700819,-4.4307761,-4.7930446,-5.2915034,-5.8962193,-6.3325334,-6.7962055,-7.2715039,-7.8503857,-8.3709459,-8.8178959,-9.3234501,-9.7029638,-10.378699,-10.646588,-11.366431,-11.688072
1.163385,.66621393,.17031941,-.37266982,-.83928812,-1.2934706,-1.8508742,-2.3778613,-2.890955,-3.366189,-3.8518031,-4.347229,-4.8086424,-5.3880153,-5.942287,-6.3867784,-6.8516655,-7.38976,-7.8687854,-8.3141661,-8.9132318,-9.4819241,-10.01532,-10.436503
-1.3221462,-1.8353364,-2.2819839,-2.779424,-3.3028519,-3.814537,-4.2837949,-4.8106093,-5.2106533,-5.8291712,-6.2243938,-6.5338082,-7.2522054,-7.7231755,-8.215229,-8.6375017,-9.1642065,-9.7655401,-10.247416,-10.687428,-11.171605,-11.629071,-12.210811,-12.65218
.89865345,.40704474,-.1251377,-.62580204,-1.0965638,-1.6993811,-2.0757809,-2.6265416,-3.0668418,-3.5522151,-4.1821818,-4.6241188,-5.1900973,-5.570405,-6.1197863,-6.6139631,-7.0998073,-7.6529078,-8.0959139,-8.7613831,-9.1083355,-9.6782389,-10.127481,-10.77116
-.73819155,-1.2403774,-1.7353219,-2.209466,-2.6908469,-3.1396942,-3.6776261,-4.2503486,-4.7476363,-5.1933122,-5.6870313,-6.1719723,-6.67976,-7.2673807,-7.7627521,-8.0643482,-8.7070303,-9.1527195,-9.607173,-10.289858,-10.648952,-11.200857,-11.578296,-12.191627
