b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
1.2850432,.79877037,.24204732,-.15793683,-.63747454,-1.2403946,-1.6891979,-2.2248344,-2.8148861,-3.1017919,-3.7905059,-4.2122922,-4.6857004,-5.1811619,-5.7994232,-6.3730545,-6.7977238,-7.1971231,-7.591939,-8.1666708,-8.8823271,-9.4324198,-9.8297243,-10.353201
-.78150046,-1.2601389,-1.858089,-2.2536144,-2.7124977,-3.1855252,-3.7679205,-4.2587695,-4.8834729,-5.1926093,-5.7837782,-6.1499071,-6.5418744,-7.0830612,-7.699079,-8.2770081,-8.67097,-9.1716862,-9.7002783,-10.053946,-10.548162,-11.134521,-11.714221,-12.081066
.65477329,.1581635,-.2774775,-.81644613,-1.4152457,-1.7930441,-2.3319213,-2.7696872,-3.349103,-3.8595803,-4.3502927,-4.8732891,-5.2864461,-5.9356623,-6.3353543,-6.8396459,-7.3348227,-7.9503703,-8.3688803,-8.8400688,-9.4042854,-9.9695797,-10.486822,-10.764243
-.833772,-1.3162237,-1.8608017,-2.3137722,-2.7897644,-3.3174353,-3.8434131,-4.2430143,-4.7608619,-5.2591534,-5.8254805,-6.3053174,-6.7875996,-7.2193108,-7.7771854,-8.3439884,-8.7464161,-9.2289343,-9.5936689,-10.188524,-10.601274,-11.091911,-11.551048,-12.350096
-.26757804,-.74880755,-1.2594322,-1.7727506,-2.2828822,-2.6453457,-3.1977236,-3.7695215,-4.1679888,-4.7512264,-5.2231741,-5.7112513,-6.1958117,-6.7322779,-7.1246309,-7.7363787,-8.2703152,-8.6123838,-9.3032789,-9.6711998,-10.305298,-10.769123,-11.198055,-11.750656
-1.3658456,-1.8533707,-2.3506389,-2.9190419,-3.3057835,-3.762722,-4.1556082,-4.7222376,-5.4047289,-5.8537912,-6.4213505,-6.8264475,-7.1725183,-7.7216568,-8.2153521,-8.7498655,-9.2223053,-9.6829472,-10.306028,-10.583894,-11.10706,-11.740818,-12.232692,-12.704829
-.83342957,-1.3387483,-1.7904977,-2.37187,-2.8106761,-3.3422356,-3.7863235,-4.2253628,-4.7900825,-5.3433385,-5.7670231,-6.3796759,-6.7950559,-7.2454629,-7.9319992,-8.1455746,-8.8069782,-9.311676,-9.8730488,-10.139283,-10.704807,-11.267625,-11.655273,-12.096046
.8375808,.3509995,-.15686344,-.69136524,-1.2108289,-1.6932757,-2.1462691,-2.6601369,-3.1526718,-3.7210052,-4.2253513,-4.6191573,-5.3141637,-5.8251123,-6.2426405,-6.5716815,-7.2441378,-7.5493188,-8.2705269,-8.7193308,-9.1206341,-9.6544266,-10.164556,-10.617547
-.042996857,-.52106827,-1.0902858,-1.5248001,-2.0750518,-2.5464487,-2.9506197,-3.5298471,-4.0548158,-4.633316,-5.1047902,-5.5441427,-6.0164518,-6.5962524,-6.9876771,-7.4137149,-8.0058212,-8.5431528,-9.0088959,-9.5612411,-9.9441957,-10.529482,-11.020783,-11.531807
-.89342779,-1.3779358,-1.9214512,-2.3493545,-2.8650208,-3.3480868,-3.7974091,-4.4649191,-4.7699614,-5.4423032,-5.8580904,-6.3826256,-6.8137689,-7.2531681,-7.769093,-8.2532406,-8.7691431,-9.1642981,-9.8289566,-10.289476,-10.703889,-11.299911,-11.794189,-12.134132
