b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-4.8587089,-5.2643871,-5.8069744,-6.1822166,-6.652442,-7.2938304,-7.5398746,-7.9268084,-8.6763039,-9.0972404,-9.5136194,-10.112206,-10.32662,-10.990505,-11.289606,-11.564837,-12.250957,-12.693632,-13.135151,-13.722554,-14.081335,-14.855316,-14.907575,-15.353737
-1.6996093,-2.1601081,-2.8738234,-3.2105246,-3.8468344,-4.1302466,-4.5581117,-5.0034328,-5.5027103,-6.2150464,-6.4655218,-7.0971222,-7.3299417,-7.9009514,-8.4412823,-8.7202349,-9.377388,-9.995863,-10.265637,-10.800119,-11.281637,-11.5923,-12.142463,-12.491367
4.244565,3.739198,3.2089634,2.7419026,2.1868682,1.5545549,1.1085895,.67524546,.0059365989,-.24293189,-1.1025095,-1.4821849,-1.8699106,-2.6373401,-2.5791664,-3.265707,-4.1954155,-4.1191168,-5.0512514,-5.4512119,-6.0041938,-6.5481715,-7.033226,-7.619719
-.36913034,-.80886376,-1.4513783,-1.7743745,-2.3431313,-2.9113777,-3.3875873,-3.9548233,-4.150281,-4.6888452,-5.1843963,-5.8851976,-6.2307544,-6.7326407,-7.2831473,-7.6547256,-7.978189,-8.7517176,-8.8872156,-9.5912352,-10.529331,-10.79786,-11.045634,-11.671421
-2.6320515,-3.1068807,-3.5768027,-4.1679621,-4.4372439,-5.020278,-5.4636602,-5.9509964,-6.5295792,-6.7058911,-7.1922746,-7.7668142,-8.4344053,-8.870326,-9.2056475,-9.9551849,-10.131461,-10.904796,-11.416445,-11.595309,-12.435964,-12.986084,-13.163467,-13.382596
-1.3968921,-1.8362205,-2.4037898,-2.9289262,-3.389327,-3.658673,-4.2462711,-4.8136086,-5.5163107,-5.7173529,-6.1516232,-6.7196207,-7.3092961,-7.9032235,-8.4936199,-8.5899897,-9.1817236,-9.305109,-10.046903,-10.636977,-11.4371,-11.615185,-12.121522,-12.958673
.67986226,.18934821,-.33336046,-.80889779,-1.436396,-1.6319928,-2.365947,-2.620347,-3.1736622,-3.8006294,-4.1501603,-4.6025705,-5.2607894,-5.7954197,-6.173162,-6.4669108,-7.0629902,-7.8183265,-8.4065638,-8.7685614,-9.5808201,-9.7106247,-10.485851,-11.137779
-.52334416,-1.0402663,-1.432192,-2.056464,-2.6794362,-2.9113328,-3.5592427,-3.9707046,-4.6750941,-4.8282771,-5.1934676,-6.0958672,-6.2011428,-7.0304198,-7.3183627,-7.7965355,-8.0492315,-8.7055769,-9.4199448,-9.5891342,-10.105481,-10.940324,-11.329462,-11.80419
4.4165502,3.9490781,3.3342602,2.9514046,2.3544977,1.7661973,1.4601063,.75472766,.37519103,.11568094,-.57316309,-1.499716,-1.5579077,-2.3468857,-2.6085482,-3.1805658,-3.7033446,-4.258925,-4.6480765,-5.4847531,-6.2420301,-6.4696803,-7.1042929,-7.3200507
-.49361494,-.98387414,-1.5754935,-2.0021381,-2.3547013,-2.9405649,-3.3095872,-3.7148592,-4.3908744,-5.1573043,-5.1336684,-5.6726561,-6.2826023,-7.24052,-7.5873613,-7.7539196,-7.8420701,-9.1028337,-9.1792049,-9.498724,-10.075616,-10.918606,-11.411439,-11.961311
