b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-6.030736,-6.1368232,-6.4479203,-6.9802155,-7.1853476,-8.0159044,-7.6221089,-8.199049,-9.2630892,-8.8373022,-10.766548,-9.6482286,-10.815018,-10.96983,-11.150127,-10.816973,-11.216266,-11.7215,-11.556033,-12.278485,-13.034445,-13.476674,-13.271129,-13.448446
-6.7435732,-7.0733166,-7.9816217,-7.8477354,-8.4767437,-8.3694363,-8.6316977,-9.3814774,-9.4538298,-9.7293215,-10.732198,-11.120942,-11.300876,-11.473454,-11.017795,-11.457333,-11.619853,-12.260385,-11.842986,-12.869344,-13.378198,-14.350479,-14.119843,-13.920889
12.059829,11.697172,11.357748,10.912497,9.9210691,9.6180582,8.9870424,9.1475754,9.1473465,8.5588531,8.4310198,6.9784937,6.8895717,7.5308232,5.8688927,5.9752302,5.7119389,4.5814734,3.4807224,3.2075405,3.6426461,2.9665573,2.238801,1.2097372
-10.421596,-10.842193,-11.04997,-11.234753,-11.595325,-12.619226,-12.200659,-12.906071,-13.393088,-13.924065,-13.725344,-14.061408,-15.355467,-15.19124,-15.493957,-15.664169,-16.586662,-16.147297,-17.239155,-17.550314,-18.160969,-18.242453,-18.668705,-19.181654
2.4933598,2.0782349,1.5529474,1.1671568,1.023491,.60919863,-.015113109,.30843407,-.74143308,-.90448827,-1.2341577,-1.4412696,-2.0324862,-3.2885647,-2.6138856,-3.5375946,-4.0802641,-3.6122296,-4.7606912,-5.7715874,-5.817595,-5.1733184,-6.3763776,-7.125689
.40509123,.015975967,-.37520787,-1.0928615,-1.2611552,-1.1593651,-1.6271333,-1.8301611,-3.2779374,-3.1674767,-3.2502334,-4.0402141,-4.5180302,-5.2488718,-4.7770171,-5.2079563,-6.1253352,-6.3648319,-5.9243255,-7.0409794,-7.3523874,-7.7000999,-8.0211792,-7.8200994
8.4616709,7.8480244,7.4302864,7.5897622,6.644917,6.2320533,6.2249203,5.3473477,5.7844019,4.4242144,3.3493338,4.0682592,4.3691993,3.1106296,2.2242069,2.6257899,2.3334765,2.1582916,.64537215,.78087032,.42836389,-.36557186,-.50910383,-.80207139
-2.3522637,-2.488966,-2.7651007,-3.2403333,-4.3409839,-4.3512917,-5.5734878,-5.1372032,-5.045711,-6.1699734,-6.610415,-6.1665144,-6.2628136,-7.2400422,-7.7077556,-7.4785109,-7.3972683,-8.4198599,-8.9562502,-8.7052374,-8.3801479,-11.163599,-10.91059,-10.561947
-1.0624257,-1.5284268,-1.9129183,-2.1445804,-2.7204592,-3.3157156,-3.1708999,-3.3638082,-4.0643368,-4.364059,-4.8505707,-5.5989709,-6.2263832,-6.407712,-6.6515355,-6.3893461,-8.2621145,-6.8919196,-7.9863472,-9.1035118,-9.5694065,-9.9368067,-10.203699,-9.7060213
-9.4647789,-9.7906046,-10.324491,-10.801079,-10.573477,-11.063639,-11.606489,-11.73264,-12.085477,-12.412548,-12.897079,-12.592571,-13.182901,-13.969576,-14.637594,-14.627728,-14.945346,-15.077287,-16.935232,-16.021069,-14.820898,-15.789412,-16.217457,-17.950191
4.2265949,3.8309391,3.1901209,2.6574364,2.7509828,2.082124,2.3309581,1.9268111,.8695882,.62047422,.7788825,.42138264,-.58931243,-1.5727473,-1.3090209,-2.0829778,-1.3232708,-2.7995152,-3.2176635,-3.1773591,-3.3841264,-4.0798712,-4.42804,-5.2837052
-.18077049,-.48468161,-.81933367,-1.4322228,-1.1703193,-1.8818237,-2.3195376,-2.7002139,-3.3711989,-3.077208,-3.7077985,-3.9854803,-4.3417745,-4.6456366,-4.5210934,-5.1602702,-5.6732788,-6.819077,-7.376627,-6.2580748,-7.9068203,-7.933567,-8.4055319,-6.92767
-6.1862898,-6.4784765,-6.7246904,-7.038116,-7.4204359,-7.7754021,-8.7903004,-9.1094542,-8.9318752,-8.9900866,-9.9862146,-11.048317,-10.727977,-10.885334,-10.956416,-11.015973,-11.589063,-11.651228,-12.451386,-12.996284,-13.715876,-14.157262,-14.156942,-14.823784
3.503854,2.8914459,2.6526937,1.9607486,1.4907027,1.0763916,1.1907084,.72534603,.49262413,-.02950675,.0098333759,-.78800857,-1.7998151,-2.0572433,-2.3362274,-2.8976803,-3.1458833,-3.2215507,-3.217751,-4.0843019,-4.856307,-4.9777474,-5.578753,-5.8322144
-1.4885657,-1.9427626,-2.3277335,-2.5277998,-2.7282176,-3.5368328,-3.6004596,-4.0105329,-4.3825002,-4.6745687,-5.1215348,-6.2160978,-6.1589618,-6.5764599,-6.5193572,-6.6843119,-7.3500447,-7.2686095,-8.1498785,-8.80089,-9.4151716,-8.9303932,-10.686857,-10.609494
-11.907081,-12.042735,-12.635241,-12.437577,-12.927319,-13.854199,-13.80985,-14.160419,-14.998322,-13.980596,-15.007344,-15.507269,-15.673255,-16.071552,-15.679914,-16.412632,-16.296366,-16.48011,-18.060476,-17.625795,-18.092669,-16.844028,-18.746918,-18.498575
2.1886277,1.9025003,1.3435034,1.3367004,.76633334,.15651342,-.60586888,-.603508,-1.3646154,-1.7983173,-1.4041423,-1.6475532,-1.8075391,-2.6955843,-2.5705192,-3.7791305,-5.0596566,-5.5063214,-5.5798068,-6.3370533,-6.0411639,-5.426115,-6.189044,-6.7247438
7.9017177,7.369915,7.285635,6.4824219,6.3377538,6.8005419,5.5064225,5.4654932,4.4238548,4.4065285,3.1971505,3.4081488,2.2488804,2.6344538,2.3546274,.22828795,.59680253,.86427003,-.11837909,-.23387928,.34810665,-.76068193,-.89377838,-1.1559856
-3.4671445,-3.9640241,-3.8901565,-4.8003302,-5.0325441,-5.4691644,-5.6894341,-6.4536576,-6.356257,-6.7982283,-7.387259,-7.6200566,-7.9549813,-8.199852,-8.855422,-8.9235134,-9.3537693,-9.3538141,-9.8860159,-10.528004,-11.049318,-11.75028,-12.560872,-11.537139
-4.076407,-4.4936495,-4.7867198,-5.1662049,-5.6528206,-5.8072767,-6.8204999,-7.0961881,-6.8218403,-7.3022299,-7.9915729,-8.4789495,-9.0291443,-9.0452032,-8.4867105,-9.6673307,-10.232243,-10.686955,-11.651357,-11.897876,-12.739699,-11.976097,-12.053144,-13.257872
.28897107,-.10639415,-1.0040693,-.65440005,-1.744146,-1.6565278,-2.4395673,-2.9436684,-3.1095078,-3.071784,-3.7049243,-3.5922186,-4.0622911,-5.3859835,-4.7960849,-5.6192098,-7.1149664,-6.0036812,-7.405395,-7.6652684,-7.4075227,-9.0877857,-8.4992714,-7.9392047
