b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,b_storage21,b_storage22,b_storage23,b_storage24
-1.3289716,-1.7412981,-2.3247952,-2.817914,-3.2502835,-3.8409138,-4.2335601,-4.5361972,-4.9886718,-5.8714666,-6.3708968,-6.7934184,-7.1658592,-7.8576784,-8.1144619,-8.5157061,-8.9383535,-9.4166279,-9.8299112,-10.278818,-10.799726,-11.569488,-11.99018,-12.35782
-.83916509,-1.2863818,-1.9976312,-2.3863208,-2.7511179,-3.2721372,-3.7120194,-4.3805332,-4.7225771,-5.4346895,-5.8546491,-6.49682,-6.7034144,-7.005765,-7.6495857,-8.254858,-8.8500881,-9.1006165,-9.6993446,-10.042951,-10.716709,-11.148999,-11.527223,-12.141208
.31337738,-.17607993,-.67511564,-1.0862485,-1.666523,-2.2246327,-2.7343218,-3.0362859,-3.520402,-3.9478793,-4.4837017,-5.3306446,-5.8069811,-6.044754,-6.3403358,-7.2433724,-7.5486107,-8.2744646,-8.7739534,-8.9728374,-9.3148785,-9.9604692,-10.46489,-10.884624
-.4990482,-.96805257,-1.556157,-1.9763522,-2.4393234,-3.1084359,-3.5702012,-3.8632364,-4.3037438,-5.0077186,-5.4962659,-5.8660526,-6.682909,-6.8499799,-7.6708479,-7.8769574,-8.1637011,-9.0883579,-9.2049265,-9.8494205,-10.566166,-10.819681,-10.979985,-11.049501
.88079864,.37601006,-.086110547,-.6762436,-.95372301,-1.6156361,-2.0195313,-2.6328564,-3.2748048,-3.5341032,-3.9091918,-4.4168358,-5.1842585,-5.390655,-6.0228543,-6.4073567,-7.1553903,-7.1631837,-7.8759117,-8.458375,-9.0569668,-9.587472,-9.9228964,-10.634868
-.67862236,-1.1075931,-1.6962645,-2.2697411,-2.6059988,-2.9638667,-3.3914895,-4.1779819,-4.6610374,-4.9384809,-5.6304073,-5.9996796,-6.7731118,-7.2557063,-7.8272204,-7.9044466,-8.2199507,-9.0386486,-9.6622772,-9.6660652,-10.384135,-10.815639,-11.248124,-12.182018
-.25090334,-.74409086,-1.2306055,-1.6280036,-2.3448424,-2.5469077,-3.2036917,-3.5521846,-3.8477974,-4.6286354,-5.1283073,-5.5914335,-6.1384897,-6.9014416,-6.9571371,-7.2864151,-8.0549011,-8.7507772,-9.1764841,-9.5514898,-10.15984,-10.595986,-11.215205,-11.61846
2.7799721,2.2703784,1.8275462,1.1577033,.56770921,.31704426,-.38154301,-.8976869,-1.2456081,-1.8769082,-2.1432164,-3.023062,-3.2933178,-3.6525574,-4.2605505,-4.6678748,-5.6105123,-5.5817456,-6.160255,-6.4178586,-7.3499627,-7.7965002,-8.7970572,-8.8501501
.31152976,-.14272712,-.72894913,-1.1207924,-1.6491393,-2.2698944,-2.5771744,-3.1638527,-3.5804169,-4.0904427,-4.5977731,-5.0453029,-5.3654079,-6.2712502,-6.7839713,-6.9096546,-7.7015557,-8.2805319,-8.4613991,-9.0677109,-9.5494232,-10.350345,-10.671914,-11.119537
.11402955,-.37659582,-.98534554,-1.41022,-1.8194607,-2.3460486,-2.7829001,-3.2839844,-3.7290375,-4.3285961,-4.5274539,-5.1833763,-5.6386733,-6.4121504,-6.8456416,-7.3365278,-7.6884952,-8.3159351,-8.9423904,-8.9269371,-9.5735083,-10.194736,-10.813469,-11.327077
-1.3915824,-1.8703592,-2.4170601,-2.8598504,-3.3663523,-4.0286646,-4.3250875,-4.6546888,-5.1609011,-5.8608708,-6.1331139,-6.360517,-7.0766044,-7.5463362,-8.1363401,-8.4617996,-9.020647,-9.4917755,-10.109936,-10.717121,-10.804254,-11.412425,-12.0064,-12.704226
2.3174946,1.8257432,1.3678274,.68985587,.46521935,-.18329713,-.54062921,-1.2665436,-1.6166734,-2.2665117,-2.8347025,-3.041904,-3.643333,-4.3375149,-4.691596,-5.3659606,-5.9695849,-6.2367935,-6.6483264,-6.8761663,-7.6175528,-8.2041845,-8.6792221,-9.1770496
.2374237,-.22904168,-.69050926,-1.1981179,-1.5741996,-2.2752957,-3.0292628,-3.1456375,-3.5744064,-4.0237403,-4.6381583,-5.3316479,-5.6197481,-5.8589411,-6.9146342,-7.124753,-7.2508187,-8.0962343,-8.5178785,-9.0121145,-9.5737057,-10.036225,-10.211485,-11.145638
