b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20
-.93641162,-1.9170052,-2.8936856,-3.9183519,-4.8765101,-5.8975849,-6.9018478,-7.8807645,-8.8452778,-9.8223581,-10.861258,-11.787436,-12.761592,-13.670775,-14.802509,-15.857341,-16.782431,-17.800211,-18.697863,-19.597519
.69970721,-.31568295,-1.3072103,-2.2974813,-3.3512366,-4.3458462,-5.2470498,-6.3336258,-7.3374681,-8.3333683,-9.3541489,-10.483345,-11.340196,-12.482804,-13.386374,-14.402782,-15.483491,-16.470976,-17.329803,-18.381128
-2.2802138,-3.2711363,-4.2329268,-5.1907959,-6.1861234,-7.2043414,-8.0762243,-9.1772184,-10.099806,-11.046495,-11.941028,-13.062138,-13.935872,-14.927023,-15.934147,-17.008278,-17.811682,-18.878834,-19.856514,-20.709887
-.43743715,-1.3877167,-2.4339387,-3.4134462,-4.3597512,-5.3579311,-6.3446302,-7.478159,-8.4162931,-9.4489403,-10.356506,-11.401194,-12.41783,-13.446847,-14.279885,-15.309155,-16.25717,-17.269945,-18.279633,-19.420885
-1.0161313,-2.0038164,-2.9762759,-3.9853837,-5.0221038,-6.0101471,-6.9685855,-7.838603,-8.8526764,-9.9763184,-10.851314,-11.930242,-12.796211,-13.796905,-14.963953,-15.895387,-16.920324,-17.766806,-18.783789,-19.683647
.053042158,-.94657665,-1.9328315,-2.934499,-3.9036906,-5.0409346,-5.9641848,-6.9865122,-7.9737411,-8.9713717,-9.8898449,-10.937718,-11.92876,-12.973448,-13.93831,-14.941035,-15.88426,-16.971588,-17.926146,-18.857758
-.37708461,-1.3676454,-2.4013493,-3.340719,-4.3811922,-5.2502317,-6.3603129,-7.2856946,-8.2899952,-9.2412128,-10.294277,-11.358212,-12.281682,-13.350127,-14.323867,-15.340353,-16.164433,-17.339584,-18.289864,-19.289871
-2.0213017,-3.0040956,-4.0009341,-4.9692678,-5.929769,-6.9128823,-7.787035,-8.8299704,-9.9111156,-10.821652,-11.788471,-12.733018,-13.746055,-14.854464,-15.715139,-16.583645,-17.507015,-18.468077,-19.567842,-20.574989
.23299378,-.72664958,-1.7142426,-2.8544273,-3.8351471,-4.8535409,-5.7634249,-6.8375583,-7.8474932,-8.8036528,-9.7880545,-10.815593,-11.803254,-12.836533,-13.707169,-14.887794,-15.702856,-16.684881,-17.92815,-18.939987
-1.0181867,-1.9685245,-3.009531,-3.9459865,-4.863328,-5.9789438,-6.9516521,-7.9928179,-8.9854641,-9.9532976,-10.99849,-11.83638,-12.877227,-13.895556,-14.960519,-15.984482,-16.967884,-17.862991,-18.738018,-19.733892
-.34262726,-1.3371884,-2.3233418,-3.3399887,-4.3435206,-5.2921834,-6.3728232,-7.3804097,-8.2698536,-9.2808723,-10.385394,-11.277622,-12.237351,-13.29149,-14.392608,-15.340542,-16.26782,-17.173498,-18.365095,-19.228886
-.56599808,-1.6013975,-2.6001279,-3.487148,-4.5163431,-5.5900025,-6.5798836,-7.5529585,-8.575079,-9.4860353,-10.402665,-11.445003,-12.604433,-13.340195,-14.466475,-15.591476,-16.38133,-17.579191,-18.444633,-19.387724
.33670607,-.66942346,-1.6556603,-2.6493983,-3.6425259,-4.6432033,-5.6407366,-6.7234826,-7.7429161,-8.7167473,-9.7095299,-10.656458,-11.70449,-12.601157,-13.709234,-14.604373,-15.736709,-16.60693,-17.630846,-18.691158
-1.3816144,-2.3741741,-3.3211799,-4.3379583,-5.3573303,-6.2710547,-7.349638,-8.2553406,-9.1852016,-10.20883,-11.276247,-12.290948,-13.198274,-14.183204,-15.146883,-16.125364,-17.179211,-18.118418,-18.986414,-20.117306
1.547631,.56812441,-.47399786,-1.4541038,-2.4901323,-3.3937111,-4.5756454,-5.5546198,-6.5571575,-7.6709509,-8.6237764,-9.6020956,-10.609442,-11.522738,-12.661542,-13.569064,-14.769298,-15.757698,-16.660837,-17.784712
-.39447269,-1.4122468,-2.4320903,-3.4080429,-4.3464437,-5.3043623,-6.3239489,-7.4106064,-8.4156075,-9.3314543,-10.281503,-11.398226,-12.360531,-13.251576,-14.380345,-15.483428,-16.342646,-17.339746,-18.373022,-19.316082
-.67250073,-1.6573721,-2.6789341,-3.6974044,-4.6105475,-5.590282,-6.6831374,-7.6017179,-8.5420933,-9.6182556,-10.543926,-11.558947,-12.557907,-13.611485,-14.499637,-15.529706,-16.527184,-17.590223,-18.579762,-19.467022
.93457711,-.066562235,-1.1101907,-2.0352969,-3.1238832,-4.0768361,-5.1825471,-6.0696578,-7.1501369,-8.0577087,-9.1797781,-10.087029,-11.215656,-12.243666,-13.191452,-14.172382,-15.170689,-16.245888,-17.340343,-18.260216
-1.0004481,-1.9755791,-2.9606469,-3.9733257,-4.9264598,-5.9351654,-6.9035411,-7.9207172,-8.9015074,-9.8713226,-10.85852,-11.875085,-12.90389,-13.893231,-14.837445,-15.798471,-16.776804,-17.903671,-18.785072,-19.747347
-1.3711976,-2.3910747,-3.3291802,-4.3481855,-5.2855124,-6.2709765,-7.2777357,-8.2844238,-9.2666101,-10.248178,-11.244616,-12.301719,-13.318789,-14.152744,-15.147794,-16.197847,-17.222046,-18.088676,-19.184927,-20.15135
-1.0347753,-2.0322528,-3.0300944,-3.9324291,-5.0094271,-5.9530377,-6.8784218,-7.9711308,-8.9183102,-9.8936443,-10.837722,-11.885601,-12.912083,-13.866099,-14.762197,-15.853506,-16.756252,-17.805794,-18.939499,-19.69375
-.80273634,-1.8085445,-2.854373,-3.8024666,-4.7373419,-5.705966,-6.7952795,-7.7329197,-8.7767162,-9.7418461,-10.814095,-11.763963,-12.584355,-13.660551,-14.737123,-15.716285,-16.684855,-17.626795,-18.730038,-19.552494
.22669461,-.77513981,-1.7330335,-2.8278589,-3.7920361,-4.7592845,-5.7775235,-6.7024279,-7.8396606,-8.7332058,-9.7380362,-10.846745,-11.718924,-12.759594,-13.839862,-14.871473,-15.765083,-16.832077,-17.766371,-18.826904
-.52795565,-1.5500361,-2.522882,-3.5092027,-4.4906235,-5.4952121,-6.4847112,-7.3572431,-8.4801626,-9.4588661,-10.41781,-11.367239,-12.50287,-13.493917,-14.320575,-15.316798,-16.289394,-17.48913,-18.320211,-19.413927
.75123382,-.24886478,-1.2053009,-2.2763062,-3.2642446,-4.2776866,-5.2522054,-6.3450246,-7.3230081,-8.3105764,-9.2794189,-10.303643,-11.370939,-12.364566,-13.418407,-14.342257,-15.323375,-16.397348,-17.379709,-18.345402
-.44874817,-1.4322166,-2.4274371,-3.4304795,-4.3586574,-5.4267073,-6.4711947,-7.3869462,-8.3711033,-9.4105062,-10.413183,-11.296122,-12.3395,-13.293516,-14.440885,-15.267833,-16.385763,-17.397097,-18.238829,-19.347868
2.511755,1.4922086,.45710602,-.56077117,-1.6475325,-2.6304955,-3.6288004,-4.6528254,-5.6836658,-6.6932254,-7.7985601,-8.7115593,-9.6984339,-10.840079,-11.841731,-12.896225,-13.811217,-14.908304,-15.867823,-17.014278
.13172874,-.90192741,-1.8743024,-2.8976631,-3.8288603,-4.9124093,-5.7778854,-6.7054515,-7.8131137,-8.8254261,-9.9861183,-10.772718,-11.971495,-12.900572,-13.788995,-14.820543,-15.814132,-16.969166,-17.733601,-18.792444
-.18321261,-1.2055199,-2.211256,-3.1187489,-4.2235308,-5.0909462,-6.1432285,-7.1873131,-8.135973,-9.1355839,-10.159406,-11.09278,-12.266146,-13.200064,-14.302367,-15.053341,-16.049761,-17.17935,-18.073189,-19.144682
.14973941,-.87996274,-1.869902,-2.8180349,-3.8495986,-4.8658471,-5.8712206,-6.8870373,-7.9023356,-8.8709488,-9.825099,-10.895858,-11.759971,-12.834418,-13.776117,-14.931731,-15.764124,-16.92708,-17.863108,-18.858305
-.45934272,-1.4517096,-2.5041277,-3.4314835,-4.4162974,-5.411859,-6.3810205,-7.3629975,-8.3527403,-9.4522696,-10.33399,-11.411592,-12.285184,-13.336826,-14.430697,-15.367579,-16.334641,-17.335941,-18.216311,-19.313532
-.47889543,-1.4597466,-2.3933065,-3.4658225,-4.4490561,-5.4480219,-6.4559665,-7.4593883,-8.3921843,-9.3255663,-10.431837,-11.388365,-12.388776,-13.362835,-14.527553,-15.423533,-16.300449,-17.305927,-18.481529,-19.342079
-.25564626,-1.2575363,-2.2771997,-3.2146726,-4.2707081,-5.2330317,-6.1521039,-7.2027125,-8.2384892,-9.2513924,-10.14771,-11.258417,-12.181159,-13.203967,-14.157077,-15.27876,-16.17654,-17.245527,-18.122789,-19.26025
.042345852,-.95571411,-1.9573892,-3.0098224,-3.9570751,-4.9981942,-6.0143619,-7.0408239,-7.9257793,-8.9671984,-9.9252567,-11.065395,-11.941974,-13.030876,-13.974872,-15.127929,-15.909617,-17.001804,-17.995836,-18.982191
.68999445,-.32475269,-1.3736713,-2.3359094,-3.2929356,-4.3563471,-5.3540702,-6.3559413,-7.3496108,-8.3849182,-9.3428516,-10.416093,-11.321368,-12.283682,-13.376274,-14.319865,-15.400668,-16.386042,-17.382771,-18.532787
.92954177,-.093693376,-1.0669945,-2.1159465,-3.0665424,-4.1299224,-5.0876021,-6.1360812,-7.2164173,-8.2251968,-9.2218409,-10.141128,-11.103625,-12.181196,-13.20403,-14.252734,-15.124057,-16.202141,-17.296623,-18.108688
-.49108356,-1.5117109,-2.4992614,-3.5119603,-4.4639831,-5.4424763,-6.4707179,-7.4148879,-8.4253616,-9.4742928,-10.437687,-11.329416,-12.269156,-13.383664,-14.324269,-15.458272,-16.527264,-17.380005,-18.393833,-19.383774
.47098899,-.55482894,-1.5634048,-2.480731,-3.6128337,-4.4925165,-5.5868778,-6.6334138,-7.4828339,-8.5262051,-9.6468306,-10.661064,-11.623303,-12.580725,-13.457243,-14.485728,-15.502976,-16.657881,-17.587408,-18.725853
