b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20
.81067896,-.21690068,-1.2018034,-2.14695,-3.1447825,-4.1848831,-5.2596412,-6.2061172,-7.1360664,-8.2788372,-9.3086033,-10.327337,-11.343282,-12.190224,-13.236737,-14.334828,-15.345803,-16.386948,-17.324205,-18.343788
-.24393485,-1.2787327,-2.2395966,-3.199882,-4.2125282,-5.1669378,-6.2217884,-7.1545849,-8.2619019,-9.2525272,-10.202116,-11.182872,-12.164096,-13.135734,-14.117238,-15.064265,-16.184616,-17.194504,-18.314899,-19.168272
-3.1687336,-4.1433268,-5.0439725,-6.0573845,-7.052907,-8.0125456,-9.0590067,-9.8901501,-10.91409,-11.885982,-12.83714,-13.679688,-14.90589,-15.709121,-16.690248,-17.612293,-18.669804,-19.676638,-20.477133,-21.500973
1.2000073,.18548542,-.82898802,-1.8312601,-2.854286,-3.8508601,-4.8837185,-5.8127484,-6.7206011,-7.8632822,-8.9131289,-9.9237051,-10.923746,-11.883866,-13.007441,-13.959533,-14.914515,-16.080904,-16.852015,-17.958225
-5.9702888,-6.9078016,-7.8658328,-8.8006392,-9.7323141,-10.584008,-11.612299,-12.536463,-13.531532,-14.436259,-15.344364,-16.30201,-17.239439,-18.25701,-19.087748,-20.010946,-21.008947,-21.898256,-22.826529,-23.808764
-.25643402,-1.2639972,-2.2583392,-3.2062724,-4.2156844,-5.2312317,-6.27737,-7.1832614,-8.2416439,-9.2819033,-10.144349,-11.189,-12.274789,-13.163327,-14.153686,-15.203828,-16.189634,-17.2059,-18.189245,-19.208242
.87275231,-.17072681,-1.1951348,-2.193984,-3.1804862,-4.153276,-5.2108765,-6.1323032,-7.2213278,-8.1297941,-9.2540245,-10.217288,-11.250156,-12.128807,-13.198516,-14.306179,-15.178929,-16.190226,-17.272806,-18.245728
4.0535502,2.9890428,2.0143285,.93991596,-.063379519,-1.1923938,-2.1438854,-3.1645677,-4.2573805,-5.3062949,-6.4182587,-7.3735003,-8.4360552,-9.4672928,-10.465562,-11.499005,-12.601133,-13.504909,-14.607051,-15.722965
-1.1238469,-2.132158,-3.1134551,-4.0973892,-5.0451908,-6.0220056,-7.0405364,-7.9841757,-8.9887543,-9.9239235,-10.899627,-11.974224,-12.936127,-13.967054,-14.953694,-16.043638,-16.962839,-17.852346,-18.882961,-19.926191
-.12746271,-1.1025944,-2.0925846,-3.1463456,-4.1669641,-5.1264896,-6.0289993,-7.0035906,-8.091053,-9.0474396,-10.074205,-11.085013,-12.041651,-13.066629,-14.066277,-15.086704,-16.073837,-17.101713,-18.045191,-18.905836
