p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.55032206,.27667752,.10945737,.041721422,.015833145,.0048760865,.0016637318,.00054481596,.00019145769,.000065311469,.000028189414,.00001195299,0,0,0,0,0,0,0,0,0,0,0,0
.59470832,.78674835,.27935588,.061102469,.01490568,.0022856642,.00043200914,.000086007414,.000019621151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.68089247,.16669588,.027111063,.0030928985,.00033252101,.000041020459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.79903144,.2670483,.046487208,.0059506651,.00062664488,.000099739111,.000016339967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.22792149,.042651579,.0054189516,.00087149988,.00014656431,.000026671505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.98795372,.52343959,.19628379,.052793171,.010717792,.0030769876,.00055827684,.00015333247,.000041741085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.68994409,.78370965,.33060014,.10068847,.024433272,.0055998154,.0010713101,.00029046796,.000061094514,.000012443928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.44923529,.047316782,.0035353643,.00031672974,.000024197347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.77785313,.38309458,.147972,.0488493,.012010247,.003348548,.00081444241,.00022714169,.000087827699,.000019999845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.87670177,.43557271,.15488148,.042262789,.009434374,.0023969349,.00052481733,.000098777571,.000020632106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.90704328,.44953874,.16173676,.05148467,.010838292,.0029113099,.00070290186,.00011257506,.000030385292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.37656495,.72250295,.83490592,.46286395,.19599311,.066896871,.022073921,.007553021,.0019375603,.00057073956,.00015654115,.000043623026,.000014962946,0,0,0,0,0,0,0,0,0,0,0
.33229059,.025291754,.0014979236,.000045745801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32235053,.09305492,.020643568,.0041526454,.00082847755,.00014381508,.000021096488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.47793975,.99273342,.48762268,.1721659,.04493947,.0093536358,.0017139438,.00044925534,.000093406896,.000024738985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.50602257,.17099491,.040748488,.0093275653,.0016131664,.00040570059,.000061242245,.000013042113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.40577111,.75708425,.15561759,.023832921,.0012804095,.0001516312,.000029457955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
