p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.017144157,.0063935393,.0024331775,.00091763993,.00037786993,.00014100752,.00004786042,.000024321484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.96879709,.56782293,.23814055,.074950352,.024458958,.0065958421,.0018160971,.00045166534,.00015022363,.000028680184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.34124237,.052120589,.0057040416,.00043934467,.000051948598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.93274933,.4836823,.17734884,.04748404,.010922005,.0029976813,.00082223164,.00012494902,.000021129146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.2217045,.072247483,.020023694,.0062071765,.0017059341,.00049007242,.00012242609,.000047229412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32638147,.82778972,.53756624,.1590479,.026910417,.0045953295,.00083373365,.00015732067,.000017451215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.83436406,.49208727,.23778641,.099250764,.03710226,.013110231,.0036800269,.0014581487,.00045428553,.00012775599,.000054225104,.000013581628,0,0,0,0,0,0,0,0,0,0,0,0
.47264111,.074397378,.0086165974,.0010223427,.000089366775,.000017114733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.75203496,.63416499,.21761274,.055998914,.0093870014,.0019338691,.00025188111,.000041012721,.000012051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.75399309,.21344402,.0308722,.0029557683,.00026004747,.00003436322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.85402441,.49720269,.23557176,.10486297,.034301247,.013276863,.0045558079,.0010464599,.00034462489,.00012298541,.000055774392,.000011237023,0,0,0,0,0,0,0,0,0,0,0,0
.045714043,.39374727,.64489442,.10863635,.0048554842,.0003177714,.000030405301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.44966912,.72105807,.1636344,.01701124,.0011663316,.00015733212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.53646094,.27145988,.11882927,.048160054,.017093133,.0054765251,.0012492617,.0005938086,.00025359038,.000079764897,.000030192348,0,0,0,0,0,0,0,0,0,0,0,0,0
.24458976,.84279549,.43878117,.087390825,.010301397,.0010826746,.00013094436,.000016834809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.14274596,.021820433,.0025391404,.00034931544,.00003936284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.19251747,.059798069,.017794365,.0058470201,.0010384539,.00032929744,.0001134923,.000024571355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.11279462,.011835529,.0012436457,.00010107979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.27152595,.082323872,.026279753,.0064161276,.0016313562,.00045104092,.000098386714,.00002622901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.93703794,.44611439,.11769657,.020950401,.0025241107,.00033178969,.000049906586,.000010658372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.87182164,.017086077,.000070429764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.40002042,.14564681,.04862747,.013341527,.003386901,.00089926989,.00015974673,.000046554916,.000019031513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.10296757,.0031802494,.00011780045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.55574936,.11881842,.01908469,.0018910246,.00028777448,.000033457967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.38981006,.74678349,.81808293,.44907027,.19546407,.07678552,.022335954,.0072879032,.0022517256,.00052170287,.0001828863,.000043278505,.000015373058,0,0,0,0,0,0,0,0,0,0,0
.3064031,.62171757,.057666071,.0022973698,.00011964089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.57740819,.24792707,.090695262,.029898273,.0071574468,.0019335808,.00037842224,.00010643255,.000039589275,.000011422838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.77702898,.2428779,.057317846,.0093568703,.0013407482,.00017303064,.000035258723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
