p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.0092931502,.06082651,.28092083,.75763178,.63151389,.20343442,.052756079,.0064503551,.00038423957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.45151713,.93182623,.593503,.2189007,.069630444,.009713972,.0016329442,.000093453062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.057206355,.27796501,.77836961,.59262127,.18266028,.027571989,.0020031687,.000094624818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.28962374,.081071354,.015748955,.0024400933,.00019039219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.70254743,.35550323,.13036136,.036995199,.0088501107,.00096138695,.00014045963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.98208719,.39984804,.096367985,.01288572,.00069095148,.000020132526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.029250436,.0026527657,.00011889708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.92623931,.34638482,.089287281,.0096277483,.00062790234,.000019353005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.76305926,.70363468,.25095329,.061512228,.0088254511,.001364423,.000056675533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.28114414,.09096992,.020353815,.0038668956,.00033614595,.000013152778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.27077225,.05907201,.0071155033,.0003417425,.00001485166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.016316626,.042128172,.1009717,.22299105,.37349474,.67727727,.98073173,.67873907,.44192082,.2288321,.097768322,.039221197,.014124393,.0040284665,.00071721291,.00011157211,.000034544541,0,0,0,0,0,0,0
.98920864,.48042428,.16797289,.023690982,.0036158953,.00029978037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.04702089,.2382644,.72793186,.69449586,.21451153,.044685509,.0035859381,.00019093367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.8644228,.33174646,.07960929,.013596475,.00092816231,.000034364781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.16475774,.023916453,.0018321277,.000065081389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.024610694,.0035651841,.00040698302,.000030113351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.29155004,.73876864,.64071423,.22198114,.040921025,.0048724217,.00058362231,.000022487906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.33728591,.87013686,.53512567,.15903427,.028348088,.0028913922,.00013468512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.024694471,.0023745061,.00012977395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.28699711,.66744053,.79198587,.38963673,.11426056,.022389315,.002609144,.00030406183,.000013363948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.19088539,.058465119,.014417577,.0024430016,.0002862167,.000023818347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0057970304,.041714408,.19829838,.61194426,.89642179,.35206202,.075909585,.0097322287,.0012036894,.000040313051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.46682653,.86330903,.7325964,.37338573,.14145371,.044556879,.01166612,.0017680716,.00022155853,.000013789645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.84323281,.53375095,.16227593,.026256349,.0023326802,.000089414163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.022886295,.13230501,.43969214,.90267152,.42094135,.1681087,.02578521,.002792252,.00016486633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.31908581,.075481892,.010533466,.00062509108,.000035018908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.14155874,.46820241,.98360413,.43502012,.12040092,.015902482,.0016185655,.00010302381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.28158873,.84682411,.58030415,.15595049,.020278329,.0013779541,.000049331138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.46310231,.15057485,.036460482,.0048117591,.00050786784,.000022985014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.46667227,.9918524,.50612986,.14880687,.028518341,.0033967453,.00038618958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.88510013,.28227618,.04105885,.0033137305,.000071245056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.81880927,.47304475,.096646927,.010671191,.00041338746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.011447177,.092249021,.33779666,.90645587,.4552047,.12992309,.019713154,.0015749659,.000060977665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.09950202,.42049336,.92156076,.39615384,.095589131,.009185751,.00042025675,.000012622205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.56314707,.90803713,.40942347,.11732952,.026890799,.0027554503,.00023329782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.9913851,.32153589,.059556663,.0032474392,.00013702197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.11020627,.26629594,.53015822,.95388132,.67710042,.32429489,.14353384,.034899302,.01014877,.0019153859,.00025475424,.000017622566,0,0,0,0,0,0,0,0,0,0,0,0
.8855927,.55477774,.16644624,.030671909,.0039657885,.00023076302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0060864538,.00029143269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.59228355,.9649421,.54696113,.23336537,.083420828,.017357206,.0025009068,.0003938209,.000018985487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32901102,.73095375,.7215333,.31115389,.08516708,.017906766,.0027590792,.00012402916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.33355489,.76445025,.68084002,.25658381,.062991753,.01150824,.00083795562,.000055626337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.032401592,.10125156,.255169,.48834661,.86958373,.74713027,.38294697,.18459433,.061285928,.017266396,.0030322941,.0003786633,.000051592491,0,0,0,0,0,0,0,0,0,0,0
.69876969,.75305617,.30379477,.073588103,.012194654,.00096970645,.000069338588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.15171787,.040802203,.0063789408,.00091064349,.00007399582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.52944678,.17830676,.028726662,.0029798024,.00015869016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.096317127,.014209473,.0013919456,.000093618321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.66293484,.81468016,.37015873,.10970558,.02103769,.0028658602,.00033835735,.000024576259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.60370272,.21767356,.053248551,.0075618504,.00060569897,.000037302194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.61053997,.14322703,.016559396,.00059547095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.16768281,.30216342,.54030418,.81368452,.88435698,.56864905,.34444955,.17302513,.076513059,.026471199,.0079452284,.0030341658,.00062579219,.000090330126,.000020888952,0,0,0,0,0,0,0,0,0
.04281719,.0052758143,.00044741834,.000015364076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.12016112,.50748509,.82249743,.28457209,.044357087,.004526386,.000070769587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
